연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
2017/12,씨에스윈드,112610,STK,26200,26850,23750,2.971053,0.67826,,0.484458,0.001206186,46309.3659,5.263158,1503310,79122,38211386700,2011125616
2018/01,씨에스윈드,112610,STK,37700,37700,27100,2.657159,0.091949,,0.306103,0.000656372,58673.4352,18.181818,2477401,112609,79555266700,3616148486
2018/02,씨에스윈드,112610,STK,35700,39300,35150,3.172191,0.703084,,0.533312,0.000743634,78792.7125,0.0,1458469,81026,53404256100,2966903117
2018/03,씨에스윈드,112610,STK,34950,36500,31900,2.794812,0.654652,,0.85994,0.001169248,34488.9034,4.761905,1043446,49688,35572820650,1693943840
2018/04,씨에스윈드,112610,STK,33300,34200,31650,2.029497,0.632429,,0.875826,0.001337228,35639.6741,14.285714,752005,35810,24877347150,1184635579
2018/05,씨에스윈드,112610,STK,29450,36950,29250,4.192035,0.645004,,1.710585,0.000735541,121383.1066,5.0,4199534,209977,136421526850,6821076343
2018/06,씨에스윈드,112610,STK,27300,28650,24800,3.281175,0.833547,,1.555338,0.000797366,102446.7667,0.0,2533801,133358,67864504800,3571816042
2018/07,씨에스윈드,112610,STK,28900,28900,24850,2.95743,0.553199,,2.786983,0.001098334,77908.6198,0.0,1694635,77029,45532448650,2069656757
2018/08,씨에스윈드,112610,STK,29100,29850,26100,2.936483,2.982196,,-0.281566,0.0013022,51320.7223,4.545455,1280976,58226,36716128800,1668914945
2018/09,씨에스윈드,112610,STK,33500,35100,28250,2.905933,-0.882452,,0.417913,0.000770974,81207.8097,5.882353,1607931,94584,51345634000,3020331412
2018/10,씨에스윈드,112610,STK,30200,34450,27600,3.435511,-0.908232,,1.436558,0.001663206,40961.2879,0.0,1272469,60594,39550446150,1883354579
2018/11,씨에스윈드,112610,STK,28650,32600,28650,2.055074,0.195718,,-0.040673,0.000802637,56985.1321,4.545455,1421979,64635,43727661900,1987620995
2018/12,씨에스윈드,112610,STK,27600,31000,25950,2.392254,0.353947,,1.303299,0.001333133,38053.2969,5.263158,1008754,53092,28454880850,1497625308
2019/01,씨에스윈드,112610,STK,27600,28550,26200,1.674524,-0.249188,,0.907789,0.001840023,17874.2057,18.181818,549407,24973,15130521400,687750973
2019/02,씨에스윈드,112610,STK,30000,31250,28500,1.976058,-1.124009,,0.949207,0.00143145,91872.6167,0.0,923890,54346,27661736950,1627160997
2019/03,씨에스윈드,112610,STK,38000,38300,30650,2.426661,0.32061,,-0.149409,0.000681553,72428.786,0.0,2014265,100713,70310300000,3515515000
2019/04,씨에스윈드,112610,STK,38100,41250,37300,2.599929,1.286404,,0.786753,0.000513888,70848.5499,4.545455,1968318,89469,77406991300,3518499605
2019/05,씨에스윈드,112610,STK,35100,41250,35100,2.703058,0.727869,,1.254484,0.000812143,52657.5629,0.0,1374376,65446,52296403450,2490304926
2019/06,씨에스윈드,112610,STK,42900,43400,36700,2.569845,-0.690104,,-0.206083,0.000621117,99085.7031,5.263158,1685333,88702,69412949550,3653313134
2019/07,씨에스윈드,112610,STK,33150,42850,33000,2.326569,0.947167,,0.993953,0.000731751,93786.3018,0.0,1805935,78519,67559074500,2937351065
2019/08,씨에스윈드,112610,STK,30100,32350,26850,3.984446,2.137687,,2.264671,0.001449034,47783.7007,4.761905,1470759,70036,44161049000,2102907095
2019/09,씨에스윈드,112610,STK,31800,32500,29800,2.342055,-0.677917,,1.57873,0.001271668,33798.8311,0.0,869141,45744,27072109950,1424847892
2019/10,씨에스윈드,112610,STK,32650,33100,30600,1.819062,-0.944353,-0.185237,1.466622,0.001452182,42361.9071,0.0,719003,34238,23077918750,1098948512
2019/11,씨에스윈드,112610,STK,35350,39300,33900,3.430414,1.594239,-0.227212,-0.519971,0.000763003,68983.932,4.761905,1868265,88965,68808598500,3276599929
2019/12,씨에스윈드,112610,STK,38000,39050,35000,1.538095,0.839463,-0.254634,-0.009488,0.000770682,112157.0402,5.0,857899,42895,32036299550,1601814978
2020/01,씨에스윈드,112610,STK,36800,39750,36800,1.847408,0.246408,-0.218144,0.772745,0.000855515,64786.6278,5.0,888174,44409,33940866200,1697043310
2020/02,씨에스윈드,112610,STK,35550,39800,35550,2.119688,1.024745,-0.184655,0.746243,0.000889563,56384.8999,5.0,873452,43673,33304515550,1665225778
2020/03,씨에스윈드,112610,STK,26950,37900,19700,6.854725,0.941517,-0.389524,1.232691,0.002467174,37928.0864,0.0,1842351,83743,48350858500,2197766295
2020/04,씨에스윈드,112610,STK,32050,32050,26750,2.903303,-0.865993,-0.042892,0.620929,0.001964813,25802.656,5.0,894511,44726,26344250400,1317212520
2020/05,씨에스윈드,112610,STK,41800,41850,31850,2.912207,-0.326733,-0.048222,0.967695,0.000936085,69615.8334,0.0,3469243,182592,140178247400,7377802495
2020/06,씨에스윈드,112610,STK,42000,43000,35000,3.418445,1.924828,-0.0789,0.812194,0.000557512,122059.7732,4.545455,3623029,164683,150013957250,6818816239
2020/07,씨에스윈드,112610,STK,79500,81000,42000,5.486719,0.453988,-0.029537,0.915552,0.000143205,277971.2361,0.0,17056590,741591,1072977173715,46651181466
2020/08,씨에스윈드,112610,STK,102500,102500,78000,3.856669,-0.521789,-0.067571,0.914397,9.1371e-05,327834.6043,0.0,8091547,404577,680251786200,34012589310
2020/09,씨에스윈드,112610,STK,99100,120500,94200,5.005312,1.435884,-0.066436,0.719322,7.3336e-05,278297.7984,9.52381,10850479,516689,1215931815300,57901515014
2020/10,씨에스윈드,112610,STK,99700,121000,94200,4.805138,-1.077938,-0.062584,3.486019,0.000111275,138246.94,0.0,6739219,354696,721874000300,37993368437
2020/11,씨에스윈드,112610,STK,128000,131000,98700,5.437391,1.520144,-0.002011,1.375604,6.0593e-05,253350.5835,4.761905,10859151,517102,1275555785400,60740751686
2020/12,씨에스윈드,112610,STK,177000,179500,120000,4.192145,0.477082,-0.021997,1.14641,5.3642e-05,187577.1994,4.761905,8591328,409111,1286833788000,61277799429
2021/01,씨에스윈드,112610,STK,160000,180500,159000,3.002376,3.367865,-0.049856,0.63047,4.5072e-05,225950.6791,5.0,5920350,296018,1014621634500,50731081725
2021/02,씨에스윈드,112610,STK,72400,172000,70000,3.685629,-0.051874,-0.057799,1.12333,7.1323e-05,213502.2473,5.555556,9283939,515774,885583726900,49199095939
2021/03,씨에스윈드,112610,STK,75800,75800,58600,4.235892,0.825651,-0.065372,2.023859,4.8176e-05,636099.6233,4.545455,21438064,974457,1444547218900,65661237223
2021/04,씨에스윈드,112610,STK,77000,86500,72000,3.13879,-0.967694,-0.089296,-0.35388,4.8009e-05,313215.8541,4.545455,15318589,696300,1226887903600,55767631982
2021/05,씨에스윈드,112610,STK,75900,79500,69100,3.567692,-0.054261,-0.105732,1.472639,6.7215e-05,602729.8786,5.263158,10494731,552354,772082317700,40635911458
2021/06,씨에스윈드,112610,STK,77500,81600,76800,2.235036,1.354591,-0.126382,1.232557,3.8951e-05,362567.2478,13.636364,12497625,568074,993084256600,45140193482
2021/07,씨에스윈드,112610,STK,82200,88800,74800,2.913289,1.268938,-0.103843,1.865748,4.1907e-05,635216.8717,4.545455,17004607,772937,1409642367100,64074653050
2021/08,씨에스윈드,112610,STK,79900,82100,71700,2.454566,0.307379,-0.105397,1.207099,5.4183e-05,428348.3753,0.0,8645288,411680,672783831600,32037325314
2021/09,씨에스윈드,112610,STK,77700,79900,72500,1.740114,1.037812,-0.091805,0.588013,4.1053e-05,644021.1788,5.263158,7685363,404493,594315239100,31279749426
2021/10,씨에스윈드,112610,STK,69400,74200,67400,3.015578,2.766655,-0.090879,1.670214,7.4651e-05,278827.1076,0.0,7449248,392066,526645520700,27718185300
2021/11,씨에스윈드,112610,STK,56700,70100,56700,3.37201,5.549005,-0.146765,0.777029,0.000104176,214493.8723,4.545455,7728106,351278,486332772800,22106035127
2021/12,씨에스윈드,112610,STK,65700,65700,57200,1.912529,-0.029135,-0.153883,0.313604,0.000115821,215666.6755,0.0,4856713,220760,300489026400,13658592109
2022/01,씨에스윈드,112610,STK,47400,66000,46000,3.508389,-0.554053,-0.202153,2.339794,0.000208616,103422.3566,5.0,4907732,245387,277603859600,13880192980
2022/02,씨에스윈드,112610,STK,59600,59900,47400,4.571462,4.036143,-0.222395,2.455114,0.000200335,164931.5554,5.555556,6035735,335319,326855354350,18158630797
2022/03,씨에스윈드,112610,STK,63400,65800,61100,2.824872,-0.014257,-0.228002,0.591364,8.532e-05,590835.4152,0.0,9779862,465708,625151110400,29769100495
2022/04,씨에스윈드,112610,STK,59800,64200,58500,2.229522,0.554499,-0.20791,1.213197,0.000111669,279365.4008,4.761905,4982750,237274,308605960400,14695521924
2022/05,씨에스윈드,112610,STK,57200,58600,46350,3.208919,-0.14842,-0.190253,1.454788,0.000145741,330096.9573,4.761905,7243804,344943,376317575800,17919884562
2022/06,씨에스윈드,112610,STK,57800,59700,50100,3.968598,-0.620442,-0.136053,1.552547,0.00019196,185071.9692,5.0,6035456,301773,334115776900,16705788845
2022/07,씨에스윈드,112610,STK,55500,56100,45500,3.717391,2.933945,-0.149231,1.938781,0.000182442,200610.6871,0.0,5756640,274126,290135371100,13815970052
2022/08,씨에스윈드,112610,STK,68700,70700,56800,2.859663,-1.143021,-0.175423,-0.110778,8.9617e-05,268153.5414,0.0,9500229,431829,611735757000,27806170773
2022/09,씨에스윈드,112610,STK,60700,67900,59900,2.99391,2.670867,-0.194988,0.513395,9.6265e-05,290632.5507,10.0,6540545,327027,416960664400,20848033220
2022/10,씨에스윈드,112610,STK,58800,67100,57900,3.129411,2.220936,-0.184837,1.591965,0.000130883,377727.3875,0.0,4822632,253823,298438064900,15707266574
2022/11,씨에스윈드,112610,STK,76500,79100,59800,2.858032,0.534774,-0.184639,0.93902,7.868e-05,365776.0751,0.0,10373953,471543,749918055000,34087184318
2017/12,두산밥캣,241560,STK,35800,36850,34100,2.021885,0.267984,,0.460497,0.000208803,270495.5576,5.263158,8662676,455930,298515753126,15711355428
2018/01,두산밥캣,241560,STK,37000,37000,34500,1.50806,-0.686388,,0.61301,0.000143395,447266.1422,0.0,5251339,238697,188495116946,8567959861
2018/02,두산밥캣,241560,STK,34000,36650,34000,1.898892,2.981202,,0.202487,0.000244586,149806.23,0.0,3090444,171691,109498999675,6083277760
2018/03,두산밥캣,241560,STK,31400,33200,31400,1.507516,-0.247417,,0.768965,0.00019976,272480.7591,0.0,4349323,207111,139968481617,6665165791
2018/04,두산밥캣,241560,STK,32600,32600,30650,1.675407,0.80864,,0.835036,0.000233061,212475.7023,4.761905,3263050,155383,102791222225,4894820106
2018/05,두산밥캣,241560,STK,33900,34600,31800,1.682823,0.030945,,1.525646,0.000190069,179830.6441,10.0,4578563,228928,151143359600,7557167980
2018/06,두산밥캣,241560,STK,32000,34600,30650,2.099142,0.626383,,1.184298,0.000196551,315720.2843,5.263158,5185839,272939,168400401346,8863179018
2018/07,두산밥캣,241560,STK,33250,33250,30000,1.558539,-0.454673,,1.116267,0.00035659,209501.6412,4.545455,2934531,133388,91334339059,4151560866
2018/08,두산밥캣,241560,STK,35600,35600,32750,1.711425,4.793391,,0.949998,0.000139408,626862.3478,0.0,15875069,721594,550601828850,25027355857
2018/09,두산밥캣,241560,STK,40400,40400,34650,1.655106,0.47417,,-0.264129,0.000158384,769336.6988,0.0,4623260,271956,170172469370,10010145257
2018/10,두산밥캣,241560,STK,35200,40000,34700,1.452142,-0.074798,,0.386046,0.000132947,414862.5977,4.761905,4973696,236843,185704234954,8843058807
2018/11,두산밥캣,241560,STK,32850,37000,32850,2.399962,2.46885,,0.924101,0.000167167,281552.4297,4.545455,10640529,483660,365716093400,16623458791
2018/12,두산밥캣,241560,STK,31500,33500,30850,1.497926,-0.823211,,1.144307,0.000149204,367494.0121,5.263158,6784504,357079,222636605396,11717716073
2019/01,두산밥캣,241560,STK,33200,33750,30500,1.69087,0.46767,,1.350888,0.000210476,423353.3324,0.0,4371493,198704,143587053932,6526684270
2019/02,두산밥캣,241560,STK,31900,34550,30750,2.272435,6.640767,,-0.235598,0.000121087,750805.3533,0.0,6357405,373965,202471162026,11910068354
2019/03,두산밥캣,241560,STK,30900,31650,30150,1.116485,0.015882,,0.641466,0.00014292,396101.3277,10.0,4215729,210786,130879667355,6543983368
2019/04,두산밥캣,241560,STK,31950,31950,31000,0.910869,-0.824295,,0.580879,0.000165426,274677.6065,4.545455,3375715,153442,105928324950,4814923861
2019/05,두산밥캣,241560,STK,33700,34000,31500,2.062811,0.468241,,1.604373,0.000216892,232936.4043,4.761905,4556969,216999,149145167550,7102150836
2019/06,두산밥캣,241560,STK,36400,37000,32950,1.405284,1.008317,,1.019676,0.000221759,252987.2599,0.0,3233368,170177,113668416150,5982548218
2019/07,두산밥캣,241560,STK,35900,36600,35250,1.192211,-0.327668,,-0.288134,0.00017279,304303.5939,4.347826,3361397,146148,120677722884,5246857517
2019/08,두산밥캣,241560,STK,35850,36100,33400,1.973811,2.952112,,0.708754,0.0002137,143897.741,19.047619,3058064,145622,108082544600,5146787838
2019/09,두산밥캣,241560,STK,35400,37100,33900,1.577895,2.53909,,1.062704,0.000327508,194660.6077,10.526316,2092600,110137,74615768350,3927145703
2019/10,두산밥캣,241560,STK,31500,34900,31450,1.431859,-0.430045,,0.607685,0.000282479,205977.1132,0.0,3259780,155228,106196018125,5056953244
2019/11,두산밥캣,241560,STK,31300,33000,31300,1.750867,-0.947076,,1.074824,0.000347743,166096.869,4.761905,3745888,178376,119523834350,5691611160
2019/12,두산밥캣,241560,STK,34350,35500,31800,1.594318,0.8853,,0.956468,0.000291615,217480.2341,0.0,2538175,126909,85352259630,4267612982
2020/01,두산밥캣,241560,STK,30800,34250,30800,1.321234,-0.910198,,0.476819,0.00028462,146235.3257,5.0,2778673,138934,90164799050,4508239953
2020/02,두산밥캣,241560,STK,28400,30850,26950,1.987557,0.002642,,0.580605,0.000259372,221977.1683,0.0,4243259,212163,124565431925,6228271596
2020/03,두산밥캣,241560,STK,17950,29300,13700,7.377546,0.650832,,1.466616,0.000842711,94084.4457,0.0,7349664,334076,143568242050,6525829184
2020/04,두산밥캣,241560,STK,23500,24900,19850,5.449625,2.526147,,-0.67262,0.000148305,654842.3681,5.0,22000677,1100034,495835214100,24791760705
