연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
2017/12,BNK금융지주,138930,STK,9420,9690,9230,1.219891,-0.844043,0.367692,0.544961,0.00012894,1453609.773,0.0,16295932,857681,153485628974,8078190999
2018/01,BNK금융지주,138930,STK,10600,10650,9280,0.996568,-0.918547,0.366191,0.528429,8.1419e-05,1408101.4476,13.636364,23151807,1052355,231566508952,10525750407
2018/02,BNK금융지주,138930,STK,11200,11200,10050,1.877241,1.081006,0.422278,0.263903,9.5257e-05,1017663.0721,11.111111,23391872,1299548,246497458277,13694303238
2018/03,BNK금융지주,138930,STK,10400,11200,10400,1.783032,-0.092123,0.437566,1.033495,0.000138157,830878.8931,9.52381,20739452,987593,223118659485,10624698071
2018/04,BNK금융지주,138930,STK,10450,10550,10150,1.019229,1.690902,0.430983,0.280414,5.0354e-05,709941.6259,47.619048,23495570,1118837,243489109085,11594719480
2018/05,BNK금융지주,138930,STK,9530,10500,9430,1.543874,0.31886,0.468603,0.643708,9.0184e-05,1383718.2229,5.0,25858315,1292916,262683056516,13134152826
2018/06,BNK금융지주,138930,STK,9350,10150,9130,1.957124,0.190562,0.545409,1.382701,0.000167366,1352618.5405,5.263158,17651903,929048,169236929814,8907206832
2018/07,BNK금융지주,138930,STK,8970,9460,8710,1.451163,0.031778,0.581024,1.090716,0.000160185,1217273.1473,0.0,18023498,819250,162421790515,7382808660
2018/08,BNK금융지주,138930,STK,8340,8930,8100,1.147399,0.075412,0.614397,0.812506,0.000107713,1921724.4341,0.0,19618005,891728,165291392640,7513245120
2018/09,BNK금융지주,138930,STK,8600,8600,8170,1.008303,-0.138021,0.337147,0.386029,0.000145832,1091714.3055,5.882353,10485437,616790,87372788390,5139575788
2018/10,BNK금융지주,138930,STK,7590,8700,7590,1.467089,3.371937,-0.189977,0.453981,0.000157565,1585552.9693,9.52381,17388641,828031,141190789255,6723370917
