楷岿,辆格疙,辆格内靛,矫厘酒捞叼,辆啊,弥绊啊(辆啊),弥历啊(辆啊),钎霖祈瞒,梅档,傍恐档,海鸥,Amihud,Amivest,Zeros,芭贰樊_钦拌,芭贰樊_老乞闭,芭贰措陛_钦拌,芭贰措陛_老乞闭
"2017/12","CJ力老力寸","097950","STK","366000","401000","365000","2.69842","2.819361","0.336481","1.246309","0.000085319","57449.4185","5.263158","886215","46643","336556979535","17713525239"
"2018/01","CJ力老力寸","097950","STK","358500","392000","358000","1.392091","-0.905054","0.312383","-0.411457","0.0000664","69417.265","4.545455","1177511","53523","434406713750","19745759716"
"2018/02","CJ力老力寸","097950","STK","338000","360500","319500","2.267325","1.513322","0.310592","1.137526","0.000062601","95362.6812","0","1200218","66679","405602398250","22533466569"
"2018/03","CJ力老力寸","097950","STK","321500","340500","320000","1.669222","0.658974","0.315953","0.980831","0.00008118","63559.855","14.285714","969136","46149","317879331284","15137111014"
"2018/04","CJ力老力寸","097950","STK","343000","343000","320500","1.660024","-0.982562","0.301129","-0.237053","0.000063656","96499.513","0","1343711","63986","442306745500","21062225976"
"2018/05","CJ力老力寸","097950","STK","350500","359500","337000","1.718078","2.701289","0.277368","1.323229","0.000070994","63749.9194","5","1025359","51268","357737949500","17886897475"
"2018/06","CJ力老力寸","097950","STK","352500","381500","347500","1.706993","0.235841","0.393547","1.243376","0.000068341","72081.5499","0","1056180","55588","385007098942","20263531523"
"2018/07","CJ力老力寸","097950","STK","338000","347500","323000","1.466056","-0.302633","0.433289","0.870256","0.000108956","32820.9342","9.090909","635199","28873","212815308000","9673423091"
"2018/08","CJ力老力寸","097950","STK","342500","354000","337000","1.36129","0.774936","0.441263","0.281993","0.000101305","33443.7352","9.090909","637833","28992","218411533010","9927796955"
"2018/09","CJ力老力寸","097950","STK","333500","345000","325500","1.026338","0.022489","0.31335","-0.169391","0.000071836","46996.6913","17.647059","544375","32022","179920524186","10583560246"
"2018/10","CJ力老力寸","097950","STK","324000","343000","312000","1.699092","-0.06207","0.104747","0.709813","0.000110088","29216.8691","9.52381","759291","36157","250087010000","11908905238"
"2018/11","CJ力老力寸","097950","STK","336000","361500","318000","1.954262","2.137374","0.078056","0.723038","0.000102666","43568.1601","9.090909","815113","37051","279030012000","12683182364"
"2018/12","CJ力老力寸","097950","STK","330500","351000","325500","1.15774","0.163539","0.080225","0.244918","0.000080203","69872.6139","5.263158","644866","33940","219907063996","11574056000"
"2019/01","CJ力老力寸","097950","STK","342500","343000","328000","1.371061","3.170797","0.045751","-0.07432","0.000072983","67095.0087","9.090909","688788","31309","232223366000","10555607545"
"2019/02","CJ力老力寸","097950","STK","322000","340000","322000","1.01099","0.74319","0.07004","0.325462","0.000064066","69321.038","5.882353","722698","42512","239443962250","14084938956"
"2019/03","CJ力老力寸","097950","STK","323000","333000","321000","0.95018","-0.532711","0.08146","0.48345","0.000076324","75385.0187","5","699114","34956","227216487000","11360824350"
"2019/04","CJ力老力寸","097950","STK","315000","329500","314000","0.768074","0.70131","0.097258","0.425357","0.000061144","74294.1812","4.545455","703507","31978","225929028000","10269501273"
"2019/05","CJ力老力寸","097950","STK","280500","314000","276500","1.541809","0.354823","0.038263","0.124763","0.000119834","42047.8851","0","822299","39157","238402593500","11352504452"
"2019/06","CJ力老力寸","097950","STK","297000","301500","280000","1.070644","-0.131131","0.032317","0.249421","0.000097946","61418.4952","5.263158","588120","30954","172019305660","9053647666"
"2019/07","CJ力老力寸","097950","STK","285000","298000","279500","1.271367","-0.887973","0.057091","0.579216","0.0001806","27685.0141","4.347826","457153","19876","131235870000","5705907391"
"2019/08","CJ力老力寸","097950","STK","228500","286500","221500","2.413329","4.734571","0.067841","0.644134","0.000146724","43048.7888","0","1122012","53429","271354937500","12921663690"
"2019/09","CJ力老力寸","097950","STK","234500","246000","224500","1.591698","0.683459","0.061895","0.897988","0.000112979","59408.9321","0","822566","43293","192325876500","10122414553"
"2019/10","CJ力老力寸","097950","STK","228500","231500","212000","1.708644","1.107178","0.04088","1.611484","0.000122984","59238.8285","9.52381","907395","43209","201774014064","9608286384"
"2019/11","CJ力老力寸","097950","STK","248000","256000","230500","2.4357","2.51974","-0.008217","1.434469","0.00014756","38332.2582","0","980812","46705","242149217140","11530915102"
"2019/12","CJ力老力寸","097950","STK","252500","254000","238500","1.907146","3.737137","-0.025037","0.950944","0.000129145","62586.5136","5","782756","39138","192526362000","9626318100"
"2020/01","CJ力老力寸","097950","STK","237500","251000","229500","1.771844","-0.613434","-0.046353","0.640352","0.000156267","45943.408","5","750239","37512","180801096500","9040054825"
"2020/02","CJ力老力寸","097950","STK","244000","276000","237500","2.471168","0.736981","0.011449","1.025108","0.000118895","60916.6523","5","1219811","60991","320613127500","16030656375"
"2020/03","CJ力老力寸","097950","STK","216000","261500","155000","8.398955","5.336204","-0.17131","1.705974","0.000242416","32305.8685","0","1765097","80232","368316589500","16741663159"
"2020/04","CJ力老力寸","097950","STK","272500","274000","214000","3.02294","-0.757457","0.6202","0.753011","0.000116293","52440.2983","5","1669676","83484","407873459128","20393672956"
"2020/05","CJ力老力寸","097950","STK","297000","308500","271000","2.463666","0.581214","0.608469","-0.319114","0.000061592","126682.683","0","1968863","103624","584075696000","30740826105"
"2020/06","CJ力老力寸","097950","STK","326000","346000","297500","2.806258","1.475765","0.608484","0.748052","0.000067635","90941.3903","0","1945409","88428","627123305500","28505604795"
"2020/07","CJ力老力寸","097950","STK","386000","406000","339000","2.449975","-0.368501","0.54783","-0.020105","0.000058527","118039.0125","0","1821038","79176","683257244000","29706836696"
"2020/08","CJ力老力寸","097950","STK","407000","443500","397000","2.706079","3.084273","0.500439","0.42189","0.000031177","205564.7775","5","2284094","114205","944012168500","47200608425"
"2020/09","CJ力老力寸","097950","STK","395000","403500","375500","2.047557","6.841034","0.510699","0.386909","0.000038866","81778.6511","14.285714","1461735","69606","573504135500","27309720738"
"2020/10","CJ力老力寸","097950","STK","361000","410500","361000","1.522161","0.364061","0.511907","0.903535","0.000066712","61098.6193","0","871036","45844","339551364750","17871124461"
"2020/11","CJ力老力寸","097950","STK","361500","395000","358500","2.083853","4.78192","0.43302","0.267978","0.000044097","137194.2657","14.285714","1404376","66875","521347780500","24826084786"
"2020/12","CJ力老力寸","097950","STK","381000","384500","357000","1.066182","3.951759","0.413466","-0.075698","0.000023552","171014.7942","4.761905","1541577","73408","574311607606","27348171791"
"2021/01","CJ力老力寸","097950","STK","426000","471000","384500","3.601263","-0.472882","0.394579","1.492635","0.000049053","101908.6064","0","2650233","132512","1139177111090","56958855555"
"2021/02","CJ力老力寸","097950","STK","406500","454500","406500","2.066002","0.887239","0.384133","0.546428","0.000037315","81054.77","11.111111","1590545","88364","684205150000","38011397222"
"2021/03","CJ力老力寸","097950","STK","411000","429000","395000","1.541255","-0.233933","0.364395","0.001428","0.000062208","63520.3511","9.090909","1066218","48464","440473401453","20021518248"
"2021/04","CJ力老力寸","097950","STK","395500","420000","395500","1.085164","7.271669","0.349442","0.261985","0.000045038","73007.4101","4.545455","817643","37166","336579875000","15299085227"
"2021/05","CJ力老力寸","097950","STK","488500","488500","407000","2.260511","-0.64775","0.277933","-0.178867","0.000043358","192144.4133","0","2064156","108640","930566872000","48977203789"
"2021/06","CJ力老力寸","097950","STK","461000","485500","441500","1.189665","0.51917","0.272155","0.65392","0.000047483","100111.6176","0","948599","43118","436814831000","19855219591"
"2021/07","CJ力老力寸","097950","STK","468000","479000","442500","1.356088","-0.081855","0.277193","0.794013","0.00006061","67336.6991","0","781982","35545","359901152500","16359143295"
"2021/08","CJ力老力寸","097950","STK","453500","492500","426000","2.022448","1.153176","0.276914","1.608831","0.000064399","50598.0675","0","1213815","57801","556993755000","26523512143"
"2021/09","CJ力老力寸","097950","STK","409500","446500","409500","0.976074","0.829919","0.283067","0.650626","0.00005782","75372.8482","0","619099","32584","267396291000","14073489000"
"2021/10","CJ力老力寸","097950","STK","380000","410000","380000","1.341738","-0.466989","0.286432","0.775449","0.000069252","49581.2873","0","848878","44678","335954645000","17681823421"
"2021/11","CJ力老力寸","097950","STK","354000","387500","354000","1.71564","0.646672","0.28866","1.067648","0.000074239","48444.1297","13.636364","983757","44716","366991025500","16681410250"
"2021/12","CJ力老力寸","097950","STK","387500","402500","350500","1.68471","0.016787","0.251915","0.233228","0.000071554","52054.0593","4.545455","931348","42334","356088813000","16185855136"
"2022/01","CJ力老力寸","097950","STK","346000","385000","332000","2.199908","2.632073","0.203542","1.198546","0.000098961","51089.907","5","783598","39180","288428501646","14421425082"
"2022/02","CJ力老力寸","097950","STK","378500","386000","358000","1.884018","-1.190229","0.186057","0.917861","0.000112586","38365.6557","0","742511","41251","278120937000","15451163167"
"2022/03","CJ力老力寸","097950","STK","369500","376500","339000","1.997686","0.547534","0.170476","1.225876","0.000128332","32821.8393","4.761905","655830","31230","235922165276","11234388823"
"2022/04","CJ力老力寸","097950","STK","398000","418000","379500","1.567701","-0.43665","0.158411","-0.385468","0.000067488","70090.2981","4.761905","1032628","49173","413624665864","19696412660"
"2022/05","CJ力老力寸","097950","STK","393500","408000","377500","2.005277","3.878081","0.183088","0.394977","0.000084718","56762.8017","0","949382","45209","376593268214","17933012772"
"2022/06","CJ力老力寸","097950","STK","379000","397500","363500","1.394367","0.861487","0.167171","0.224726","0.000074738","43537.5122","20","725441","36272","274679960500","13733998025"
"2022/07","CJ力老力寸","097950","STK","391500","405000","386500","1.626715","0.222641","0.151755","-0.644136","0.000085147","38254.2928","4.761905","683493","32547","270321179000","12872437095"
"2022/08","CJ力老力寸","097950","STK","407500","428500","384500","2.161787","11.338514","0.126223","0.808521","0.000067248","56978.0026","4.545455","944339","42925","389676497750","17712568080"
"2022/09","CJ力老力寸","097950","STK","411000","420000","385500","1.765868","-0.390029","0.150817","0.878972","0.000092395","41477.8736","10","733903","36695","297797320500","14889866025"
"2022/10","CJ力老力寸","097950","STK","414000","416500","388500","1.498119","3.01388","0.159689","0.493234","0.000091165","64540.2349","10.526316","490340","25807","198121566000","10427450842"
"2022/11","CJ力老力寸","097950","STK","395000","427500","388000","1.498942","3.461674","0.131287","-0.085508","0.000058334","61455.1415","4.545455","1020025","46365","412610450500","18755020477"
