¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2017/12","¼¿Æ®¸®¿Â","068270","KSQ","221100","221100","194000","4.255113","6.873644","0.018704","2.095096","0.000008395","1575736.3426","0","30310726","1595301","6239960261000","328418961105"
"2018/01","¼¿Æ®¸®¿Â","068270","KSQ","315700","350000","225900","6.038865","-0.066425","0.118167","3.177025","0.000006372","1021683.6783","0","58040150","2638189","17498804312800","795400196036"
"2018/02","¼¿Æ®¸®¿Â","068270","KSQ","271400","301400","256000","3.592264","-0.738381",,"0.699484","0.000007226","722984.8388","8.333333","18619615","2045820","5127168630300","603457786794"
"2018/02","¼¿Æ®¸®¿Â","068270","KSQ","271400","301400","256000","5.53959","-0.021825",,"1.602234","0.000006205","1581156.5378","0","18619615","2045820","5127168630300","603457786794"
"2018/02","¼¿Æ®¸®¿Â","068270","STK","353000","353000","288000","3.592264","-0.738381",,"0.699484","0.000007226","722984.8388","8.333333","18205152","2045820","5735071532000","603457786794"
"2018/02","¼¿Æ®¸®¿Â","068270","STK","353000","353000","288000","5.53959","-0.021825",,"1.602234","0.000006205","1581156.5378","0","18205152","2045820","5735071532000","603457786794"
"2018/03","¼¿Æ®¸®¿Â","068270","STK","309500","373500","289500","4.936635","1.258418",,"0.884753","0.000004516","1369992.0248","4.761905","50926162","2425055","16836891627115","801756744148"
"2018/04","¼¿Æ®¸®¿Â","068270","STK","271000","306000","248500","3.203641","1.698129",,"1.107116","0.000007343","1147981.072","0","24832390","1182495","6943681779500","330651513310"
"2018/05","¼¿Æ®¸®¿Â","068270","STK","265500","275000","236000","3.614216","1.713317",,"-0.062477","0.00000776","1084796.1374","10","21009038","1050452","5503164333958","275158216698"
"2018/06","¼¿Æ®¸®¿Â","068270","STK","303500","305000","266500","2.623086","1.697741",,"0.65748","0.000008311","738634.7901","0","15311633","805875","4428948138565","233102533609"
"2018/07","¼¿Æ®¸®¿Â","068270","STK","271500","303500","251000","2.757022","0.415274",,"1.125813","0.000009629","570643.0365","9.090909","16268515","739478","4515805412303","205263882377"
"2018/08","¼¿Æ®¸®¿Â","068270","STK","270000","281500","258500","1.848177","0.317207",,"1.546397","0.000008081","939513.9442","9.090909","13975750","635261","3788846447500","172220293068"
"2018/09","¼¿Æ®¸®¿Â","068270","STK","297000","306000","267000","2.344498","-0.901136",,"-0.142769","0.000008753","590350.3282","0","12436621","731566","3617240700833","212778864755"
"2018/10","¼¿Æ®¸®¿Â","068270","STK","217500","292000","217500","3.655403","-0.153955",,"1.221845","0.000009502","656685.6846","0","29574251","1408298","7349244945278","349964045013"
"2018/11","¼¿Æ®¸®¿Â","068270","STK","239500","241000","200500","4.028744","3.907268",,"1.724272","0.000010512","807346.2702","0","25618829","1164492","5722643027281","260120137604"
"2018/12","¼¿Æ®¸®¿Â","068270","STK","222500","245500","208000","3.984513","1.395269",,"0.397558","0.000010216","1152388.598","0","24685049","1299213","5537821995500","291464315553"
