연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","동원산업","006040","STK","336000","340500","317000","2.228579","-0.390582","-0.079687","0.651671","0.001204376","6112.4855","0","96396","5073","31623154500","1664376553"
"2018/01","동원산업","006040","STK","336500","342000","316500","1.817849","3.388719","-0.076057","0.76935","0.000658404","10861.9481","4.545455","143132","6506","47164997000","2143863500"
"2018/02","동원산업","006040","STK","305500","337000","302000","1.466614","1.080061","-0.113044","0.543945","0.000964508","6472.3185","5.555556","84165","4676","26577574500","1476531917"
"2018/03","동원산업","006040","STK","307000","308000","291000","1.406927","0.308256","-0.10764","0.129061","0.000964753","5668.4396","14.285714","84628","4030","25449949000","1211902333"
"2018/04","동원산업","006040","STK","338000","338000","312500","1.76077","3.174645","-0.095338","-0.612706","0.001287177","4243.3675","0","63585","3028","20539428000","978068000"
"2018/05","동원산업","006040","STK","334000","342000","319500","1.699095","-1.024782","-0.101352","-0.153452","0.001264051","3185.6438","10","69479","3474","23018922000","1150946100"
"2018/06","동원산업","006040","STK","342000","345000","319000","1.99994","-0.614434","-0.132407","0.903767","0.001085471","5015.1205","0","83178","4378","27807474500","1463551289"
"2018/07","동원산업","006040","STK","318000","345000","318000","1.646316","0.736233","-0.13672","1.11912","0.001339831","5436.0636","4.545455","68763","3126","22775937000","1035269864"
"2018/08","동원산업","006040","STK","301500","328500","291000","1.511251","2.803115","-0.125739","0.19619","0.001154732","7858.1513","4.545455","67887","3086","20902722500","950123750"
"2018/09","동원산업","006040","STK","299000","299500","285000","1.480338","-0.895418","-0.035049","0.095007","0.001821548","2919.581","0","45714","2689","13293892000","781993647"
"2018/10","동원산업","006040","STK","241500","296000","238500","1.917971","0.131922","-0.749437","0.314993","0.002804658","2969.0159","4.761905","51952","2474","13684601000","651647667"
"2018/11","동원산업","006040","STK","207500","240000","193500","3.492201","3.936076","-0.784441","0.735393","0.001388144","10387.2554","0","241304","10968","49685215000","2258418864"
"2018/12","동원산업","006040","STK","203000","207500","191500","1.558087","-0.911655","-0.788415","-0.166277","0.001356754","5950.7898","0","95007","5000","18887166500","994061395"
"2019/01","동원산업","006040","STK","235000","235000","197000","2.061489","1.515766","-0.76539","0.650326","0.002203425","5242.951","9.090909","99092","4504","21690843000","985947409"
"2019/02","동원산업","006040","STK","225000","232500","220000","1.502472","0.483254","-0.785901","0.660166","0.001830894","2550.0158","17.647059","45937","2702","10418390500","612846500"
"2019/03","동원산업","006040","STK","233000","245500","229500","1.320332","-0.116917","-0.802717","0.335953","0.001067536","7204.7976","10","90132","4507","21279037500","1063951875"
"2019/04","동원산업","006040","STK","267000","272000","238000","2.148064","1.122814","-0.809789","0.247149","0.001445764","3277.0227","9.090909","116122","5278","29854718500","1357032659"
"2019/05","동원산업","006040","STK","251500","275500","242000","1.39921","-0.075805","-0.772255","-0.392609","0.000979655","7447.9217","14.285714","102678","4889","27129687500","1291889881"
"2019/06","동원산업","006040","STK","250000","256500","237000","1.919349","0.232763","-0.764781","0.394839","0.002145483","4068.0625","5.263158","50818","2675","12582886500","662257184"
"2019/07","동원산업","006040","STK","229500","244000","229500","1.665216","-0.922373","-0.737742","1.123208","0.003435487","2339.1743","0","43184","1878","10289990000","447390870"
"2019/08","동원산업","006040","STK","229000","236500","219500","2.077365","-0.656907","-0.78145","0.342858","0.004343664","1455.587","4.761905","41621","1982","9433071500","449193881"
"2019/09","동원산업","006040","STK","214500","226500","213500","0.873898","-0.71998","-0.789978","0.388903","0.001532089","8293.1913","5.263158","63687","3352","14068307000","740437211"
"2019/10","동원산업","006040","STK","214000","234500","214000","1.63938","0.71225","-0.819352","-0.478544","0.002677164","3062.5176","4.761905","50678","2413","11195790000","533132857"
"2019/11","동원산업","006040","STK","222000","225500","212500","1.17016","-0.885224","-0.839538","0.505963","0.004513399","1516.3468","9.52381","25866","1232","5715112000","272148190"
"2019/12","동원산업","006040","STK","211500","220000","202000","1.38939","0.791486","-0.864491","0.267228","0.003046196","2707.2304","5","40435","2022","8414306500","420715325"
"2020/01","동원산업","006040","STK","202000","220000","199500","1.722712","-0.260628","-0.863136","0.306363","0.002598777","2661.9726","5","56710","2836","11873675000","593683750"
"2020/02","동원산업","006040","STK","196000","204500","188000","1.811381","1.005895","-0.821828","0.297677","0.00305871","4298.2295","0","68971","3449","13729458000","686472900"
"2020/03","동원산업","006040","STK","172500","201000","125500","5.051961","1.233094","-0.872173","0.821731","0.006901349","1175.4854","4.545455","71959","3271","11162055000","507366136"
"2020/04","동원산업","006040","STK","226000","228000","181500","2.23734","0.206621","0.156194","-0.301807","0.002106185","4459.6987","0","104705","5235","20859673500","1042983675"
"2020/05","동원산업","006040","STK","226000","246500","224000","2.194586","1.000192","0.158184","0.383718","0.001497179","2529.2091","21.052632","91533","4818","21759767500","1145250921"
"2020/06","동원산업","006040","STK","200500","230000","200500","2.99083","2.824537","0.105137","0.87846","0.00288648","4070.4029","9.090909","99392","4518","21351001000","970500045"
"2020/07","동원산업","006040","STK","188000","204000","188000","1.302953","2.286202","0.113311","0.242194","0.002092031","4734.8212","8.695652","68795","2991","13518333500","587753630"
"2020/08","동원산업","006040","STK","222500","223500","186500","3.335946","-0.053951","0.077568","1.034093","0.001358468","7963.2492","0","212067","10603","44544436500","2227221825"
"2020/09","동원산업","006040","STK","209000","224000","206500","1.582895","0.685845","0.101822","0.404365","0.001232581","6439.2868","9.52381","112360","5350","24215132000","1153101524"
"2020/10","동원산업","006040","STK","201500","224500","201500","1.684638","-0.897824","0.094171","0.479316","0.001872999","2384.3081","10.526316","68693","3615","14669332000","772070105"
"2020/11","동원산업","006040","STK","217000","219500","207000","1.708596","2.260345","0.078249","0.12119","0.001132628","5023.9339","14.285714","108598","5171","23309066500","1109955548"
"2020/12","동원산업","006040","STK","222500","226500","210500","1.878015","2.96434","0.053036","0.0856","0.000767734","7513.2678","9.52381","184318","8777","40219498000","1915214190"
"2021/01","동원산업","006040","STK","241000","260000","219500","2.487932","-1.476676","0.026199","0.8331","0.001059517","5207.2185","5","227042","11352","55273365500","2763668275"
"2021/02","동원산업","006040","STK","259500","279000","239000","2.106324","2.632848","0.000178","0.29039","0.000896126","7262.841","11.111111","115881","6438","30221334500","1678963028"
"2021/03","동원산업","006040","STK","257000","274500","251500","1.697906","0.09529","0.000675","0.31617","0.001421166","5582.8357","4.545455","88725","4033","23239150000","1056325000"
"2021/04","동원산업","006040","STK","270000","272500","256500","1.247936","0.124675","-0.013421","0.721081","0.000954815","4968.6773","13.636364","83839","3811","22117976500","1005362568"
"2021/05","동원산업","006040","STK","295500","307000","271000","2.294933","1.622218","-0.022016","0.510281","0.00092143","8664.5912","10.526316","124289","6542","36597777500","1926198816"
"2021/06","동원산업","006040","STK","263000","297500","259000","1.469996","0.144475","-0.0217","0.428134","0.000557797","9234.0957","13.636364","171109","7778","47502400000","2159200000"
"2021/07","동원산업","006040","STK","243000","262000","243000","1.087947","-0.561226","-0.02287","0.976823","0.000901174","8014.0964","4.545455","99192","4509","25242690000","1147395000"
"2021/08","동원산업","006040","STK","244000","253000","227500","1.827033","0.692136","-0.026035","1.059745","0.001164993","6613.1494","0","106476","5070","25564858000","1217374190"
"2021/09","동원산업","006040","STK","230500","246000","226500","1.005296","-0.190918","0.001307","0.856657","0.000975525","7205.0643","0","63850","3361","15176068500","798740447"
"2021/10","동원산업","006040","STK","227500","234500","222500","1.187423","0.330903","-0.004705","0.650752","0.001441684","4828.0162","10.526316","60335","3176","13762991000","724367947"
