연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","한미약품","128940","STK","584000","584000","532000","2.461493","1.92595","0.275564","1.563544","0.000053552","72722.4454","5.263158","954403","50232","539189601995","28378400105"
"2018/01","한미약품","128940","STK","597000","620000","560000","2.468552","0.406419","0.260448","1.404399","0.000043113","76647.9249","0","1540408","70019","917834100000","41719731818"
"2018/02","한미약품","128940","STK","463000","569000","463000","3.487239","0.972934","0.225128","0.063806","0.000041018","94352.1266","0","2073455","115192","1068084677000","59338037611"
"2018/03","한미약품","128940","STK","511000","525000","455500","2.493287","0.433538","0.229195","1.552016","0.000067239","72997.1835","4.761905","1211491","57690","600408737500","28590892262"
"2018/04","한미약품","128940","STK","466000","559000","455500","3.147885","2.516537","0.227232","-0.553355","0.000066958","89315.755","0","1528287","72776","778050469000","37050022333"
"2018/05","한미약품","128940","STK","483000","500000","443000","2.446768","0.537777","0.227225","0.336654","0.000069568","72243.3083","0","1030825","51541","490266354500","24513317725"
"2018/06","한미약품","128940","STK","421000","479500","400000","2.683931","1.137312","0.265452","1.823947","0.000091591","79965.9165","0","937284","49331","409268477500","21540446184"
"2018/07","한미약품","128940","STK","424500","455000","406500","2.766751","3.242139","0.284637","1.316723","0.000117777","40701.6764","0","783370","35608","339413055000","15427866136"
"2018/08","한미약품","128940","STK","497500","497500","418500","2.592046","3.82327","0.276693","1.828583","0.000069575","55252.1656","4.545455","1134371","51562","514746538808","23397569946"
"2018/09","한미약품","128940","STK","500000","515000","486000","1.749595","0.352849","0.347953","-0.093975","0.000045799","69216.8791","0","971019","57119","487303754868","28664926757"
"2018/10","한미약품","128940","STK","389500","469500","379500","2.403647","-0.417693","-0.083949","1.071161","0.000095227","37092.6622","4.761905","994188","47342","426348480000","20302308571"
"2018/11","한미약품","128940","STK","442500","449500","392000","2.335592","-0.322738","-0.101474","0.634951","0.000106807","37950.8057","0","909141","41325","392369386000","17834972091"
"2018/12","한미약품","128940","STK","464000","486000","438000","2.419802","2.282704","-0.105926","0.890575","0.000077734","46462.7887","10.526316","912343","48018","422015452000","22211339579"
"2019/01","한미약품","128940","STK","434000","453500","429500","1.642116","0.625945","-0.111983","0.765019","0.0000851","49059.0055","9.090909","673854","30630","297413388000","13518790364"
"2019/02","한미약품","128940","STK","494000","494000","433500","1.871361","-0.143619","-0.111624","-0.121643","0.000072068","54271.2741","5.882353","665022","39119","314093861500","18476109500"
"2019/03","한미약품","128940","STK","456000","501000","443500","1.501945","-1.095691","-0.119596","0.373547","0.000077254","39449.0535","5","668174","33409","315601504000","15780075200"
"2019/04","한미약품","128940","STK","434500","465000","425000","1.1039","0.276942","-0.123718","0.437734","0.000063048","65297.9217","0","658015","29910","288585826000","13117537545"
"2019/05","한미약품","128940","STK","408500","441000","397000","1.501709","-0.569846","-0.115757","1.087073","0.000111705","34551.2009","4.761905","589852","28088","244372608000","11636790857"
"2019/06","한미약품","128940","STK","404000","418500","403500","1.158632","-0.51765","-0.120383","0.963434","0.00011352","35391.1092","10.526316","356518","18764","146272364500","7698545500"
"2019/07","한미약품","128940","STK","290000","418000","286500","5.853152","19.957651","-0.132737","-0.386025","0.000081817","81536.9956","4.347826","1967699","85552","607859662000","26428680957"
"2019/08","한미약품","128940","STK","280500","296500","267500","2.923523","2.783171","-0.100965","1.782918","0.000171254","47819.6189","0","893487","42547","249897071500","11899860548"
"2019/09","한미약품","128940","STK","276000","301500","275000","1.796795","2.04809","-0.113447","0.652972","0.000121223","42600.9891","5.263158","661066","34793","190192198500","10010115711"
"2019/10","한미약품","128940","STK","333500","337000","280000","2.476022","0.062165","-0.14352","0.671576","0.000144506","64904.6309","0","1023359","48731","319386636500","15208887452"
"2019/11","한미약품","128940","STK","319500","336500","312000","1.874225","0.221072","-0.133812","1.440596","0.000130644","54500.7956","0","641306","30538","209613144000","9981578286"
"2019/12","한미약품","128940","STK","296500","326000","288000","2.165823","4.134719","-0.160528","-0.121183","0.000108648","55331.9025","5","976850","48843","290675565000","14533778250"
"2020/01","한미약품","128940","STK","281000","299500","281000","1.425237","-1.136719","-0.115227","0.851408","0.000113318","37021.1975","10","710573","35529","207885541500","10394277075"
"2020/02","한미약품","128940","STK","261000","301000","261000","2.025803","1.383505","-0.08505","1.029601","0.000116706","52052.1659","5","877914","43896","247704814000","12385240700"
"2020/03","한미약품","128940","STK","261500","284000","215500","3.873968","-0.327753","-0.153683","0.803013","0.000193279","45280.313","4.545455","1296248","58920","323114673000","14687030591"
"2020/04","한미약품","128940","STK","259000","263500","245500","1.908959","5.150611","-0.386818","0.816677","0.000103907","73538.7187","0","891310","44566","229581391000","11479069550"
"2020/05","한미약품","128940","STK","237000","279000","237000","3.027201","5.070745","-0.383308","1.040178","0.000092036","78198.7876","5.263158","1499112","78901","381858217433","20097800918"
"2020/06","한미약품","128940","STK","243500","266500","240500","2.011724","2.112682","-0.368979","0.671623","0.000069212","110445.7155","4.545455","1980347","90016","509833142000","23174233727"
"2020/07","한미약품","128940","STK","263500","284500","237000","3.930771","9.591145","-0.385637","0.622143","0.000071405","78080.0433","0","3157980","137303","846765824000","36815905391"
"2020/08","한미약품","128940","STK","306500","360500","271500","7.519367","12.484326","-0.390666","1.307948","0.000058072","232236.8134","0","7480461","374023","2583433275000","129171663750"
"2020/09","한미약품","128940","STK","273500","309000","262000","1.984005","-0.019854","-0.391371","1.097624","0.000081276","58778.9596","14.285714","1342796","63943","392853226500","18707296500"
"2020/10","한미약품","128940","STK","262500","288000","262500","2.539574","0.592868","-0.362087","0.85691","0.000145837","44389.7644","5.263158","835075","43951","231803296500","12200173500"
"2020/11","한미약품","128940","STK","358500","358500","269000","2.867686","0.700988","-0.142635","-0.269844","0.000063617","141117.6895","4.761905","3106417","147925","1012684973000","48223093952"
"2020/12","한미약품","128940","STK","366500","375000","329000","3.138629","0.263071","-0.165824","1.680116","0.000043636","134836.824","4.761905","3375138","160721","1209369055500","57589002643"
"2021/01","한미약품","128940","STK","383000","418500","345500","3.987642","-0.403483","-0.186394","0.693965","0.000065441","57635.159","0","3772552","188628","1452788214000","72639410700"
"2021/02","한미약품","128940","STK","343000","379000","336000","1.723619","3.446001","-0.191627","0.507705","0.000059374","84508.0093","11.111111","1431389","79522","518687902000","28815994556"
"2021/03","한미약품","128940","STK","316500","336000","304500","2.294704","3.028335","-0.181019","0.248718","0.000084152","122441.5515","4.545455","1309261","59512","420559410000","19116336818"
