연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","오리온","271560","STK","104500","120000","104500","2.650324","-0.433686",,"1.22775","0.00022081","71967.1989","5.263158","1801515","94817","207347317930","10913016733"
"2018/01","오리온","271560","STK","117000","119000","101000","2.371043","-1.200436",,"1.287991","0.000235972","39397.034","13.636364","1770817","80492","193043815100","8774718868"
"2018/02","오리온","271560","STK","108000","125000","104500","3.232555","-0.429726",,"0.291351","0.000215317","48166.5113","11.111111","1991292","110627","225844237308","12546902073"
"2018/03","오리온","271560","STK","128000","128000","106500","2.970108","-0.168525",,"0.829165","0.000258199","61999.7726","4.761905","1520441","72402","179013653462","8524459689"
"2018/04","오리온","271560","STK","124500","135500","119000","2.903424","-0.462632",,"0.511737","0.000227202","47109.6445","4.761905","1769881","84280","224339840483","10682849547"
"2018/05","오리온","271560","STK","129500","133500","121500","3.050805","0.111512",,"1.593626","0.000205402","70515.1223","5","1886982","94349","244268624818","12213431241"
"2018/06","오리온","271560","STK","149000","155000","134500","2.708503","0.930375",,"0.9398","0.000107645","126248.1818","0","3403918","179154","500514454439","26342866023"
"2018/07","오리온","271560","STK","133500","149000","129500","2.437511","-0.51892",,"0.963764","0.00016767","96692.5624","0","2144388","97472","302168644000","13734938364"
"2018/08","오리온","271560","STK","107000","133000","105000","2.917571","5.292402",,"1.713136","0.000134124","80982.8459","18.181818","2830134","128642","321404631500","14609301432"
"2018/09","오리온","271560","STK","105500","110000","95500","3.215479","2.945214",,"0.304993","0.000133282","80937.8245","11.764706","2804398","164965","289797790361","17046928845"
"2018/10","오리온","271560","STK","95100","111000","95100","2.854744","0.605449",,"1.159624","0.00021652","111683.0184","4.761905","2204464","104974","226233475000","10773022619"
"2018/11","오리온","271560","STK","111500","116500","88600","3.343818","0.737987",,"-0.635188","0.000123951","157995.8538","0","4958736","225397","493700964708","22440952941"
"2018/12","오리온","271560","STK","120000","122000","111500","2.535713","-0.335013",,"1.008508","0.000134265","73475.0305","15.789474","2364947","124471","275816138061","14516638845"
"2019/01","오리온","271560","STK","113500","124000","110500","3.057873","0.740969",,"0.398498","0.000176513","67280.7979","4.545455","2366577","107572","277419940732","12609997306"
"2019/02","오리온","271560","STK","111500","116000","110000","2.059736","-0.434125",,"1.967878","0.000144169","68625.2074","11.764706","1645348","96785","185425996500","10907411559"
"2019/03","오리온","271560","STK","100000","110500","96400","1.648977","1.514939",,"0.654557","0.000099903","128934.6888","10","2624160","131208","267562947056","13378147353"
"2019/04","오리온","271560","STK","96900","103500","95000","1.771741","2.630954",,"0.309972","0.000093194","238721.9496","0","3175923","144360","314376115992","14289823454"
"2019/05","오리온","271560","STK","86000","102000","84300","3.064265","-0.004536",,"1.991622","0.000171901","128900.4443","4.761905","3208572","152789","293600762575","13980988694"
"2019/06","오리온","271560","STK","92500","92500","81900","1.663316","1.044313",,"1.019144","0.00011715","120026.9777","5.263158","2372272","124856","207178933250","10904154382"
"2019/07","오리온","271560","STK","80800","94400","80300","1.580674","0.868708",,"1.092834","0.000217954","66022.2056","8.695652","1686022","73305","145249557800","6315198165"
"2019/08","오리온","271560","STK","90100","90100","78500","1.931116","-1.015328",,"0.542344","0.000193899","120761.3277","9.52381","2073879","98756","174223123100","8296339195"
"2019/09","오리온","271560","STK","98400","99900","90200","1.429068","-0.87715",,"0.934765","0.000145906","107883.7007","10.526316","1526694","80352","147162313700","7745384932"
"2019/10","오리온","271560","STK","106000","106000","97700","1.60054","-0.984992",,"0.459812","0.000167073","91032.7176","0","1694522","80692","173481070594","8261003362"
"2019/11","오리온","271560","STK","103000","113000","102500","2.12148","4.610484",,"0.808259","0.000113254","68258.9364","23.809524","2164021","103049","234573570750","11170170036"
"2019/12","오리온","271560","STK","105500","108500","102500","1.968479","-0.325392",,"0.01177","0.000249875","55763.964","10","1434227","71711","151209893000","7560494650"
"2020/01","오리온","271560","STK","102500","116500","102500","2.295275","0.82099",,"1.181208","0.000177423","66459.687","5","1730170","86509","186947794000","9347389700"
"2020/02","오리온","271560","STK","94300","111000","94300","3.123096","0.038264",,"1.365961","0.000239897","51618.0166","5","1974788","98739","206623754850","10331187743"
"2020/03","오리온","271560","STK","115000","115000","94100","3.464006","0.456036",,"0.472283","0.000196042","148593.5302","0","3078282","139922","312967717791","14225805354"
"2020/04","오리온","271560","STK","124000","124500","110000","3.034055","-1.070177",,"0.621998","0.000140623","111751.9822","0","3262761","163138","384021681146","19201084057"
