연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","유한양행","000100","STK","219000","227500","210000","1.599248","-0.115135","-0.042254","0.607956","0.000141683","77771.9613","5.263158","924500","48658","200626964414","10559313917"
"2018/01","유한양행","000100","STK","233000","234000","212500","1.733397","0.159144","-0.050969","0.525229","0.00010791","79667.3554","0","1368207","62191","307009658500","13954984477"
"2018/02","유한양행","000100","STK","208000","229500","208000","1.725632","-0.25178","-0.067877","0.701825","0.000188375","28213.4365","5.555556","784787","43599","169507938000","9417107667"
"2018/03","유한양행","000100","STK","222000","222000","205500","1.864553","0.83417","-0.063841","1.024979","0.000167722","44962.1701","4.761905","804117","38291","172322305000","8205824048"
"2018/04","유한양행","000100","STK","229000","257500","223000","2.893733","2.774969","-0.059025","0.176271","0.000104068","70927.4598","0","1806626","86030","441214567000","21010217476"
"2018/05","유한양행","000100","STK","238000","244500","224000","1.561487","-0.895052","-0.09092","0.658269","0.000125839","44012.6248","5","926673","46334","217638959000","10881947950"
"2018/06","유한양행","000100","STK","217500","245500","212500","2.211566","1.781696","-0.1021","0.991518","0.000135493","64193.3567","0","823667","43351","185892361000","9783808474"
"2018/07","유한양행","000100","STK","223000","227000","211000","1.798916","-0.611551","-0.055718","1.535389","0.000265531","26719.7779","4.545455","551583","25072","121167580000","5507617273"
"2018/08","유한양행","000100","STK","239000","239000","221000","1.456273","2.044436","-0.082754","0.944406","0.000173425","29121.795","13.636364","516332","23470","117820141500","5355460977"
"2018/09","유한양행","000100","STK","242500","242500","236500","0.831975","0.962029","-0.019394","-0.009651","0.000091503","52168.0784","17.647059","499063","29357","119508081960","7029887174"
"2018/10","유한양행","000100","STK","167500","238000","167500","3.368769","7.67108","-0.955655","0.413048","0.000252048","29403.0367","9.52381","993423","47306","195558452500","9312307262"
"2018/11","유한양행","000100","STK","227500","254500","169000","6.966979","13.621622","-0.780706","0.183951","0.00005784","159206.9016","9.090909","7002065","318276","1709290820500","77695037295"
"2018/12","유한양행","000100","STK","204500","235000","204500","1.832609","3.011577","-0.781466","0.760445","0.000071798","111000.445","5.263158","1411506","74290","308196147000","16220849842"
"2019/01","유한양행","000100","STK","238000","238000","205500","2.182268","2.316105","-0.772939","0.610924","0.000087678","90246.2763","0","2256439","102565","525773138500","23898779023"
"2019/02","유한양행","000100","STK","260500","260500","235000","1.32008","0.876697","-0.777639","-0.415556","0.000063741","75157.5541","17.647059","989975","58234","245563434000","14444907882"
"2019/03","유한양행","000100","STK","240000","265500","236000","1.698148","-1.084086","-0.778915","-0.134554","0.000107338","79901.4313","0","1119229","55961","281403465500","14070173275"
"2019/04","유한양행","000100","STK","245500","252000","237000","1.409567","2.301293","-0.796149","0.78035","0.000111173","44473.0073","9.090909","786583","35754","192573942265","8753361012"
"2019/05","유한양행","000100","STK","247500","254500","229500","1.895835","-0.433919","-0.687857","1.218624","0.000134995","47122.677","0","979734","46654","236827411000","11277495762"
"2019/06","유한양행","000100","STK","244500","253000","239500","1.381164","-0.314742","-0.685778","1.013494","0.000126826","40595.9686","0","675635","35560","167112708000","8795405684"
"2019/07","유한양행","000100","STK","216500","251500","216500","1.53859","0.089809","-0.63548","0.83655","0.000106996","76696.6468","4.347826","1443432","62758","347146331000","15093318739"
"2019/08","유한양행","000100","STK","229500","229500","210000","2.020324","-0.091892","-0.583087","1.44143","0.000197448","32820.702","14.285714","787558","37503","172378288500","8208489929"
