연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","현대위아","011210","STK","61900","66200","61400","1.858632","4.466055","0.069224","0.109655","0.000137679","175447.3263","4.545455","3377443","153520","213918394900","9723563405"
"2018/02","현대위아","011210","STK","58100","62300","54400","1.538739","-1.115811","0.059712","0.458563","0.000144112","158532.198","5.555556","2851881","158438","165967506700","9220417039"
"2018/03","현대위아","011210","STK","55300","58000","52900","2.668382","-1.011096","0.075579","0.761688","0.000310175","93176.2969","0","2937373","139875","162062072900","7717241567"
"2018/04","현대위아","011210","STK","53700","57300","51800","1.759805","0.758287","0.065714","-1.160162","0.000154848","156253.4062","4.761905","3131738","149130","168019094796","8000909276"
"2018/05","현대위아","011210","STK","50500","55100","49400","1.856429","0.714695","0.115143","0.95093","0.000127179","307013.7532","0","5730569","286528","296616825600","14830841280"
"2018/06","현대위아","011210","STK","40750","50500","40750","1.418169","-0.829334","0.076754","0.718848","0.00017956","260809.1549","0","3306881","174046","152567343900","8029860205"
"2018/07","현대위아","011210","STK","47100","47100","38050","3.446674","-0.812636","0.089045","1.969482","0.000295005","156360.0909","0","4794914","217951","201873598550","9176072661"
"2018/08","현대위아","011210","STK","42650","47600","42650","2.447509","1.924806","0.096552","0.389384","0.000232198","247915.4473","4.545455","3598111","163551","164279094600","7467231573"
"2018/09","현대위아","011210","STK","42350","44800","41300","1.393732","-0.822313","0.116218","0.156169","0.000253715","135875.4177","0","1888468","111086","81428308950","4789900526"
"2018/10","현대위아","011210","STK","29600","41950","29550","3.496428","1.324898","-0.793952","1.410643","0.000357504","146794.9516","0","4249830","202373","148537678800","7073222800"
"2018/11","현대위아","011210","STK","32650","33100","30000","3.747492","0.675249","-0.739376","1.662622","0.000469043","108804.2187","0","3808689","173122","121421101100","5519140959"
"2018/12","현대위아","011210","STK","36250","37700","32450","2.573445","2.510818","-0.742093","1.518674","0.000432129","116363.2482","5.263158","2392757","125935","84699994658","4457894456"
