연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","기아","000270","STK","34650","34650","31550","1.58443","0.995416","0.21222","0.53828","0.000035998","1451045.1661","4.545455","22130010","1005910","731845722588","33265714663"
"2018/02","기아","000270","STK","34350","35250","32100","1.574231","-0.267639","0.233435","0.543906","0.000034594","1357579.5651","0","21666126","1203674","735683666013","40871314779"
"2018/03","기아","000270","STK","31000","34000","31000","1.905756","-0.047665","0.25817","0.308492","0.000037825","1420101.1155","0","24597851","1171326","794659807365","37840943208"
"2018/04","기아","000270","STK","33100","33100","31050","1.465325","-0.020361","0.246828","-0.139698","0.000031421","1416701.0695","4.761905","23726416","1129829","753207455650","35867021698"
"2018/05","기아","000270","STK","31150","33950","31150","1.19968","1.078521","0.287357","0.058367","0.000030271","2072528.4493","0","18801815","940091","622621678066","31131083903"
"2018/06","기아","000270","STK","30850","33750","30700","2.013671","2.731357","0.243676","1.009018","0.000047311","1123094.7039","0","18456227","971380","592754813860","31197621782"
"2018/07","기아","000270","STK","31700","32500","29550","1.791693","2.315254","0.263438","0.319574","0.000048815","1000326.5114","4.545455","17534882","797040","549806413939","24991200634"
"2018/08","기아","000270","STK","32050","32400","31000","1.273872","0.275506","0.249449","-0.198653","0.000052362","1329788.4239","0","13377137","608052","426503305929","19386513906"
"2018/09","기아","000270","STK","35100","35250","31600","1.431314","2.243005","0.394743","-0.37991","0.00002514","1836483.5622","5.882353","19573161","1151362","667634820273","39272636487"
"2018/10","기아","000270","STK","28400","34750","27000","2.509611","0.038731","-0.529957","0.543296","0.000045129","1526383.153","0","27693336","1318730","842339510432","40111405259"
"2018/11","기아","000270","STK","30500","30500","27500","2.639172","-0.342575","-0.505635","1.304985","0.000084726","809816.6514","0","19094252","867921","551786866760","25081221216"
