연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","LG화학","051910","STK","432000","441500","395500","2.023048","-0.106094","0.090274","1.592245","0.00002071","202845.367","0","4028636","183120","1711308881735","77786767352"
"2018/02","LG화학","051910","STK","383000","418500","364500","2.38553","-1.201338","0.055567","1.57154","0.000022997","243950.3155","0","4653427","258524","1798291085300","99905060294"
"2018/03","LG화학","051910","STK","385500","419000","375000","2.109478","1.104761","0.046455","1.524104","0.000018599","292287.5226","4.761905","3894100","185433","1552859495041","73945690240"
"2018/04","LG화학","051910","STK","360000","387500","352500","1.914714","2.493323","0.045299","1.243767","0.000017377","221963.965","9.52381","4140320","197158","1532578048261","72979907060"
"2018/05","LG화학","051910","STK","338500","354500","330500","2.34084","0.018991","0.064706","1.470199","0.000019362","282161.2139","0","5359623","267981","1839388831185","91969441559"
"2018/06","LG화학","051910","STK","333500","380500","333500","2.64462","3.390538","0.107604","1.336908","0.000015477","471120.6379","0","5907232","310907","2114744848372","111302360441"
"2018/07","LG화학","051910","STK","375000","377000","317500","2.676231","5.313888","0.145127","1.37111","0.000013982","402124.0045","9.090909","6754396","307018","2299321866250","104514630284"
"2018/08","LG화학","051910","STK","366000","391000","354500","1.969504","-0.544773","0.140915","1.281434","0.000016774","395067.5371","0","5539195","251782","2055060860275","93411857285"
"2018/09","LG화학","051910","STK","365500","370000","341000","1.635342","0.044538","0.046986","1.114759","0.000014999","324290.4711","0","3873620","227860","1383872501707","81404264806"
"2018/10","LG화학","051910","STK","347000","368500","307000","3.018115","-0.76148","-0.119596","1.169575","0.000031473","142960.6119","0","5469695","260462","1809055344578","86145492599"
"2018/11","LG화학","051910","STK","345500","358000","327500","2.006775","1.431473","-0.146987","1.492073","0.000020978","276541.8757","0","4842797","220127","1651650012576","75075000572"
"2018/12","LG화학","051910","STK","347000","365000","340000","2.323008","0.848728","-0.149096","1.644933","0.000020062","206097.4526","10.526316","3860539","203186","1359450158000","71550008316"
"2019/01","LG화학","051910","STK","368000","379000","328000","1.800667","-0.299527","-0.185011","1.287228","0.000019863","233493.368","0","4385046","199320","1572528533516","71478569705"
"2019/02","LG화학","051910","STK","390500","394500","368000","1.076275","1.274307","-0.187953","0.603106","0.000008628","468469.4974","11.764706","3635159","213833","1386613170168","81565480598"
"2019/03","LG화학","051910","STK","366000","387000","361000","1.904853","2.924126","-0.175601","1.578792","0.000017517","354411.9315","0","4036315","201816","1495765227500","74788261375"
"2019/04","LG화학","051910","STK","361000","389000","358500","1.227538","-0.562906","-0.17455","0.933619","0.000012964","350032.6674","4.545455","4281406","194609","1592098567005","72368116682"
"2019/05","LG화학","051910","STK","333000","364500","323000","1.532168","0.417456","-0.190398","1.312259","0.000017264","286518.337","4.761905","4196004","199810","1420839297384","67659014161"
"2019/06","LG화학","051910","STK","354500","354500","330500","1.368632","0.062393","-0.180203","0.710483","0.00002081","209771.5928","0","3061399","161126","1051301831942","55331675365"
"2019/07","LG화학","051910","STK","337500","361500","333000","1.646285","1.675861","-0.162327","0.779609","0.000023477","135225.2989","13.043478","3503842","152341","1211215800533","52661556545"
"2019/08","LG화학","051910","STK","330500","332500","309000","2.032656","1.229931","-0.123998","1.341856","0.000031316","201437.6002","0","2999891","142852","964319384323","45919970682"
"2019/09","LG화학","051910","STK","299500","329000","299500","1.824566","7.333649","-0.130527","1.826715","0.000016109","419848.1027","0","4188691","220457","1326572689583","69819615241"
