연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","S-Oil","010950","STK","123000","125500","110500","2.386074","1.687864","-0.017618","-0.491565","0.00003752","245867.0657","13.636364","7732153","351462","900638049000","40938093136"
"2018/02","S-Oil","010950","STK","123500","124000","113000","2.34644","1.685731","-0.002499","1.276912","0.000063061","254926.8793","5.555556","4268777","237154","511060977000","28392276500"
"2018/03","S-Oil","010950","STK","120000","126000","117000","1.490282","-1.016496","-0.004549","0.349267","0.000047084","245935.544","0","4911890","233900","591692069000","28175812810"
"2018/04","S-Oil","010950","STK","110000","121000","109500","1.427665","2.40541","-0.005346","0.449019","0.000047297","255003.1968","0","4522577","215361","519517337000","24738920810"
"2018/05","S-Oil","010950","STK","107500","112500","106000","1.444116","1.820542","-0.003281","1.068187","0.000028085","184050.2952","40","5291789","264589","572704998414","28635249921"
"2018/06","S-Oil","010950","STK","109500","115000","108000","1.773393","-0.75474","0.107222","0.549877","0.000041301","292283.0591","0","6104667","321298","681872804000","35888042316"
"2018/07","S-Oil","010950","STK","117500","117500","102000","2.568758","1.615252","0.117026","1.982901","0.000056131","186239.6693","13.636364","5982929","271951","661780604250","30080936557"
"2018/08","S-Oil","010950","STK","119500","125500","114000","1.584647","-0.279136","0.114471","0.307606","0.000050238","197317.8083","4.545455","5032675","228758","604587588500","27481254023"
"2018/09","S-Oil","010950","STK","137000","137000","119000","1.948762","-0.695065","0.124003","0.643295","0.000049085","237480.0609","0","4833238","284308","614557877292","36150463370"
"2018/10","S-Oil","010950","STK","124000","137500","119500","2.683318","-0.053812","-0.261663","0.949108","0.00005006","248295.9656","4.761905","6637329","316063","852118495500","40577071214"
"2018/11","S-Oil","010950","STK","110500","120500","105000","2.447886","-0.399121","-0.302642","0.472036","0.000057406","206787.5081","0","6541568","297344","731828880688","33264949122"
"2018/12","S-Oil","010950","STK","97700","115000","97700","1.984565","0.829752","-0.291883","0.886495","0.000056317","251266.841","0","5355259","281856","568529835800","29922622937"
"2019/01","S-Oil","010950","STK","104500","104500","91000","2.248545","3.387729","-0.304359","1.282552","0.000044507","413728.2999","0","7242761","329216","704474201192","32021554600"
"2019/02","S-Oil","010950","STK","100000","109000","99700","1.874427","-0.904174","-0.296233","0.786501","0.000045282","184541.6242","17.647059","5861081","344769","606571894693","35680699688"
"2019/03","S-Oil","010950","STK","89600","105000","89600","2.12531","0.594487","-0.285363","1.567674","0.00003969","438445.9072","0","8335773","416789","796801365600","39840068280"
"2019/04","S-Oil","010950","STK","92200","96600","90300","1.721391","1.526851","-0.296571","0.594828","0.000037369","566649.5778","0","7611499","345977","715113955220","32505179783"
"2019/05","S-Oil","010950","STK","83500","91800","81000","1.529724","1.19454","-0.338546","0.996259","0.000054837","399512.6045","4.761905","5905368","281208","499120968427","23767665163"
"2019/06","S-Oil","010950","STK","83700","85000","80300","1.409961","2.500955","-0.334212","0.828756","0.000050249","403358.3171","5.263158","4235453","222919","350699369512","18457861553"
"2019/07","S-Oil","010950","STK","94100","94800","84300","1.768157","-0.822892","-0.252427","1.176101","0.00005328","298555.766","4.347826","7506166","326355","682346738400","29667249496"
"2019/08","S-Oil","010950","STK","96700","96700","85100","2.292429","1.919454","-0.225007","1.526246","0.000054243","390295.6053","4.761905","6096644","290316","549993560400","26190169543"
"2019/09","S-Oil","010950","STK","99400","103000","96100","1.15951","-0.209197","-0.249515","0.735244","0.000036548","326467.9414","10.526316","4696909","247206","468378517700","24651500932"
"2019/10","S-Oil","010950","STK","99700","106000","97800","1.696848","1.378966","-0.251566","0.492328","0.000056128","277407.4088","4.761905","4657705","221795","471691409350","22461495683"
"2019/11","S-Oil","010950","STK","89200","101500","89200","1.389931","-0.437849","-0.22193","0.790498","0.000050876","259946.529","4.761905","5557616","264648","527484456897","25118307471"
"2019/12","S-Oil","010950","STK","95300","97800","88100","1.284044","-0.191546","-0.265834","0.729169","0.000048425","482603.39","0","4742682","237134","439984269930","21999213497"
"2020/01","S-Oil","010950","STK","76200","93500","75800","1.791561","0.846721","-0.351492","0.735821","0.000046114","642224.2002","0","7297418","364871","615102123679","30755106184"
"2020/02","S-Oil","010950","STK","66600","79200","66600","2.053364","-0.669311","-0.354836","0.803007","0.000067119","520571.4227","5","7433329","371666","554107867600","27705393380"
"2020/03","S-Oil","010950","STK","57100","68100","48500","5.896274","0.778341","-0.477371","1.115239","0.000096836","482093.682","0","15980361","726380","923028613150","41955846052"
"2020/04","S-Oil","010950","STK","70000","71800","55000","5.546099","6.570192","0.057818","1.726828","0.000042829","541390.2915","0","24034425","1201721","1612475716600","80623785830"
"2020/05","S-Oil","010950","STK","70700","72500","64100","2.999818","2.229536","0.057651","1.952446","0.000040455","934067.584","0","13332724","701722","930369619500","48966822079"
"2020/06","S-Oil","010950","STK","63500","76800","62600","2.242876","-0.389507","0.023304","0.980099","0.000047421","550407.9285","0","11959982","543636","847595450500","38527065932"
"2020/07","S-Oil","010950","STK","61000","64000","61000","1.302583","0.234752","-0.014968","0.886532","0.00004927","340096.9227","17.391304","7713178","335356","484614914400","21070213670"
"2020/08","S-Oil","010950","STK","56500","64300","56500","2.062145","0.359927","-0.040436","1.075971","0.000052306","405603.9029","10","10359030","517952","634984057300","31749202865"
"2020/09","S-Oil","010950","STK","51600","57400","50300","1.249188","0.953867","-0.013386","0.897874","0.000054483","653620.209","0","7269718","346177","396500281100","18880965767"
"2020/10","S-Oil","010950","STK","54300","58300","53500","2.131449","0.007318","-0.002758","1.707013","0.000086801","409211.443","0","6051932","318523","341577473700","17977761774"
"2020/11","S-Oil","010950","STK","69600","71400","55000","3.838761","7.197623","0.156354","0.915294","0.000050506","914052.5871","0","17449117","830910","1155857835500","55040849310"
"2020/12","S-Oil","010950","STK","69200","73300","67700","1.421387","-0.871809","0.151483","0.78816","0.000042812","611488.0443","0","8534212","406391","601500148000","28642864190"
"2021/01","S-Oil","010950","STK","68200","78300","68200","2.385558","-0.74818","0.136431","0.63656","0.000035181","685317.8291","0","15978323","798916","1184513300000","59225665000"
"2021/02","S-Oil","010950","STK","85000","90200","69200","3.873078","0.356427","0.081372","1.187236","0.000039953","564121.2828","0","19291500","1071750","1603929923000","89107217944"
"2021/03","S-Oil","010950","STK","81200","88100","78700","1.896276","-0.150213","0.122072","0.864674","0.000041099","831714.1701","0","11215364","509789","943259823000","42875446500"
