¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2018/01","SKÄÉ¹ÌÄ®","285130","STK","115000","122000","101000","4.516491","5.594428",,"-1.171112","0.000091432","128233.7354","10.526316","5633102","296479","625361547800","32913765674"
"2018/02","SKÄÉ¹ÌÄ®","285130","STK","109000","113500","99200","2.735201","-0.351119",,"1.227408","0.000153474","73747.0062","11.111111","2661993","147889","286135948200","15896441567"
"2018/03","SKÄÉ¹ÌÄ®","285130","STK","105000","113000","102000","1.864013","0.746172",,"1.209457","0.000186712","55733.1722","14.285714","1465034","69764","157660260000","7507631429"
"2018/04","SKÄÉ¹ÌÄ®","285130","STK","101500","107000","101500","1.528502","0.874479",,"-0.447531","0.000162405","55898.2442","19.047619","1368520","65168","142340712000","6778129143"
"2018/05","SKÄÉ¹ÌÄ®","285130","STK","88900","102500","84500","1.826319","1.269927",,"0.234092","0.000171926","118435.5782","0","1903804","95190","175787923700","8789396185"
"2018/06","SKÄÉ¹ÌÄ®","285130","STK","92900","96300","85700","2.327644","1.372844",,"0.614236","0.000269423","178468.0574","0","1471825","77464","134680905200","7088468695"
"2018/07","SKÄÉ¹ÌÄ®","285130","STK","89700","95100","87100","1.555426","1.000366",,"0.857151","0.000309996","46556.3288","9.090909","895623","40710","82358203500","3743554705"
"2018/08","SKÄÉ¹ÌÄ®","285130","STK","86600","90100","79800","1.55537","-0.334743",,"1.120254","0.000344408","48180.6431","0","1039022","47228","87417032700","3973501486"
"2018/09","SKÄÉ¹ÌÄ®","285130","STK","85200","90700","82500","1.321876","-0.832771",,"0.343414","0.000257989","80716.9896","5.882353","772658","45450","66995737200","3940925718"
"2018/10","SKÄÉ¹ÌÄ®","285130","STK","60400","85000","58000","2.634387","1.909716",,"0.879322","0.000572395","40870.6489","0","1160838","55278","80880831800","3851468181"
"2018/11","SKÄÉ¹ÌÄ®","285130","STK","77700","79800","60800","2.860319","1.080342",,"1.198075","0.000504374","42197.6457","0","1172161","53280","84393841200","3836083691"
"2018/12","SKÄÉ¹ÌÄ®","285130","STK","70000","78400","69800","1.979622","1.683439",,"1.53688","0.000669239","32543.3829","0","650228","34223","47529467800","2501550937"
"2019/01","SKÄÉ¹ÌÄ®","285130","STK","68500","69700","63700","1.516983","0.523701",,"-0.206481","0.000469266","58543.7438","0","844088","38368","56300346900","2559106677"
"2019/02","SKÄÉ¹ÌÄ®","285130","STK","73700","75100","66800","1.805965","5.003841",,"-0.592079","0.00037412","69231.9622","0","818642","48155","59227264500","3483956735"
"2019/03","SKÄÉ¹ÌÄ®","285130","STK","69300","77300","67500","2.073269","0.899919",,"-0.04876","0.000721162","37835.9552","5","633419","31671","45531750300","2276587515"
"2019/04","SKÄÉ¹ÌÄ®","285130","STK","67700","72800","66000","1.761706","-1.142469",,"1.5488","0.000790373","23674.282","9.090909","600090","27277","41934585400","1906117518"
"2019/05","SKÄÉ¹ÌÄ®","285130","STK","56900","67500","56400","1.404893","-0.128062",,"0.700875","0.000759154","35567.6692","0","596370","28399","36453588100","1735885148"
"2019/06","SKÄÉ¹ÌÄ®","285130","STK","57500","59400","56300","1.465639","-1.013121",,"0.798981","0.000894258","44009.3697","0","475950","25050","27434822700","1443938037"
"2019/07","SKÄÉ¹ÌÄ®","285130","STK","44500","58300","44500","1.671632","-0.972526",,"1.318605","0.00078455","38807.5175","4.347826","930775","40468","47385819900","2060253039"
"2019/08","SKÄÉ¹ÌÄ®","285130","STK","43550","44200","40200","1.93379","-0.153041",,"1.050876","0.000799715","71329.6205","0","955639","45507","40906563150","1947931579"
"2019/09","SKÄÉ¹ÌÄ®","285130","STK","45300","48300","43500","2.004217","1.596278",,"1.302862","0.001009756","55998.1934","0","577897","30416","26618828700","1400990984"
"2019/10","SKÄÉ¹ÌÄ®","285130","STK","47200","48200","44250","1.55528","0.441518",,"1.28362","0.001115619","37110.3955","4.761905","468402","22305","21868125650","1041339317"
"2019/11","SKÄÉ¹ÌÄ®","285130","STK","70200","77200","47600","7.192919","11.971846",,"2.963925","0.000492395","116919.0045","0","10769005","512810","788530443700","37549068748"
"2019/12","SKÄÉ¹ÌÄ®","285130","STK","64000","66800","60500","1.817665","0.754027",,"0.159788","0.000064574","479108.7081","0","7928048","396402","511981771500","25599088575"
"2020/01","SKÄÉ¹ÌÄ®","285130","STK","57900","69000","57900","2.779435","0.205612",,"1.112261","0.000125544","283477.9522","0","5440047","272002","360679513100","18033975655"
"2020/02","SKÄÉ¹ÌÄ®","285130","STK","57500","70700","57500","3.705672","4.342196",,"1.536823","0.000201267","151166.4304","5","5048536","252427","335993624200","16799681210"
"2020/03","SKÄÉ¹ÌÄ®","285130","STK","84600","87300","52500","6.543138","-0.262141",,"0.493236","0.000208048","163177.898","4.545455","15720480","714567","1119162830400","50871037745"
"2020/04","SKÄÉ¹ÌÄ®","285130","STK","77700","83900","77300","1.773545","-0.074175",,"0.213522","0.000047902","618927.4472","0","10507693","525385","857984457200","42899222860"
"2020/05","SKÄÉ¹ÌÄ®","285130","STK","91900","103000","75500","5.097609","6.855363",,"-1.099429","0.000060871","365877.32","0","18472492","972236","1777819063800","93569424411"
"2020/06","SKÄÉ¹ÌÄ®","285130","STK","128500","134500","91100","5.414223","8.009743",,"-0.750723","0.000032631","488768.3935","4.545455","22563031","1025592","2513920615000","114269118864"
"2020/07","SKÄÉ¹ÌÄ®","285130","STK","269000","310000","122500","8.664088","2.829252",,"-3.073178","0.000027645","478877.8184","4.347826","38130320","1657840","8343415807000","362757209000"
"2020/08","SKÄÉ¹ÌÄ®","285130","STK","393500","436000","269500","6.384385","1.623765",,"2.254167","0.000013981","782888.0562","0","14523866","726193","5490028147000","274501407350"
"2020/09","SKÄÉ¹ÌÄ®","285130","STK","296500","415500","275000","5.644369","0.579698",,"2.635233","0.000021132","459330.7616","0","12796878","609375","4352773589000","207274932810"
"2020/10","SKÄÉ¹ÌÄ®","285130","STK","346000","363000","299000","4.196798","0.372582",,"1.117348","0.000023125","208839.2627","5.263158","7538185","396747","2550390489000","134231078368"
"2020/11","SKÄÉ¹ÌÄ®","285130","STK","426000","456000","347500","4.50983","1.8112",,"0.170336","0.000010759","392305.7673","4.761905","14488779","689942","6039996388000","287618875619"
"2020/12","SKÄÉ¹ÌÄ®","285130","STK","392500","411000","372500","2.616467","0.820033",,"0.137624","0.000017523","246897.5991","0","6224074","296384","2432134290000","115815918571"
"2021/01","SKÄÉ¹ÌÄ®","285130","STK","421000","439500","349500","3.481603","0.333653",,"-0.092972","0.000016513","318696.2694","0","7785666","389283","3132013633000","156600681650"
"2021/02","SKÄÉ¹ÌÄ®","285130","STK","377000","462500","361500","3.194799","-0.11501",,"0.433284","0.00002069","332871.3569","0","5938362","329909","2424564801500","134698044528"
"2021/03","SKÄÉ¹ÌÄ®","285130","STK","250500","365500","250500","4.265573","2.835848",,"1.710735","0.000036385","306107.5028","0","7619646","346348","2268094474000","103095203364"
"2021/04","SKÄÉ¹ÌÄ®","285130","STK","266500","287000","250000","2.258028","1.65254",,"1.04565","0.000035868","197703.3783","4.545455","3313593","150618","894662494000","40666477000"
"2021/05","SKÄÉ¹ÌÄ®","285130","STK","253500","273500","243000","2.773606","1.709031",,"2.269496","0.000061666","79908.6338","15.789474","1913376","100704","488737922500","25723048553"
"2021/06","SKÄÉ¹ÌÄ®","285130","STK","260000","274500","253000","1.785665","2.287347",,"-0.23368","0.000058679","84969.9468","0","1791703","81441","471562979000","21434680864"
"2021/07","SKÄÉ¹ÌÄ®","285130","STK","237000","259500","237000","1.180203","3.174878",,"0.9209","0.00006624","69901.2903","9.090909","1139249","51784","285969569000","12998616773"
"2021/08","SKÄÉ¹ÌÄ®","285130","STK","270000","303500","251500","4.649829","2.987534",,"-0.061501","0.00003793","231040.5359","0","11405709","543129","3335272508000","158822500381"
"2021/09","SKÄÉ¹ÌÄ®","285130","STK","284000","329500","267000","4.502283","1.314363",,"-1.555607","0.000039343","167152.6532","0","5533847","291255","1625449831500","85549991132"
"2021/10","SKÄÉ¹ÌÄ®","285130","STK","180000","336500","180000","4.170799","0.405525",,"0.881589","0.000041809","181665.1438","0","5973841","314413","1673079305800","88056805568"
"2021/11","SKÄÉ¹ÌÄ®","285130","STK","139000","181500","139000","2.518809","-0.513291",,"1.315183","0.000078375","92006.3833","9.090909","3922657","178303","611051415500","27775064341"
"2021/12","SKÄÉ¹ÌÄ®","285130","STK","149000","161000","141500","2.491893","5.773471",,"0.972573","0.000083502","120767.0382","4.545455","3081166","140053","467836172900","21265280586"
"2022/01","SKÄÉ¹ÌÄ®","285130","STK","125500","152500","121000","3.382295","0.930836",,"2.280196","0.000192675","48929.0989","5","1934417","96721","269458304500","13472915225"
"2022/02","SKÄÉ¹ÌÄ®","285130","STK","125000","133000","118000","3.19609","-0.238498",,"2.213807","0.000276729","43671.1654","0","1291955","71775","163225007000","9068055944"
"2022/03","SKÄÉ¹ÌÄ®","285130","STK","136000","136000","112500","2.183401","-0.737683",,"1.704548","0.000220064","43361.691","4.761905","1496585","71266","184186670000","8770793810"
"2022/04","SKÄÉ¹ÌÄ®","285130","STK","127500","137000","122000","1.653962","-0.437037",,"1.302909","0.000187429","42037.788","14.285714","1189382","56637","155220823093","7391467766"
"2022/05","SKÄÉ¹ÌÄ®","285130","STK","129000","129500","117000","2.342556","-0.531357",,"1.313848","0.000269955","46305.0464","4.761905","1188305","56586","148120157500","7053340833"
"2022/06","SKÄÉ¹ÌÄ®","285130","STK","92100","125000","88200","2.8065","1.125806",,"1.519646","0.000350227","36673.8039","0","1500669","75033","153823099800","7691154990"
"2022/07","SKÄÉ¹ÌÄ®","285130","STK","105000","105500","89700","2.545198","6.664182",,"1.234799","0.000215855","54521.7318","4.761905","1482664","70603","151221049565","7201002360"
"2022/08","SKÄÉ¹ÌÄ®","285130","STK","97800","107000","95700","2.075761","0.055168",,"1.553655","0.000287263","43065.8621","9.090909","1174539","53388","120029273200","5455876055"
"2022/09","SKÄÉ¹ÌÄ®","285130","STK","91000","106000","91000","3.323027","6.731761",,"0.671096","0.000204372","54350.2903","25","2020869","101043","207917755700","10395887785"
"2022/10","SKÄÉ¹ÌÄ®","285130","STK","88400","92300","78700","3.338574","1.622196",,"1.574709","0.00034402","66893.9893","0","1378294","72542","118880619900","6256874732"
"2022/11","SKÄÉ¹ÌÄ®","285130","STK","88800","107500","87000","3.813598","0.629044",,"0.290528","0.000294795","76813.0104","4.545455","3147140","143052","291662175600","13257371618"
"2022/12","SKÄÉ¹ÌÄ®","285130","STK","82500","88500","82500","1.171775","0.003092",,"0.587392","0.000142278","112920.3059","16.666667","1211990","100999","104040689300","8670057442"
