연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
2017/12,아모레퍼시픽,90430,STK,304500,337000,298000,2.593497,3.965971,0.277607,1.950083,3.094e-05,193715.5841,5.263158,3489833,183675,1110873479200.0,58467025221.0
2018/01,아모레퍼시픽,90430,STK,299500,313000,298000,1.728913,0.294272,0.225307,0.65822,2.4599e-05,205603.1993,9.090909,3651358,165971,1116933915290.0,50769723422.0
2018/02,아모레퍼시픽,90430,STK,281500,302000,271500,2.686266,2.130201,0.213418,1.155694,4.0254e-05,236161.6986,0.0,3049423,169412,879676844750.0,48870935819.0
2018/03,아모레퍼시픽,90430,STK,317000,317000,275500,1.97441,-0.990672,0.188673,1.176297,3.0881e-05,209588.8262,4.761905,3895948,185521,1162267030862.0,55346049089.0
2018/04,아모레퍼시픽,90430,STK,349000,349000,323500,2.337191,-0.717051,0.172946,1.233042,3.2318e-05,166197.9078,0.0,3784923,180234,1277993131908.0,60856815805.0
2018/05,아모레퍼시픽,90430,STK,332500,351500,322000,1.846876,-0.253276,0.184713,-0.137333,3.0768e-05,191726.4408,0.0,2920869,146043,985624012420.0,49281200621.0
2018/06,아모레퍼시픽,90430,STK,322500,340000,301000,2.09228,-0.402366,0.193112,0.757909,3.4016e-05,103968.2911,5.263158,3068431,161496,975328971122.0,51333103743.0
2018/07,아모레퍼시픽,90430,STK,267500,314500,264000,1.618281,-0.549126,0.20899,0.359179,2.6905e-05,181123.9569,9.090909,3855870,175267,1089972720378.0,49544214563.0
2018/08,아모레퍼시픽,90430,STK,263000,277000,255000,2.150177,0.616759,0.202342,1.838337,4.3879e-05,102385.329,4.545455,3108308,141287,827278484000.0,37603567455.0
2018/09,아모레퍼시픽,90430,STK,261000,268500,249000,1.655338,0.029155,0.391027,0.815711,2.9768e-05,178637.7215,5.882353,2661079,156534,686488662537.0,40381686032.0
2018/10,아모레퍼시픽,90430,STK,153000,269500,153000,4.688091,1.468586,-0.931411,1.977757,4.8909e-05,198470.4699,4.761905,7499232,357106,1483462055430.0,70641050259.0
2018/11,아모레퍼시픽,90430,STK,172500,175000,150000,3.608772,-0.865699,-0.922246,1.639468,3.733e-05,246312.7325,9.090909,11333020,515137,1818016548000.0,82637115818.0
2018/12,아모레퍼시픽,90430,STK,209500,209500,161000,3.310879,-0.077164,-0.917502,2.192334,4.1004e-05,207984.3531,10.526316,6410278,337383,1198127284500.0,63059330763.0
2019/01,아모레퍼시픽,90430,STK,181500,194500,172500,2.512305,1.5388,-0.930774,0.642807,3.3156e-05,244218.3767,4.545455,6247886,283995,1142821150500.0,51946415932.0
2019/02,아모레퍼시픽,90430,STK,200000,206000,170000,2.886749,2.877083,-0.952693,1.578149,3.294e-05,227681.4758,11.764706,4954870,291463,932726517788.0,54866265752.0
2019/03,아모레퍼시픽,90430,STK,188500,204000,182500,2.523558,-0.351497,-0.931619,0.953505,5.4359e-05,122567.2861,5.0,4156525,207826,801430987500.0,40071549375.0
2019/04,아모레퍼시픽,90430,STK,208000,235500,192500,3.197364,0.323894,-0.947192,1.381836,4.3761e-05,140521.5697,9.090909,5847433,265792,1279487991824.0,58158545083.0
2019/05,아모레퍼시픽,90430,STK,179000,216500,176000,1.904894,-1.028557,-0.881045,1.052975,4.659e-05,128596.6311,9.52381,3840306,182872,746370669000.0,35541460429.0
2019/06,아모레퍼시픽,90430,STK,164500,180000,163500,1.293032,-0.063554,-0.862761,0.753735,3.4558e-05,284041.6941,0.0,3324743,174986,571334638500.0,30070244132.0
2019/07,아모레퍼시픽,90430,STK,140000,169000,140000,2.480639,0.452087,-0.818346,1.944074,5.2245e-05,154969.5742,8.695652,5119223,222575,807822764000.0,35122728870.0
2019/08,아모레퍼시픽,90430,STK,130000,133500,120500,2.486912,0.081742,-0.807815,1.525701,5.3826e-05,156687.2385,19.047619,6176789,294133,782705733250.0,37271701583.0
