연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
2017/12,카카오,35720,STK,137000,144000,126000,3.306919,5.645668,,1.13659,1.9944e-05,498654.2518,5.263158,13205484,695025,1801605571175,94821345851
2018/01,카카오,35720,STK,140000,159500,134000,3.129502,0.170954,,1.083137,1.1566e-05,615802.2986,13.636364,28583282,1299240,4110414181127,186837008233
2018/02,카카오,35720,STK,128000,143500,118000,3.10511,1.177823,,1.596112,1.6911e-05,442104.6829,16.666667,17713585,984088,2277611749502,126533986083
2018/03,카카오,35720,STK,132000,141500,123000,2.847445,1.545109,,2.073523,2.1817e-05,651279.7142,4.761905,14440182,687628,1938703853822,92319231134
2018/04,카카오,35720,STK,111000,129000,111000,1.795757,0.396678,,0.638471,2.5866e-05,478630.5245,0.0,10477675,498937,1246807565696,59371788843
2018/05,카카오,35720,STK,103500,117000,103500,2.014359,-0.120545,,0.531284,2.6838e-05,276950.121,20.0,8599510,429976,966121454500,48306072725
2018/06,카카오,35720,STK,114500,114500,104500,2.218535,1.497181,,1.624642,3.9285e-05,199789.3155,15.789474,6608675,347825,730739795500,38459989237
2018/07,카카오,35720,STK,112500,119500,111500,1.722612,-0.706061,,0.740889,3.2275e-05,374212.5663,0.0,8288415,376746,961710920500,43714132750
2018/08,카카오,35720,STK,125000,128000,111000,2.260914,0.691872,,1.044726,2.6588e-05,396072.377,13.636364,11916271,541649,1472906773500,66950307886
2018/09,카카오,35720,STK,119000,122000,116500,1.572216,-0.072895,,0.697751,2.9866e-05,334853.6239,5.882353,6019921,354113,721202515788,42423677399
2018/10,카카오,35720,STK,91600,119500,87600,2.4437,-0.924129,,1.498783,4.9641e-05,210495.0318,9.52381,9264648,441174,934746560900,44511740995
2018/11,카카오,35720,STK,112500,112500,93100,2.120473,0.115082,,1.383118,5.2119e-05,230887.6173,9.090909,6362718,289214,658273081683,29921503713
2018/12,카카오,35720,STK,103000,116000,98500,2.251002,-0.972292,,1.147448,5.4856e-05,204478.3709,5.263158,6189345,325755,668442772300,35181198542
2019/01,카카오,35720,STK,99300,103500,98500,1.402366,0.778591,,0.534011,3.204e-05,614497.0534,4.545455,7256378,329835,733601555700,33345525259
2019/02,카카오,35720,STK,103500,105000,95600,1.887831,1.9971,,0.537551,2.5619e-05,586148.2196,0.0,9030135,531184,903804665300,53164980312
2019/03,카카오,35720,STK,103500,108500,102000,2.127256,0.690028,,0.194219,4.2473e-05,260291.195,10.0,7270819,363541,766774681000,38338734050
2019/04,카카오,35720,STK,120000,120000,100500,2.410312,3.577808,,0.945888,2.5123e-05,306711.7168,22.727273,9623287,437422,1078242948000,49011043091
2019/05,카카오,35720,STK,124500,134000,121500,2.426923,2.27658,,0.841869,1.6063e-05,590659.6725,9.52381,20384782,970704,2595472215500,123593915024
2019/06,카카오,35720,STK,131500,131500,119500,1.867463,-0.310837,,0.364899,2.3189e-05,407032.7066,10.526316,8892016,468001,1113593620000,58610190526
2019/07,카카오,35720,STK,127000,136000,126000,1.718153,0.411213,,0.982909,2.0877e-05,344003.9262,17.391304,10965107,476744,1443184042767,62747132294
2019/08,카카오,35720,STK,134500,134500,122000,1.718388,3.02674,,0.890142,2.0824e-05,490611.2072,4.761905,9204163,438293,1190912454500,56710116881
2019/09,카카오,35720,STK,135500,138500,132000,1.649996,0.09744,,0.245638,2.2494e-05,288923.9667,15.789474,7389378,388915,999565542500,52608712763
2019/10,카카오,35720,STK,141500,141500,130500,1.347649,-0.76229,,0.137127,2.2869e-05,404961.9117,9.52381,8652167,412008,1180999477823,56238070373
2019/11,카카오,35720,STK,155500,157500,145500,1.08632,0.00259,,0.716384,1.2942e-05,455996.7676,19.047619,10187548,485121,1553673564000,73984455429
2019/12,카카오,35720,STK,153500,157000,146500,1.603006,2.538893,,0.81748,1.7625e-05,493219.2829,10.0,8044560,402228,1212762852374,60638142619
2020/01,카카오,35720,STK,159000,171500,152500,1.518127,0.03794,,0.849327,1.5649e-05,459178.7772,15.0,9028290,451415,1471035114000,73551755700
2020/02,카카오,35720,STK,172000,190500,159500,2.120367,0.265736,,0.893704,1.3634e-05,681140.3183,0.0,13365503,668275,2377978469040,118898923452
2020/03,카카오,35720,STK,155500,179500,134000,4.302513,1.811281,,0.876863,1.7709e-05,388571.2279,18.181818,23847162,1083962,3695451802063,167975081912
2020/04,카카오,35720,STK,184000,185500,150500,2.15809,-0.35284,,0.765243,1.2585e-05,906216.07,5.0,16596491,829825,2809305331000,140465266550
2020/05,카카오,35720,STK,263500,270000,186500,3.008242,0.092328,,0.127668,6.522e-06,1124859.2514,5.263158,33007591,1737242,7700459093000,405287320684
2020/06,카카오,35720,STK,267500,282500,249500,2.379393,-0.040652,,0.493157,5.083e-06,1240891.475,18.181818,27742274,1261012,7331738840450,333260856384
2020/07,카카오,35720,STK,343500,355500,269500,3.157045,0.324566,,0.508631,5.538e-06,833227.1513,4.347826,30988565,1347329,10062451246495,437497880282
2020/08,카카오,35720,STK,407000,410500,352500,2.47992,0.281231,,-0.101521,3.493e-06,1645960.1304,0.0,28111604,1405580,10565300835124,528265041756
2020/09,카카오,35720,STK,364500,412000,351500,2.201555,0.786629,,1.053596,6.368e-06,794906.9941,0.0,16674784,794037,6357662332375,302745825351
2020/10,카카오,35720,STK,330000,381500,329500,1.931342,0.292134,,1.277934,8.316e-06,879836.5793,0.0,10080252,530540,3578050507496,188318447763
2020/11,카카오,35720,STK,368000,374000,334500,2.045,4.687993,,0.4175,5.176e-06,779514.9607,14.285714,13366537,636502,4843322745770,230634416465
2020/12,카카오,35720,STK,389500,389500,367000,1.680836,0.58272,,0.748825,4.647e-06,1013523.7514,0.0,13553300,645395,5126919593500,244139028262
2021/01,카카오,35720,STK,441000,473500,393000,2.739873,1.16065,,1.112088,4.833e-06,702603.5051,0.0,21725707,1086285,9549619973421,477480998671
2021/02,카카오,35720,STK,488000,514000,441500,2.268048,0.835168,,0.713698,4.602e-06,1227517.4985,0.0,14329717,796095,6873478791000,381859932833
2021/03,카카오,35720,STK,498000,498000,441000,2.068072,-0.062262,,1.254681,5.611e-06,506870.9549,4.545455,12100222,550010,5799245183058,263602053775
2021/04,카카오,35720,STK,113500,558000,113500,2.69712,4.057504,,1.117705,2.482e-06,2165555.9855,22.727273,70891068,3731109,10635010452700,559737392247
2021/05,카카오,35720,STK,123000,125000,109000,1.839899,0.5235,,0.559435,4.8e-06,2631230.3177,0.0,50727432,2669865,5899031011960,310475316419
2021/06,카카오,35720,STK,163000,169500,124000,2.94576,2.561725,,0.119678,3.319e-06,2933662.7798,9.090909,124338901,5651768,18660489580960,848204071862
2021/07,카카오,35720,STK,147000,163000,145000,1.560858,0.907688,,0.756212,1.913e-06,4095881.3362,4.545455,91142714,4142851,14082203663602,640100166527
2021/08,카카오,35720,STK,155000,155000,142000,1.883452,-0.989336,,1.072924,4.037e-06,2356754.304,0.0,54240960,2582903,7983404094440,380162099735
