연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
2017/12,강원랜드,35250,STK,34800,38100,34300,1.707818,-0.420221,0.010144,0.347899,0.000107746,607747.5131,5.263158,7304522,384449,265114200993,13953379000
2018/01,강원랜드,35250,STK,32450,33400,31200,2.1203,7.514263,0.00832,0.42205,8.561e-05,715030.8161,4.545455,10994256,499739,351190659750,15963211807
2018/02,강원랜드,35250,STK,28850,33400,28850,1.696678,1.607562,-0.036667,0.806619,9.587e-05,574814.1518,5.555556,8274350,459686,250713234075,13928513004
2018/03,강원랜드,35250,STK,28200,29200,27250,1.517689,1.102755,-0.036509,0.772236,9.257e-05,716764.3646,0.0,8496924,404615,240074095850,11432099802
2018/04,강원랜드,35250,STK,28900,29550,26100,1.693997,0.387548,-0.040238,-0.68476,5.8676e-05,825758.1663,4.761905,17667668,841318,493292331768,23490111037
2018/05,강원랜드,35250,STK,26850,29250,26800,0.972392,0.007859,0.00722,-0.20011,7.1843e-05,793876.8446,15.0,8465414,423271,237512504600,11875625230
2018/06,강원랜드,35250,STK,26150,28950,25950,1.680943,0.459362,0.079252,0.462235,8.9385e-05,738197.3657,5.263158,9669184,508904,268075744690,14109249721
2018/07,강원랜드,35250,STK,26000,27000,25400,0.96436,0.698733,0.076805,0.240405,0.00010267,657740.7034,4.545455,6382219,290101,167094641625,7595210983
2018/08,강원랜드,35250,STK,28950,29750,25800,2.245198,4.655714,0.038265,-0.299057,9.5617e-05,549689.8808,9.090909,11328947,514952,322170497250,14644113511
2018/09,강원랜드,35250,STK,28700,28700,27000,1.378446,1.398276,-0.023939,0.896579,8.423e-05,743775.1195,11.764706,7042235,414249,196600009048,11564706415
2018/10,강원랜드,35250,STK,28700,30150,27450,1.831327,-0.965586,0.012432,0.456225,0.00012924,414467.7627,0.0,9026683,429842,258511643095,12310078243
2018/11,강원랜드,35250,STK,32250,32350,28000,1.856568,4.763505,0.065654,0.35579,6.4932e-05,803610.4636,13.636364,12344920,561133,372015154386,16909779745
2018/12,강원랜드,35250,STK,32000,34250,31850,1.766294,2.529388,0.064333,0.164096,8.1372e-05,719804.2008,0.0,8571217,451117,281419252600,14811539611
2019/01,강원랜드,35250,STK,34000,34000,30900,1.754096,0.162914,0.077046,0.186282,9.4138e-05,686429.6609,0.0,8908718,404942,288313306600,13105150300
2019/02,강원랜드,35250,STK,30900,34550,30900,2.084566,6.36921,0.10763,1.539179,6.5144e-05,718631.7566,0.0,10447794,614576,336180962634,19775350743
2019/03,강원랜드,35250,STK,32000,32750,30450,1.41908,-0.200119,0.089393,0.763413,9.6412e-05,410366.7086,5.0,7565174,378259,238841392150,11942069608
