연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","대우건설","047040","STK","6200","6200","5730","1.773063","-0.148299","0.16654","0.518865","0.000081038","3555893.2088","4.545455","82439594","3747254","490219037255","22282683512"
"2018/02","대우건설","047040","STK","5220","6140","4900","3.095243","2.405539","0.122855","0.713225","0.00011008","2763393.7058","0","65515146","3639730","350898740320","19494374462"
"2018/03","대우건설","047040","STK","5270","5940","5070","2.917418","1.136965","0.127741","1.776436","0.000173848","2277548.219","0","41847218","1992725","227920813080","10853372051"
"2018/04","대우건설","047040","STK","6350","6350","5170","2.787551","-0.355771","0.10159","1.661366","0.000155085","2275676.6591","0","60117725","2862749","358391940090","17066282861"
"2018/05","대우건설","047040","STK","6450","7080","6080","4.723968","3.627747","0.105153","1.988739","0.000088421","2761597.4865","5","106603222","5330161","706940310170","35347015509"
"2018/06","대우건설","047040","STK","5870","6790","5690","3.079922","0.300724","0.152692","1.891567","0.000153424","2444259.0244","0","47856625","2518770","299655615990","15771348210"
"2018/07","대우건설","047040","STK","5680","5680","5260","2.272435","1.108886","0.183471","1.659637","0.000272852","970619.9536","0","24771078","1125958","136204212300","6191100559"
"2018/08","대우건설","047040","STK","5240","5700","5190","1.68136","0.776564","0.186728","1.142119","0.000185717","1359227.5486","4.545455","23700728","1077306","127642841920","5801947360"
"2018/09","대우건설","047040","STK","5920","6070","5200","2.545394","2.497928","-0.183427","2.168168","0.000155126","2181186.1151","11.764706","29653310","1744312","166423907588","9789641623"
"2018/10","대우건설","047040","STK","4525","6130","4355","2.929238","0.712375","-0.736716","1.327808","0.000257503","1107852.1867","0","33463202","1593486","172849197080","8230914147"
"2018/11","대우건설","047040","STK","4970","5060","4580","2.064966","1.925456","-0.712827","1.251179","0.000301634","1379289.8651","0","22553787","1025172","107828834200","4901310645"
"2018/12","대우건설","047040","STK","5390","5710","4810","2.722044","-0.918789","-0.732275","0.594893","0.000330806","980079.7773","0","25955346","1366071","138046698880","7265615731"
"2019/01","대우건설","047040","STK","5180","6080","5180","2.729035","2.114883","-0.754164","0.566273","0.000214951","1082112.2106","4.545455","35581885","1617358","196990693140","8954122415"
"2019/02","대우건설","047040","STK","5050","5250","5050","0.931481","-0.045961","-0.780919","0.212439","0.000109563","2185648.7169","5.882353","25042057","1473062","129400115280","7611771487"
"2019/03","대우건설","047040","STK","5080","5080","4755","1.362468","4.115134","-0.786452","0.952904","0.000204195","1235236.4286","10","18190532","909527","90287484915","4514374246"
"2019/04","대우건설","047040","STK","5040","5180","5020","1.208629","0.857115","-0.784742","0.818265","0.000198689","1241513.3268","0","22497713","1022623","115573506250","5253341193"
"2019/05","대우건설","047040","STK","4805","5120","4805","1.24928","1.249161","-0.720761","1.071596","0.000252475","1500794.2973","4.761905","16161650","769602","79227012305","3772714872"
"2019/06","대우건설","047040","STK","4940","5050","4825","0.789035","-0.840463","-0.719134","0.448558","0.000208714","1330614.3524","5.263158","14680786","772673","72891494925","3836394470"
"2019/07","대우건설","047040","STK","4100","5040","4040","1.603618","0.14631","-0.715385","1.279278","0.000392275","855120.4364","4.347826","17329387","753452","77803457135","3382759006"
"2019/08","대우건설","047040","STK","4180","4180","3865","1.67367","1.637682","-0.681724","1.302412","0.00043806","1323140.9185","0","14168304","674681","56338630545","2682791931"
"2019/09","대우건설","047040","STK","4830","4970","4175","3.103739","9.744088","-0.703358","1.830651","0.00039402","1089592.4689","5.263158","19893016","1047001","93596771590","4926145873"
"2019/10","대우건설","047040","STK","4355","4795","4355","1.560624","-0.319996","-0.712372","1.478702","0.000447724","870950.7551","0","12884417","613544","59185245560","2818345027"
"2019/11","대우건설","047040","STK","4460","4800","4340","1.863652","1.505069","-0.725674","1.543622","0.000419529","1104091.4975","4.761905","14179508","675215","65839038454","3135192307"
"2019/12","대우건설","047040","STK","4740","4830","4370","1.630688","1.772428","-0.770797","0.690803","0.000321833","1047547.6468","10","14243794","712190","65761207165","3288060358"
"2020/01","대우건설","047040","STK","4350","4800","4205","2.486966","-0.306061","-0.788275","1.152632","0.000338912","1856003.3867","0","23960180","1198009","108211153270","5410557664"
"2020/02","대우건설","047040","STK","4050","4810","4050","2.590474","7.765202","-0.760526","1.20973","0.00027902","1316908.7367","5","23384512","1169226","102920948140","5146047407"
"2020/03","대우건설","047040","STK","2940","4295","2275","6.716728","0.097372","-0.915734","1.472695","0.000649306","2128152.3874","0","50834805","2310673","160299652850","7286347857"
"2020/04","대우건설","047040","STK","3560","3560","2760","2.871054","0.620755","-0.276851","1.131873","0.000457551","2417758.9422","0","34252563","1712628","110205949475","5510297474"
"2020/05","대우건설","047040","STK","3830","3830","3415","2.056293","0.128915","-0.277766","0.932479","0.000281257","1245347.1502","10.526316","27227289","1433015","96976173575","5104009136"
"2020/06","대우건설","047040","STK","3430","4100","3315","2.85257","-0.123055","-0.320166","1.231126","0.000524318","845237.4573","0","30150153","1370462","112696085840","5122549356"
"2020/07","대우건설","047040","STK","3490","3755","3410","2.31766","2.494761","-0.328904","1.167055","0.000393031","1054944.8292","0","32528513","1414283","116181658170","5051376442"
"2020/08","대우건설","047040","STK","2945","3655","2945","2.563852","-0.088661","-0.363814","1.239168","0.000235886","2318966.0623","5","63330701","3166535","206034329655","10301716483"
"2020/09","대우건설","047040","STK","2785","3020","2700","1.731198","0.675384","-0.342079","0.973195","0.000224968","2655634.9924","0","49157428","2340830","143872904890","6851090709"
"2020/10","대우건설","047040","STK","3000","3190","2805","1.975142","1.41569","-0.342207","0.980777","0.000227234","1747390.5845","10.526316","36898590","1942031","110743606495","5828610868"
"2020/11","대우건설","047040","STK","3500","3660","3050","2.363815","0.714921","-0.260637","0.700033","0.000174144","3243347.2694","0","67942738","3235368","235032516645","11192024602"
"2020/12","대우건설","047040","STK","4985","4985","3520","4.052673","-1.039959","-0.263586","1.899101","0.000095582","5420657.238","4.761905","201694267","9604489","925043490820","44049690039"
"2021/01","대우건설","047040","STK","5900","6540","5150","4.144019","2.016649","-0.287727","0.546829","0.000044302","7275013.8263","0","279157872","13957894","1687142378995","84357118950"
"2021/02","대우건설","047040","STK","5870","6520","5870","3.07674","4.8713","-0.308236","1.261969","0.000064488","6336721.8174","0","86076391","4782022","535776404900","29765355828"
"2021/03","대우건설","047040","STK","6610","6770","5410","2.731719","-0.896403","-0.304683","0.523752","0.000066602","3992900.9714","9.090909","162145046","7370229","1006032903670","45728768349"
"2021/04","대우건설","047040","STK","7390","7690","6430","2.963662","1.213568","-0.311981","1.23301","0.000040781","3898656.915","9.090909","158074944","7185225","1119404981140","50882044597"
"2021/05","대우건설","047040","STK","8320","8320","7080","2.445837","-0.434933","-0.346877","1.226653","0.000043834","3901628.4422","0","111975750","5893461","861280014460","45330527077"
"2021/06","대우건설","047040","STK","7950","9050","7950","3.12207","3.219028","-0.363146","2.087137","0.00002896","9610627.9396","0","194915831","8859811","1707105597820","77595708992"
"2021/07","대우건설","047040","STK","7450","7890","7120","1.277319","0.049702","-0.33645","0.977265","0.000045211","5587776.3667","9.090909","83081826","3776447","625364034400","28425637927"
"2021/08","대우건설","047040","STK","7350","7350","6390","2.241145","-0.800665","-0.344081","1.756889","0.000138566","2298091.8222","0","38424126","1829720","269050925760","12811948846"
"2021/09","대우건설","047040","STK","6750","7370","6700","1.366643","1.816486","-0.313788","1.394308","0.00008871","2144054.4776","10.526316","29693380","1562809","209885695750","11046615566"
"2021/10","대우건설","047040","STK","6250","6720","6240","2.505024","2.299702","-0.317224","1.453295","0.00017429","1300198.7534","5.263158","26033850","1370203","170409152090","8968902742"
"2021/11","대우건설","047040","STK","5370","6270","5370","1.700848","0.098758","-0.342145","1.244031","0.000166784","1461845.7484","13.636364","29914412","1359746","179874644850","8176120220"
"2021/12","대우건설","047040","STK","5770","6180","5530","1.857297","1.640547","-0.35615","1.580123","0.000175124","1583171.5472","9.090909","26703716","1213805","158536682190","7206212827"
"2022/01","대우건설","047040","STK","5670","6260","5340","3.175828","-0.157116","-0.303178","1.204074","0.000199896","1765368.1081","5","40712404","2035620","238084390720","11904219536"
