연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","GS건설","006360","STK","33250","33250","28300","2.504862","0.015901","-0.152148","-0.725482","0.000088221","648495.8687","9.090909","16252518","738751","503278826750","22876310307"
"2018/02","GS건설","006360","STK","29200","33150","29200","1.896367","0.623412","-0.165646","1.158398","0.00013733","459603.3131","5.555556","7501882","416771","232990542300","12943919017"
"2018/03","GS건설","006360","STK","29600","29950","27800","2.153364","-0.388835","-0.163388","1.457383","0.000173032","345300.752","0","6677366","317970","193552389150","9216780436"
"2018/04","GS건설","006360","STK","40800","40800","28600","4.091172","4.99169","-0.221854","2.842241","0.000088194","839741.8818","4.761905","25180074","1199051","898509494150","42786166388"
"2018/05","GS건설","006360","STK","49050","51600","40350","4.358272","1.626254","-0.233133","2.270265","0.000045003","1171873.8726","0","27448463","1372423","1268357464626","63417873231"
"2018/06","GS건설","006360","STK","46000","48600","42650","3.215526","-0.97066","-0.170173","1.872349","0.000061862","1353742.4291","0","18666244","982434","861721018400","45353737811"
"2018/07","GS건설","006360","STK","45300","47550","43000","3.697077","0.723616","-0.140833","1.804152","0.000083137","591033.0529","0","17567470","798521","789414188850","35882463130"
"2018/08","GS건설","006360","STK","47900","48850","43700","1.84232","-0.242799","-0.176714","0.796734","0.000052323","984872.6972","4.545455","12371970","562362","568652025850","25847819357"
"2018/09","GS건설","006360","STK","52300","53000","47050","1.944064","1.603274","-0.291263","0.14991","0.000041017","1035269.6444","0","10828851","636991","552691685148","32511275597"
"2018/10","GS건설","006360","STK","41750","54700","41750","2.83917","0.451783","-0.724253","0.956088","0.00006999","451487.1776","0","15606454","743164","754570349900","35931921424"
"2018/11","GS건설","006360","STK","43600","43600","39350","2.901625","-0.111913","-0.752771","2.075699","0.000083682","617020.7194","9.090909","14382538","653752","596458592100","27111754186"
"2018/12","GS건설","006360","STK","43750","47750","42400","2.672986","1.271139","-0.758835","1.089481","0.000071836","619992.421","0","10619456","558919","478384564800","25178134989"
"2019/01","GS건설","006360","STK","47050","47600","42150","2.267953","-0.959921","-0.753711","1.408408","0.000095852","629949.4067","0","9331737","424170","418469535610","19021342528"
"2019/02","GS건설","006360","STK","42800","47000","42800","1.358934","0.529056","-0.739796","0.556149","0.000053721","721759.0627","0","7162907","421347","325617930550","19153995915"
"2019/03","GS건설","006360","STK","42600","44000","40900","2.163696","0.787776","-0.738281","1.601796","0.000076986","565609.981","0","9914081","495704","417465204181","20873260209"
"2019/04","GS건설","006360","STK","40600","43100","38150","1.668079","-0.049988","-0.730761","0.809016","0.000053882","747169.0823","4.545455","12247326","556697","492891012025","22404136910"
"2019/05","GS건설","006360","STK","40150","40650","37500","1.845487","0.62557","-0.66095","1.56847","0.000103103","480042.7162","0","7640109","363815","301426918200","14353662771"
"2019/06","GS건설","006360","STK","40350","42300","39800","1.689588","-0.634074","-0.66141","1.557885","0.000088613","444696.3619","5.263158","7146185","376115","294032717000","15475406158"
"2019/07","GS건설","006360","STK","33900","40500","33200","1.767631","2.306961","-0.654191","1.049917","0.000100789","605810.3171","4.347826","8349539","363023","297952233450","12954444933"
"2019/08","GS건설","006360","STK","32400","33250","30750","2.250894","0.643805","-0.615917","1.207554","0.000160256","407690.8326","0","7211503","343405","230789972100","10989998671"
"2019/09","GS건설","006360","STK","33000","35100","31750","1.847321","-0.529793","-0.622404","1.745179","0.000138523","313808.4457","5.263158","6019991","316842","200516007550","10553474082"
"2019/10","GS건설","006360","STK","30900","32800","30550","1.578193","0.165907","-0.638123","0.860549","0.000126009","392866.6403","0","6893721","328272","217663675200","10364936914"
"2019/11","GS건설","006360","STK","30000","32750","30000","2.118809","-0.073631","-0.644045","1.593212","0.000177024","209988.8429","4.761905","6337861","301803","200573078700","9551098986"
