연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","SK하이닉스","000660","STK","73500","79300","71100","2.292446","0.139913","0.078239","2.016358","0.000004968","5361696.7539","0","100383902","4562905","7477411939873","339882360903"
"2018/02","SK하이닉스","000660","STK","76800","78700","70200","2.107634","-0.509334","0.088986","0.915031","0.000006132","4147474.9053","5.555556","70480039","3915558","5263892676854","292438482047"
"2018/03","SK하이닉스","000660","STK","81300","90700","77400","2.501345","2.720182","0.091275","1.324999","0.000003547","7459472.6458","4.761905","100047412","4764162","8481783614293","403894457823"
"2018/04","SK하이닉스","000660","STK","84500","87900","80300","2.393923","-0.360876","0.092108","1.836556","0.000004738","3988585.2596","9.52381","84452872","4021565","7042729657158","335368078912"
"2018/05","SK하이닉스","000660","STK","93400","95300","82900","1.954321","5.569801","0.085482","0.723485","0.000003686","6541433.722","0","69491798","3474590","6219018199076","310950909954"
"2018/06","SK하이닉스","000660","STK","85700","91400","83500","2.29294","0.203936","0.127109","1.0589","0.000005574","5313993.3253","0","69184335","3641281","6025328487527","317122551975"
"2018/07","SK하이닉스","000660","STK","86300","90300","80500","2.622356","1.143375","0.101607","1.995817","0.000006882","2583284.3358","0","69910321","3177742","5980290400217","271831381828"
"2018/08","SK하이닉스","000660","STK","83000","85600","74500","2.110692","0.988077","0.117848","1.693583","0.000004582","5046602.5921","0","81485543","3703888","6457051919405","293502359973"
"2018/09","SK하이닉스","000660","STK","73100","81200","73100","2.011454","0.858571","-0.002811","1.742148","0.000005469","4378795.183","0","69483962","4087292","5331101666775","313594215693"
"2018/10","SK하이닉스","000660","STK","68200","73700","64700","2.337387","-0.291928","-0.320095","0.830483","0.000006895","3107260.5799","4.761905","88033736","4192083","6092339825174","290111420246"
"2018/11","SK하이닉스","000660","STK","69600","74500","67500","2.378579","0.672589","-0.299877","1.78945","0.00000798","3509485.1237","9.090909","67714126","3077915","4782892605323","217404209333"
"2018/12","SK하이닉스","000660","STK","60500","70500","58600","2.114003","0.126504","-0.281419","1.422267","0.000008969","2192762.9075","0","59984599","3157084","3810321395235","200543231328"
"2019/01","SK하이닉스","000660","STK","73900","75900","57700","3.207588","-0.127366","-0.247512","2.429499","0.000009299","3975730.3518","0","84140179","3824554","5619350040414","255425001837"
"2019/02","SK하이닉스","000660","STK","70000","77400","70000","2.497203","-0.496305","-0.238142","2.628048","0.000007835","2360513.7481","5.882353","54567361","3209845","4072707797080","239571046887"
"2019/03","SK하이닉스","000660","STK","74200","76100","66600","2.456559","3.559653","-0.265855","2.341099","0.000005674","6368768.1861","5","74433210","3721661","5258755749860","262937787493"
"2019/04","SK하이닉스","000660","STK","79000","81800","76400","1.952174","-0.295334","-0.258113","1.820617","0.000005975","4133077.7056","0","70360052","3198184","5564774503790","252944295627"
"2019/05","SK하이닉스","000660","STK","65300","80700","65300","1.580133","2.679652","-0.343475","1.048394","0.000004934","5178862.8183","0","79337971","3777999","5673071628931","270146268044"
"2019/06","SK하이닉스","000660","STK","69500","70200","63100","2.206812","1.11167","-0.337586","2.798832","0.000007005","3395129.8522","5.263158","64627524","3401449","4293590688986","225978457315"
"2019/07","SK하이닉스","000660","STK","76900","79800","67400","2.333555","-1.086723","-0.267789","1.73516","0.000009642","3251153.9095","0","68847930","2993388","5163314897049","224491952046"
"2019/08","SK하이닉스","000660","STK","77400","77700","71800","2.31887","0.594659","-0.259759","1.521133","0.000009235","1585719.8823","9.52381","52634024","2506382","3932813490752","187276832893"
"2019/09","SK하이닉스","000660","STK","82200","84300","77000","2.09565","-0.462868","-0.260665","1.585738","0.00000787","3089022.182","0","48311757","2542724","3932282202214","206962221169"
"2019/10","SK하이닉스","000660","STK","82000","83000","77400","1.961941","0.204364","-0.272577","1.748202","0.00000614","3361909.5475","9.52381","63636224","3030296","5078066688917","241812699472"
"2019/11","SK하이닉스","000660","STK","80900","85500","80900","1.492163","-0.491512","-0.267872","1.431695","0.000006155","3466500.061","9.52381","45635634","2173125","3793548298215","180645157058"
"2019/12","SK하이닉스","000660","STK","94100","96000","77700","2.007361","0.602071","-0.295802","2.638624","0.000004841","4751591.6026","5","71423375","3571169","6103629943246","305181497162"
"2020/01","SK하이닉스","000660","STK","93500","101000","93500","1.768806","0.464793","-0.283115","0.809571","0.000004435","5328196.9906","5","59366620","2968331","5792324224211","289616211211"
"2020/02","SK하이닉스","000660","STK","87900","105000","87900","2.258022","-0.3757","-0.28409","1.161478","0.000005389","2996031.3059","0","70992138","3549607","6924167485340","346208374267"
"2020/03","SK하이닉스","000660","STK","83300","94900","69000","5.388528","0.614891","-0.315568","1.164648","0.000007021","5158284.1897","0","149461339","6793697","12250642650756","556847393216"
"2020/04","SK하이닉스","000660","STK","83700","85800","78400","2.538389","0.170694","-0.29458","1.24411","0.000005078","3405293.3867","0","91942271","4597114","7587119131754","379355956588"
"2020/05","SK하이닉스","000660","STK","81500","85700","80600","2.108875","-1.089015","-0.293552","0.95224","0.000004491","3790830.0702","5.263158","83525536","4396081","6896381543378","362967449651"
