¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2017/12","µÎ»ê¹äÄ¹","241560","STK","35800","36850","34100","2.021885","0.267984",,"0.460497","0.000208803","270495.5576","5.263158","8662676","455930","298515753126","15711355428"
"2018/01","µÎ»ê¹äÄ¹","241560","STK","37000","37000","34500","1.50806","-0.686388",,"0.61301","0.000143395","447266.1422","0","5251339","238697","188495116946","8567959861"
"2018/02","µÎ»ê¹äÄ¹","241560","STK","34000","36650","34000","1.898892","2.981202",,"0.202487","0.000244586","149806.23","0","3090444","171691","109498999675","6083277760"
"2018/03","µÎ»ê¹äÄ¹","241560","STK","31400","33200","31400","1.507516","-0.247417",,"0.768965","0.00019976","272480.7591","0","4349323","207111","139968481617","6665165791"
"2018/04","µÎ»ê¹äÄ¹","241560","STK","32600","32600","30650","1.675407","0.80864",,"0.835036","0.000233061","212475.7023","4.761905","3263050","155383","102791222225","4894820106"
"2018/05","µÎ»ê¹äÄ¹","241560","STK","33900","34600","31800","1.682823","0.030945",,"1.525646","0.000190069","179830.6441","10","4578563","228928","151143359600","7557167980"
"2018/06","µÎ»ê¹äÄ¹","241560","STK","32000","34600","30650","2.099142","0.626383",,"1.184298","0.000196551","315720.2843","5.263158","5185839","272939","168400401346","8863179018"
"2018/07","µÎ»ê¹äÄ¹","241560","STK","33250","33250","30000","1.558539","-0.454673",,"1.116267","0.00035659","209501.6412","4.545455","2934531","133388","91334339059","4151560866"
"2018/08","µÎ»ê¹äÄ¹","241560","STK","35600","35600","32750","1.711425","4.793391",,"0.949998","0.000139408","626862.3478","0","15875069","721594","550601828850","25027355857"
"2018/09","µÎ»ê¹äÄ¹","241560","STK","40400","40400","34650","1.655106","0.47417",,"-0.264129","0.000158384","769336.6988","0","4623260","271956","170172469370","10010145257"
"2018/10","µÎ»ê¹äÄ¹","241560","STK","35200","40000","34700","1.452142","-0.074798",,"0.386046","0.000132947","414862.5977","4.761905","4973696","236843","185704234954","8843058807"
"2018/11","µÎ»ê¹äÄ¹","241560","STK","32850","37000","32850","2.399962","2.46885",,"0.924101","0.000167167","281552.4297","4.545455","10640529","483660","365716093400","16623458791"
"2018/12","µÎ»ê¹äÄ¹","241560","STK","31500","33500","30850","1.497926","-0.823211",,"1.144307","0.000149204","367494.0121","5.263158","6784504","357079","222636605396","11717716073"
"2019/01","µÎ»ê¹äÄ¹","241560","STK","33200","33750","30500","1.69087","0.46767",,"1.350888","0.000210476","423353.3324","0","4371493","198704","143587053932","6526684270"
"2019/02","µÎ»ê¹äÄ¹","241560","STK","31900","34550","30750","2.272435","6.640767",,"-0.235598","0.000121087","750805.3533","0","6357405","373965","202471162026","11910068354"
