연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","두산에너빌리티","034020","STK","15350","17550","15350","2.871549","5.979748","0.017212","0.854394","0.000151561","492411.0201","5.263158","14472689","761720","237631322735","12506911723"
"2018/01","두산에너빌리티","034020","STK","17000","17200","15450","2.115136","-0.511894","0.016828","0.518952","0.000136659","630792.202","9.090909","19670601","894118","320033909550","14546995889"
"2018/02","두산에너빌리티","034020","STK","14950","16700","14450","1.915119","-0.887484","-0.009253","0.213089","0.000265846","367495.5468","0","8531626","473979","130324887050","7240271503"
"2018/03","두산에너빌리티","034020","STK","15900","16550","14400","2.559148","3.468762","-0.013404","1.25545","0.000157277","756406.5405","14.285714","15947988","759428","246596935800","11742711229"
"2018/04","두산에너빌리티","034020","STK","17900","17900","14750","2.149147","1.276754","-0.026053","1.751185","0.000126078","786021.7725","4.761905","18580481","884785","304277496450","14489404593"
"2018/05","두산에너빌리티","034020","STK","19100","21250","18150","3.480395","-0.795794","-0.014735","1.235481","0.000098748","856541.5833","5","29466818","1473341","574064880950","28703244048"
"2018/06","두산에너빌리티","034020","STK","15650","19050","15350","2.824009","-0.773741","0.017925","2.261383","0.000167286","509888.2032","5.263158","15522656","816982","262520459900","13816866311"
"2018/07","두산에너빌리티","034020","STK","15050","15050","13850","2.387645","3.06861","0.044281","2.026551","0.000171356","626291.0897","4.545455","13144102","597459","190627872600","8664903300"
"2018/08","두산에너빌리티","034020","STK","14150","15150","14150","2.223267","0.201977","0.045086","0.09344","0.000166367","492496.4868","9.090909","12468599","566755","182816179300","8309826332"
"2018/09","두산에너빌리티","034020","STK","14900","15100","14250","1.025835","0.724738","-0.145273","-0.052896","0.000132359","751670.9794","0","7442103","437771","110026207550","6472129856"
"2018/10","두산에너빌리티","034020","STK","10950","15000","10650","2.287117","-0.18691","-0.740383","1.330001","0.000217932","416616.4912","9.52381","14219788","677133","178353530650","8493025269"
"2018/11","두산에너빌리티","034020","STK","11400","11950","10300","2.867857","0.608992","-0.74048","1.682165","0.000213318","659031.0691","9.090909","26671914","1212360","297302156450","13513734384"
"2018/12","두산에너빌리티","034020","STK","9730","11750","9690","2.794886","5.624238","-0.732125","1.344689","0.000259428","1169566.5523","0","12821695","674826","139561977540","7345367239"
"2019/01","두산에너빌리티","034020","STK","11350","11350","9450","1.37618","1.515727","-0.706899","0.221906","0.000219517","431949.7581","13.636364","11507802","523082","121114964390","5505225654"
"2019/02","두산에너빌리티","034020","STK","8280","11600","8280","3.506798","1.304983","-0.650673","-1.308727","0.000201664","1761121.3025","0","29283516","1722560","269511567260","15853621604"
"2019/03","두산에너빌리티","034020","STK","6690","8300","6620","1.83278","0.552213","-0.645222","1.011268","0.000132481","1933532.0572","0","28467670","1423384","222468180740","11123409037"
"2019/04","두산에너빌리티","034020","STK","6990","7400","6870","2.065452","2.20276","-0.657246","1.294402","0.000169052","1035607.6945","13.636364","25556616","1161664","181898966310","8268134832"
"2019/05","두산에너빌리티","034020","STK","6250","7440","5980","3.101918","0.037306","-0.620842","2.278332","0.000273811","1017410.3308","4.761905","29498234","1404678","193671272240","9222441535"
"2019/06","두산에너빌리티","034020","STK","6200","6790","6200","2.120842","2.782072","-0.616346","1.006741","0.000166785","1797823.9869","5.263158","22680977","1193736","147134545490","7743923447"
"2019/07","두산에너빌리티","034020","STK","6090","6400","5980","2.171613","0.122576","-0.558589","1.28354","0.000270849","887586.54","4.347826","24196018","1052001","150424129960","6540179563"
"2019/08","두산에너빌리티","034020","STK","5980","6000","5200","3.001299","7.309589","-0.529052","2.197673","0.000258378","1165353.2283","9.52381","23012163","1095817","129248384455","6154684974"
"2019/09","두산에너빌리티","034020","STK","6800","7200","5990","2.630861","-0.630382","-0.54903","1.022513","0.000182507","1058008.637","5.263158","34151812","1797464","232222689380","12222246809"
"2019/10","두산에너빌리티","034020","STK","6140","6820","6140","1.623157","0.204296","-0.561316","1.524324","0.000231079","1262733.7201","9.52381","17380854","827660","112116071800","5338860562"
"2019/11","두산에너빌리티","034020","STK","5460","5900","5330","1.770213","3.749829","-0.533559","0.536414","0.000212704","1269547.7006","0","20316679","967461","115179167380","5484722256"
"2019/12","두산에너빌리티","034020","STK","5720","5760","5260","1.768697","0.816112","-0.571765","0.509976","0.000233352","1335420.3875","0","22449687","1122484","124626455970","6231322799"
"2020/01","두산에너빌리티","034020","STK","5470","6220","5310","2.933564","0.19871","-0.535373","0.740144","0.000281442","1230407.6225","0","26575140","1328757","152420878620","7621043931"
"2020/02","두산에너빌리티","034020","STK","5010","6020","5010","2.637413","0.771227","-0.517095","0.950873","0.000196916","1261590.4311","5","32473170","1623659","179167086370","8958354319"
"2020/03","두산에너빌리티","034020","STK","3415","5080","2470","7.827","0.940402","-0.69877","1.231658","0.000445653","954126.4571","9.090909","101983619","4635619","353718875285","16078130695"
"2020/04","두산에너빌리티","034020","STK","3995","4090","3575","3.382927","2.057281","-0.282829","-0.028089","0.000198357","2581560.03","0","76043044","3802152","295429161435","14771458072"
"2020/05","두산에너빌리티","034020","STK","4280","4560","3840","3.984683","8.161454","-0.286191","1.067262","0.000197204","3064510.9263","10.526316","51335568","2701872","216357290460","11387225814"
"2020/06","두산에너빌리티","034020","STK","4835","5290","4440","4.001918","1.090128","-0.276938","1.411489","0.000182828","2123829.1043","9.090909","75309342","3423152","371217014780","16873500672"
"2020/07","두산에너빌리티","034020","STK","10500","10850","4510","8.343206","3.680161","-0.131863","3.555611","0.000192248","4858616.7895","8.695652","223181597","9703548","1828555831440","79502427454"
"2020/08","두산에너빌리티","034020","STK","16100","16100","9010","8.524618","4.256273","-0.151496","-1.099436","0.000028122","5684441.0364","5","312917160","15645858","3624085175940","181204258797"
"2020/09","두산에너빌리티","034020","STK","13300","16750","12850","3.434916","-0.253596","-0.116796","0.936652","0.000024413","6519967.0137","4.761905","273323861","13015422","4254557846150","202597992674"
"2020/10","두산에너빌리티","034020","STK","13750","14150","11800","3.578303","2.506553","-0.123204","1.266048","0.000049623","2733744.3889","5.263158","81846005","4307684","1089808288500","57358330974"
"2020/11","두산에너빌리티","034020","STK","16750","17100","13850","3.289845","-0.066283","-0.078608","1.133037","0.000025757","4691812.8344","4.761905","160325526","7634549","2525488712800","120261367276"
"2020/12","두산에너빌리티","034020","STK","13500","15500","12850","2.707168","0.190421","-0.10581","0.287582","0.000041956","2525761.3343","9.52381","81961184","3902914","1174347681700","55921318176"
"2021/01","두산에너빌리티","034020","STK","11750","14700","11750","3.133925","0.246151","-0.130224","0.959297","0.000041166","3311831.9304","5","79031598","3951580","1069858439150","53492921958"
"2021/02","두산에너빌리티","034020","STK","10600","12250","10250","3.294518","2.346974","-0.136933","1.437077","0.000068012","1806127.3206","11.111111","50313052","2795170","579095777500","32171987639"
"2021/03","두산에너빌리티","034020","STK","13000","13250","10600","2.579919","0.131924","-0.130956","1.351626","0.000066551","2023075.2141","4.545455","61312393","2786927","731394253400","33245193336"
"2021/04","두산에너빌리티","034020","STK","13950","14350","12650","2.267898","1.461948","-0.129337","0.846813","0.000041331","3090673.0016","0","68314319","3105196","941728077800","42805821718"
"2021/05","두산에너빌리티","034020","STK","19900","19900","12300","4.831181","0.28419","-0.162122","1.136692","0.000039463","3001125.537","0","184148272","9692014","2944051244150","154950065482"
"2021/06","두산에너빌리티","034020","STK","23850","32000","19750","8.840287","4.316604","-0.197362","1.201297","0.000008586","9224330.5845","0","555401325","25245515","13965547348150","634797606734"
"2021/07","두산에너빌리티","034020","STK","21750","26100","21750","2.406871","-0.407632","-0.170222","0.134643","0.000008772","6177728.6266","9.090909","193652300","8802377","4793283505400","217876522973"
"2021/08","두산에너빌리티","034020","STK","20900","22400","19500","3.090913","-0.2141","-0.169614","2.177271","0.00001784","4789577.5314","9.52381","118503062","5643003","2475135631000","117863601476"
