연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","한화에어로스페이스","012450","STK","35550","35950","33550","2.043836","-0.220173","-0.183475","0.645383","0.000123408","380906.5863","10.526316","6328701","333090","220387877102","11599361953"
"2018/01","한화에어로스페이스","012450","STK","33650","36500","33050","1.434917","0.104583","-0.190227","0.322403","0.000074997","490543.2139","9.090909","9903789","450172","337797578150","15354435370"
"2018/02","한화에어로스페이스","012450","STK","29150","33650","27250","2.490259","0.38948","-0.21328","1.125511","0.000130244","332663.8379","5.555556","9965771","553654","297014397600","16500799867"
"2018/03","한화에어로스페이스","012450","STK","29600","30300","27500","2.119228","0.007807","-0.21442","1.129618","0.000169406","313229.9597","0","7192559","342503","207969820576","9903324789"
"2018/04","한화에어로스페이스","012450","STK","24100","28650","24100","2.433458","2.383059","-0.197764","0.649284","0.000140569","433594.8581","9.52381","8222625","391554","216534766300","10311179348"
"2018/05","한화에어로스페이스","012450","STK","33150","33150","23350","4.119846","0.633444","-0.234508","-0.458974","0.000117802","430456.2485","5","22816070","1140804","676487230350","33824361518"
"2018/06","한화에어로스페이스","012450","STK","23450","33450","23450","2.628173","-0.584954","-0.22705","0.464423","0.000186748","237011.6578","10.526316","9459069","497846","275607648926","14505665733"
"2018/07","한화에어로스페이스","012450","STK","22550","23400","21600","2.616377","0.191007","-0.212794","1.818779","0.0002462","355585.7295","0","7576006","344364","172355475600","7834339800"
"2018/08","한화에어로스페이스","012450","STK","25000","25900","22300","2.619558","-0.820774","-0.233248","1.328814","0.000300864","248698.7436","4.545455","6557699","298077","156831708400","7128714018"
"2018/09","한화에어로스페이스","012450","STK","25400","28700","25150","4.226582","3.956933","-0.135334","1.753699","0.000214274","352950.9101","0","6549386","385258","172751176948","10161833938"
"2018/10","한화에어로스페이스","012450","STK","28450","30300","25050","2.532829","0.224028","0.216307","0.510192","0.000160029","264627.5337","9.52381","9362246","445821","266944435550","12711639788"
"2018/11","한화에어로스페이스","012450","STK","32450","34700","27200","3.665653","-0.788065","0.235688","1.036836","0.000220644","259514.2495","0","9949116","452233","320344262600","14561102845"
"2018/12","한화에어로스페이스","012450","STK","32500","33400","31600","1.951343","-0.292535","0.236197","-0.381125","0.00017768","315207.9309","5.263158","4665983","245578","151149975050","7955261845"
"2019/01","한화에어로스페이스","012450","STK","31400","35050","30600","2.201905","-0.752564","0.224809","-0.167836","0.00021267","192288.3295","0","6232617","283301","203227471100","9237612323"
"2019/02","한화에어로스페이스","012450","STK","32950","33650","30750","1.600706","-1.1815","0.223423","0.496982","0.000200723","377201.232","0","3482242","204838","113777190650","6692775921"
"2019/03","한화에어로스페이스","012450","STK","34400","35100","32500","1.985372","0.20143","0.231845","0.65189","0.000176185","253646.774","5","4547358","227368","154038683450","7701934173"
"2019/04","한화에어로스페이스","012450","STK","30900","35200","30400","1.204197","2.432101","0.240363","0.170697","0.000142812","321448.7443","13.636364","4722249","214648","151037786000","6865353909"
"2019/05","한화에어로스페이스","012450","STK","29900","31850","29650","1.872265","9.173702","0.212947","0.608032","0.000194739","292790.2227","0","4092523","194882","125467696300","5974652205"
"2019/06","한화에어로스페이스","012450","STK","33250","33250","30600","1.718592","-1.115534","0.188685","0.671209","0.000279204","131759.1895","5.263158","3235794","170305","104516699250","5500878908"
"2019/07","한화에어로스페이스","012450","STK","32200","33400","30600","1.750112","-0.120185","0.179421","0.907532","0.0003321","165835.598","8.695652","3073952","133650","99138835650","4310384159"
"2019/08","한화에어로스페이스","012450","STK","38900","39150","28750","4.125257","10.69149","0.197697","0.499036","0.000215218","342142.2153","4.761905","9853442","469212","354012798150","16857752293"
"2019/09","한화에어로스페이스","012450","STK","42150","42850","38950","2.351075","0.078422","0.169094","1.255463","0.00010451","358204.2799","5.263158","7733213","407011","323941379986","17049546315"
"2019/10","한화에어로스페이스","012450","STK","37800","42800","37650","2.010621","1.840266","0.198744","0.65667","0.000118959","405020.5142","4.761905","5427363","258446","222152325034","10578682144"
"2019/11","한화에어로스페이스","012450","STK","38450","39800","36250","1.866553","-0.425582","0.17971","0.736016","0.000132546","417634.7385","0","6866291","326966","262021038900","12477192329"
"2019/12","한화에어로스페이스","012450","STK","35050","38400","34400","1.082697","-0.414631","0.206889","0.059317","0.000127071","501080.1964","0","4162667","208133","151246672150","7562333608"
"2020/01","한화에어로스페이스","012450","STK","32500","35600","32500","1.920573","3.718978","0.206679","0.89583","0.000172912","313951.8692","0","5316259","265813","184971048800","9248552440"
