연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","한화솔루션","009830","STK","31600","31600","28900","2.111946","0.129009","0.433592","1.393848","0.000055016","740866.6134","5.263158","16125849","848729","488064139275","25687586278"
"2018/01","한화솔루션","009830","STK","35200","36200","32500","2.238804","-0.279309","0.412777","1.816214","0.000042021","1420015.6088","0","26810152","1218643","912055030550","41457046843"
"2018/02","한화솔루션","009830","STK","33200","35700","32100","2.162333","0.887205","0.395477","1.326041","0.000055291","970048.3358","5.555556","13535714","751984","453582582000","25199032333"
"2018/03","한화솔루션","009830","STK","29800","32200","29150","2.062343","-0.120066","0.415433","1.23366","0.00006708","917171.5886","0","16197103","771291","493786378407","23513637067"
"2018/04","한화솔루션","009830","STK","28950","30050","28400","1.963715","1.153072","0.412367","1.924129","0.000075367","772349.9588","4.761905","13562733","645844","396662798250","18888704679"
"2018/05","한화솔루션","009830","STK","25850","29600","25850","2.267429","1.184106","0.448545","1.924338","0.000083414","669742.4485","5","16979695","848985","475954262000","23797713100"
"2018/06","한화솔루션","009830","STK","21850","25900","21500","2.450857","-0.180914","0.497491","1.522962","0.000068739","655710.8219","15.789474","20576730","1082986","486882555292","25625397647"
"2018/07","한화솔루션","009830","STK","21150","21300","20000","2.04198","2.425122","0.535324","2.221758","0.000078181","1194710.6371","0","17204274","782012","355456902650","16157131939"
"2018/08","한화솔루션","009830","STK","20250","21750","19500","2.673493","0.309417","0.544893","1.436035","0.000079946","570301.0702","13.636364","26068724","1184942","536278209350","24376282243"
"2018/09","한화솔루션","009830","STK","19300","20350","18300","1.895451","1.247483","0.268858","1.234291","0.000070275","847927.3567","5.882353","16873720","992572","324111894902","19065405582"
"2018/10","한화솔루션","009830","STK","16150","19150","15300","3.400172","-0.228663","-0.300922","1.685012","0.00015617","614572.2022","0","20710855","986231","352546640900","16787935281"
"2018/11","한화솔루션","009830","STK","18900","19000","16350","3.218992","2.754655","-0.26795","2.015736","0.000109955","832102.2641","4.545455","25299409","1149973","449977080750","20453503670"
"2018/12","한화솔루션","009830","STK","20200","20800","18700","2.287244","-0.656878","-0.276151","0.764786","0.00009344","728381.0643","0","20948160","1102535","417305116200","21963427168"
"2019/01","한화솔루션","009830","STK","22450","22600","19000","2.204125","0.984061","-0.297907","1.498715","0.000081693","923875.3839","13.636364","19403731","881988","407647721700","18529441895"
"2019/02","한화솔루션","009830","STK","23400","23800","21200","2.446749","1.158792","-0.299543","2.016839","0.00009313","740635.0147","0","16379054","963474","370399007800","21788176929"
"2019/03","한화솔루션","009830","STK","20900","23600","20850","1.671478","-1.020474","-0.293068","1.026634","0.000103656","483213.0587","15","11857901","592895","265277332550","13263866628"
"2019/04","한화솔루션","009830","STK","20600","23150","20050","2.207413","0.470625","-0.312106","2.630038","0.000106949","601481.4271","13.636364","12386687","563031","271166697250","12325758966"
"2019/05","한화솔루션","009830","STK","20650","21850","20250","2.222593","0.61402","-0.249801","0.965275","0.000123596","825186.6208","4.761905","14046626","668887","295578902100","14075185814"
"2019/06","한화솔루션","009830","STK","22700","22750","20700","2.455094","6.482701","-0.270846","2.610488","0.000097567","709945.0065","5.263158","12216059","642950","267739144450","14091533918"
"2019/07","한화솔루션","009830","STK","18700","23250","18700","1.602668","-0.500959","-0.284586","0.787669","0.000117647","492603.6688","8.695652","13422254","583576","284726423350","12379409711"
"2019/08","한화솔루션","009830","STK","17300","18700","16600","2.333544","0.061305","-0.237006","1.339676","0.000136626","655264.9884","14.285714","14457014","688429","252304085500","12014480262"
"2019/09","한화솔루션","009830","STK","17950","18750","17200","1.65337","0.364724","-0.284647","1.548143","0.000141601","698451.0667","0","10337353","544071","186251862900","9802729626"
"2019/10","한화솔루션","009830","STK","16350","18250","16150","1.834376","-0.268317","-0.277129","1.878725","0.000151472","497799.4727","9.52381","11551818","550087","199148855700","9483278843"
"2019/11","한화솔루션","009830","STK","17550","18750","16500","2.315403","4.751069","-0.285289","0.479723","0.000109722","997946.8162","14.285714","16966085","807909","304353878400","14493041829"
"2019/12","한화솔루션","009830","STK","18850","19200","17500","1.616995","0.306126","-0.324607","1.625262","0.000109548","402873.5617","25","9524309","476215","175755938600","8787796930"
"2020/01","한화솔루션","009830","STK","16850","20050","16850","3.187002","1.067371","-0.299953","2.095673","0.000150926","620064.4948","5","15460647","773032","294349741000","14717487050"
"2020/02","한화솔루션","009830","STK","17850","20300","16800","3.073529","1.38565","-0.233241","1.355652","0.000104608","1177026.1181","0","23043458","1152173","436099688950","21804984448"
"2020/03","한화솔루션","009830","STK","13400","18700","9410","8.374545","0.681062","-0.473834","1.809095","0.000249389","959201.436","0","36873911","1676087","488914449482","22223384067"
"2020/04","한화솔루션","009830","STK","14550","14550","12750","3.015136","-1.180858","-0.316992","1.24359","0.000169831","711694.1459","0","22697029","1134851","313571795100","15678589755"
"2020/05","한화솔루션","009830","STK","16150","17000","13800","3.263553","-0.912427","-0.3192","1.494623","0.000090676","960361.6796","10.526316","45486647","2394034","721869173150","37993114376"
"2020/06","한화솔루션","009830","STK","19250","19750","16800","3.639183","1.256968","-0.279601","1.325452","0.000060547","1704570.3075","4.545455","59750534","2715933","1110451010900","50475045950"
"2020/07","한화솔루션","009830","STK","25500","27100","18850","4.145983","1.010988","-0.233186","1.465712","0.000039421","1930763.7214","0","86603010","3765348","2077213608450","90313635150"
"2020/08","한화솔루션","009830","STK","39950","39950","25850","3.712869","1.388498","-0.225327","1.372367","0.000023209","3311512.2116","0","90318335","4515917","2934096615650","146704830783"
"2020/09","한화솔루션","009830","STK","38450","49250","35150","5.46587","2.106528","-0.186665","0.765109","0.000011059","8090824.1493","0","182455995","8688381","8063612993100","383981571100"
"2020/10","한화솔루션","009830","STK","43700","49100","42100","5.104717","-0.68468","-0.191976","3.604064","0.000014425","3726499.4449","5.263158","109156471","5745077","4944870917850","260256364097"
"2020/11","한화솔루션","009830","STK","47750","52200","42700","4.520501","2.16848","-0.167499","1.884421","0.000008204","10625114.0149","0","139566081","6646004","6755231553050","321677693002"
