연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","한국타이어앤테크놀로지","161390","STK","54600","55100","52700","1.313346","-1.349954","0.087873","0.644895","0.000096968","600349.391","0","10336295","544016","557027118614","29317216769"
"2018/01","한국타이어앤테크놀로지","161390","STK","53500","56100","52700","1.500788","0.08299","0.069788","0.295375","0.000072252","419680.5878","4.545455","6183537","281070","334477592884","15203526949"
"2018/02","한국타이어앤테크놀로지","161390","STK","59000","59000","53400","2.810398","-0.361174","0.152082","0.144517","0.000100551","212753.2667","5.555556","7375720","409762","411732275829","22874015324"
"2018/03","한국타이어앤테크놀로지","161390","STK","53600","60100","52500","1.787436","-1.439918","0.170356","0.401481","0.000112705","312910.5444","0","5366388","255542","296549763520","14121417310"
"2018/04","한국타이어앤테크놀로지","161390","STK","49450","54100","47350","1.645492","3.95214","0.173131","0.752347","0.000073562","440867.701","9.52381","5423581","258266","272916783316","12996037301"
"2018/05","한국타이어앤테크놀로지","161390","STK","42850","50400","42750","1.987399","0.685112","0.236466","1.362021","0.000119158","341430.1313","0","6190351","309518","290963472584","14548173629"
"2018/06","한국타이어앤테크놀로지","161390","STK","42100","46800","42100","1.919491","0.798149","0.249301","0.655592","0.000118211","344131.7361","5.263158","4953422","260706","222685975776","11720314515"
"2018/07","한국타이어앤테크놀로지","161390","STK","44400","44650","40300","1.780888","-0.839796","0.284752","0.786994","0.000153906","266992.4836","4.545455","4880912","221860","208676971106","9485316868"
"2018/08","한국타이어앤테크놀로지","161390","STK","46650","46900","43000","2.034034","-0.681998","0.283026","0.859646","0.000177482","477131.24","0","4562690","207395","206562884335","9389222015"
"2018/09","한국타이어앤테크놀로지","161390","STK","50100","50300","45700","1.569288","4.785331","0.0131","0.518291","0.00008146","615643.1328","0","4295461","252674","205441724730","12084807337"
"2018/10","한국타이어앤테크놀로지","161390","STK","41400","49250","40700","2.313969","1.372447","-0.836636","0.417255","0.000151019","275758.8816","4.761905","5644070","268765","255124622384","12148791542"
"2018/11","한국타이어앤테크놀로지","161390","STK","42800","43700","39250","1.849017","2.227683","-0.788683","0.469045","0.000149654","285811.7441","4.545455","4454772","202490","184626413478","8392109704"
"2018/12","한국타이어앤테크놀로지","161390","STK","40150","43900","39600","2.04581","-1.326338","-0.782675","0.886634","0.000193432","197781.4472","0","4472581","235399","187210687817","9853194096"
"2019/01","한국타이어앤테크놀로지","161390","STK","41800","43500","37000","2.518373","1.637722","-0.758184","0.549467","0.000141954","251783.0234","4.545455","7070790","321400","279167644855","12689438403"
"2019/02","한국타이어앤테크놀로지","161390","STK","42750","43150","41000","1.860713","3.300162","-0.774127","0.431041","0.000117001","380348.9171","11.764706","3998058","235180","166742806869","9808400404"
"2019/03","한국타이어앤테크놀로지","161390","STK","37450","43900","37450","1.948073","-0.482856","-0.726725","0.925335","0.000151276","440223.7149","0","5879682","293984","243280811512","12164040576"
