연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","한온시스템","018880","STK","13900","13950","12900","2.829182","-0.457522","0.222566","1.446609","0.000191573","643133.2054","5.263158","16778759","883093","225945117006","11891848263"
"2018/01","한온시스템","018880","STK","13050","13700","12250","2.207136","-0.275849","0.209821","1.182256","0.000133987","990466.8128","0","23394769","1063399","302765279140","13762058143"
"2018/02","한온시스템","018880","STK","12500","13750","11800","2.717688","-0.881098","0.177674","0.892006","0.000203787","517232.117","0","17535639","974202","223236621000","12402034500"
"2018/03","한온시스템","018880","STK","11450","12400","11450","1.9183","2.206819","0.213006","0.742516","0.000123081","1173949.5964","4.761905","19324545","920216","228547569827","10883217611"
"2018/04","한온시스템","018880","STK","10900","11800","10850","2.263358","0.364455","0.21994","0.610042","0.000185282","575641.4458","4.761905","17339290","825680","194862785050","9279180240"
"2018/05","한온시스템","018880","STK","10100","11650","10100","2.896229","0.320448","0.255415","0.508086","0.000224987","468044.9772","5","20807307","1040365","222381958884","11119097944"
"2018/06","한온시스템","018880","STK","10600","11450","10150","2.953109","5.62472","0.217976","1.215905","0.000148968","1065486.1023","0","21604569","1137083","235153605914","12376505574"
"2018/07","한온시스템","018880","STK","10700","11150","9760","2.542422","1.339641","0.2105","0.936655","0.00016954","574480.048","18.181818","21178179","962645","223813369109","10173334960"
"2018/08","한온시스템","018880","STK","12000","12100","10800","1.820341","1.078775","0.181439","-0.279422","0.0001593","616376.6528","13.636364","15872997","721500","184078761800","8367216445"
"2018/09","한온시스템","018880","STK","12650","13250","11750","2.89164","0.650781","0.072253","0.944502","0.000165196","664397.336","5.882353","18997851","1117521","240377316745","14139842161"
"2018/10","한온시스템","018880","STK","10950","12900","10250","2.861131","-0.779492","-0.412998","0.937618","0.000164369","748422.6929","4.761905","29405010","1400239","347805663304","16562174443"
"2018/11","한온시스템","018880","STK","10500","10800","10250","2.57549","0.162142","-0.433501","0.6964","0.000181146","869442.0218","0","22076348","1003470","233426645550","10610302070"
"2018/12","한온시스템","018880","STK","10800","11200","9760","2.899053","0.516977","-0.437995","1.491315","0.000172293","828879.5034","5.263158","23227734","1222512","242835221300","12780801121"
"2019/01","한온시스템","018880","STK","12800","12800","10500","3.068819","-0.583677","-0.415306","1.815394","0.00016002","622460.5157","13.636364","30517645","1387166","362762740350","16489215470"
"2019/02","한온시스템","018880","STK","12450","12750","12300","1.46614","0.145999","-0.410827","0.395853","0.000135253","759050.5354","5.882353","13073428","769025","163183846314","9599049783"
"2019/03","한온시스템","018880","STK","11350","12250","11200","1.821012","-0.975986","-0.36715","1.088356","0.000197671","398824.9146","15","13762996","688150","161548401043","8077420052"
"2019/04","한온시스템","018880","STK","12550","12800","11400","2.061253","-0.411969","-0.409921","0.550271","0.000140295","762340.7624","9.090909","20433669","928803","249597107904","11345323087"
"2019/05","한온시스템","018880","STK","11600","12700","10850","2.255182","-0.240005","-0.409106","1.113394","0.000202372","574935.324","9.52381","16322358","777255","189262559000","9012502810"
"2019/06","한온시스템","018880","STK","11650","12300","11550","1.769317","1.943448","-0.418306","0.804346","0.000189862","635572.9649","10.526316","9615313","506069","114683528450","6035975182"
"2019/07","한온시스템","018880","STK","11700","12100","11200","1.639438","5.92582","-0.389723","0.378406","0.00009871","499879.5559","30.434783","15902730","691423","185810551495","8078719630"
"2019/08","한온시스템","018880","STK","11600","11950","11150","1.271811","0.983456","-0.385212","0.345072","0.000130022","714594.8967","14.285714","13966568","665075","160591460700","7647212414"
"2019/09","한온시스템","018880","STK","12000","12350","11450","1.281851","-0.671364","-0.399795","0.54054","0.000146394","552745.3484","10.526316","10506764","552988","125613901830","6611257991"
"2019/10","한온시스템","018880","STK","11600","12200","11450","1.784956","0.519727","-0.401048","1.083793","0.000207112","651524.0384","9.52381","12617528","600835","148170492232","7055737725"
"2019/11","한온시스템","018880","STK","10800","11800","10550","1.363662","0.497038","-0.414528","0.510798","0.000135704","576484.4331","19.047619","14980761","713370","166766677807","7941270372"
"2019/12","한온시스템","018880","STK","11150","11400","10700","1.034791","-0.497022","-0.464734","0.255662","0.000156081","407558.8728","25","9677455","483873","106671409400","5333570470"
"2020/01","한온시스템","018880","STK","10500","11250","10500","1.443724","-0.134247","-0.442143","0.356681","0.000154346","748672.7905","10","13671253","683563","149705655500","7485282775"
"2020/02","한온시스템","018880","STK","10550","11300","10400","2.009764","1.359211","-0.411711","0.806098","0.000130502","1060394.7753","5","21931719","1096586","236715692220","11835784611"
"2020/03","한온시스템","018880","STK","8870","10650","8590","3.706982","0.090117","-0.544006","0.495655","0.000199614","1097329.8196","0","31651183","1438690","298665472140","13575703279"
"2020/04","한온시스템","018880","STK","9130","9320","8250","2.760685","-0.288405","-0.435166","1.035494","0.000219134","932903.6958","0","22482017","1124101","200070778929","10003538946"
"2020/05","한온시스템","018880","STK","9740","9740","8610","2.64746","0.693414","-0.442541","1.02433","0.000151768","1705615.3649","5.263158","29418856","1548361","267750336422","14092122970"
"2020/06","한온시스템","018880","STK","9060","10700","9050","2.992452","1.53466","-0.450979","1.210284","0.000187811","1467521.2423","4.545455","26838608","1219937","265372811906","12062400541"
"2020/07","한온시스템","018880","STK","9960","10050","9130","2.3091","0.453873","-0.455118","0.563605","0.000154991","2192680.9792","8.695652","28954353","1258885","279278614773","12142548468"
"2020/08","한온시스템","018880","STK","12900","13900","9670","4.452918","0.213009","-0.432679","1.322409","0.000113148","1102251.4723","0","77295158","3864758","972535824660","48626791233"
"2020/09","한온시스템","018880","STK","12350","13450","11650","3.262135","0.531235","-0.40342","0.60992","0.000112384","1086143.7613","9.52381","35769070","1703289","455480948800","21689568990"
"2020/10","한온시스템","018880","STK","11200","12950","11200","2.046364","0.676671","-0.363339","1.768682","0.000168453","666388.8086","15.789474","15314482","806025","190085440050","10004496845"
