연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","현대건설","000720","STK","36300","36750","34650","2.515878","-0.045862","0.080467","1.917192","0.000105293","248785.8289","10.526316","9153851","481782","326675514174","17193448114"
"2018/01","현대건설","000720","STK","42900","43600","36300","2.819862","-0.424844","0.070179","0.530851","0.000055051","826232.6813","4.545455","21246246","965738","857873546050","38994252093"
"2018/02","현대건설","000720","STK","38500","44150","38350","2.561492","0.362112","0.045106","1.334108","0.000078609","489910.4507","5.555556","12933474","718526","531261751950","29514541775"
"2018/03","현대건설","000720","STK","43700","43700","37450","3.099786","0.509082","0.018864","1.39203","0.000077642","688916.7234","0","17091198","813867","703921927362","33520091779"
"2018/04","현대건설","000720","STK","63600","63600","40550","6.806437","7.844228","-0.016446","4.732039","0.000052524","901969.4276","0","49378097","2351338","2543960641575","121140982932"
"2018/05","현대건설","000720","STK","73800","79100","60900","8.443784","6.995348","-0.032746","3.45053","0.000007884","5573728.0579","0","146089092","7304455","10131216733200","506560836660"
"2018/06","현대건설","000720","STK","57500","72300","54700","4.258624","-0.414767","0.002103","2.730372","0.000017546","2152110.9876","0","66542076","3502215","4365948900500","229786784237"
"2018/07","현대건설","000720","STK","58500","58800","50000","3.851226","-0.078723","0.027421","2.42401","0.000033123","920298.9198","0","35651891","1620541","1935274388200","87967017645"
"2018/08","현대건설","000720","STK","60000","63900","57100","2.563858","0.317468","0.0141","1.186054","0.000028837","1354890.0436","0","23538446","1069929","1420675579100","64576162686"
"2018/09","현대건설","000720","STK","67500","68900","60500","2.601245","2.735208","-0.118712","0.379438","0.000016253","3725726.3286","5.882353","22622525","1330737","1499789022300","88222883665"
"2018/10","현대건설","000720","STK","45750","68800","44200","3.466581","0.495654","-0.861648","1.44185","0.000037667","796778.813","4.761905","25711469","1224356","1420519981550","67643808645"
"2018/11","현대건설","000720","STK","55000","55000","44950","3.076834","2.474487","-0.7997","2.444833","0.00004326","953756.0895","0","19834703","901577","1011768448900","45989474950"
"2018/12","현대건설","000720","STK","54600","58400","51600","2.801454","-1.17493","-0.807136","1.268845","0.000044773","655966.786","5.263158","17660220","929485","993146117400","52270848284"
"2019/01","현대건설","000720","STK","62200","62400","53100","1.802415","0.548116","-0.807685","0.978074","0.00003631","817003.9488","4.545455","14759283","670877","871810952800","39627770582"
"2019/02","현대건설","000720","STK","57200","65000","57200","2.471172","5.393767","-0.796005","1.301269","0.000027308","1042881.6471","0","12101499","711853","757234993700","44543234924"
"2019/03","현대건설","000720","STK","53400","54300","50000","2.206928","3.143774","-0.791552","1.207171","0.000037075","824689.9866","10","15924414","796221","830217424200","41510871210"
"2019/04","현대건설","000720","STK","52500","54900","50300","1.69353","1.534274","-0.799695","0.457974","0.000042462","623705.4916","18.181818","10138698","460850","537918954450","24450861566"
"2019/05","현대건설","000720","STK","51400","52300","46300","2.403229","1.422765","-0.718422","1.748617","0.000078019","397060.4534","0","9573133","455863","474812918550","22610138979"
"2019/06","현대건설","000720","STK","53600","56200","51500","1.909507","-0.022539","-0.716639","1.612796","0.000048526","734779.8674","5.263158","9555007","502895","518913758300","27311250437"
"2019/07","현대건설","000720","STK","43050","55000","43050","1.914759","0.425645","-0.696599","1.385941","0.000047007","993700.3767","0","15649489","680413","746278936674","32446910290"
"2019/08","현대건설","000720","STK","41350","42350","38800","2.246254","-0.178414","-0.663755","1.533379","0.000070785","809883.7027","0","12876894","613185","521203757450","24819226545"
"2019/09","현대건설","000720","STK","46300","48200","41150","2.552785","1.618365","-0.679245","2.44094","0.000058367","624649.6243","5.263158","12451178","655325","568299256794","29910487200"
"2019/10","현대건설","000720","STK","42950","46400","42850","1.920087","-0.229819","-0.698204","1.169392","0.000080517","525389.5232","0","8440785","401942","373623059228","17791574249"
"2019/11","현대건설","000720","STK","40950","45350","40950","1.533779","0.023683","-0.706086","1.498131","0.000076557","597821.2609","9.52381","7088404","337543","309561063900","14741003043"
"2019/12","현대건설","000720","STK","42300","43900","40250","1.319883","0.743349","-0.750393","0.909585","0.000060258","601876.8534","0","7223747","361187","304605215600","15230260780"
"2020/01","현대건설","000720","STK","38200","42050","37650","2.529466","-0.232299","-0.719292","1.481352","0.000078893","528432.9007","5","11362743","568137","454277445950","22713872298"
"2020/02","현대건설","000720","STK","34700","40700","34650","2.441185","1.337347","-0.677358","1.267185","0.000084327","395887.4779","5","10919696","545985","413080514600","20654025730"
"2020/03","현대건설","000720","STK","27450","36000","19300","7.154972","0.483782","-0.7363","1.629774","0.000146106","478443.0694","0","28689975","1304090","764127154200","34733052464"
"2020/04","현대건설","000720","STK","35050","35300","25800","3.131892","0.772982","-0.161182","1.176409","0.000080162","905167.9162","0","24928071","1246404","792597897650","39629894883"
"2020/05","현대건설","000720","STK","34200","35200","32300","2.430855","-0.458154","-0.162585","1.399429","0.000065558","780830.1951","0","15818768","832567","534516689400","28132457337"
"2020/06","현대건설","000720","STK","33050","37200","31350","3.572141","0.296979","-0.18916","1.329921","0.000069332","992735.1449","0","35152625","1597847","1261268863750","57330402898"
"2020/07","현대건설","000720","STK","34300","35700","33400","1.638819","-1.316227","-0.238055","0.174211","0.000058067","705261.4453","0","17268502","750804","598920364650","26040015854"
"2020/08","현대건설","000720","STK","32250","36550","31950","2.613264","0.981009","-0.275532","1.404641","0.000051287","1333894.3383","0","22875213","1143761","788985195950","39449259798"
"2020/09","현대건설","000720","STK","30450","33000","29650","1.481394","0.554786","-0.251024","0.86771","0.000059329","877908.0008","0","12497243","595107","397833324500","18944444024"
"2020/10","현대건설","000720","STK","30650","31900","30150","1.406155","0.096549","-0.24519","0.074423","0.000058591","770195.8435","5.263158","11702156","615903","364551754550","19186934450"
"2020/11","현대건설","000720","STK","33600","35100","30750","1.906037","0.586375","-0.238128","0.735655","0.000043384","1702170.531","0","23511587","1119599","786098067550","37433241312"
"2020/12","현대건설","000720","STK","37450","38900","34550","2.160288","-0.722849","-0.271773","1.222491","0.0000378","1097510.1121","0","28134361","1339731","1041930492800","49615737752"
"2021/01","현대건설","000720","STK","40250","45600","38250","3.131656","0.113679","-0.266269","0.862847","0.000027601","1232882.2066","5","43799344","2189967","1882326803550","94116340178"
"2021/02","현대건설","000720","STK","39800","44850","39800","2.961154","2.105005","-0.283034","1.38698","0.000058295","900496.4194","0","15732249","874014","670250830400","37236157244"
"2021/03","현대건설","000720","STK","44050","44100","39050","1.56549","2.35354","-0.284902","0.598947","0.000040587","1546614.5568","0","17017686","773531","719088017523","32685818978"
