연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","현대미포조선","010620","STK","78700","98800","77700","4.856662","5.328047","0.127788","0.827367","0.000149495","118826.2453","0","3924007","206527","345122725000","18164353947"
"2018/01","현대미포조선","010620","STK","111500","113000","86000","2.884105","0.728887","0.104785","0.568286","0.00014041","115151.9859","0","3720774","169126","375527358600","17069425391"
"2018/02","현대미포조선","010620","STK","109000","113000","99100","3.326803","-0.078369","0.121011","1.509834","0.000237465","56518.715","11.111111","1911031","106168","202501884100","11250104672"
"2018/03","현대미포조선","010620","STK","100000","114000","99300","3.139391","-0.06717","0.134832","1.725214","0.000150905","99380.2876","4.761905","3501147","166721","374542438000","17835354190"
"2018/04","현대미포조선","010620","STK","89500","97700","83100","3.32741","5.794414","0.132157","2.844364","0.000122437","203311.0612","0","4039904","192376","369302270900","17585822424"
"2018/05","현대미포조선","010620","STK","93700","101000","90700","2.736963","-1.148167","0.161438","-0.396494","0.000152689","62440.609","10","3324073","166204","323271656200","16163582810"
"2018/06","현대미포조선","010620","STK","85800","94400","83700","2.694565","-0.789212","0.191393","1.71069","0.000203736","140501.7097","5.263158","2507975","131999","220826973600","11622472295"
"2018/07","현대미포조선","010620","STK","93500","93500","79900","2.378082","1.200296","0.215947","0.220848","0.000104229","271194.0184","13.636364","3900415","177292","332783201000","15126509136"
"2018/08","현대미포조선","010620","STK","97800","99900","89300","2.507399","-0.02268","0.20122","1.645373","0.000115408","178073.4376","0","3725028","169319","355397862100","16154448277"
"2018/09","현대미포조선","010620","STK","103500","103500","94500","2.001118","2.222806","0.003792","0.245141","0.000104058","169754.9149","0","2319855","136462","228875510604","13463265330"
"2018/10","현대미포조선","010620","STK","94000","109000","89400","2.183743","-0.222738","-0.145524","0.744769","0.000108976","178389.93","4.761905","3712393","176781","361456856100","17212231243"
"2018/11","현대미포조선","010620","STK","109000","110000","87200","3.336734","1.380341","-0.129413","0.860091","0.000138775","164557.0571","0","3738326","169924","374975281636","17044330983"
"2018/12","현대미포조선","010620","STK","60000","112500","56800","2.743574","0.049514","-0.136319","1.458915","0.000113732","298233.7814","0","5737536","301976","358134620800","18849190568"
"2019/01","현대미포조선","010620","STK","62800","66100","58800","2.378224","-0.531332","-0.151927","0.956555","0.000107737","224594.8436","9.090909","6425281","292058","403223086500","18328322114"
"2019/02","현대미포조선","010620","STK","62200","62700","59300","1.963045","3.960835","-0.14445","-0.813056","0.000063512","317617.6498","11.764706","4562255","268368","278837375400","16402198553"
"2019/03","현대미포조선","010620","STK","58800","60900","55600","2.041647","1.08904","-0.140292","1.710303","0.000136349","197111.0574","5","3954471","197724","230014183900","11500709195"
"2019/04","현대미포조선","010620","STK","56200","60000","56200","1.446117","-0.301657","-0.155151","1.516782","0.000148876","170946.6285","4.545455","2876396","130745","167896994500","7631681568"
"2019/05","현대미포조선","010620","STK","48050","57500","47850","1.718874","0.217254","-0.165601","1.279759","0.000163847","194570.0895","4.761905","3333221","158725","171128174700","8148960700"
"2019/06","현대미포조선","010620","STK","49400","52000","48200","1.894299","1.154291","-0.182574","0.576605","0.000162971","209445.654","5.263158","2802679","147509","140484993200","7393947011"
"2019/07","현대미포조선","010620","STK","42850","49700","41500","2.506581","-0.438335","-0.175005","0.931552","0.000275961","182864.1472","0","3620622","157418","163889361200","7125624400"
"2019/08","현대미포조선","010620","STK","41250","42400","37300","2.680317","0.910832","-0.147409","1.74725","0.000257937","136864.139","4.761905","3984362","189732","156178052800","7437050133"
"2019/09","현대미포조선","010620","STK","45100","46550","41650","1.819285","3.113848","-0.163399","1.520079","0.000183537","192646.5332","5.263158","2824150","148639","126171602450","6640610655"
"2019/10","현대미포조선","010620","STK","43450","46800","43150","2.272994","3.603017","-0.138171","1.593415","0.000258034","188578.7711","0","2960956","140998","133601261650","6361964840"
"2019/11","현대미포조선","010620","STK","45000","45000","40100","1.940847","0.728202","-0.142648","0.870693","0.000201181","261862.455","0","3246450","154593","138611850500","6600564310"
"2019/12","현대미포조선","010620","STK","46050","47050","43500","1.584773","-0.604981","-0.16252","1.248854","0.000193854","257567.7665","5","2809411","140471","127587099200","6379354960"
"2020/01","현대미포조선","010620","STK","41450","48600","41450","3.180333","0.809109","-0.157431","1.946258","0.000275479","216688.6026","5","3756745","187837","171413023600","8570651180"
"2020/02","현대미포조선","010620","STK","36250","43600","36250","2.758227","6.061443","-0.146584","1.427531","0.000241496","146925.464","0","3544530","177227","143444143400","7172207170"
"2020/03","현대미포조선","010620","STK","27100","37600","20500","7.203","1.197944","-0.315445","1.560162","0.000551529","181516.0363","4.545455","7112581","323299","199392446700","9063293032"
"2020/04","현대미포조선","010620","STK","30750","31450","26550","3.350927","-1.174321","-0.126711","1.297272","0.000363929","121298.583","0","5829610","291481","171690640400","8584532020"
"2020/05","현대미포조선","010620","STK","34000","34450","28350","3.583447","4.087609","-0.130816","1.735628","0.00023008","392619.3751","0","7801456","410603","246985789575","12999252083"
"2020/06","현대미포조선","010620","STK","31300","38300","31300","3.705322","1.027313","-0.17072","1.609622","0.000282096","247230.7356","4.545455","8620078","391822","309323426900","14060155768"
"2020/07","현대미포조선","010620","STK","31200","33200","29850","2.037952","0.033659","-0.215197","1.368382","0.000284814","145612.9703","4.347826","3991108","173526","125968634750","5476897163"
"2020/08","현대미포조선","010620","STK","30750","33550","30300","2.434296","0.944529","-0.241716","1.183146","0.000230378","220213.6344","5","4595013","229751","145777023350","7288851168"
"2020/09","현대미포조선","010620","STK","29700","30900","27700","1.708023","1.005749","-0.202608","1.26578","0.000304711","155197.8901","14.285714","2771912","131996","83191762350","3961512493"
"2020/10","현대미포조선","010620","STK","28000","30200","27900","1.938949","3.11612","-0.1824","0.788074","0.000302762","145647.455","10.526316","2922487","153815","84952544350","4471186545"
"2020/11","현대미포조선","010620","STK","47500","48250","28900","4.102781","1.152584","0.084267","1.433003","0.000136407","587021.1353","9.52381","16783877","799232","676950714200","32235748295"
"2020/12","현대미포조선","010620","STK","48000","51700","46750","2.417734","6.07181","0.043914","0.571029","0.000064108","707482.2723","0","10212262","486298","501136552450","23863645355"
"2021/01","현대미포조선","010620","STK","43100","53800","43100","3.44459","7.419886","0.078071","0.999718","0.000082783","364873.7774","5","11581007","579050","584554689550","29227734478"
"2021/02","현대미포조선","010620","STK","54000","54000","46200","2.899435","-0.287031","0.02683","0.895673","0.000097786","333520.3076","11.111111","8230678","457260","413675797450","22981988747"
"2021/03","현대미포조선","010620","STK","66900","66900","52200","3.235554","1.907406","0.003122","0.535907","0.000067093","391049.4483","0","12094336","549743","720584582500","32753844659"
"2021/04","현대미포조선","010620","STK","85800","85800","64200","3.337352","1.642399","0.007123","0.018534","0.000068865","367534.0231","0","10446522","474842","758931903200","34496904691"
"2021/05","현대미포조선","010620","STK","84600","94100","83100","3.571149","2.873108","-0.011183","1.242325","0.000041188","927929.2851","0","12539282","659962","1111494454700","58499708142"
"2021/06","현대미포조선","010620","STK","87400","89700","83800","2.122229","0.922268","-0.033721","-0.302475","0.000047556","557613.0993","4.545455","7812576","355117","680721659800","30941893627"
"2021/07","현대미포조선","010620","STK","83900","88600","76800","2.072677","0.106843","-0.008242","1.437309","0.000056293","321577.4635","4.545455","7579519","344524","625048300200","28411286373"
"2021/08","현대미포조선","010620","STK","76300","82900","71500","2.844252","0.284296","-0.007827","1.51081","0.00010507","284179.5484","0","5431500","258643","417242986100","19868713624"
"2021/09","현대미포조선","010620","STK","69900","77700","68300","2.969253","0.942445","0.006731","1.47399","0.000073833","404126.7023","0","7152803","376463","520878638100","27414665163"
"2021/10","현대미포조선","010620","STK","75700","76000","62100","3.916019","2.298403","-0.001863","1.811161","0.000123079","271154.6657","5.263158","6853203","360695","477725428600","25143443611"
"2021/11","현대미포조선","010620","STK","69000","79000","69000","2.649666","0.196811","-0.016251","1.342701","0.000065504","443329.5632","9.090909","8094929","367951","609264617400","27693846245"
"2021/12","현대미포조선","010620","STK","70000","74100","66900","1.845253","0.974341","-0.021217","1.032044","0.000073497","262753.6965","9.090909","5030970","228680","356583929800","16208360445"
"2022/01","현대미포조선","010620","STK","68500","82400","67100","3.168287","2.085434","-0.018318","0.966423","0.000072502","352991.7417","5","8233963","411698","638418898900","31920944945"
"2022/02","현대미포조선","010620","STK","79800","81500","70000","3.220472","5.205734","-0.008676","1.464598","0.00009549","318887.8208","5.555556","5423568","301309","409902165900","22772342550"
"2022/03","현대미포조선","010620","STK","78300","83400","76700","1.880703","-0.672497","0.007212","0.102173","0.000073353","340885.2584","4.761905","5433120","258720","435405343100","20733587767"
"2022/04","현대미포조선","010620","STK","83900","90500","73100","2.543678","1.162696","0.011887","1.214147","0.000078262","398121.075","0","7238270","344680","603642606400","28744886019"
"2022/05","현대미포조선","010620","STK","83800","83800","77800","1.904568","3.487042","0.040187","0.173737","0.000072803","233570.0913","9.52381","4412506","210119","355688817000","16937562714"
"2022/06","현대미포조선","010620","STK","91100","91100","79300","2.370003","-0.52412","0.112271","0.91118","0.000088009","215641.5822","5","4995049","249752","428778590352","21438929518"
"2022/07","현대미포조선","010620","STK","89900","89900","78100","3.297148","5.194346","0.098557","2.454279","0.000082239","286062.2402","0","5132032","244382","428810473656","20419546365"
"2022/08","현대미포조선","010620","STK","107000","116000","95000","2.362033","-0.232694","0.060631","-0.434167","0.000050874","234571.918","4.545455","7710304","350468","808410391200","36745926873"
"2022/09","현대미포조선","010620","STK","103000","111500","97400","3.572159","0.223653","0.052116","1.063475","0.000065878","188214.5143","0","8002340","400117","829433847100","41471692355"
"2022/10","현대미포조선","010620","STK","91800","111500","91400","3.613578","0.678351","0.07397","1.75223","0.000072231","420084.5121","0","7023109","369637","706310057400","37174213547"
"2022/11","현대미포조선","010620","STK","86500","95000","83800","2.815439","0.81016","0.018063","1.5366","0.000055392","345033.736","4.545455","10153614","461528","908229507100","41283159414"
