연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","현대차","005380","STK","156000","162000","150000","1.706045","3.567771","0.273576","0.343102","0.000015858","536521.9132","10.526316","8856335","466123","1369062152440","72055902760"
"2018/01","현대차","005380","STK","162000","162500","146500","2.219875","-0.014953","0.253376","0.160671","0.000018468","543029.2912","0","12990959","590498","2011873204821","91448782037"
"2018/02","현대차","005380","STK","161500","162500","152500","1.809131","0.979616","0.260518","0.756443","0.000017779","443644.1058","11.111111","9078933","504385","1439004122630","79944673479"
"2018/03","현대차","005380","STK","143500","157500","143500","2.119408","-0.051544","0.291357","0.672645","0.000018983","382639.5906","14.285714","11411614","543410","1733359095222","82540909296"
"2018/04","현대차","005380","STK","160000","164000","148500","1.864362","1.420967","0.267778","-1.59173","0.000018284","445311.65","4.761905","12220708","581938","1898209691100","90390937671"
"2018/05","현대차","005380","STK","139000","160000","137500","1.251811","-0.323527","0.309485","0.440958","0.000012756","510465.3099","10","11539982","576999","1698064229228","84903211461"
"2018/06","현대차","005380","STK","125500","143000","125000","1.575194","0.078816","0.260405","1.106696","0.000014066","625227.9173","5.263158","12451114","655322","1662925183669","87522378088"
"2018/07","현대차","005380","STK","129500","130500","119500","1.428544","-0.8708","0.276408","0.361895","0.000021497","425486.6993","9.090909","9794773","445217","1225293926448","55695178475"
"2018/08","현대차","005380","STK","125000","128500","123000","1.246239","0.447003","0.277483","0.211263","0.000019773","400067.5916","13.636364","7960303","361832","997756478306","45352567196"
"2018/09","현대차","005380","STK","129500","134000","125000","1.544231","0.451943","0.304009","0.27886","0.000020694","368663.8753","11.764706","8007664","471039","1039806899155","61165111715"
"2018/10","현대차","005380","STK","106500","129000","106000","2.002063","0.932105","-0.45735","0.932265","0.000023994","511278.9183","4.761905","12778244","608488","1464990091280","69761432918"
"2018/11","현대차","005380","STK","107000","110000","92800","3.064172","0.742559","-0.461156","0.843964","0.00002279","510656.722","13.636364","18634890","847040","1898773293715","86307876987"
"2018/12","현대차","005380","STK","118500","123000","107500","2.076525","2.32016","-0.468965","1.267266","0.000016363","426737.3669","21.052632","12612735","663828","1464559276106","77082067163"
"2019/01","현대차","005380","STK","129500","131000","114000","1.931471","0.994239","-0.46072","1.358271","0.000019911","399923.2382","13.636364","12840421","583656","1600292340828","72740560947"
"2019/02","현대차","005380","STK","126500","129500","119000","1.967251","2.694403","-0.461427","0.190294","0.000016334","578152.2177","11.764706","10278056","604592","1274452587500","74967799265"
"2019/03","현대차","005380","STK","119500","125500","118500","2.126022","-0.361345","-0.442581","1.716002","0.000023076","346080.5201","20","10837859","541893","1320007061750","66000353088"
"2019/04","현대차","005380","STK","138500","139000","119000","1.540984","-0.468816","-0.480712","0.453219","0.000018744","553409.1811","9.090909","12400505","563659","1631944838384","74179310836"
"2019/05","현대차","005380","STK","134500","138500","125500","1.598027","0.644468","-0.439166","0.914474","0.000014831","621344.3282","14.285714","13022972","620142","1715959550800","81712359562"
"2019/06","현대차","005380","STK","140000","143500","138500","1.128899","0.913871","-0.442562","1.075216","0.000014221","498373.8219","15.789474","7738160","407272","1085551988748","57134315197"
"2019/07","현대차","005380","STK","126500","141500","126500","1.401094","0.275752","-0.441245","0.68958","0.0000182","647840.7147","4.347826","11677273","507708","1572415108000","68365874261"
"2019/08","현대차","005380","STK","128500","132500","124000","1.306762","-1.394148","-0.412619","0.455004","0.000017752","527508.8842","9.52381","11835317","563587","1508918425201","71853258343"
"2019/09","현대차","005380","STK","134000","134500","126000","1.146594","0.197418","-0.478711","0.038855","0.000012909","751791.9512","5.263158","10405909","547679","1349419004390","71022052863"
"2019/10","현대차","005380","STK","122000","132500","121000","1.31943","-0.256794","-0.467467","0.587851","0.000015073","410976.0854","23.809524","11660438","555259","1446541799750","68882942845"
"2019/11","현대차","005380","STK","121000","126000","121000","1.066198","0.12902","-0.457315","0.742024","0.000010085","662177.9015","19.047619","13907036","662240","1723332024500","82063429738"
"2019/12","현대차","005380","STK","120500","124000","118000","1.231176","1.926914","-0.483031","0.95732","0.000007045","1656136.4921","10","24707303","1235365","2984440736462","149222036823"
