연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","현대로템","064350","STK","18750","19650","18000","3.004067","3.965782",,"1.336626","0.000751445","115143.5446","0","2361783","124304","45038569250","2370451013"
"2018/01","현대로템","064350","STK","17150","19250","16750","2.063836","10.400081",,"-0.115739","0.000314733","232560.1254","13.636364","8560181","389099","147432313200","6701468782"
"2018/02","현대로템","064350","STK","15450","17200","15000","1.729383","0.815314",,"1.061371","0.00041607","182930.2333","11.111111","3642786","202377","57238914050","3179939669"
"2018/03","현대로템","064350","STK","15800","16050","15100","1.897549","0.79806",,"0.739146","0.0003404","285365.3419","4.761905","5809784","276656","91560092300","4360004395"
"2018/04","현대로템","064350","STK","26700","26700","15800","6.706183","14.906995",,"3.171525","0.00021508","416856.9489","9.52381","27318939","1300902","605018407250","28810400345"
"2018/05","현대로템","064350","STK","38650","40150","27000","12.410045","0.403873",,"0.479399","0.000035422","5466386.3339","0","204954740","10247737","6903185381000","345159269050"
"2018/06","현대로템","064350","STK","28050","40550","27300","4.376847","0.567508",,"3.314095","0.000019752","3313095.4662","0","150308690","7910984","5392127609000","283796189947"
"2018/07","현대로템","064350","STK","27200","28250","22800","6.065276","3.538499",,"3.659484","0.000047419","1607049.3917","4.545455","79910881","3632313","2088316192900","94923463314"
"2018/08","현대로템","064350","STK","27250","31550","26500","3.558885","5.191457",,"-0.340272","0.000021145","3038180.1284","4.545455","76439947","3474543","2197480122550","99885460116"
"2018/09","현대로템","064350","STK","30500","32450","27700","2.979585","0.196155","-0.115619","0.935086","0.000018542","5208488.8519","5.882353","62736609","3690389","1911778305150","112457547362"
"2018/10","현대로템","064350","STK","21850","32500","20750","5.42265","1.147708","-0.640508","1.707591","0.000057811","1341983.6869","0","54520665","2596222","1466035262350","69811202969"
"2018/11","현대로템","064350","STK","27100","27100","22200","2.975698","0.914984","-0.591541","1.388419","0.000058941","1290170.2669","4.545455","38546678","1752122","966535732950","43933442407"
"2018/12","현대로템","064350","STK","27850","30150","26950","3.486503","-0.432023","-0.600981","1.406519","0.000047285","1318498.7275","5.263158","37168573","1956241","1056816846400","55621939284"
"2019/01","현대로템","064350","STK","26450","29650","26150","2.591744","1.133279","-0.606124","-0.036496","0.00004462","852526.9659","22.727273","29290874","1331403","828079528200","37639978555"
"2019/02","현대로템","064350","STK","25900","29550","25900","4.045014","5.034918","-0.606593","1.476342","0.000052838","845575.1237","0","26211971","1541881","747565546650","43974443921"
