연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","한국조선해양","009540","STK","100500","153000","96900","7.275618","11.356849","0.353229","1.187022","0.000104008","99578.1112","0","5693198","299642","669812264140","35253277060"
"2018/01","한국조선해양","009540","STK","139000","143500","107500","2.699317","1.375489","0.294526","-0.457887","0.000051968","308970.4419","4.545455","6652222","302374","864534546250","39297024830"
"2018/02","한국조선해양","009540","STK","131000","140000","125000","2.768847","-0.860994","0.285807","1.483953","0.0000728","246815.3615","0","4911906","272884","642293252000","35682958444"
"2018/03","한국조선해양","009540","STK","132000","152000","123500","3.948827","3.999213","0.288359","1.540161","0.00004146","175738.0208","14.285714","9613554","457788","1355794349755","64561635703"
"2018/04","한국조선해양","009540","STK","119500","129500","112500","2.896658","1.662788","0.285881","2.957527","0.000049078","175671.3245","14.285714","6296629","299839","778118012500","37053238690"
"2018/05","한국조선해양","009540","STK","114500","128500","113000","2.336205","0.249846","0.28883","0.226077","0.00004272","269953.2979","5","6732157","336608","826918875874","41345943794"
"2018/06","한국조선해양","009540","STK","102000","125000","99900","3.197665","-0.69875","0.325224","2.478324","0.000098036","102588.3538","5.263158","4769931","251049","533765429848","28092917360"
"2018/07","한국조선해양","009540","STK","106500","107500","95200","2.225487","0.729808","0.357576","0.769588","0.000059237","265496.4987","4.545455","6509152","295871","652701602910","29668254678"
"2018/08","한국조선해양","009540","STK","118000","120000","102000","3.182102","1.777732","0.332181","1.959689","0.000071771","191146.7404","4.545455","7808239","354920","889509064500","40432230205"
"2018/09","한국조선해양","009540","STK","134500","134500","118500","2.032401","-0.198771","0.090678","-0.007793","0.000054411","173282.7184","5.882353","4077246","239838","516594430256","30387907662"
"2018/10","한국조선해양","009540","STK","124500","141500","116000","2.981728","0.263328","-0.08551","1.235175","0.000052105","311767.926","4.761905","6442965","306808","828399142796","39447578228"
"2018/11","한국조선해양","009540","STK","132000","138000","116000","3.079147","0.582912","-0.084466","1.168289","0.000056391","182025.969","9.090909","6288097","285823","815999499000","37090886318"
"2018/12","한국조선해양","009540","STK","128500","143000","124500","2.449764","-0.123276","-0.086005","1.300512","0.000049339","190945.9504","10.526316","5126390","269810","686874832500","36151306974"
"2019/01","한국조선해양","009540","STK","138500","144500","125500","2.426272","-0.042985","-0.111466","0.733549","0.000053157","258709.9314","0","6755354","307062","936194665000","42554302955"
"2019/02","한국조선해양","009540","STK","131500","133500","124500","2.425324","4.424408","-0.100364","-0.303246","0.000028324","270782.6009","11.764706","7485177","440305","969876204000","57051541412"
