연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","고려아연","010130","STK","493000","493000","464000","1.190877","0.870663","0.092816","0.641998","0.000063907","49721.6294","10.526316","592513","31185","284300907820","14963205675"
"2018/01","고려아연","010130","STK","515000","537000","481000","1.966547","2.48068","0.070727","0.697889","0.00007501","47486.5862","9.090909","863640","39256","445159992641","20234545120"
"2018/02","고려아연","010130","STK","512000","525000","491000","1.361205","2.641397","0.072078","0.575676","0.000041948","109474.6771","5.555556","767831","42657","388906197773","21605899876"
"2018/03","고려아연","010130","STK","479000","507000","475500","1.318329","1.33269","0.080006","0.426981","0.000070787","47902.5726","4.761905","700722","33368","341459862550","16259993455"
"2018/04","고려아연","010130","STK","433500","471000","427000","1.506351","-0.096608","0.073102","0.418056","0.000075966","60515.6476","0","876030","41716","388386839781","18494611418"
"2018/05","고려아연","010130","STK","405500","455000","405500","1.632929","1.410757","0.098436","0.646508","0.000077374","38553.2738","5","774128","38706","334766181088","16738309054"
"2018/06","고려아연","010130","STK","386000","431000","374000","2.345108","-0.55268","0.251133","1.728325","0.000114794","39766.1439","5.263158","671127","35322","267964974444","14103419708"
"2018/07","고려아연","010130","STK","412500","412500","367500","2.074461","0.197062","0.263593","0.984809","0.000121336","35192.7999","4.545455","693067","31503","267486725489","12158487522"
"2018/08","고려아연","010130","STK","405500","418500","379000","1.819183","0.035462","0.2665","1.030574","0.000098465","45518.6006","4.545455","784349","35652","314355856292","14288902559"
"2018/09","고려아연","010130","STK","436000","439500","396500","2.02987","-0.831422","0.291339","0.863523","0.000101746","33080.4807","0","723530","42561","301688938512","17746408148"
"2018/10","고려아연","010130","STK","379000","432500","379000","1.474636","-0.699282","-0.44363","0.48862","0.000095765","41168.0144","0","769930","36663","307501765000","14642941190"
"2018/11","고려아연","010130","STK","425500","442000","374500","1.812735","1.683835","-0.403143","0.92619","0.000090332","60367.2695","0","836618","38028","350527899079","15933086322"
"2018/12","고려아연","010130","STK","432500","453500","432500","1.498558","-0.451364","-0.414061","0.122807","0.000080287","53981.7577","5.263158","615528","32396","272754465639","14355498192"
"2019/01","고려아연","010130","STK","440500","453500","421500","1.773462","0.113766","-0.408554","-0.075937","0.000078445","46752.5968","4.545455","869174","39508","377458280000","17157194545"
"2019/02","고려아연","010130","STK","456500","467000","431000","1.328797","-0.696098","-0.4124","0.812802","0.000064118","52124.6691","0","673524","39619","299001301282","17588311840"
"2019/03","고려아연","010130","STK","465000","465000","437000","1.275668","1.828689","-0.427891","0.632876","0.000083159","43809.7487","5","519043","25952","235878859206","11793942960"
"2019/04","고려아연","010130","STK","452500","489000","445000","1.164487","-0.15314","-0.421754","0.982851","0.000052933","47909.2971","9.090909","837496","38068","391711940564","17805088207"
"2019/05","고려아연","010130","STK","437000","447000","421500","1.30188","0.245311","-0.388669","0.995091","0.000071349","56621.9515","0","678262","32298","294286079759","14013622846"
"2019/06","고려아연","010130","STK","476000","481500","447000","1.292342","0.714327","-0.390791","0.541552","0.000068118","55075.9928","0","633333","33333","294481758000","15499039895"
"2019/07","고려아연","010130","STK","442500","463000","436000","1.526105","2.416491","-0.383739","0.472154","0.00007276","42960.1069","4.347826","752362","32711","338457287000","14715534217"
"2019/08","고려아연","010130","STK","435000","447000","423500","1.415266","8.412191","-0.356988","0.393324","0.000065656","75736.6668","0","666853","31755","289788270700","13799441462"
"2019/09","고려아연","010130","STK","448000","450000","435000","1.165939","-0.952855","-0.38993","0.496817","0.000102091","44679.554","0","433614","22822","191501213500","10079011237"
"2019/10","고려아연","010130","STK","434500","450500","431000","1.443086","1.189139","-0.422053","1.198452","0.000106666","39687.7418","4.761905","477404","22734","209854913844","9993091135"
"2019/11","고려아연","010130","STK","406000","442500","406000","0.851613","0.170079","-0.387393","0.676001","0.000056824","112626.4217","0","633349","30159","267103712740","12719224416"
"2019/12","고려아연","010130","STK","425000","431000","404000","1.032118","-0.123076","-0.42459","0.303368","0.000056797","76452.638","0","670633","33532","280970167868","14048508393"
"2020/01","고려아연","010130","STK","380000","435000","380000","1.18875","-0.144529","-0.429827","0.396489","0.00007916","54791.9637","0","618715","30936","256608186629","12830409331"
"2020/02","고려아연","010130","STK","414500","461000","376500","2.954145","1.658048","-0.337363","1.196684","0.000073568","64887.8904","0","1291349","64567","552207821000","27610391050"
"2020/03","고려아연","010130","STK","356000","418500","293500","4.631792","5.075008","-0.525058","0.876125","0.000110833","61951.5497","4.545455","1455530","66160","522714189500","23759735886"
"2020/04","고려아연","010130","STK","386000","412000","345500","2.342619","0.916088","-0.257598","0.498073","0.000078031","91985.726","0","1077072","53854","417053317000","20852665850"
"2020/05","고려아연","010130","STK","378000","386000","368500","1.671501","1.877772","-0.255691","1.217049","0.000069949","55508.3825","0","817781","43041","306328734000","16122564947"
"2020/06","고려아연","010130","STK","335000","393000","334500","2.528392","4.045123","-0.276939","1.173104","0.000093781","64212.2891","4.545455","1214387","55199","444742083000","20215549227"
"2020/07","고려아연","010130","STK","414000","433500","353000","2.963297","2.085572","-0.245786","0.885638","0.000076422","76221.2871","0","1702171","74007","672984740500","29260206109"
"2020/08","고려아연","010130","STK","398500","454000","398500","2.174849","1.670442","-0.264073","0.737402","0.000056986","114814.624","10","1375249","68762","587841305000","29392065250"
"2020/09","고려아연","010130","STK","376500","406000","363000","1.544674","2.901115","-0.268372","1.016488","0.000075983","47995.7698","0","820951","39093","321379438000","15303782762"
"2020/10","고려아연","010130","STK","382500","389000","370500","1.487189","2.774534","-0.263447","0.08754","0.000055687","67381.7646","10.526316","890291","46857","338023743000","17790723316"
"2020/11","고려아연","010130","STK","379000","394500","379000","0.988629","0.764735","-0.290223","0.538393","0.000036167","108964.3563","9.52381","1086855","51755","422090266036","20099536478"
