연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","금호석유","011780","STK","99500","99700","86200","2.207858","-0.453625","0.261657","1.143668","0.000102982","406857.5695","0","3188653","167824","295743586652","15565451929"
"2018/01","금호석유","011780","STK","103000","108500","100000","2.715362","0.587022","0.242842","0.829878","0.00010527","111671.2203","13.636364","4034987","183409","419516451900","19068929632"
"2018/02","금호석유","011780","STK","90600","106000","86800","3.612748","1.087883","0.171016","1.595797","0.000115772","338071.659","5.555556","4580206","254456","433080287900","24060015994"
"2018/03","금호석유","011780","STK","96400","99600","83500","2.866486","0.973287","0.15491","1.51741","0.000129118","131929.4529","4.761905","3613323","172063","335046283700","15954584938"
"2018/04","금호석유","011780","STK","107500","107500","91400","3.632072","0.671035","0.138888","3.606804","0.000195205","70384.6649","0","3348525","159454","326528827500","15548991786"
"2018/05","금호석유","011780","STK","105000","111000","101000","2.475852","-0.494618","0.143075","1.642586","0.000138704","121840.8886","5","2874102","143705","309082854380","15454142719"
"2018/06","금호석유","011780","STK","116500","117000","99300","2.342247","0.610659","0.240963","-0.818121","0.000105709","108163.6834","10.526316","2844218","149696","307906727105","16205617216"
"2018/07","금호석유","011780","STK","113000","115500","107500","2.254706","0.25689","0.250002","1.245754","0.000128154","75351.0259","13.636364","2528155","114916","282769555500","12853161614"
"2018/08","금호석유","011780","STK","102000","110500","99400","2.820384","2.018779","0.269031","0.743261","0.000110663","118633.0943","9.090909","3535605","160709","364932192738","16587826943"
"2018/09","금호석유","011780","STK","98500","102500","94600","2.000863","0.354663","0.077639","1.111734","0.000091521","236729.8249","5.882353","2503732","147278","245618506356","14448147433"
"2018/10","금호석유","011780","STK","86100","89300","80100","3.8516","-0.024481","-0.362975","1.625601","0.000212287","123764.8263","0","3616055","172193","309663701122","14745890530"
"2018/11","금호석유","011780","STK","92200","95900","86800","2.805147","1.85229","-0.337882","1.099894","0.000171176","170240.3667","0","2739702","124532","247923563870","11269252903"
"2018/12","금호석유","011780","STK","87300","93300","83100","2.010253","2.631905","-0.337327","0.978887","0.000153817","112814.2366","15.789474","1894867","99730","164543199608","8660168400"
"2019/01","금호석유","011780","STK","90000","91000","81700","2.78651","9.63381","-0.349378","1.465698","0.000126001","198779.9844","9.090909","2707235","123056","240133700800","10915168218"
"2019/02","금호석유","011780","STK","95700","99500","84200","2.813768","2.147881","-0.360224","2.170101","0.000114256","216865.9362","0","2722462","160145","249226959184","14660409364"
"2019/03","금호석유","011780","STK","95200","100500","91700","2.003007","0.076707","-0.361538","0.924953","0.00013494","122603.6066","0","2444360","122218","233651092500","11682554625"
"2019/04","금호석유","011780","STK","91800","104000","91600","2.090571","0.119209","-0.358655","1.339867","0.000124384","216014.4256","4.545455","2976104","135277","292026169400","13273916791"
"2019/05","금호석유","011780","STK","95800","97500","88300","2.304162","1.196831","-0.307675","1.791306","0.00017672","147191.3221","0","2223668","105889","207148484180","9864213532"
"2019/06","금호석유","011780","STK","97400","102500","93400","2.049184","0.6023","-0.295864","1.128313","0.000153046","128704.5434","0","1846093","97163","179908754800","9468881832"
"2019/07","금호석유","011780","STK","81700","96800","81400","1.377468","-0.153309","-0.336047","0.854882","0.000123455","243251.0513","0","2732452","118802","241236161100","10488528743"
"2019/08","금호석유","011780","STK","70300","82300","68600","2.608579","1.116612","-0.310623","2.137093","0.000170271","157246.1108","0","3131406","149115","226974835879","10808325518"
"2019/09","금호석유","011780","STK","71600","74300","69600","1.615541","0.490452","-0.344862","1.802162","0.000145184","171299.2197","5.263158","2326913","122469","167634865900","8822887679"
"2019/10","금호석유","011780","STK","70000","71800","69100","1.388905","-0.597046","-0.386487","1.202523","0.000157856","134142.6483","0","2314509","110215","163855283400","7802632543"
"2019/11","금호석유","011780","STK","73100","76400","70200","2.479427","2.324358","-0.391399","2.039295","0.000213101","144287.9538","0","2780148","132388","206095605300","9814076443"
"2019/12","금호석유","011780","STK","77500","78800","70600","1.619538","0.168728","-0.424285","1.61679","0.000160131","132079.1244","5","2000959","100048","151178395338","7558919767"
"2020/01","금호석유","011780","STK","65400","79700","65400","2.979369","0.400406","-0.453418","1.87025","0.000204276","151638.7513","0","2850628","142531","212905935150","10645296758"
"2020/02","금호석유","011780","STK","59300","70900","59300","2.31724","5.888677","-0.441354","1.203985","0.000186575","136303.2763","5","2426924","121346","161293206900","8064660345"
"2020/03","금호석유","011780","STK","64800","66000","43950","8.226343","7.381449","-0.201983","1.386069","0.000432038","92950.3569","4.545455","4720523","214569","273275825350","12421628425"
"2020/04","금호석유","011780","STK","76400","76400","61500","3.110576","0.601433","0.191044","0.767044","0.000152451","296263.9194","5","4648009","232400","320198712200","16009935610"
"2020/05","금호석유","011780","STK","70900","73500","69400","2.709533","1.82084","0.194722","1.22438","0.000108048","180339.9107","5.263158","4981847","262202","356504846950","18763412997"
"2020/06","금호석유","011780","STK","74500","79700","69000","3.761776","2.527532","0.178323","1.374035","0.000170579","125955.6671","0","4859869","220903","366402468600","16654657664"
"2020/07","금호석유","011780","STK","84600","89400","71700","3.15908","3.600299","0.147815","0.646824","0.000111291","218047.2633","0","4958567","215590","410598148600","17852093417"
"2020/08","금호석유","011780","STK","100500","105500","82100","2.69005","-0.278573","0.116448","0.549055","0.000106426","151614.6629","5","4585189","229259","446454688400","22322734420"
"2020/09","금호석유","011780","STK","110000","111500","95200","5.002922","2.338612","0.105361","1.062717","0.000140649","102244.0128","0","4217954","200855","432871360300","20612921919"
"2020/10","금호석유","011780","STK","133000","145000","118500","3.960596","1.023112","0.089577","2.025126","0.000070301","194755.4026","5.263158","5711671","300614","770474126000","40551269789"
"2020/11","금호석유","011780","STK","139000","154000","133500","4.785958","4.255461","0.074377","1.400225","0.000038972","388977.7015","4.761905","9863414","469686","1391234779375","66249275208"
"2020/12","금호석유","011780","STK","145000","147000","135000","2.647953","4.798256","0.03861","0.561373","0.000037342","208513.108","14.285714","7045088","335480","988323213004","47063010143"
"2021/01","금호석유","011780","STK","247500","277000","151000","7.048696","2.802996","-0.028324","0.339613","0.000047139","211249.3147","0","15059320","752966","3153818160270","157690908014"
"2021/02","금호석유","011780","STK","211000","276500","210500","4.383606","0.57724","-0.002826","1.64986","0.0000182","471088.8315","0","13579745","754430","3421239599218","190068866623"
"2021/03","금호석유","011780","STK","265000","265000","205000","4.476808","-0.244688","-0.034601","1.900511","0.000024013","318499.4126","0","15298669","695394","3567469116000","162157687091"
"2021/04","금호석유","011780","STK","260000","283000","245000","2.986907","0.792274","-0.032518","-0.430978","0.000015289","454390.3495","0","11884522","540206","3124492457500","142022384432"
"2021/05","금호석유","011780","STK","231500","296000","222000","4.241895","0.107419","-0.043876","2.75344","0.000019211","383669.9977","0","14126731","743512","3613429465000","190180498158"
"2021/06","금호석유","011780","STK","219000","236000","206000","2.658177","1.8508","-0.053838","3.222017","0.000022485","322233.9524","4.545455","7773669","353349","1702358618240","77379937193"
"2021/07","금호석유","011780","STK","203500","223500","203500","1.352511","0.682382","-0.042242","0.563132","0.000017027","445645.7761","4.545455","6445387","292972","1404757560000","63852616364"
"2021/08","금호석유","011780","STK","194500","215000","180500","2.245264","1.029038","-0.027836","1.447502","0.000022315","411994.0244","0","6845702","325986","1344468671250","64022317679"
"2021/09","금호석유","011780","STK","189000","208500","189000","1.962806","0.152134","-0.017435","0.040134","0.000031495","208983.0082","5.263158","4261881","224310","847626695500","44611931342"
"2021/10","금호석유","011780","STK","172000","183000","172000","1.585025","1.997373","-0.013963","0.523683","0.000029951","328300.7863","5.263158","3569402","187863","641313701000","33753352684"
"2021/11","금호석유","011780","STK","155000","171000","155000","1.55796","0.42688","-0.028707","0.860147","0.000045532","214509.424","4.545455","3762337","171015","621856113000","28266186955"
"2021/12","금호석유","011780","STK","166000","190000","166000","3.107435","2.416828","-0.024966","2.122685","0.000040887","232947.0192","4.545455","5791052","263230","1040026961500","47273952795"
"2022/01","금호석유","011780","STK","145500","175000","143500","2.829291","0.49062","-0.05401","1.301415","0.00007205","112243.8479","15","3492709","174635","569542012000","28477100600"
"2022/02","금호석유","011780","STK","160500","164000","147500","3.012735","3.86131","-0.075333","1.243986","0.000067912","119234.3493","0","3453954","191886","542839564500","30157753583"
"2022/03","금호석유","011780","STK","155000","162500","147500","1.920117","0.89955","-0.075658","1.340333","0.000078992","101332.5363","14.285714","2377035","113192","370310320000","17633824762"
"2022/04","금호석유","011780","STK","154500","158000","143000","2.05919","1.455775","-0.073017","1.746873","0.000092168","76519.5441","19.047619","1965618","93601","298572663000","14217745857"
"2022/05","금호석유","011780","STK","160000","160000","145000","1.916198","3.331579","-0.05307","1.322222","0.000092957","60725.913","19.047619","2009638","95697","306744039500","14606859024"
"2022/06","금호석유","011780","STK","139000","163000","137000","2.475709","0.569104","-0.106149","1.242182","0.000127286","92780.0869","5","2011807","100590","304230221500","15211511075"
"2022/07","금호석유","011780","STK","129500","141000","118500","2.475428","3.696867","-0.105921","1.127627","0.000093288","76719.7788","19.047619","2313566","110170","295434142500","14068292500"
"2022/08","금호석유","011780","STK","130000","134500","127000","1.749259","1.667005","-0.110019","1.198371","0.000153287","45100.9687","22.727273","1298588","59027","170138521000","7733569136"
