연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","LG디스플레이","034220","STK","29900","30650","29400","1.541174","0.264578","-0.423986","0.848076","0.000014039","4539089.0362","5.263158","50458063","2655688","1514729322627","79722595928"
"2018/01","LG디스플레이","034220","STK","32200","33250","28950","2.453594","1.836297","-0.421213","1.403209","0.000012875","4062242.5476","0","85372626","3880574","2656889689400","120767713155"
"2018/02","LG디스플레이","034220","STK","29850","31650","29800","1.210615","-0.049306","-0.43247","0.274035","0.000016854","2839601.5995","5.555556","35556026","1975335","1085022504034","60279028002"
"2018/03","LG디스플레이","034220","STK","26150","29250","25700","1.42536","0.246804","-0.393102","0.698049","0.000018054","2268040.6234","9.52381","48387169","2304151","1326224062603","63153526791"
"2018/04","LG디스플레이","034220","STK","23450","26050","23450","1.787918","0.929993","-0.388428","0.57729","0.000027043","2420442.7556","4.761905","44686115","2127910","1111611603950","52933885902"
"2018/05","LG디스플레이","034220","STK","22200","23400","22000","1.942663","3.24417","-0.367923","0.605635","0.000025899","2230243.4893","15","42904304","2145215","978260500054","48913025003"
"2018/06","LG디스플레이","034220","STK","18300","23100","17500","2.504015","0.094376","-0.299919","1.639762","0.000034554","2571950.5868","0","54487875","2867783","1098139186564","57796799293"
"2018/07","LG디스플레이","034220","STK","21250","21900","17750","2.540285","-0.047996","-0.27657","1.049317","0.000033437","2374033.4669","9.090909","60060664","2730030","1203145106606","54688413937"
"2018/08","LG디스플레이","034220","STK","21250","23250","21150","2.074362","-0.210796","-0.286241","0.115189","0.00003106","2295249.672","4.545455","51547536","2343070","1133969306800","51544059400"
"2018/09","LG디스플레이","034220","STK","19100","22050","18950","2.098148","0.042236","-0.012968","0.620694","0.000034017","2613621.7805","0","36995734","2176220","747917267000","43995133353"
