연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","LG전자","066570","STK","106000","107000","93500","2.66305","1.237598","0.000628","0.985978","0.000019322","1233769.8678","0","18398463","968340","1838559425268","96766285540"
"2018/01","LG전자","066570","STK","102500","111000","101000","2.731194","0.46993","-0.013174","0.574458","0.000019807","568651.0796","13.636364","20223135","919233","2159260386686","98148199395"
"2018/02","LG전자","066570","STK","99900","104000","96100","2.395186","-0.010818","-0.011401","0.942017","0.000027352","529602.7715","5.555556","12831919","712884","1278769422628","71042745702"
"2018/03","LG전자","066570","STK","109500","113500","101000","1.915403","0.787966","-0.02368","0.944563","0.000019475","577091.3936","9.52381","14811920","705330","1615701520844","76938167659"
"2018/04","LG전자","066570","STK","102000","111000","100000","2.375962","1.566513","-0.011979","0.98684","0.00001817","581032.4759","14.285714","15979200","760914","1691287201142","80537485769"
"2018/05","LG전자","066570","STK","92600","103000","92600","1.741434","0.685763","-0.008869","0.198946","0.000015043","1124099.0547","15","14756205","737810","1436032278200","71801613910"
"2018/06","LG전자","066570","STK","83000","93600","80900","2.654484","-0.789881","0.060066","0.864091","0.000027848","754837.2815","0","16461447","866392","1441714560553","75879713713"
"2018/07","LG전자","066570","STK","74800","82300","74800","2.679006","0.186422","0.055835","1.497094","0.000029001","933019.4651","0","20944390","952018","1637211604473","74418709294"
"2018/08","LG전자","066570","STK","76800","80400","72200","2.168287","2.122719","0.049805","1.110684","0.000016823","1572480.5583","0","22593457","1026975","1698762424361","77216473835"
"2018/09","LG전자","066570","STK","71000","78100","68200","1.584982","0.257556","0.150357","0.712815","0.000015455","1851045.9568","0","17469526","1027619","1258755467380","74044439258"
"2018/10","LG전자","066570","STK","63300","71100","59400","2.507235","-1.223806","-0.280126","1.50585","0.000041746","644835.4655","4.761905","15467668","736556","1003236383372","47773161113"
"2018/11","LG전자","066570","STK","72500","73800","66000","1.72117","-0.486874","-0.232167","0.79029","0.000029379","684953.6878","0","14635732","665261","1025923806100","46632900277"
"2018/12","LG전자","066570","STK","62300","74400","61300","2.130684","-1.030042","-0.218792","1.471415","0.000039425","591608.8435","0","13739901","723153","912730938600","48038470453"
"2019/01","LG전자","066570","STK","66600","69500","61900","2.269401","1.770384","-0.226935","1.23749","0.000027918","1036750.7309","4.545455","16828078","764913","1102076594696","50094390668"
"2019/02","LG전자","066570","STK","70500","73200","64800","2.333417","3.113313","-0.232395","1.175235","0.000020989","1128269.9219","5.882353","15683699","922571","1106830690800","65107687694"
"2019/03","LG전자","066570","STK","75100","78200","71200","2.442014","-0.479467","-0.232543","1.256593","0.000029749","796359.898","0","18503573","925179","1388206026912","69410301346"
"2019/04","LG전자","066570","STK","75800","77900","73500","1.740692","0.685912","-0.229944","0.94631","0.000023132","1121996.9857","0","16350890","743222","1243509868019","56523175819"
"2019/05","LG전자","066570","STK","78600","78600","70400","1.783066","0.390945","-0.163671","1.504152","0.000024931","1032897.5629","0","14835953","706474","1106026889920","52667947139"
"2019/06","LG전자","066570","STK","79300","82600","77600","1.910751","4.875826","-0.163153","1.397215","0.000021162","1032741.0459","5.263158","12416541","653502","995890393200","52415283853"
"2019/07","LG전자","066570","STK","65300","77400","65300","1.681538","0.956835","-0.205338","0.453164","0.000025069","682114.293","13.043478","15400825","669601","1097098574200","47699938009"
"2019/08","LG전자","066570","STK","61300","64100","59200","1.364672","0.130197","-0.182109","1.211993","0.000034023","820721.8017","4.761905","11388708","542319","693754768700","33035941367"
"2019/09","LG전자","066570","STK","67400","67400","61300","1.762065","3.714012","-0.220669","0.935635","0.000033357","667097.2432","0","10407697","547774","672526736600","35396144032"
"2019/10","LG전자","066570","STK","66900","70300","66300","1.453135","3.922785","-0.238403","0.144831","0.000030104","638399.8275","9.52381","9764759","464989","667176939700","31770330462"
"2019/11","LG전자","066570","STK","69900","71900","67100","1.022389","-0.460385","-0.252829","0.776998","0.000027555","808701.2972","0","8944033","425906","624541765100","29740084052"
"2019/12","LG전자","066570","STK","72100","72500","69100","0.90643","5.07838","-0.274209","0.492816","0.000021096","589271.8927","25","7518281","375914","536528427900","26826421395"
"2020/01","LG전자","066570","STK","65900","71200","65900","1.733955","-0.031996","-0.265467","0.80236","0.00003269","925743.0487","5","12829286","641464","877846135600","43892306780"
"2020/02","LG전자","066570","STK","60400","68900","60400","1.702683","0.574823","-0.253295","0.69937","0.000026893","1175835.7194","5","13332926","666646","874943164300","43747158215"
"2020/03","LG전자","066570","STK","48200","61500","41850","4.295916","0.460638","-0.437097","0.91288","0.000055315","705027.0481","0","24517191","1114418","1265794752010","57536125091"
"2020/04","LG전자","066570","STK","54900","54900","48100","2.082135","2.234256","-0.082509","0.703511","0.000031234","1185082.0744","0","19374372","968719","1019923562150","50996178108"
"2020/05","LG전자","066570","STK","59300","59500","54200","1.805714","-0.221967","-0.086322","0.607648","0.000030491","741807.7913","5.263158","15009500","789974","847579371900","44609440626"
