연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","LG이노텍","011070","STK","144000","161500","136500","3.539081","-0.446939","-0.323359","2.444401","0.000042821","276069.3383","5.263158","7284776","383409","1086319991184","57174736378"
"2018/01","LG이노텍","011070","STK","125500","156500","125500","3.185142","5.560331","-0.335594","0.974729","0.000031937","363595.8009","0","10824560","492025","1498114046679","68096093031"
"2018/02","LG이노텍","011070","STK","132000","135500","121000","2.346251","-1.007219","-0.302922","1.280608","0.000057355","208466.2144","5.555556","5047397","280411","641121747264","35617874848"
"2018/03","LG이노텍","011070","STK","126000","137500","120000","2.94267","-0.890945","-0.290326","1.735382","0.000077942","121538.1051","9.52381","5184190","246866","668888538140","31851835150"
"2018/04","LG이노텍","011070","STK","116500","136500","116500","3.186721","0.131453","-0.279286","1.726562","0.000070522","169364.4423","4.761905","6099695","290462","763215432058","36343592003"
"2018/05","LG이노텍","011070","STK","144000","144500","123500","2.644004","-0.859879","-0.283932","0.486804","0.000062257","220459.683","10","5437043","271852","725054123493","36252706175"
"2018/06","LG이노텍","011070","STK","144500","155500","139000","2.727902","-0.779407","-0.230609","0.894903","0.000063401","181793.1354","0","4568478","240446","671827839768","35359359988"
"2018/07","LG이노텍","011070","STK","163000","163000","139500","2.447358","1.125487","-0.222678","1.27725","0.000067638","112186.3305","4.545455","4096286","186195","639917556000","29087161636"
"2018/08","LG이노텍","011070","STK","143500","164000","137000","2.180887","-0.739877","-0.200226","0.887229","0.000061158","214031.6327","9.090909","4849283","220422","711882140750","32358279125"
"2018/09","LG이노텍","011070","STK","130500","155500","130000","2.647365","-0.442585","-0.251994","1.393531","0.000048593","201685.0368","0","5569000","327588","764547735607","44973396212"
"2018/10","LG이노텍","011070","STK","124000","133000","118000","3.040121","0.076252","-0.341157","1.206223","0.000092948","110819.1934","4.761905","4229243","201393","533333395000","25396828333"
"2018/11","LG이노텍","011070","STK","99800","127000","94000","2.639262","0.572665","-0.373166","0.938675","0.000050751","213885.0428","9.090909","7990160","363189","849334038995","38606092682"
"2018/12","LG이노텍","011070","STK","86400","103000","84000","2.226092","0.21887","-0.362434","1.719502","0.000096037","342615.7643","0","3739997","196842","345607299000","18189857842"
"2019/01","LG이노텍","011070","STK","97500","98200","81300","2.563521","-1.14041","-0.344563","2.252771","0.000130371","134550.0242","0","4848392","220381","441530919700","20069587259"
"2019/02","LG이노텍","011070","STK","108000","108500","99500","2.079597","-0.107286","-0.361689","1.202309","0.000077739","162836.8417","11.764706","3349391","197023","351446529050","20673325238"
"2019/03","LG이노텍","011070","STK","117500","117500","99500","3.228251","2.439908","-0.357718","0.894643","0.000114254","113156.8263","5","3856165","192808","416996800637","20849840032"
"2019/04","LG이노텍","011070","STK","122500","129500","115000","2.724907","0.446025","-0.348969","1.172403","0.000091367","120885.1413","4.545455","4063208","184691","495793571688","22536071440"
"2019/05","LG이노텍","011070","STK","94700","126000","92800","2.699641","-0.60958","-0.420847","1.598971","0.000141375","106845.8165","4.761905","3484230","165916","371728044259","17701335441"
"2019/06","LG이노텍","011070","STK","109000","111000","93800","2.070157","-0.599374","-0.418725","2.315925","0.000097075","143439.4645","10.526316","3005997","158210","307004914900","16158153416"
"2019/07","LG이노텍","011070","STK","113000","116500","104500","2.945624","-0.590859","-0.390568","2.264277","0.00015067","88881.4592","4.347826","3379997","146956","379049315500","16480405022"
"2019/08","LG이노텍","011070","STK","98500","110500","94400","3.441484","1.220957","-0.394472","1.902334","0.000114344","162758.7261","4.761905","3882342","184873","388342183800","18492484943"
"2019/09","LG이노텍","011070","STK","114000","114500","99000","2.280416","0.567762","-0.422048","0.973754","0.000083722","147842.9568","10.526316","3372393","177494","356541139177","18765323115"
"2019/10","LG이노텍","011070","STK","121000","126500","114000","2.186748","1.987274","-0.421905","1.076652","0.000067106","178343.6951","4.761905","3460213","164772","415989550500","19809026214"
"2019/11","LG이노텍","011070","STK","122000","128000","116500","1.897806","-0.985962","-0.404922","1.230382","0.000121092","81742.2373","4.761905","2358717","112320","287862325050","13707729764"
"2019/12","LG이노텍","011070","STK","140000","140000","123000","1.564332","-0.299633","-0.44027","0.003293","0.000070054","128890.5345","10","2708291","135415","355807191750","17790359588"
"2020/01","LG이노텍","011070","STK","152000","158000","137500","2.328758","0.007626","-0.400164","0.862722","0.000058781","152132.4807","5","3757270","187864","560423095000","28021154750"
