¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2017/12","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","368000","369000","357000","1.418594","-0.503031","0.314961","1.11025","0.00004271","62441.8426","15.789474","1353754","71250","491502453136","25868550165"
"2018/01","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","420000","423500","349000","2.772432","3.006474","0.300408","1.268649","0.000032566","133333.0076","4.545455","3121291","141877","1216085109940","55276595906"
"2018/02","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","459000","468000","392000","2.48231","0.015143","0.331819","1.053251","0.000028156","170080.5927","5.555556","2742687","152372","1183720732656","65762262925"
"2018/03","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","433000","474500","425500","2.045992","-0.152627","0.332238","0.416332","0.000027963","139621.2792","9.52381","2650780","126228","1160726376930","55272684616"
"2018/04","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","414000","447000","401500","1.739966","-0.403865","0.327595","0.651878","0.000037265","77817.2991","4.761905","1985519","94549","834184537500","39723073214"
"2018/05","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","368500","406000","363000","2.388039","-0.905517","0.344118","1.85148","0.000039708","111226.5112","5","2571165","128558","984334411380","49216720569"
"2018/06","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","348000","381000","337500","2.264938","-0.017961","0.448541","1.149287","0.000029962","187508.4703","5.263158","2506493","131921","897856488892","47255604679"
"2018/07","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","359500","359500","324000","2.290305","1.227582","0.489189","2.033568","0.000048529","150116.2005","0","2135895","97086","724421121000","32928232773"
"2018/08","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","316000","352500","311000","2.297456","0.76634","0.507497","-0.117431","0.000027249","235948.0755","4.545455","3690305","167741","1217596595682","55345299804"
"2018/09","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","278000","312000","277000","1.458587","0.869701","0.306216","0.81118","0.000024701","306088.2573","5.882353","3007785","176929","873731379621","51395963507"
"2018/10","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","262500","281000","254000","3.160999","-0.017605","0.046345","0.881515","0.000047671","1184037.3755","0","11812499","562500","3250966562981","154807931571"
"2018/11","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","272500","295000","265000","2.748534","1.747988","0.039211","1.803362","0.000043667","155927.6822","4.545455","3401041","154593","961362810550","43698309570"
"2018/12","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","277000","295500","265500","2.799082","0.39177","0.038539","1.514315","0.000050064","101360.6453","5.263158","2575843","135571","720667799500","37929884184"
"2019/01","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","300000","304500","256500","2.774249","-0.791073","0.016984","1.767079","0.000057404","101397.299","0","3157573","143526","885571374670","40253244303"
"2019/02","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","319000","331000","283500","2.762558","1.040626","0.01524","2.282563","0.000032158","183601.3642","5.882353","2793023","164295","865609407000","50918200412"
"2019/03","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","290500","313000","276500","1.751931","2.171282","0.017709","1.009578","0.000026853","192828.095","0","2998147","149907","873164460590","43658223030"
"2019/04","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","268500","307500","266000","1.787363","0.118037","0.000999","1.776616","0.000032958","140977.3363","9.090909","3177228","144419","919842194739","41811008852"
"2019/05","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","258000","271000","254500","1.399","0.426279","-0.014648","1.1476","0.000036044","119089.2301","14.285714","2480626","118125","651840294220","31040014010"
"2019/06","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","252500","266500","248000","1.745858","0.886104","0.012654","1.528124","0.000047883","117707.7094","5.263158","1882580","99083","483256096250","25434531382"
"2019/07","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","233000","270500","231500","1.992877","-0.967701","-0.000865","0.588205","0.000055671","105001.717","0","2914600","126722","726555978000","31589390348"
"2019/08","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","225000","231500","217000","2.044898","0.580799","0.030186","1.476994","0.000068892","99063.8246","9.52381","2094162","99722","467886379000","22280303762"
"2019/09","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","236000","252500","220000","2.276742","0.510173","-0.005306","2.16074","0.000051584","180419.4306","0","2454134","129165","588206651000","30958244789"
"2019/10","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","227000","246500","227000","1.621647","0.110345","-0.013652","1.50754","0.000063281","77270.291","14.285714","1707283","81299","403759733250","19226653964"
"2019/11","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","220000","232500","219000","1.68111","4.205799","0.031366","0.168436","0.000046045","147996.2118","0","2236607","106505","498811404952","23752924045"
"2019/12","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","224000","234500","210000","1.481916","0.176461","0.022936","1.607521","0.000042115","112830.7997","15","2226990","111350","498811500000","24940575000"
"2020/01","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","189500","221500","189500","2.499765","0.283697","-0.001444","1.70262","0.000059104","118763.6397","5","2956957","147848","615645494920","30782274746"
"2020/02","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","187500","213000","187500","2.521282","4.264503","0.023224","1.08898","0.000050875","179117.5729","5","3020136","151007","606512412486","30325620624"
"2020/03","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","193000","193000","117000","8.339563","3.376733","0.088748","1.702343","0.000153322","65732.8646","4.545455","5514068","250639","913396194600","41518008845"
"2020/04","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","215500","223500","170500","3.49843","-0.362849","0.249236","0.89471","0.000057196","164987.603","0","4615580","230779","899551411315","44977570566"
"2020/05","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","188000","196000","183000","2.678512","4.589196","0.252114","1.933147","0.000034811","175429.237","21.052632","4102959","215945","781183420112","41114916848"
"2020/06","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","167000","199000","165000","3.154018","0.717783","0.254618","1.102555","0.000059364","155081.0651","4.545455","5027593","228527","917457510000","41702614091"
"2020/07","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","168500","180500","167000","1.867131","1.566401","0.225251","0.706854","0.000049085","124389.5809","17.391304","3216846","139863","560534397020","24371060740"
"2020/08","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","189500","191000","168500","3.32559","1.271999","0.20574","1.4311","0.0000526","149258.2722","10","5132313","256616","933903386000","46695169300"
"2020/09","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","196500","217000","180500","3.906918","3.216642","0.224998","1.150259","0.000044099","229774.1598","4.761905","6104507","290691","1234579984700","58789523081"
"2020/10","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","233000","249000","213000","3.630186","-0.551801","0.166573","2.73989","0.000036448","171467.5379","0","6356912","334574","1466567142500","77187744342"
"2020/11","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","282000","289000","235500","3.201406","0.855077","0.275919","1.611273","0.000025734","270119.2053","4.761905","7191455","342450","1940414635000","92400696905"
"2020/12","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","276000","287500","258000","1.855115","0.965989","0.264169","1.347612","0.000019788","311054.9785","0","5028731","239463","1371221076500","65296241738"
"2021/01","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","261000","316000","261000","3.616726","1.465435","0.288077","0.824526","0.000023098","318017.8135","5","7931778","396589","2345123952000","117256197600"
"2021/02","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","318000","326000","265000","3.959898","-0.252061","0.250528","1.373183","0.000029625","166861.1854","0","7330281","407238","2226022622500","123667923472"
"2021/03","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","301000","328000","300000","1.976958","-0.302843","0.265003","0.524335","0.000019661","273256.4926","4.545455","5486269","249376","1714162430000","77916474091"
"2021/04","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","304000","307500","284500","1.495278","0.077205","0.226543","0.481736","0.000014663","289834.0887","9.090909","5675143","257961","1677543315500","76251968886"
"2021/05","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","279000","309000","276000","2.530538","0.961085","0.219163","2.009475","0.000028866","311312.3171","0","5046085","265583","1471521975000","77448525000"
"2021/06","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","262500","282000","261000","1.511734","-0.283253","0.221163","0.335408","0.000019655","284656.0292","0","4664489","212022","1262192688000","57372394909"
"2021/07","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","259500","274000","253000","1.63859","5.443263","0.238864","0.783452","0.000022872","205153.926","9.090909","3761138","170961","1000887167000","45494871227"
"2021/08","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","250000","270000","234500","1.833647","-0.329072","0.232168","1.584566","0.000039666","158281.7453","4.761905","2938299","139919","735318722500","35015177262"
"2021/09","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","241500","265500","241500","2.305687","1.595156","0.265049","-0.333085","0.000035256","143880.5564","5.263158","3097318","163017","791301330500","41647438447"
"2021/10","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","224500","244500","224500","1.656743","0.219579","0.271574","0.607247","0.000041467","168234.1198","5.263158","2457640","129349","584652659700","30771192616"
"2021/11","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","201500","229000","200500","1.602872","-0.392497","0.24517","0.910772","0.000053367","149336.3817","4.545455","2593256","117875","553066916500","25139405295"
"2021/12","·Ôµ¥ÄÉ¹ÌÄ®","011170","STK","217000","234500","217000","2.813249","6.335828","0.267428","1.833141","0.00005018","152961.4155","9.090909","3406497","154841","771726091000","35078458682"
