연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","포스코케미칼","003670","KSQ","39800","39800","32100","3.061023","-0.302724","-0.107484","1.083376","0.000104339","461598.2126","0","13496514","710343","478763224750","25198064461"
"2018/01","포스코케미칼","003670","KSQ","49400","51200","37900","3.628289","0.114874","-0.004522","0.964675","0.000061442","705132.4032","0","20109228","914056","921267345154","41875788416"
"2018/02","포스코케미칼","003670","KSQ","44550","50000","43200","4.398687","2.563661","0.021741","1.809493","0.000114329","334341.9601","5.555556","10550583","586144","482627108250","26812617125"
"2018/03","포스코케미칼","003670","KSQ","47450","50100","44750","2.993254","0.630951","0.019483","0.900363","0.000095273","511721.33","4.761905","10228124","487054","493666167750","23507912750"
"2018/04","포스코케미칼","003670","KSQ","36800","47500","36800","3.192889","3.391434","0.055976","1.377356","0.000077352","525143.3789","4.761905","13951156","664341","571483324000","27213491619"
"2018/05","포스코케미칼","003670","KSQ","44700","45300","35100","3.654456","0.846023","0.029124","0.644451","0.000099369","401958.1538","5","13558172","677909","546026986000","27301349300"
"2018/06","포스코케미칼","003670","KSQ","44050","46400","40300","2.972929","0.509725","0.080293","1.692467","0.000115577","725377.9482","0","8549126","449954","377939510150","19891553166"
"2018/07","포스코케미칼","003670","KSQ","49350","51000","43300","3.229376","-0.722145","0.091522","0.450437","0.000087893","838423.8927","4.545455","13478784","612672","633621607100","28800982141"
"2018/08","포스코케미칼","003670","KSQ","60500","60500","47500","3.177768","2.076301","0.068333","0.942337","0.000096567","408749.0956","0","11097944","504452","582984725400","26499305700"
"2018/09","포스코케미칼","003670","KSQ","73000","76400","59000","3.637281","-0.90748","0.052299","3.066233","0.000060305","309655.6157","5.882353","12155419","715025","824701331800","48511843047"
"2018/10","포스코케미칼","003670","KSQ","65100","74200","61900","4.60798","-0.469263","-0.32216","1.389255","0.00005899","646563.0492","0","17613243","838726","1198429654600","57068078790"
