연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","SK이노베이션","096770","STK","204500","208500","197000","1.683369","-0.069804","0.138552","0.667661","0.000031008","282198.4748","5.263158","3896788","205094","793179138003","41746270421"
"2018/01","SK이노베이션","096770","STK","204500","210000","192500","2.063143","2.388839","0.123837","0.952327","0.000026564","289089.7609","4.545455","5740630","260938","1152427773007","52383080591"
"2018/02","SK이노베이션","096770","STK","205500","209000","185000","2.124356","0.049919","0.133925","1.317123","0.00003284","271781.7893","0","4646585","258144","916975151594","50943063977"
"2018/03","SK이노베이션","096770","STK","211000","214500","202500","1.593852","3.107509","0.118583","0.338652","0.000025937","278139.0411","4.761905","4341123","206720","905698807500","43128514643"
"2018/04","SK이노베이션","096770","STK","196500","214000","192000","1.465333","-0.859569","0.114503","0.622697","0.00002989","248396.7074","0","4411340","210064","889002601906","42333457234"
"2018/05","SK이노베이션","096770","STK","206000","208500","197500","2.122675","2.954594","0.103753","1.314382","0.000022141","261601.5094","5","5707051","285353","1161688245508","58084412275"
"2018/06","SK이노베이션","096770","STK","202000","215000","201500","1.488981","1.396641","0.175493","0.66722","0.000023212","398876.2805","0","4452956","234366","925106852693","48689834352"
"2018/07","SK이노베이션","096770","STK","198500","204000","184500","2.347024","2.226493","0.196901","1.531001","0.000039221","179426.4658","4.545455","5320718","241851","1025583681920","46617440087"
"2018/08","SK이노베이션","096770","STK","193000","201000","188500","1.295755","1.57943","0.212542","0.278663","0.000028242","247981.5664","4.545455","4113854","186993","795469705791","36157713900"
"2018/09","SK이노베이션","096770","STK","215000","215000","191000","1.643357","-0.065664","0.155305","0.544813","0.000029755","184438.9555","5.882353","3589901","211171","723901157734","42582421043"
"2018/10","SK이노베이션","096770","STK","213500","225500","205000","2.266085","-0.536415","0.062918","1.027874","0.000034941","181429.2538","4.761905","5100654","242888","1091689848950","51985230902"
"2018/11","SK이노베이션","096770","STK","196500","207000","193500","1.79938","1.468392","0.019087","0.674847","0.000029352","265456.7074","9.090909","4895958","222544","977938167518","44451734887"
"2018/12","SK이노베이션","096770","STK","179500","203500","177500","1.794716","-0.021693","0.025666","0.972951","0.000030373","222095.4765","5.263158","4991736","262723","925184275177","48693909220"
"2019/01","SK이노베이션","096770","STK","188500","188500","166500","2.064399","2.284029","0.004421","1.466308","0.000033645","160400.7475","9.090909","5249686","238622","940002211750","42727373261"
"2019/02","SK이노베이션","096770","STK","188000","192000","181000","1.656988","0.410432","0.006919","0.762778","0.000028038","230225.7024","11.764706","4029066","237004","748386536600","44022737447"
"2019/03","SK이노베이션","096770","STK","179500","195500","179500","1.732934","-0.745532","-0.001651","0.37096","0.000031728","254021.7653","0","4521310","226066","852451292000","42622564600"
"2019/04","SK이노베이션","096770","STK","182500","193500","181500","1.447332","4.003524","-0.012658","0.864846","0.000021511","280688.6815","13.636364","4659271","211785","874223742341","39737442834"
"2019/05","SK이노베이션","096770","STK","165000","183000","161000","1.633408","-0.309476","-0.093619","1.217453","0.000034793","233928.706","9.52381","6002074","285813","1001988241017","47713725763"
"2019/06","SK이노베이션","096770","STK","159000","164000","157500","0.742481","-0.696286","-0.075795","0.720423","0.000022566","263095.593","15.789474","3502792","184357","564152812000","29692253263"
"2019/07","SK이노베이션","096770","STK","171000","177000","161500","2.093189","0.909397","-0.029052","1.503254","0.000040357","233061.4571","0","5264575","228895","897179417421","39007800757"
"2019/08","SK이노베이션","096770","STK","165000","171500","152000","2.146802","2.098662","-0.004908","1.274264","0.000043006","227685.309","4.761905","4341044","206716","698450473750","33259546369"
"2019/09","SK이노베이션","096770","STK","166000","173000","161500","1.14233","0.033365","-0.038887","0.99894","0.000029136","240471.7732","5.263158","3414956","179735","572112201706","30111168511"
"2019/10","SK이노베이션","096770","STK","160000","169000","159000","1.736681","-0.97994","-0.052557","1.222698","0.000050807","206607.5695","0","3752810","178705","612864518300","29184024681"
"2019/11","SK이노베이션","096770","STK","146500","162000","146500","0.98527","-0.465813","-0.03868","0.542524","0.000024554","339675.8193","4.761905","4545923","216473","706036444250","33620783060"
"2019/12","SK이노베이션","096770","STK","150000","155000","141500","1.198281","1.071449","-0.049849","0.699103","0.000022044","387324.9839","10","5598078","279904","830850210706","41542510535"
"2020/01","SK이노베이션","096770","STK","130000","149500","125000","2.197609","0.109619","-0.08967","0.574531","0.000025992","387069.1424","20","9560203","478010","1285313428324","64265671416"
"2020/02","SK이노베이션","096770","STK","113000","140500","113000","2.633585","-0.038069","-0.112899","1.076134","0.000025389","349092.8919","10","13464025","673201","1757609382693","87880469135"
"2020/03","SK이노베이션","096770","STK","87000","115000","57300","9.603816","2.267355","-0.398561","2.111902","0.00005833","440014.1982","0","28803894","1309268","2460857776400","111857171655"
"2020/04","SK이노베이션","096770","STK","98300","100500","82500","3.339736","1.634316","-0.139923","1.310732","0.000024269","1180674.0164","5","19795895","989795","1883192529100","94159626455"
"2020/05","SK이노베이션","096770","STK","118500","122500","93600","4.062938","5.429519","-0.143951","2.429559","0.000024359","965646.1178","5.263158","17847837","939360","1913744091700","100723373247"
"2020/06","SK이노베이션","096770","STK","131000","136500","106500","4.035053","0.514485","-0.116492","1.662227","0.000021654","406496.6376","18.181818","21121685","960077","2658133458000","120824248091"
"2020/07","SK이노베이션","096770","STK","127000","135500","122500","2.438797","4.529401","-0.17905","0.876504","0.000018414","565704.3301","8.695652","15023878","653212","1963866166500","85385485500"
"2020/08","SK이노베이션","096770","STK","145000","187000","129500","6.626955","3.234345","-0.19415","2.759538","0.000013811","1089624.6455","5","40758591","2037930","6726073474500","336303673725"
"2020/09","SK이노베이션","096770","STK","139000","159500","138000","3.074859","1.820396","-0.182178","1.293842","0.000018576","639381.7258","0","17875742","851226","2708494335000","128975920714"
"2020/10","SK이노베이션","096770","STK","125500","148500","125500","1.831179","-0.456743","-0.127037","1.434784","0.000030925","164748.2952","21.052632","6803213","358064","939688720500","49457301079"
"2020/11","SK이노베이션","096770","STK","173000","179500","122500","3.733877","0.539109","0.119077","1.059571","0.00001874","488929.6153","9.52381","23021485","1096261","3654395384000","174018827810"
"2020/12","SK이노베이션","096770","STK","190000","192000","176000","2.467134","-0.540624","0.100279","1.247976","0.000011122","531049.834","9.52381","19971193","951009","3670958668516","174807555644"
"2021/01","SK이노베이션","096770","STK","280000","294000","231000","5.883395","5.76667","0.037731","1.690344","0.000006081","1432900.4924","0","45271392","2263570","12200921828500","610046091425"
"2021/02","SK이노베이션","096770","STK","260500","317500","260500","4.586821","3.063288","0.043603","1.315636","0.000005646","1930071.3134","5.555556","32557042","1808725","9528897732000","529383207333"
"2021/03","SK이노베이션","096770","STK","219000","266000","202000","3.600239","1.61485","0.077865","2.311326","0.000010747","809649.4159","0","22482492","1021931","5087353302500","231243331932"
"2021/04","SK이노베이션","096770","STK","270500","280500","228500","3.952809","2.562013","0.053985","2.382774","0.000008297","706265.278","13.636364","25565882","1162086","6688871183000","304039599227"
"2021/05","SK이노베이션","096770","STK","265000","283500","255500","3.012975","0.526423","0.048322","1.569559","0.000008396","550963.525","10.526316","18919409","995758","5172061511374","272213763757"
"2021/06","SK이노베이션","096770","STK","295500","295500","264000","1.977296","-0.669128","0.003546","0.841323","0.00000765","664391.8327","0","16332029","742365","4604685945280","209303906604"
"2021/07","SK이노베이션","096770","STK","253000","277000","253000","2.147943","9.833312","0.028214","1.092473","0.00000751","612823.0667","13.636364","17571715","798714","4734247574983","215193071590"
"2021/08","SK이노베이션","096770","STK","249500","256000","230000","2.179748","-0.433978","0.025506","0.65961","0.000011744","456784.5174","9.52381","13696891","652233","3313410021500","157781429595"
"2021/09","SK이노베이션","096770","STK","265000","265500","237000","2.016311","0.661528","0.047906","0.109438","0.000011511","601287.9233","5.263158","10319256","543119","2598973691085","136788089004"
"2021/10","SK이노베이션","096770","STK","242500","265000","242500","1.656581","0.686812","0.051267","0.135246","0.000013083","541149.0877","5.263158","7094812","373411","1816750502000","95618447474"
"2021/11","SK이노베이션","096770","STK","194500","248500","194500","2.10113","0.321394","0.000949","1.779411","0.000020467","336351.5301","4.545455","7718372","350835","1722192966750","78281498489"
"2021/12","SK이노베이션","096770","STK","238500","239000","198500","2.868501","1.508625","-0.02311","0.983103","0.000020057","531059.5174","4.545455","9865987","448454","2164369802000","98380445545"
"2022/01","SK이노베이션","096770","STK","216000","272000","215500","3.620122","2.142699","-0.02394","1.973899","0.000012585","818213.859","0","15570280","778514","3875421745163","193771087258"
"2022/02","SK이노베이션","096770","STK","200500","228000","195500","2.601018","0.029452","-0.023911","1.404128","0.000019093","438047.442","0","8821992","490111","1859518156500","103306564250"
