¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2017/12","»ï¼º¹°»ê","028260","STK","126000","135500","122000","1.309901","1.274679",,"0.950444","0.000022939","405783.4595","10.526316","6014092","316531","772590451730","40662655354"
"2018/01","»ï¼º¹°»ê","028260","STK","142000","142000","126500","1.591642","0.555723",,"1.118048","0.000024724","314104.821","4.545455","8368273","380376","1133913218000","51541509909"
"2018/02","»ï¼º¹°»ê","028260","STK","128500","143000","127500","2.024673","-0.084609",,"1.07284","0.000027305","431791.5671","5.555556","8201184","455621","1111895745000","61771985833"
"2018/03","»ï¼º¹°»ê","028260","STK","140000","140000","127000","1.464525","0.804598",,"0.848937","0.000026786","307034.7705","9.52381","7134263","339727","953029663000","45382364905"
"2018/04","»ï¼º¹°»ê","028260","STK","140000","144000","135000","1.680318","0.952369",,"1.428721","0.000012439","663426.6043","9.52381","18021399","858162","2511684728500","119604034690"
"2018/05","»ï¼º¹°»ê","028260","STK","125500","132500","125000","1.819303","2.154993",,"1.221946","0.000020905","485316.2983","5","9777896","488895","1266322626500","63316131325"
"2018/06","»ï¼º¹°»ê","028260","STK","116500","126500","115500","1.394819","-0.318145",,"1.243005","0.000029953","340866.7287","15.789474","6314962","332366","765576131000","40293480579"
"2018/07","»ï¼º¹°»ê","028260","STK","123500","124000","112500","1.66027","0.255574",,"0.304367","0.000038459","201215.0711","13.636364","5883600","267436","697517738785","31705351763"
"2018/08","»ï¼º¹°»ê","028260","STK","123000","126000","120500","1.096978","1.354675",,"0.926198","0.00002643","229980.2599","27.272727","5103536","231979","627504386000","28522926636"
"2018/09","»ï¼º¹°»ê","028260","STK","129500","131000","123500","1.402243","2.097462",,"1.049935","0.000019556","651972.6222","17.647059","17657424","1038672","2211912529718","130112501748"
"2018/10","»ï¼º¹°»ê","028260","STK","108500","128000","105500","1.978614","2.517743",,"1.328111","0.000027353","394026.8402","9.52381","8944040","425907","1049649269269","49983298537"
"2018/11","»ï¼º¹°»ê","028260","STK","102500","111000","96400","2.412344","0.158325",,"1.090452","0.000040611","326108.2129","4.545455","10161804","461900","1055038955900","47956316177"
"2018/12","»ï¼º¹°»ê","028260","STK","105500","110000","103500","1.655008","0.018919",,"1.161191","0.000035366","282886.5387","10.526316","7365982","387683","790189929000","41588943632"
"2019/01","»ï¼º¹°»ê","028260","STK","120000","120000","104000","1.262552","3.468923",,"0.668182","0.000030433","312782.3841","13.636364","6159790","279990","695424575500","31610207977"
"2019/02","»ï¼º¹°»ê","028260","STK","115500","117500","115500","0.952059","-0.542271",,"0.749432","0.000029997","204490.6541","23.529412","3609774","212340","420281881600","24722463624"
"2019/03","»ï¼º¹°»ê","028260","STK","107000","113000","106000","1.206066","0.229499",,"0.934985","0.00004178","180212.7618","20","4364930","218247","476886615500","23844330775"
"2019/04","»ï¼º¹°»ê","028260","STK","102500","113000","102500","1.604216","3.270637",,"1.470463","0.00004396","226388.8763","13.636364","4928125","224006","534997389972","24318063181"
"2019/05","»ï¼º¹°»ê","028260","STK","92300","103000","91400","1.096251","0.175001",,"0.922892","0.000029508","911402.2809","4.761905","7179276","341870","692499801106","32976181005"
"2019/06","»ï¼º¹°»ê","028260","STK","95700","96400","91900","0.954858","1.431994",,"0.963628","0.000028708","605927.0235","0","4848891","255205","454845270600","23939224768"
"2019/07","»ï¼º¹°»ê","028260","STK","91700","96000","91300","1.466308","-0.61339",,"1.304966","0.000062387","343099.5405","0","4592277","199664","429711937900","18683127735"
"2019/08","»ï¼º¹°»ê","028260","STK","86400","91800","84400","1.954044","0.357674",,"0.895196","0.00005615","468243.0267","4.761905","7321565","348646","647137584800","30816075467"
"2019/09","»ï¼º¹°»ê","028260","STK","89700","92200","86200","1.038521","-0.236414",,"1.149667","0.000040113","495894.5867","10.526316","4765982","250841","426130628300","22427927805"
"2019/10","»ï¼º¹°»ê","028260","STK","100000","100000","87900","1.348786","-0.0599",,"0.97211","0.000046334","325814.3195","4.761905","5860266","279060","549829477700","26182356081"
"2019/11","»ï¼º¹°»ê","028260","STK","98900","104000","98900","1.414645","0.000124","-0.270782","1.378792","0.000039019","268129.1642","14.285714","5545719","264082","567857996900","27040856995"
"2019/12","»ï¼º¹°»ê","028260","STK","108500","109000","99800","1.45484","1.450887","-0.417373","0.366909","0.000038194","255480.1772","10","5547012","277351","578791920100","28939596005"
"2020/01","»ï¼º¹°»ê","028260","STK","108500","117000","105000","2.277303","-0.255645","-0.359986","1.276621","0.000043036","204203.2486","10","7604864","380243","839281315500","41964065775"
"2020/02","»ï¼º¹°»ê","028260","STK","105500","119500","105500","2.091306","0.022566","-0.339858","1.234493","0.000034307","348075.1744","5","7985077","399254","906365369250","45318268463"
"2020/03","»ï¼º¹°»ê","028260","STK","89600","111000","74500","4.868239","1.139746","-0.457446","1.119614","0.000074306","217412.5814","4.545455","12600737","572761","1156014826800","52546128491"
"2020/04","»ï¼º¹°»ê","028260","STK","106000","106000","84800","2.472793","1.011211","0.043598","1.040416","0.000042649","263797.7887","10","10733307","536665","1006210212828","50310510641"
"2020/05","»ï¼º¹°»ê","028260","STK","99100","106500","98200","2.763176","1.409353","0.054446","2.055482","0.00003853","556903.1063","5.263158","9049653","476298","916326034900","48227686047"
"2020/06","»ï¼º¹°»ê","028260","STK","116000","124000","102000","2.957639","5.25169","0.069614","0.869915","0.000017862","556869.5279","13.636364","21138127","960824","2427887230000","110358510455"
"2020/07","»ï¼º¹°»ê","028260","STK","106000","115000","104500","1.966481","-1.479691","0.021523","1.646502","0.000043127","253795.2415","0","9014397","391930","986539009000","42893000391"
"2020/08","»ï¼º¹°»ê","028260","STK","108000","126500","104000","3.553658","0.122691","0.000781","1.693421","0.000029124","381310.447","0","17828902","891445","2083754271000","104187713550"
"2020/09","»ï¼º¹°»ê","028260","STK","105000","114000","102000","1.944438","-0.441016","-0.019346","1.230581","0.000030931","411555.1794","4.761905","10384167","494484","1136031385500","54096732643"
"2020/10","»ï¼º¹°»ê","028260","STK","110500","118000","102000","3.353648","14.80652","-0.012967","-0.178209","0.000021971","626695.5577","5.263158","20328732","1069933","2347837301658","123570384298"
"2020/11","»ï¼º¹°»ê","028260","STK","120500","125500","112000","1.83748","1.603706","0.008089","1.218094","0.000016516","411659.2246","19.047619","13583096","646814","1631036378500","77668398976"
"2020/12","»ï¼º¹°»ê","028260","STK","138000","140000","121500","1.793379","1.268559","-0.018377","0.0553","0.000010232","847197.4474","9.52381","19641650","935317","2570033361500","122382541024"
"2021/01","»ï¼º¹°»ê","028260","STK","130000","153500","130000","3.588557","-0.651433","-0.016193","1.33269","0.000013276","1276033.056","5","28753068","1437653","4185843153000","209292157650"
"2021/02","»ï¼º¹°»ê","028260","STK","121500","136500","121500","1.85758","-0.337307","-0.014594","0.942663","0.000017635","629742.1786","5.555556","12335839","685324","1592447327000","88469295944"
"2021/03","»ï¼º¹°»ê","028260","STK","124500","126000","118000","1.632748","0.532601","-0.037987","1.177276","0.00002118","395211.6928","13.636364","9991822","454174","1215960150000","55270915909"
"2021/04","»ï¼º¹°»ê","028260","STK","136000","140000","124500","2.198595","0.258687","-0.06709","2.010989","0.000014741","604039.6141","9.090909","15396512","699841","2082610539500","94664115432"
"2021/05","»ï¼º¹°»ê","028260","STK","138500","140000","132000","1.815466","4.517368","-0.101217","1.095614","0.000015964","592238.3821","5.263158","9401130","494796","1283658332500","67560964868"
"2021/06","»ï¼º¹°»ê","028260","STK","136500","143000","133000","1.208471","1.590189","-0.110192","1.636356","0.00001556","532497.707","13.636364","8899603","404527","1236228845000","56192220227"
"2021/07","»ï¼º¹°»ê","028260","STK","141500","144000","128000","1.648517","-0.404099","-0.091423","1.460611","0.000024101","223846.9536","22.727273","8772727","398760","1192506906463","54204859385"
"2021/08","»ï¼º¹°»ê","028260","STK","133000","145000","127000","1.447897","-0.498827","-0.070518","1.248847","0.000023256","462685.4829","4.761905","8436874","401756","1152718945750","54891378369"
