¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2017/12","»ï¼ºÀü±â","009150","STK","100000","102500","96700","1.931458","-1.222529","0.039293","1.398883","0.000027445","373333.7662","5.263158","11240633","591612","1120524327408","58974964600"
"2018/01","»ï¼ºÀü±â","009150","STK","106500","108500","98800","2.658646","2.580825","0.020441","3.010961","0.00002146","475924.5827","9.090909","18665118","848414","1947777290900","88535331405"
"2018/02","»ï¼ºÀü±â","009150","STK","92600","103000","92300","1.998354","0.140595","-0.020559","1.297114","0.000029859","601777.8276","0","11740933","652274","1142278823264","63459934626"
"2018/03","»ï¼ºÀü±â","009150","STK","105500","107500","89000","2.075677","-1.19847","-0.036946","1.320726","0.00002471","589530.6714","0","15917767","757989","1576092896000","75052042667"
"2018/04","»ï¼ºÀü±â","009150","STK","118500","128000","103000","3.06538","0.028874","-0.043833","1.177514","0.000021331","567286.9128","9.52381","22458227","1069439","2629877197500","125232247500"
"2018/05","»ï¼ºÀü±â","009150","STK","134000","134000","110500","2.728386","0.471633","-0.065378","1.30014","0.00001867","516917.5587","5","16191092","809555","1978138479360","98906923968"
"2018/06","»ï¼ºÀü±â","009150","STK","148500","154500","138500","2.491127","1.593305","0.00118","0.899875","0.00001467","722515.481","5.263158","13968084","735162","2047080057600","107741055663"
"2018/07","»ï¼ºÀü±â","009150","STK","153500","163000","142500","3.166259","0.724837","0.00077","1.948115","0.000016699","824164.3379","9.090909","16817249","764420","2585043874508","117501994296"
"2018/08","»ï¼ºÀü±â","009150","STK","161000","161500","133500","2.957036","0.822071","-0.010782","1.761143","0.000018048","721717.1366","0","17778402","808109","2626851855355","119402357062"
"2018/09","»ï¼ºÀü±â","009150","STK","139000","163000","139000","2.304783","1.09891","-0.081937","1.44162","0.000014579","623958.9883","11.764706","16041690","943629","2395290316934","140899430408"
"2018/10","»ï¼ºÀü±â","009150","STK","118000","139000","112000","3.421289","0.729103","-0.523762","1.631567","0.000009643","1456222.2798","4.761905","43686235","2080297","5496646414523","261745067358"
"2018/11","»ï¼ºÀü±â","009150","STK","120500","135000","109000","3.838596","1.721717","-0.52058","1.19974","0.000011709","927773.122","9.090909","41200508","1872750","4960620781168","225482762780"
"2018/12","»ï¼ºÀü±â","009150","STK","103500","125500","98500","3.194426","-0.543761","-0.512481","2.58175","0.000016191","458200.5561","15.789474","28379543","1493660","3065519078500","161343109395"
