연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","삼성전자","005930","STK","2548000","2605000","2410000","1.838143","-0.470999","-0.177826","1.515867","0.000002541","433210.4251","0","4515425","237654","11453697654904","602826192363"
"2018/01","삼성전자","005930","STK","2495000","2606000","2410000","1.700193","-0.521582","-0.192294","2.071676","0.000002021","878283.4928","0","6970987","316863","17453366998495","793334863568"
"2018/02","삼성전자","005930","STK","2353000","2491000","2235000","2.123049","0.115244","-0.216355","1.343621","0.000001946","536271.2993","5.555556","6331708","351762","15015246614265","834180367459"
"2018/03","삼성전자","005930","STK","2461000","2589000","2260000","2.014785","0.244848","-0.230432","1.352444","0.000002221","279118.1762","4.761905","5282296","251538","13044490550098","621166216671"
"2018/04","삼성전자","005930","STK","2650000","2650000","2346000","1.895657","-0.685466","-0.234765","2.37049","0.000002366","561550.6951","4.761905","5244033","262202","13185678544585","659283927229"
"2018/05","삼성전자","005930","STK","50700","2650000","49200","1.955666","-0.653591","-0.219265","1.612121","0.000001974","11113869.8211","10","321498280","17861016","16376188279721","909788237762"
"2018/06","삼성전자","005930","STK","46650","51300","46600","1.28995","-0.873013","-0.114472","0.608464","0.000001602","18891742.5158","5.263158","252348762","13281514","12187983398285","641472810436"
"2018/07","삼성전자","005930","STK","46250","47450","44900","1.34185","-0.946056","-0.125037","1.042057","0.000002338","10047041.1464","9.090909","214539505","9751796","9910475098124","450476140824"
"2018/08","삼성전자","005930","STK","48450","48450","43850","1.437158","0.680558","-0.14481","1.497805","0.000002318","19420828.3277","0","194108773","8823126","8914005703281","405182077422"
"2018/09","삼성전자","005930","STK","46450","47650","44050","1.836176","0.249794","-0.116537","2.564183","0.000002986","14377300.8047","0","197984482","11646146","9095993977978","535058469293"
"2018/10","삼성전자","005930","STK","42400","46350","41000","1.68737","1.619404","-0.509735","0.926092","0.000002267","18039535.8876","9.52381","234645485","11173595","10160326502023","483825071525"
"2018/11","삼성전자","005930","STK","41850","45200","41850","1.545452","3.764843","-0.510319","1.180165","0.000002351","19508781.2354","4.545455","205923404","9360155","8921960820057","405543673639"
"2018/12","삼성전자","005930","STK","38700","43250","38250","1.505805","0.604704","-0.508185","1.37795","0.000002238","17713043.3511","5.263158","250506995","13184579","9994020380276","526001072646"
"2019/01","삼성전자","005930","STK","46150","46400","37450","1.821025","-0.300953","-0.481091","1.722549","0.00000283","16023839.8262","0","301783852","13717448","12642031620691","574637800941"
"2019/02","삼성전자","005930","STK","45100","47500","44800","1.791033","0.026793","-0.480073","2.136252","0.000002202","19500753.7043","5.882353","194923203","11466071","9010692425036","530040730884"
"2019/03","삼성전자","005930","STK","44650","46550","43650","1.491546","1.869788","-0.478624","1.353355","0.000002345","14508041.7113","5","223260605","11163030","9955708086086","497785404304"
"2019/04","삼성전자","005930","STK","45850","47250","44650","1.20289","2.108236","-0.486874","1.47042","0.000001892","21675203.6378","4.545455","209113436","9505156","9619525245455","437251147521"
"2019/05","삼성전자","005930","STK","42500","45900","41200","1.614146","0.343326","-0.501715","1.485291","0.000002115","25009726.075","4.761905","271585071","12932622","11666514311151","555548300531"
"2019/06","삼성전자","005930","STK","47000","47000","43450","1.134665","0.804728","-0.545604","1.51946","0.000001926","19404798.5007","0","194668243","10245697","8702336555291","458017713436"
"2019/07","삼성전자","005930","STK","45350","47300","44400","1.439465","-1.11907","-0.531454","1.340822","0.000003269","14062004.2479","0","183771791","7990078","8501489625166","369629983703"
"2019/08","삼성전자","005930","STK","44000","45200","42650","1.19252","-0.979385","-0.509649","0.842384","0.000002407","14618174.0719","0","205260271","9774299","8996490906761","428404328893"
"2019/09","삼성전자","005930","STK","49050","49500","43250","1.389703","0.103779","-0.528625","1.5102","0.000002145","29494005.2902","0","207963296","10945437","9804325904255","516017152856"
"2019/10","삼성전자","005930","STK","50400","51300","47600","1.199444","-0.004318","-0.574157","1.335038","0.000002099","11299879.3842","9.52381","199451656","9497698","9951418133250","473877053964"
"2019/11","삼성전자","005930","STK","50300","53700","50300","1.421489","-0.865223","-0.566592","1.50036","0.000002291","10093729.3909","9.52381","223956592","10664600","11676998193688","556047533033"
"2019/12","삼성전자","005930","STK","55800","56700","49450","1.431708","-0.497623","-0.608758","1.944108","0.000001618","19261801.1082","10","264807425","13240371","14176371702782","708818585139"
"2020/01","삼성전자","005930","STK","56400","62400","55200","1.879636","-0.721996","-0.58559","1.274554","0.000001574","11201959.5635","10","319891636","15994582","18809460519447","940473025972"
"2020/02","삼성전자","005930","STK","54200","61800","54200","1.949993","-0.64375","-0.561566","1.146623","0.000001465","17096697.4312","0","360007160","18000358","21055346438502","1052767321925"
"2020/03","삼성전자","005930","STK","47750","57800","42500","3.938924","1.575612","-0.695007","0.88232","0.000001557","24961587.9685","0","856741868","38942812","42269216023680","1921328001076"
"2020/04","삼성전자","005930","STK","50000","51400","45800","2.114731","0.424848","-0.467615","1.084769","0.000001471","19491442.1614","10","424101937","21205097","20785194256247","1039259712812"
"2020/05","삼성전자","005930","STK","50700","50700","47850","1.489076","0.15811","-0.475619","1.056798","0.000001147","29154195.3132","5.263158","374264673","19698141","18385574461984","967661813789"
"2020/06","삼성전자","005930","STK","52800","55500","49900","2.469461","0.595535","-0.473594","1.110381","0.000001457","36156934.1712","0","517439261","23519966","27561492591886","1252795117813"
"2020/07","삼성전자","005930","STK","57900","59000","52600","1.780215","1.608921","-0.488322","1.669006","0.000001244","22081962.5649","4.347826","437314531","19013675","24219179328081","1053007796873"
"2020/08","삼성전자","005930","STK","54000","59000","54000","1.44945","1.144803","-0.523843","0.698853","0.000000928","22445854.8742","5","401697954","20084898","22960327096927","1148016354846"
"2020/09","삼성전자","005930","STK","58200","61000","54200","1.60099","0.563136","-0.515377","1.033595","0.000000881","28476801.2462","9.52381","426302298","20300109","24813790023904","1181609048757"
"2020/10","삼성전자","005930","STK","56600","60900","56600","1.168853","-0.742627","-0.487876","0.971467","0.00000091","20763965.1638","10.526316","327557687","17239878","19530842434480","1027939075499"
"2020/11","삼성전자","005930","STK","66700","68200","57400","1.981389","-0.468464","-0.340265","1.710107","0.000000983","33325238.8388","4.761905","496431342","23639588","31689333453847","1509015878755"
"2020/12","삼성전자","005930","STK","81000","81000","67800","1.780153","0.073838","-0.340376","1.453411","0.000000758","22178260.1841","14.285714","529998852","25238041","39087626343589","1861315540171"
"2021/01","삼성전자","005930","STK","82000","91000","82000","2.541301","1.551473","-0.383948","1.163397","0.000000589","28815688.9423","5","765471247","38273562","66588164494174","3329408224709"
"2021/02","삼성전자","005930","STK","82500","85300","81600","1.854551","0.265566","-0.397081","0.92159","0.000000671","28577291.457","5.555556","432953240","24052958","36020443268993","2001135737166"
"2021/03","삼성전자","005930","STK","81400","84000","80900","0.911816","-0.778628","-0.379749","0.836453","0.00000053","40331793.7443","0","387612356","17618743","31876803021604","1448945591891"
"2021/04","삼성전자","005930","STK","81500","86000","81500","0.977319","0.148619","-0.413538","1.158886","0.000000529","32147815.1349","4.545455","372938171","16951735","31169716082524","1416805276478"
"2021/05","삼성전자","005930","STK","80500","83200","78500","1.098912","0.397838","-0.415138","0.926475","0.000000517","38342755.2415","5.263158","352211074","18537425","28341778034285","1491672528120"
"2021/06","삼성전자","005930","STK","80700","82800","79900","0.854752","2.052734","-0.414107","1.17386","0.000000471","39195773.9804","9.090909","333099465","15140885","27047251878682","1229420539940"
"2021/07","삼성전자","005930","STK","78500","81200","78500","0.7668","-0.175922","-0.386212","0.895686","0.000000654","25218690.2352","4.545455","275886253","12540284","21945092872041","997504221456"
"2021/08","삼성전자","005930","STK","76700","82900","72700","1.694375","-0.164705","-0.377415","1.435135","0.000000724","32207095.4779","4.761905","499862582","23802980","38387973028676","1827998715651"
