연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","삼성엔지니어링","028050","STK","12400","14300","11650","3.255637","0.401708","-0.158304","2.936301","0.000084136","1544213.5543","5.263158","52327889","2754099","683814548750","35990239408"
"2018/01","삼성엔지니어링","028050","STK","17500","17500","12950","3.141817","0.306906","-0.142493","-0.006167","0.000045139","2357934.7703","18.181818","78404925","3563860","1217376053850","55335275175"
"2018/02","삼성엔지니어링","028050","STK","16050","17400","14500","3.526513","0.628895","-0.137107","1.909337","0.000058142","1885409.8039","5.555556","55129899","3062772","875905306300","48661405906"
"2018/03","삼성엔지니어링","028050","STK","18100","18500","15250","3.199424","0.351859","-0.163174","1.751512","0.000061077","1645562.2936","0","54199951","2580950","936548814220","44597562582"
"2018/04","삼성엔지니어링","028050","STK","17950","18700","17050","2.534117","-0.565576","-0.186333","2.464684","0.000056442","1586158.5974","0","39239786","1868561","702457003200","33450333486"
"2018/05","삼성엔지니어링","028050","STK","18450","20200","17200","2.661533","2.285655","-0.181577","0.565469","0.000040815","2576500.336","5","84247542","4212377","1580812683777","79040634189"
"2018/06","삼성엔지니어링","028050","STK","15650","17650","14500","3.077517","0.114578","-0.116616","1.387678","0.000088717","1307555.988","0","37746739","1986670","611865303975","32203437051"
"2018/07","삼성엔지니어링","028050","STK","17000","17000","14800","2.219519","-0.183635","-0.094566","1.043294","0.000113728","779187.5613","4.545455","21603466","981976","337984035940","15362910725"
"2018/08","삼성엔지니어링","028050","STK","16850","17200","15800","1.644199","0.051085","-0.107741","0.393113","0.000078178","937888.4527","13.636364","21044373","956562","347266378915","15784835405"
"2018/09","삼성엔지니어링","028050","STK","19300","19300","16200","2.240902","0.010903","-0.102446","0.676443","0.000064669","1522121.3053","5.882353","23492294","1381900","410230512482","24131206617"
"2018/10","삼성엔지니어링","028050","STK","18250","19700","16200","3.031687","0.346215","-0.150192","1.227082","0.000069508","1268495.8746","9.52381","38584992","1837381","715255845912","34059802186"
"2018/11","삼성엔지니어링","028050","STK","19450","19450","17100","2.799449","0.538109","-0.158129","1.07405","0.000107541","857545.2739","0","26253081","1193322","476918539550","21678115434"
"2018/12","삼성엔지니어링","028050","STK","17600","19450","16600","2.180099","1.828953","-0.15513","0.75591","0.000076797","955344.0412","10.526316","23070724","1214249","423893540250","22310186329"
"2019/01","삼성엔지니어링","028050","STK","16750","18000","16600","1.668874","-0.60591","-0.156216","0.937253","0.000067628","1343578.2483","4.545455","24800906","1127314","426747680250","19397621830"
"2019/02","삼성엔지니어링","028050","STK","15700","16300","15350","2.346761","2.999449","-0.149154","-0.05781","0.000042039","1485242.9716","17.647059","38322362","2254257","605683408308","35628435783"
"2019/03","삼성엔지니어링","028050","STK","16100","16250","15350","1.684441","-0.176472","-0.157801","0.854551","0.000076614","1008463.4829","5","21247265","1062363","336211049300","16810552465"
"2019/04","삼성엔지니어링","028050","STK","17050","17050","15950","1.552209","0.5555","-0.159726","1.030546","0.000067836","998236.2885","9.090909","22563342","1025606","373843517900","16992887177"
"2019/05","삼성엔지니어링","028050","STK","16700","17600","16250","1.513138","1.460509","-0.129665","1.243024","0.000069629","982424.0865","4.761905","19513407","929210","329851078444","15707194212"
"2019/06","삼성엔지니어링","028050","STK","17150","17250","15050","2.726441","11.148668","-0.135605","-2.112475","0.00008078","721138.1738","10.526316","20379297","1072595","328143833500","17270728079"
"2019/07","삼성엔지니어링","028050","STK","16450","17400","15450","1.825449","-0.059972","-0.11681","0.520779","0.000155764","462750.5887","8.695652","13155800","571991","215920658064","9387854698"
"2019/08","삼성엔지니어링","028050","STK","15500","16050","15000","1.279153","-0.04922","-0.092164","0.747518","0.000104985","810167.9522","9.52381","12434488","592118","190280991600","9060999600"
