연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","삼성중공업","010140","STK","7330","12600","7000","7.286272","10.602177","0.456148","5.002548","0.000037841","4845737.071","10.526316","174489327","9183649","1460283273430","76857014391"
"2018/01","삼성중공업","010140","STK","9190","9670","7650","3.320131","-0.105522","0.42234","1.250154","0.000043496","4768994.4203","0","137852462","6266021","1222652801730","55575127351"
"2018/02","삼성중공업","010140","STK","8550","9500","8430","2.601773","-0.354016","0.402529","0.964807","0.00007155","3417702.4672","0","60640262","3368903","539998636632","29999924257"
"2018/03","삼성중공업","010140","STK","7720","8850","7620","3.396102","1.432805","0.391377","1.790492","0.000047518","5388489.0098","9.52381","125431183","5972913","1026886780500","48899370500"
"2018/04","삼성중공업","010140","STK","7350","8220","7340","2.446111","0.748641","0.392431","1.185335","0.000050606","6177546.5102","4.761905","89894963","4280713","688146203700","32768866843"
"2018/05","삼성중공업","010140","STK","7490","7990","7260","2.433383","0.314677","0.379563","0.564077","0.00004573","8598348.7753","0","104138299","5206915","804672687218","40233634361"
"2018/06","삼성중공업","010140","STK","7140","7630","6930","1.833178","-0.073054","0.335672","1.24074","0.000063927","4323000.8561","0","57581224","3030591","421526368960","22185598366"
"2018/07","삼성중공업","010140","STK","6470","7020","6090","1.709574","-0.957975","0.363386","0.5775","0.00007607","3409264.8038","0","64994882","2954313","423696520500","19258932750"
"2018/08","삼성중공업","010140","STK","7080","7150","6360","1.931665","1.793884","0.335371","1.017395","0.00007676","2477183.7238","9.090909","56429100","2564959","386932225940","17587828452"
"2018/09","삼성중공업","010140","STK","8080","8080","7200","1.300604","1.298011","0.160456","-0.606657","0.000053496","4697634.1674","0","48950194","2879423","377978367726","22234021631"
"2018/10","삼성중공업","010140","STK","6960","8370","6730","2.348761","0.835975","-0.218737","0.639866","0.000082499","4962936.9869","0","64955950","3093140","486367958445","23160378974"
"2018/11","삼성중공업","010140","STK","7420","7770","6350","3.241383","2.110643","-0.209974","1.177652","0.000066993","4549500.5005","9.090909","81667763","3712171","586418924900","26655405677"
"2018/12","삼성중공업","010140","STK","7410","8150","7140","2.836315","2.262995","-0.21423","1.492259","0.00007305","3687282.2736","0","66507487","3500394","514633097320","27085952491"
"2019/01","삼성중공업","010140","STK","9100","9100","7240","2.257147","-0.443081","-0.220463","0.271886","0.000057591","5386803.4045","0","103015167","4682508","847109506310","38504977560"
"2019/02","삼성중공업","010140","STK","9160","9450","8470","2.078926","-0.940459","-0.21783","0.561717","0.00004338","4633136.6455","0","78031212","4590071","694473548420","40851385201"
"2019/03","삼성중공업","010140","STK","8260","9190","8080","1.80464","-0.548165","-0.201361","1.464045","0.000058289","2765805.2319","15","55757836","2787892","492591435520","24629571776"
"2019/04","삼성중공업","010140","STK","8220","8980","8140","1.553684","-0.956308","-0.227753","1.164732","0.000051569","8630086.2316","0","69464435","3157474","591737864660","26897175666"
"2019/05","삼성중공업","010140","STK","7850","8540","7480","1.944266","0.09737","-0.197604","1.599655","0.000057083","4998057.2852","0","77899850","3709517","622173117690","29627291319"
"2019/06","삼성중공업","010140","STK","8160","8200","7780","0.721424","0.59996","-0.211089","-0.221499","0.000029915","4196568.3259","15.789474","36833039","1938581","294200973960","15484261787"
"2019/07","삼성중공업","010140","STK","7070","8220","6950","1.842246","1.050607","-0.211905","1.04342","0.000091155","2832239.0002","4.347826","41635455","1810237","314485429440","13673279541"
"2019/08","삼성중공업","010140","STK","7750","7750","6520","3.042326","2.463331","-0.179455","2.039762","0.0000866","3501822.5694","0","56901237","2709583","406258607421","19345647972"
"2019/09","삼성중공업","010140","STK","7880","8430","7640","1.711649","-0.06944","-0.19683","1.391356","0.000051849","5311014.5367","5.263158","57252486","3013289","461640136800","24296849305"
"2019/10","삼성중공업","010140","STK","7250","8140","7250","1.939351","2.475479","-0.216246","1.688656","0.00007584","4529102.4149","4.761905","50690671","2413841","396025642030","18858363906"
"2019/11","삼성중공업","010140","STK","6960","7340","6620","1.4941","3.231975","-0.242587","1.004372","0.000054208","4178158.4689","0","59916124","2853149","419336644830","19968411659"
"2019/12","삼성중공업","010140","STK","7270","7270","6690","1.249145","1.560043","-0.271763","0.747362","0.000066971","4327068.1434","0","37974102","1898705","267152936080","13357646804"
"2020/01","삼성중공업","010140","STK","6650","7490","6650","1.874288","1.772766","-0.226291","1.119941","0.000070968","3534532.387","5","51496710","2574836","370518755790","18525937790"
"2020/02","삼성중공업","010140","STK","5830","6850","5830","2.435587","3.998506","-0.210646","1.21464","0.00007814","3092488.5073","0","60952312","3047616","394733544380","19736677219"
"2020/03","삼성중공업","010140","STK","3900","6220","3115","6.89288","-0.012319","-0.471575","1.441936","0.000138007","6313921.1293","9.090909","183800716","8354578","784474145920","35657915724"
"2020/04","삼성중공업","010140","STK","4285","4500","3830","2.984078","-0.829027","-0.209706","1.1858","0.000081208","5762677.4193","5","145751228","7287561","616327627060","30816381353"
"2020/05","삼성중공업","010140","STK","4815","4885","4050","3.604887","3.623374","-0.211269","1.475888","0.000075763","7263858.369","5.263158","148175025","7798686","667697018630","35141948349"
"2020/06","삼성중공업","010140","STK","5950","6990","4980","6.425011","3.600538","-0.176959","1.922086","0.000031813","14241515.9171","0","611713472","27805158","4037859122990","183539051045"
"2020/07","삼성중공업","010140","STK","5720","5970","5520","2.116596","1.970844","-0.235585","1.473655","0.000044546","7491625.3882","4.347826","130438747","5671250","757364306460","32928882890"
