¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2017/12","»ï¼ºSDI","006400","STK","204500","217000","195000","2.282313","-0.120119","0.174525","1.337992","0.000026447","348312.3261","0","5482791","288568","1137435097933","59865005154"
"2018/01","»ï¼ºSDI","006400","STK","197000","225500","197000","2.718321","0.562052","0.148979","1.563211","0.000024739","319694.8655","0","9375909","426178","1968718478847","89487203584"
"2018/02","»ï¼ºSDI","006400","STK","171000","187500","170000","2.53763","-0.403458","0.09728","1.3329","0.000029175","258829.6445","0","9340277","518904","1658904294861","92161349715"
"2018/03","»ï¼ºSDI","006400","STK","192500","215500","170000","3.013001","0.673746","0.080558","1.818026","0.000024268","408023.9686","0","9432231","449154","1874477794687","89260847366"
"2018/04","»ï¼ºSDI","006400","STK","183500","199500","176000","1.963684","-0.242167","0.075135","1.66094","0.000027672","216909.2418","9.52381","5671317","270063","1074188996218","51151856963"
"2018/05","»ï¼ºSDI","006400","STK","200500","211500","180500","2.242978","-0.646105","0.078381","0.545767","0.000028122","281171.0273","10","6523672","326184","1289825605932","64491280297"
"2018/06","»ï¼ºSDI","006400","STK","214000","235500","209000","3.06094","-0.715465","0.10926","1.841793","0.000024408","262087.9898","0","8441016","444264","1884730737290","99196354594"
"2018/07","»ï¼ºSDI","006400","STK","229000","237000","212500","2.666331","1.519507","0.14643","1.419097","0.000020731","329273.0764","4.545455","8145064","370230","1853224610962","84237482316"
"2018/08","»ï¼ºSDI","006400","STK","236000","236000","208000","2.368001","2.083414","0.136869","1.231453","0.000024917","337897.0975","4.545455","6511194","295963","1458676580985","66303480954"
"2018/09","»ï¼ºSDI","006400","STK","258500","261000","238500","1.879032","-0.178002","-0.071071","0.847444","0.000018873","329148.0518","0","5864988","344999","1455652189685","85626599393"
"2018/10","»ï¼ºSDI","006400","STK","235500","252500","222500","3.142447","1.34373","-0.33275","1.28161","0.000020044","401454.7686","9.52381","8824050","420193","2092654322939","99650205854"
"2018/11","»ï¼ºSDI","006400","STK","206500","236000","201500","2.324003","0.544169","-0.370754","1.443801","0.0000197","429026.8003","0","8557153","388962","1862475482000","84657976455"
"2018/12","»ï¼ºSDI","006400","STK","219000","221000","202500","3.022976","0.193536","-0.379706","2.631168","0.0000263","348178.2044","5.263158","6947999","365684","1480966574000","77945609158"
"2019/01","»ï¼ºSDI","006400","STK","223500","240000","201000","2.757315","1.766324","-0.402999","2.126627","0.000024599","489917.706","0","8057099","366232","1806053690146","82093349552"
"2019/02","»ï¼ºSDI","006400","STK","237500","248000","227000","2.049848","1.796229","-0.413455","0.867954","0.000016399","384232.4309","5.882353","6325057","372062","1516140008000","89184706353"
"2019/03","»ï¼ºSDI","006400","STK","214500","238500","208000","1.930649","1.703863","-0.381172","0.93645","0.000014545","628008.9719","0","9295766","464788","2011205827640","100560291382"
"2019/04","»ï¼ºSDI","006400","STK","236500","236500","216500","1.031644","0.006369","-0.407067","0.664916","0.000016484","373315.6966","4.545455","5443207","247419","1227053285435","55775149338"
"2019/05","»ï¼ºSDI","006400","STK","218500","239000","203500","2.607636","1.422692","-0.41615","2.074971","0.000026624","299317.3849","9.52381","6195467","295022","1355538286950","64549442236"
"2019/06","»ï¼ºSDI","006400","STK","236500","238500","225000","1.655359","-0.894082","-0.416654","1.641176","0.000024215","263206.6229","5.263158","4522626","238033","1049479551754","55235765882"
"2019/07","»ï¼ºSDI","006400","STK","249000","249000","227500","1.921751","0.625099","-0.36866","0.915619","0.000027576","225320.0447","8.695652","4420450","192193","1048365440500","45581106109"
"2019/08","»ï¼ºSDI","006400","STK","249500","255500","235500","2.132295","0.372711","-0.352334","1.383548","0.000027418","331836.1149","0","4725656","225031","1161601027252","55314334631"
"2019/09","»ï¼ºSDI","006400","STK","223000","246500","222500","1.755521","7.223536","-0.385364","1.385687","0.000012433","396838.6816","21.052632","4967476","261446","1164771294050","61303752318"
"2019/10","»ï¼ºSDI","006400","STK","227500","232500","218500","1.541904","0.0214","-0.410419","0.197783","0.000021172","225760.0117","14.285714","4701609","223886","1057788403100","50370876338"
"2019/11","»ï¼ºSDI","006400","STK","231000","242500","231000","1.217888","-0.119288","-0.40396","0.723806","0.000025643","215986.2486","4.761905","3823877","182089","901866405733","42946019321"
"2019/12","»ï¼ºSDI","006400","STK","236000","237000","222000","2.070791","2.709426","-0.417724","1.09483","0.000025511","237902.4571","5","4639136","231957","1058186264250","52909313213"
"2020/01","»ï¼ºSDI","006400","STK","276000","287000","229000","2.348949","1.931944","-0.392287","1.129642","0.000015909","327394.4874","10","8081124","404056","2145424670146","107271233507"
"2020/02","»ï¼ºSDI","006400","STK","295000","343500","284000","3.223693","1.37106","-0.358639","1.454375","0.000010191","527251.6743","10","12487211","624361","4001770658512","200088532926"
"2020/03","»ï¼ºSDI","006400","STK","240500","323500","183000","7.24849","2.383724","-0.552418","1.491262","0.000016964","433392.3149","4.545455","22483856","1021993","5669866788280","257721217649"
"2020/04","»ï¼ºSDI","006400","STK","286000","286500","231000","2.927137","0.468787","-0.039403","1.00398","0.000011445","640144.2479","5","16283734","814187","4279955387000","213997769350"
"2020/05","»ï¼ºSDI","006400","STK","359000","388000","277000","3.982288","1.931587","-0.046409","1.903674","0.000010293","504130.12","5.263158","14652159","771166","4828014162186","254106008536"
"2020/06","»ï¼ºSDI","006400","STK","363500","387500","348500","2.871954","4.49196","-0.069957","1.197268","0.000006613","839303.2262","4.545455","15644002","711091","5879937795273","267269899785"
"2020/07","»ï¼ºSDI","006400","STK","397500","397500","370500","1.763816","-0.514835","-0.12024","0.885601","0.000007382","538080.614","0","11234188","488443","4347364956000","189015867652"
"2020/08","»ï¼ºSDI","006400","STK","452500","488000","414500","3.926433","3.336636","-0.140534","1.364248","0.000007488","790927.7635","0","15288926","764446","6911230861000","345561543050"
"2020/09","»ï¼ºSDI","006400","STK","433500","454500","410000","2.182466","1.56265","-0.085295","1.238455","0.000009395","816524.8233","0","8024976","382142","3520882904000","167661090667"
"2020/10","»ï¼ºSDI","006400","STK","442000","445500","413000","1.847812","0.653308","-0.089275","0.125012","0.000011288","322989.1646","10.526316","6046931","318260","2626534678418","138238667285"
"2020/11","»ï¼ºSDI","006400","STK","533000","552000","440000","3.054366","-0.783047","0.018963","1.001213","0.000008162","350425.9072","9.52381","12128551","577550","6147753580393","292750170495"
"2020/12","»ï¼ºSDI","006400","STK","628000","628000","546000","2.172443","3.588689","-0.010285","0.853829","0.000006573","498377.5479","4.761905","7769057","369955","4378373345035","208493968811"
"2021/01","»ï¼ºSDI","006400","STK","734000","792000","671000","3.167923","-0.296857","-0.07193","1.178621","0.000004913","684324.1531","5","12902960","645148","9479020855111","473951042756"
"2021/02","»ï¼ºSDI","006400","STK","674000","805000","674000","2.461963","-1.027815","-0.061132","1.113299","0.000006211","358385.5183","0","7180771","398932","5365239186792","298068843711"
"2021/03","»ï¼ºSDI","006400","STK","660000","696000","624000","2.89501","2.023496","-0.067748","2.375289","0.000006892","369454.5494","9.090909","9507485","432158","6277377295186","285335331599"
"2021/04","»ï¼ºSDI","006400","STK","654000","700000","642000","1.91365","1.701637","-0.067556","2.154247","0.0000063","432496.1515","0","7048152","320371","4754525445484","216114792977"
"2021/05","»ï¼ºSDI","006400","STK","615000","652000","602000","2.083161","0.638116","-0.07788","1.379559","0.000008487","306602.2385","5.263158","5584793","293936","3527472945741","185656470828"
"2021/06","»ï¼ºSDI","006400","STK","698000","698000","606000","1.505541","1.548664","-0.114702","1.179166","0.000005654","555294.0996","0","6186911","281223","4034579651593","183389984163"
"2021/07","»ï¼ºSDI","006400","STK","741000","765000","722000","1.816309","-0.187697","-0.123477","1.314821","0.000006006","583707.4579","0","6271734","285079","4638208982000","210827681000"
"2021/08","»ï¼ºSDI","006400","STK","793000","817000","745000","1.968547","-0.088697","-0.126946","0.553998","0.00000519","307349.3004","14.285714","6292781","299656","4918855675320","234231222634"
"2021/09","»ï¼ºSDI","006400","STK","718000","788000","709000","1.815801","0.257993","-0.143549","1.914685","0.000006994","256112.2547","5.263158","5016519","264027","3712751875744","195407993460"
"2021/10","»ï¼ºSDI","006400","STK","734000","750000","663000","2.123277","-0.8022","-0.147609","1.457475","0.000008731","268912.611","5.263158","5098650","268350","3602585017270","189609737751"
"2021/11","»ï¼ºSDI","006400","STK","688000","763000","688000","1.214708","0.716469","-0.168532","0.332302","0.00000581","387069.7882","4.545455","4543362","206516","3340649740137","151847715461"
"2021/12","»ï¼ºSDI","006400","STK","655000","710000","632000","1.660057","-0.138653","-0.15023","0.758313","0.000008267","298109.1892","0","5506651","250302","3703629519113","168346796323"
"2022/01","»ï¼ºSDI","006400","STK","584000","688000","584000","2.932466","0.840917","-0.178896","1.335626","0.000008593","432405.6958","0","7193772","359689","4601039323300","230051966165"
"2022/02","»ï¼ºSDI","006400","STK","548000","587000","516000","2.728784","-0.295433","-0.155899","1.708752","0.000012755","231701.2835","5.555556","5855225","325290","3250035421000","180557523389"
"2022/03","»ï¼ºSDI","006400","STK","596000","596000","481000","2.618932","0.161421","-0.162175","1.39565","0.000010849","248378.6187","4.761905","7647585","364171","3977423638032","189401125621"
"2022/04","»ï¼ºSDI","006400","STK","611000","620000","577000","2.141699","-1.173233","-0.160221","1.582655","0.000011788","230052.7555","0","5606363","266970","3341513071000","159119670048"
"2022/05","»ï¼ºSDI","006400","STK","575000","624000","564000","2.223971","-0.122423","-0.167257","1.49722","0.000011817","236881.8513","4.761905","5527842","263231","3270098451372","155718973875"
"2022/06","»ï¼ºSDI","006400","STK","532000","581000","528000","3.166503","-0.271355","-0.191756","1.562026","0.000014387","171363.7603","5","5899042","294952","3251860106364","162593005318"
"2022/07","»ï¼ºSDI","006400","STK","569000","578000","506000","2.370219","0.206155","-0.213525","1.465131","0.000014676","245539.576","4.761905","4783402","227781","2608025083000","124191670619"
"2022/08","»ï¼ºSDI","006400","STK","598000","632000","572000","1.704614","-0.536341","-0.207745","1.247259","0.000011001","264991.2805","0","4477552","203525","2676294731545","121649760525"
"2022/09","»ï¼ºSDI","006400","STK","546000","634000","546000","2.674079","-0.254463","-0.237119","1.466692","0.000014882","244703.7713","0","4869513","243476","2885576799190","144278839960"
"2022/10","»ï¼ºSDI","006400","STK","737000","737000","556000","2.484042","1.154167","-0.252526","0.879283","0.000009911","230107.5985","10.526316","6368287","335173","4057831521306","213570080069"
"2022/11","»ï¼ºSDI","006400","STK","729000","760000","680000","2.383867","-0.028674","-0.271985","0.972135","0.000009074","259762.8701","0","6366260","289375","4621793570546","210081525934"
