¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2017/12","½Ö¿ëC&E","003410","STK","18650","20250","15550","8.210193","8.426547","0.235883","2.308227","0.001131074","78986.4544","5.263158","2731601","143768","53071720250","2793248434"
"2018/01","½Ö¿ëC&E","003410","STK","22050","22700","18250","3.199215","0.921333","0.25043","2.284517","0.000742622","84690.8722","4.545455","3313059","150594","66145399950","3006609089"
"2018/02","½Ö¿ëC&E","003410","STK","20900","21900","19300","2.293342","0.812334","0.247441","0.836708","0.000678757","123479.6891","16.666667","2140425","118913","43667258300","2425958794"
"2018/03","½Ö¿ëC&E","003410","STK","23900","23900","20000","3.298188","1.082778","0.227696","-0.358299","0.000776412","96746.0979","0","3424620","163077","74943404050","3568733526"
"2018/04","½Ö¿ëC&E","003410","STK","29850","29850","22100","5.324784","7.226231","0.202464","4.346043","0.00047237","261776.9443","4.761905","11318815","538991","292948246050","13949916479"
"2018/05","½Ö¿ëC&E","003410","STK","33750","38600","29700","8.756964","5.843358","0.220257","4.110488","0.00014079","407718.9427","0","20963946","1048197","725821688950","36291084448"
"2018/06","½Ö¿ëC&E","003410","STK","28400","33000","27000","3.917887","-0.876634","0.30819","0.90141","0.00023068","228960.7562","5.263158","9339371","491546","285159071050","15008372161"
"2018/07","½Ö¿ëC&E","003410","STK","5260","27500","4615","3.645802","-0.220505","0.306852","1.096009","0.000295455","1228605.8398","13.636364","33395128","1757638","190448909280","10023626804"
"2018/08","½Ö¿ëC&E","003410","STK","6100","6220","5160","4.130521","0.97175","0.294655","0.526537","0.00018947","1762233.8581","0","46838706","2129032","269563238380","12252874472"
"2018/09","½Ö¿ëC&E","003410","STK","6450","6850","6150","3.073423","0.399862","0.28711","1.169192","0.000165871","2784259.0297","0","35778984","2104646","232800399820","13694141166"
"2018/10","½Ö¿ëC&E","003410","STK","4795","6530","4675","2.961465","0.511851","-0.497664","1.10602","0.000372069","718605.8008","0","24460608","1164791","136049457185","6478545580"
