연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","일진머티리얼즈","020150","STK","38300","39450","34400","3.017736","-0.01375","-0.079956","0.601191","0.00015546","385036.3312","0","8087053","425634","298609364950","15716282366"
"2018/01","일진머티리얼즈","020150","STK","38850","40300","36000","2.303047","1.337789","-0.106861","1.226299","0.000085671","652624.4971","0","11684813","531128","449860180950","20448190043"
"2018/02","일진머티리얼즈","020150","STK","32600","38850","31950","2.553505","-0.372538","-0.122026","1.893048","0.000193797","365426.3918","5.555556","6486518","360362","221694922250","12316384569"
"2018/03","일진머티리얼즈","020150","STK","37300","38700","32150","3.031153","0.672147","-0.119566","1.740757","0.000135674","432087.1277","0","9791262","466251","358787739850","17085130469"
"2018/04","일진머티리얼즈","020150","STK","33450","37300","33450","1.957446","0.998017","-0.117556","1.176437","0.000139804","378354.5462","4.761905","6350732","302416","224773668400","10703508019"
"2018/05","일진머티리얼즈","020150","STK","34650","35050","31850","2.420283","1.465011","-0.121452","0.840497","0.00022703","303355.5627","0","4757199","237860","160825843800","8041292190"
"2018/06","일진머티리얼즈","020150","STK","42350","44400","36950","3.847117","-0.592785","-0.108685","2.426326","0.000099778","417306.9615","0","13748370","723598","562286312850","29594016466"
"2018/07","일진머티리얼즈","020150","STK","53100","55900","40800","3.43955","-0.189117","-0.057072","0.948785","0.000067306","617079.7845","4.545455","17585598","799345","870261288600","39557331300"
"2018/08","일진머티리얼즈","020150","STK","55400","58700","48700","3.010419","0.979728","-0.062917","-0.088152","0.000060226","770646.6524","4.545455","16307802","741264","878454236920","39929738042"
"2018/09","일진머티리얼즈","020150","STK","53500","58000","53500","2.456668","0.877187","-0.109171","0.841342","0.000061238","609584.6156","0","9695339","570314","544221722845","32013042520"
"2018/10","일진머티리얼즈","020150","STK","45450","53500","42800","3.732461","-0.44482","-0.440022","1.96681","0.00011702","425622.3991","4.761905","10375145","494055","499698585050","23795170717"
