연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","DB손해보험","005830","STK","71200","73000","67500","1.598171","-0.073681","-0.11047","0.054397","0.000143546","257375.1439","0","2665203","140274","186145017820","9797106201"
"2018/01","DB손해보험","005830","STK","72400","73200","67200","1.685689","-0.216205","-0.105924","0.749479","0.000149292","158930.7086","0","2743189","124690","193454217980","8793373545"
"2018/02","DB손해보험","005830","STK","69500","74700","67300","2.100833","-0.474893","-0.128424","1.139414","0.00017512","245771.1104","0","2487125","138174","174613418242","9700745458"
"2018/03","DB손해보험","005830","STK","65000","69400","64700","1.180808","0.1066","-0.11917","0.488359","0.000121166","290963.5473","4.761905","2484033","118287","166744579707","7940218081"
"2018/04","DB손해보험","005830","STK","62900","63800","58800","1.597411","0.678287","-0.119725","0.001962","0.000151511","120111.4053","9.52381","2848061","135622","174762009790","8322000466"
"2018/05","DB손해보험","005830","STK","58500","63100","57200","1.660773","-0.812007","-0.074808","0.89077","0.000150845","214718.6906","0","3202546","160127","193345516687","9667275834"
"2018/06","DB손해보험","005830","STK","59000","65400","58500","2.193051","1.529791","-0.046789","-0.174266","0.000127971","290290.3167","5.263158","3428463","180445","210490451872","11078444835"
"2018/07","DB손해보험","005830","STK","64500","64500","57300","2.078719","-1.098757","-0.043503","0.896617","0.000209445","158797.217","0","3157319","143515","194263826700","8830173941"
"2018/08","DB손해보험","005830","STK","64000","68500","62900","1.923458","0.90987","-0.038458","0.372954","0.000131274","217082.3721","4.545455","3625016","164773","239911828800","10905083127"
"2018/09","DB손해보험","005830","STK","72800","72800","62400","2.050119","5.613376","0.02388","1.147574","0.00011876","212310.3292","5.882353","2580082","151770","169995891850","9999758344"
"2018/10","DB손해보험","005830","STK","71800","73700","68100","2.246961","0.636531","-0.075089","0.584351","0.000146991","194841.9843","0","3586346","170778","256305608041","12205028954"
