연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","하나금융지주","086790","STK","49800","51400","45650","1.928613","-0.25422","0.088786","0.049609","0.000042085","790718.3131","0","15237587","801978","738781447961","38883234103"
"2018/01","하나금융지주","086790","STK","52100","55500","50900","1.890477","0.070222","0.10534","0.605853","0.000034169","1071238.6044","4.545455","19071906","866905","1011529675599","45978621618"
"2018/02","하나금융지주","086790","STK","49150","53200","48450","2.569106","0.192309","0.084617","1.055765","0.000048456","627122.6532","0","15240951","846720","768314958446","42684164358"
"2018/03","하나금융지주","086790","STK","45750","49350","45300","2.375699","-0.203184","0.098991","0.973287","0.000041623","1077223.2136","0","19490141","928102","919518845014","43786611667"
"2018/04","하나금융지주","086790","STK","47750","47900","41600","2.492171","3.087544","0.085222","0.902786","0.000028316","1851287.4746","4.761905","28142395","1340114","1241885403699","59137400176"
"2018/05","하나금융지주","086790","STK","41600","46850","41600","1.170722","-0.463448","0.129571","0.983934","0.000029453","1088660.7515","0","16967056","848353","759054955435","37952747772"
"2018/06","하나금융지주","086790","STK","42850","46250","41900","2.332997","0.738566","0.23664","1.732849","0.000040118","892898.2358","0","18132529","954344","802183091226","42220162696"
"2018/07","하나금융지주","086790","STK","44900","45400","41350","2.033137","-1.240093","0.258047","0.460532","0.00004577","1260828.6194","0","19889997","904091","863222393480","39237381522"
"2018/08","하나금융지주","086790","STK","42700","45000","42450","1.34609","-0.84082","0.272995","0.80247","0.000036013","689173.6565","13.636364","15682871","712858","682180415416","31008200701"
"2018/09","하나금융지주","086790","STK","44550","44550","41850","1.529855","-0.402447","0.194427","0.12398","0.000031954","1204817.1103","5.882353","14172724","833690","607401274176","35729486716"
"2018/10","하나금융지주","086790","STK","38300","46400","38300","2.308879","0.506106","-0.395554","0.729627","0.000033654","1343381.322","4.761905","26989544","1285216","1157025045617","55096430744"
"2018/11","하나금융지주","086790","STK","37600","39500","37600","1.415575","1.190711","-0.410873","1.133226","0.000025923","2660520.995","9.090909","21525740","978443","829235703196","37692531963"
"2018/12","하나금융지주","086790","STK","36250","38050","35700","1.530023","2.191224","-0.415105","0.398359","0.000030245","1837123.3837","0","20209065","1063635","745962792138","39261199586"
"2019/01","하나금융지주","086790","STK","39950","39950","34750","1.75996","0.605961","-0.422851","0.825667","0.000035837","1470682.5025","0","19848517","902205","736887806962","33494900316"
"2019/02","하나금융지주","086790","STK","38850","40550","38500","0.950092","0.711226","-0.418429","0.164548","0.000017779","2971385.2311","5.882353","18501635","1088331","737049593801","43355858459"
"2019/03","하나금융지주","086790","STK","36400","38400","35900","1.271638","-0.119763","-0.419978","0.798592","0.000035261","1251560.1798","0","17615270","880764","658094854639","32904742732"
"2019/04","하나금융지주","086790","STK","36800","39550","36450","1.512966","1.167796","-0.444313","1.457597","0.00003273","1473953.1944","0","18292246","831466","700356618024","31834391728"
"2019/05","하나금융지주","086790","STK","36300","37650","35500","1.414447","-0.281593","-0.401202","0.491229","0.000035855","963454.2104","4.761905","19636224","935058","721061404057","34336257336"
"2019/06","하나금융지주","086790","STK","37400","37750","36500","0.888629","0.767092","-0.405172","0.052664","0.000014219","3293701.1611","5.263158","29233247","1538592","1079647021272","56823527435"
"2019/07","하나금융지주","086790","STK","34750","37550","34750","1.15329","-0.315326","-0.411383","0.86646","0.000022284","1958847.2049","13.043478","23922647","1040115","861432282356","37453577494"
"2019/08","하나금융지주","086790","STK","32500","35200","31450","1.40883","0.756367","-0.395755","0.49008","0.000031124","1963538.0743","4.761905","23919992","1139047","778388207659","37066105127"
"2019/09","하나금융지주","086790","STK","35250","36900","32550","1.588033","0.112527","-0.429188","1.39168","0.000030672","1861464.7551","5.263158","22205538","1168713","779500441585","41026339031"
"2019/10","하나금융지주","086790","STK","33700","36250","32700","1.995006","0.238269","-0.436401","1.269934","0.000037748","1312541.2226","4.761905","22397434","1066544","774054857400","36859755114"
"2019/11","하나금융지주","086790","STK","35750","36550","34200","1.128739","-0.134372","-0.474971","0.854298","0.00003058","1793127.8265","0","18244572","868789","652491214912","31071010234"
"2019/12","하나금융지주","086790","STK","36900","38700","35500","1.533763","-0.059361","-0.501573","0.971447","0.000033084","1557649.9111","0","18664223","933211","696415730310","34820786516"
"2020/01","하나금융지주","086790","STK","33200","36200","33200","1.201831","1.140468","-0.494469","0.568061","0.000027963","1823777.4893","10","17449003","872450","608049089300","30402454465"
