연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","현대해상","001450","STK","47000","48400","42450","2.280887","-0.648937","-0.158691","0.140518","0.000168711","216628.4108","10.526316","4499913","236838","207033189452","10896483655"
"2018/01","현대해상","001450","STK","46350","47000","44050","1.542136","0.282057","-0.163549","0.546978","0.000115297","353412.9717","9.090909","4588395","208563","209269587075","9512253958"
"2018/02","현대해상","001450","STK","41300","47200","40900","1.867139","-0.837492","-0.223776","1.060484","0.000222709","125921.1261","5.555556","3315837","184213","142746001550","7930333419"
"2018/03","현대해상","001450","STK","38900","40800","37600","2.368575","2.443315","-0.202713","1.240835","0.000160018","225354.7291","0","4732458","225355","184199071294","8771384347"
"2018/04","현대해상","001450","STK","38250","38500","35550","1.689097","-0.826143","-0.204793","0.023003","0.000200735","396655.8076","0","4286226","204106","159005198737","7571676130"
"2018/05","현대해상","001450","STK","34050","38100","33550","2.026846","-0.219738","-0.160971","1.069486","0.000213019","151584.1911","10","3700937","185047","133692463569","6684623178"
"2018/06","현대해상","001450","STK","33700","37950","33700","2.476247","0.651577","-0.114644","0.141786","0.000245413","182250.9885","0","4282697","225405","153145947609","8060313032"
"2018/07","현대해상","001450","STK","36650","36800","33100","2.41567","-0.60997","-0.095358","0.308471","0.000214547","348159.2055","0","5468955","248589","191919544400","8723615655"
"2018/08","현대해상","001450","STK","37200","38600","36250","1.97987","-0.3033","-0.100943","0.015233","0.000149737","282282.7233","0","6072254","276012","228235909557","10374359525"
"2018/09","현대해상","001450","STK","41950","41950","35550","2.429757","3.893985","-0.063592","1.791596","0.00011642","368601.6474","0","5619051","330532","213609904625","12565288507"
"2018/10","현대해상","001450","STK","41800","42500","39000","2.403006","0.223054","-0.068529","0.54824","0.000135256","379484.1864","9.52381","7042259","335346","289813185350","13800627874"
"2018/11","현대해상","001450","STK","40050","44550","39700","2.235699","-0.127929","-0.092529","-0.001737","0.000132508","399061.3609","0","6407991","291272","269782465871","12262839358"
"2018/12","현대해상","001450","STK","41050","43650","39400","1.782661","0.10324","-0.095334","0.019335","0.00015307","354581.0114","5.263158","4411253","232171","182266765950","9592987682"
"2019/01","현대해상","001450","STK","37350","39900","36750","1.498837","-0.437838","-0.116318","0.685848","0.000120245","325839.673","9.090909","5633183","256054","213119192450","9687236020"
"2019/02","현대해상","001450","STK","37700","39550","37600","2.059771","-0.878587","-0.115354","0.811373","0.000168613","237387.9251","0","4308111","253418","165143301185","9714311834"
"2019/03","현대해상","001450","STK","37900","38900","36750","1.137985","0.278235","-0.103462","0.454565","0.000139944","331103.6197","0","3536653","176833","134175573883","6708778694"
"2019/04","현대해상","001450","STK","38250","39350","37750","1.240247","-0.311467","-0.111128","0.740477","0.000202217","322670.2114","0","3090063","140457","119012641550","5409665525"
"2019/05","현대해상","001450","STK","30750","38050","30350","2.130353","7.66383","-0.255555","1.341894","0.00013563","292805.981","9.52381","6148303","292776","199722406000","9510590762"
"2019/06","현대해상","001450","STK","28450","31450","28450","1.564106","-0.483029","-0.24022","1.297391","0.000149557","302424.4591","10.526316","5976551","314555","178180217915","9377906206"
"2019/07","현대해상","001450","STK","27950","28500","26550","1.772221","1.275108","-0.225321","0.88944","0.00021355","351867.5307","4.347826","4832466","210107","131601931750","5721823120"
"2019/08","현대해상","001450","STK","23900","27350","23050","2.724683","-0.931063","-0.210354","0.146257","0.000284147","245208.3774","0","6751540","321502","165398719750","7876129512"
"2019/09","현대해상","001450","STK","26400","26400","23850","1.104877","1.521102","-0.236118","0.152472","0.000097867","359058.8372","21.052632","6187088","325636","156185259759","8220276829"
"2019/10","현대해상","001450","STK","25250","26800","24400","2.232973","2.12644","-0.236771","1.570989","0.000213348","398265.8229","4.761905","6127023","291763","159249735400","7583320733"
