연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","기업은행","024110","STK","16450","17200","15300","1.628652","1.041971","0.209535","-0.096883","0.00006386","1309557.0957","5.263158","22223762","1169672","360549980597","18976314768"
"2018/01","기업은행","024110","STK","16650","17100","16400","1.252606","-0.081295","0.195171","0.24878","0.000056251","1480441.6974","9.090909","22706934","1032133","378992886716","17226949396"
"2018/02","기업은행","024110","STK","17200","17200","15700","1.979399","2.235885","0.246324","0.639173","0.000084388","1132043.4323","5.555556","17471678","970649","289087519250","16060417736"
"2018/03","기업은행","024110","STK","15350","16750","15350","2.22812","-0.25795","0.269515","1.072601","0.00008968","924700.4499","19.047619","26489163","1261389","422467264656","20117488793"
"2018/04","기업은행","024110","STK","16850","16850","14800","1.381548","-0.183353","0.253254","-0.020101","0.000077122","1150805.1942","0","19998077","952289","316929251986","15091869142"
"2018/05","기업은행","024110","STK","15600","17000","15500","1.38056","2.054113","0.26812","1.138881","0.0000797","835363.9559","15","15527128","776356","255276389750","12763819488"
"2018/06","기업은행","024110","STK","15400","16450","15250","1.441088","-0.004908","0.410864","0.966157","0.000096617","790728.4098","10.526316","13017422","685127","207170856006","10903729263"
"2018/07","기업은행","024110","STK","15650","16050","15150","1.283626","-0.912336","0.430555","0.262781","0.000110186","608955.3923","13.636364","13663676","621076","213860432784","9720928763"
"2018/08","기업은행","024110","STK","14900","15600","14900","1.205601","2.723399","0.44318","0.501499","0.000066288","697259.2347","27.272727","15608046","709457","236558464678","10752657485"
"2018/09","기업은행","024110","STK","15250","15250","14350","1.160284","-1.227653","0.392926","0.62792","0.000087448","654110.8053","17.647059","13020332","765902","190907299977","11229841175"
"2018/10","기업은행","024110","STK","14850","15550","14300","2.131409","0.572092","0.155902","0.709155","0.000097109","726878.5148","14.285714","21340623","1016220","316054434590","15050211171"
"2018/11","기업은행","024110","STK","14800","15350","14700","1.074563","-0.359885","0.117005","0.454235","0.000084222","752003.3764","18.181818","14038856","638130","210959670950","9589075952"
"2018/12","기업은행","024110","STK","14050","15250","14050","1.681725","5.583414","0.123715","0.150493","0.000061666","1072552.0333","15.789474","20266678","1066667","297436508932","15654553102"
