ø¨ø˘,¡æ∏Ò∏Ì,¡æ∏Òƒ⁄µÂ,Ω√¿Âæ∆¿Ãµ,¡æ∞°,√÷∞Ì∞°(¡æ∞°),√÷¿˙∞°(¡æ∞°),«•¡ÿ∆Ì¬˜,√∑µµ,∞¯ø÷µµ,∫£≈∏,Amihud,Amivest,Zeros,∞≈∑°∑Æ_«’∞Ë,∞≈∑°∑Æ_¿œ∆Ú±’,∞≈∑°¥Î±›_«’∞Ë,∞≈∑°¥Î±›_¿œ∆Ú±’
"2017/12","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","8250","8490","8200","0.921048","10.184781","-0.309675","-0.060816","0.000131891","2669798.6449","15.789474","12261346","645334","102428454070","5390971267"
"2018/01","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","8240","8250","8050","0.463227","-0.931544","-0.344803","-0.009488","0.000088383","1472543.7462","13.636364","11136884","506222","90911641330","4132347333"
"2018/02","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","8400","8460","8280","0.402894","2.13746","-0.279873","0.096486","0.000041909","2250987.8915","27.777778","12806702","711483","107235725269","5957540293"
"2018/03","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","8800","8820","8450","0.578686","2.574674","-0.301223","0.242496","0.00006629","2541748.8836","4.761905","19184038","913526","166702478990","7938213285"
"2018/04","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","8950","8950","8800","0.295369","-0.213454","-0.297238","0.145127","0.000046612","2019477.9068","33.333333","12291295","585300","109222048359","5201049922"
"2018/05","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","8910","8960","8830","0.338307","2.058299","-0.266136","-0.049759","0.000047228","2403651.7511","20","11841501","592075","105538775950","5276938798"
"2018/06","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","8960","9030","8870","0.535382","5.34693","-0.175635","0.186381","0.000068317","2177165.4119","21.052632","11486806","604569","103063524086","5424396005"
"2018/07","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","9050","9050","8810","0.570974","2.781871","-0.164892","0.337417","0.000183833","809333.6767","13.636364","6043592","274709","53828084394","2446731109"
"2018/08","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","9000","9080","8940","0.431183","-0.524252","-0.167487","-0.256962","0.000105894","1835863.5752","13.636364","10504433","477474","94576578770","4298935399"
"2018/09","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","9100","9240","8980","0.555699","1.707773","0.265878","0.154905","0.000058431","3005931.8283","5.882353","14283817","840225","129606659870","7623921169"
"2018/10","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","9060","9160","9010","0.352507","-0.443327","0.074909","0.142826","0.000079389","2156366.8632","19.047619","13546192","645057","122697972770","5842760608"
"2018/11","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","9370","9450","9060","0.475103","0.157603","0.07384","0.126502","0.000127315","1823815.749","4.545455","11596911","527132","107052043570","4866001980"
"2018/12","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","9290","9470","9220","0.61883","3.873955","0.075943","0.204602","0.000066761","3852701.5477","0","15787950","830945","147932014550","7785895503"
"2019/01","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","9880","9900","9280","0.650549","2.598041","0.050195","-0.091656","0.00008722","1658495.8932","13.636364","14857423","675337","142065762240","6457534647"
"2019/02","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","9980","10050","9870","0.281392","-0.482138","0.056945","0.081524","0.000035273","2947159.2889","17.647059","13604369","800257","135523886418","7971993319"
"2019/03","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","10650","10700","9950","0.663673","0.212894","0.036964","-0.041861","0.000057492","1217866.0341","30","15707813","785391","160377941590","8018897080"
"2019/04","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11250","11250","10600","0.736569","2.228068","-0.011571","0.146758","0.00006106","628940.5094","40.909091","15390514","699569","166190927000","7554133045"
"2019/05","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11950","12150","11500","0.881616","-0.177343","0.132782","0.179034","0.000056155","1172524.8804","23.809524","21440069","1020956","253326981624","12063189601"
"2019/06","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11800","12100","11750","0.858619","6.245073","0.147249","-0.000786","0.000058615","1293852.0083","21.052632","15954801","839726","189498417750","9973600934"
"2019/07","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11650","11800","10950","1.116147","2.545392","0.130233","0.453417","0.000065565","797302.9932","30.434783","20692266","899664","236130466950","10266542041"
"2019/08","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11550","11650","11250","0.849211","1.506684","0.134243","0.291545","0.000098399","573768.0901","33.333333","11149362","530922","127260991002","6060047191"
"2019/09","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11750","11750","11450","0.469006","1.053487","0.150691","-0.317736","0.000074397","621163.7411","42.105263","8770463","461603","101687999603","5351999979"
"2019/10","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11850","12000","11700","0.514397","-0.816548","0.165169","-0.0849","0.000068421","825459.5474","28.571429","11550025","550001","136812973195","6514903485"
"2019/11","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11950","11950","11700","0.421492","0.211049","0.155225","-0.079465","0.000055882","468268.1888","47.619048","11120027","529525","131471708250","6260557536"
"2019/12","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11600","12100","11600","0.738913","1.650241","0.169305","-0.167251","0.000051195","1152192.563","25","17139338","856967","203883666950","10194183348"
"2020/01","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11600","11650","11450","0.612596","0.434464","0.132126","0.10473","0.00007647","598928.2631","35","10911693","545585","126372415902","6318620795"
"2020/02","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11100","11600","11100","0.57909","6.916707","0.082263","0.159593","0.000034504","422190.8793","60","12125511","606276","138607766925","6930388346"
"2020/03","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","10850","11400","9580","2.15209","0.306398","-0.091191","0.417373","0.000109386","1080295.0738","9.090909","34579125","1571778","359472987880","16339681267"
"2020/04","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11450","11450","10750","0.738906","-0.355838","0.343688","0.215551","0.000072626","584854.5376","40","15906295","795315","177647083606","8882354180"
"2020/05","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11850","11850","11350","0.601126","1.086479","0.336959","0.063016","0.000063354","931197.5476","26.315789","12379500","651553","142316660475","7490350551"
"2020/06","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11400","11900","11400","0.669668","3.241264","0.283674","0.116398","0.000034353","2029566.8491","22.727273","27522138","1251006","321292925150","14604223870"
"2020/07","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11300","11450","11250","0.457713","0.252157","0.24157","-0.048144","0.000044706","592970.1557","47.826087","14752447","641411","167792666850","7295333341"
"2020/08","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11000","11400","11000","0.837644","2.189025","0.219446","0.303401","0.000069328","973955.7858","25","16696960","834848","185294261950","9264713098"
