연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","메리츠화재","000060","STK","23500","25450","23350","2.448765","0.275072","0.366536","-0.591024","0.000439709","209157.2496","0","3374360","177598","81542585650","4291715034"
"2018/01","메리츠화재","000060","STK","24900","24900","22700","1.643538","0.177149","0.334812","0.878465","0.000340207","192055.4066","13.636364","3324365","151108","79189764900","3599534768"
"2018/02","메리츠화재","000060","STK","22850","25300","22850","1.409852","0.64266","0.276091","0.640811","0.000431004","175675.8863","0","2495099","138617","59430190300","3301677239"
"2018/03","메리츠화재","000060","STK","21050","22700","21050","1.219371","3.284571","0.303731","0.704923","0.000207015","376755.016","9.52381","4584898","218328","99347044959","4730811665"
"2018/04","메리츠화재","000060","STK","20950","21050","20150","1.240795","0.116104","0.301291","0.346687","0.000465159","211340.1453","9.52381","2594382","123542","53262971250","2536331964"
"2018/05","메리츠화재","000060","STK","20500","20800","19750","1.523766","1.111265","0.334721","0.490688","0.000466829","177655.1753","5","2579850","128993","52272701082","2613635054"
"2018/06","메리츠화재","000060","STK","19200","21100","19200","2.142863","0.067503","0.375657","-0.427371","0.00051862","163126.1871","5.263158","3667533","193028","74307612995","3910927000"
"2018/07","메리츠화재","000060","STK","18400","19550","18250","1.146946","-0.571765","0.405759","-0.123767","0.00047619","194353.3984","4.545455","2812004","127818","52642125700","2392823895"
"2018/08","메리츠화재","000060","STK","18250","19350","17950","1.704512","-0.636218","0.419134","0.992576","0.000482516","167297.8244","9.090909","3619346","164516","67134510050","3051568639"
"2018/09","메리츠화재","000060","STK","19350","19600","17800","1.839497","3.240523","0.297753","1.300666","0.000520793","134472.3192","5.882353","2569432","151143","47841127250","2814183956"
"2018/10","메리츠화재","000060","STK","18200","19600","17650","1.754976","-0.07179","-0.026775","0.627642","0.000424105","162873.3188","14.285714","3561899","169614","66830016050","3182381717"
"2018/11","메리츠화재","000060","STK","21200","22600","17800","2.819769","4.347004","0.010619","-0.38351","0.000370918","260794.0852","4.545455","5825009","264773","119507109700","5432141350"
"2018/12","메리츠화재","000060","STK","21850","22150","20750","1.812437","0.568937","0.006621","-0.184293","0.000375514","151283.1735","15.789474","3431090","180584","73874989800","3888157358"
"2019/01","메리츠화재","000060","STK","22200","22800","20900","1.785739","-0.554969","-0.015023","0.541505","0.000483652","92756.5548","18.181818","3295571","149799","72976291500","3317104159"
"2019/02","메리츠화재","000060","STK","22100","23400","22100","1.325747","0.178649","-0.004211","0.368653","0.000357868","210470.8957","11.764706","2180766","128280","49900640050","2935331768"
"2019/03","메리츠화재","000060","STK","24300","24500","22150","1.638479","-0.479898","-0.031606","0.821744","0.000485885","166999.9034","5","2521562","126078","59164357300","2958217865"
"2019/04","메리츠화재","000060","STK","23800","25600","23250","1.645196","1.696253","-0.069416","0.225926","0.000268125","229028.1172","0","4514204","205191","109367113550","4971232434"
"2019/05","메리츠화재","000060","STK","21850","24100","21350","1.518248","0.397715","-0.11128","0.562779","0.00042323","206401.3108","4.761905","3121628","148649","70288068100","3347050862"
"2019/06","메리츠화재","000060","STK","20700","22250","20600","1.759425","1.241203","-0.110558","0.877419","0.000391106","248256.1016","0","2881538","151660","61470146800","3235270884"
"2019/07","메리츠화재","000060","STK","19900","20400","19350","1.272111","0.588283","-0.097822","0.316851","0.000332439","185664.7543","13.043478","3373337","146667","66394961150","2886737441"
"2019/08","메리츠화재","000060","STK","17950","20000","17700","2.100779","0.099009","-0.069","0.296588","0.000629609","172001.6194","4.761905","3426165","163151","63898129200","3042768057"
"2019/09","메리츠화재","000060","STK","19100","19500","18000","1.681516","1.857034","-0.094285","0.519911","0.000415742","148000.8958","10.526316","2822881","148573","53488504850","2815184466"
"2019/10","메리츠화재","000060","STK","18500","19400","18000","1.628908","-0.6863","-0.098694","1.053625","0.000516338","144112.3158","0","3237482","154166","60689061200","2889955295"
"2019/11","메리츠화재","000060","STK","18400","19600","18050","1.413182","-0.87027","-0.111586","0.104407","0.000483922","197577.2273","9.52381","3102800","147752","58108925350","2767091683"
"2019/12","메리츠화재","000060","STK","17850","18850","17850","1.226655","0.738908","-0.133173","-0.018595","0.000273974","223463.4091","15","3645608","182280","66816937950","3340846898"
"2020/01","메리츠화재","000060","STK","15700","17150","15350","1.506469","-0.157501","-0.110886","0.556717","0.000401382","174044.8977","15","3789447","189472","61897766750","3094888338"
"2020/02","메리츠화재","000060","STK","14700","15850","14700","1.074616","0.228956","-0.091484","0.051816","0.000387407","270083.4117","15","3455331","172767","52388146146","2619407307"
"2020/03","메리츠화재","000060","STK","12200","15000","9180","6.056461","5.225579","-0.283569","1.054707","0.001071351","125130.3159","4.545455","6617092","300777","78109406950","3550427589"
