연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","메리츠증권","008560","STK","4575","4790","4570","1.436304","-0.702445","0.276453","0.635884","0.000116123","2917891.079","0","43260500","2276868","201144373925","10586545996"
"2018/01","메리츠증권","008560","STK","5300","5510","4500","2.146243","-0.408047","0.241918","2.474387","0.000097095","3253108.0304","13.636364","68413759","3109716","345881362620","15721880119"
"2018/02","메리츠증권","008560","STK","4885","5370","4720","2.07393","-1.307584","0.225362","1.242413","0.000188896","1568057.982","0","36873113","2048506","182668172340","10148231797"
"2018/03","메리츠증권","008560","STK","4275","4720","4090","2.358048","-0.284287","0.251074","1.511637","0.00016384","2455467.7793","4.761905","56322637","2682030","250686175315","11937436920"
"2018/04","메리츠증권","008560","STK","4165","4205","3955","1.49093","-1.299316","0.249431","0.847656","0.000146943","3141036.4588","0","41596790","1980800","170380317120","8113348434"
"2018/05","메리츠증권","008560","STK","4085","4325","4005","2.373814","1.607139","0.268822","1.027641","0.000144073","3817109.8334","0","51636905","2581845","215733939145","10786696957"
"2018/06","메리츠증권","008560","STK","3550","4220","3550","1.664991","0.727154","0.291046","1.217491","0.000212991","2278843.8723","0","34146061","1797161","132955225445","6997643444"
"2018/07","메리츠증권","008560","STK","3530","3540","3400","1.620738","1.561707","0.311189","1.664129","0.000252363","1784610.497","4.545455","28260731","1284579","98555232280","4479783285"
"2018/08","메리츠증권","008560","STK","3960","3960","3465","1.558178","0.761286","0.29354","1.70432","0.000239645","1655891.1533","4.545455","31701530","1440979","116825143885","5310233813"
"2018/09","메리츠증권","008560","STK","4155","4200","3800","1.566016","1.715591","0.186518","0.98926","0.000190352","2468586.2186","5.882353","23957007","1409236","96479469205","5675262894"
"2018/10","메리츠증권","008560","STK","3970","4170","3760","1.976065","0.697864","0.007519","1.095723","0.000205608","3001410.4785","4.761905","36526309","1739348","143453849105","6831135672"
"2018/11","메리츠증권","008560","STK","4405","4495","4015","1.611954","0.394768","0.000084","1.048352","0.0001532","2244583.1747","0","43327015","1969410","187948659920","8543120905"
"2018/12","메리츠증권","008560","STK","4280","4600","4200","1.645312","-0.050348","0.000068","1.066239","0.000168128","2934152.2223","5.263158","32435839","1707149","144603310100","7610700532"
"2019/01","메리츠증권","008560","STK","4585","4585","4025","1.794417","1.981181","-0.019645","1.416229","0.000189045","2398911.5292","4.545455","35554525","1616115","154091317030","7004150774"
"2019/02","메리츠증권","008560","STK","4595","4805","4580","1.421821","2.961576","-0.007804","0.913768","0.000137923","2730865.7016","0","24523675","1442569","114968152092","6762832476"
"2019/03","메리츠증권","008560","STK","4885","4885","4615","1.560441","0.335061","0.022008","1.028272","0.000157211","2371750.4793","5","32210427","1610521","153051816306","7652590815"
"2019/04","메리츠증권","008560","STK","5060","5290","5020","2.096703","2.097585","0.004938","1.086242","0.000096456","2832762.7029","4.545455","63961594","2907345","329967049800","14998502264"
"2019/05","메리츠증권","008560","STK","4700","5210","4660","1.651865","2.570565","-0.005481","0.500403","0.000084355","8039000.6853","4.761905","80009574","3809980","388619571065","18505693860"
"2019/06","메리츠증권","008560","STK","5360","5630","4785","1.503077","2.137202","-0.0388","0.861448","0.000108659","2571222.9081","0","40745360","2144493","213424709890","11232879468"
"2019/07","메리츠증권","008560","STK","5070","5520","5060","1.391101","2.869277","-0.029668","1.036206","0.000171474","1954446.4449","8.695652","26830890","1166560","141634972198","6158042269"
"2019/08","메리츠증권","008560","STK","4755","4965","4515","2.413284","-0.861022","-0.012406","1.110888","0.00026835","1498209.0879","0","34996660","1666508","165171174540","7865294026"
"2019/09","메리츠증권","008560","STK","5050","5130","4785","1.201881","-0.355","0.001008","1.083121","0.000227707","1192661.3794","5.263158","17740052","933687","87952242900","4629065416"
"2019/10","메리츠증권","008560","STK","4510","4990","4510","1.188037","-0.350605","-0.01802","1.001789","0.000212849","1772629.8964","4.761905","20875629","994078","99281568495","4727693738"
"2019/11","메리츠증권","008560","STK","4250","4610","4185","1.293773","0.193912","-0.020345","0.588542","0.000154277","2475944.9684","0","30497943","1452283","133183443600","6342068743"
"2019/12","메리츠증권","008560","STK","3790","4265","3590","3.079211","6.887334","-0.028237","-0.067625","0.0001416","3346509.6299","0","64509517","3225476","246994612550","12349730628"
"2020/01","메리츠증권","008560","STK","3660","3780","3445","2.499198","0.486494","0.020238","0.641102","0.000227789","2137910.872","0","46259424","2312971","166455003074","8322750154"
"2020/02","메리츠증권","008560","STK","3475","3880","3395","1.879397","0.233999","0.051768","0.763471","0.000204491","2562237.1236","0","39275636","1963782","142268479920","7113423996"
"2020/03","메리츠증권","008560","STK","2830","3685","2110","7.257132","3.103519","-0.203364","1.530077","0.000530825","1632005.8221","0","70439679","3201804","201957002615","9179863755"
"2020/04","메리츠증권","008560","STK","3270","3270","2590","3.461278","-0.685549","0.148631","1.359658","0.000289853","1596727.7166","5","67677256","3383863","194635630165","9731781508"
"2020/05","메리츠증권","008560","STK","3285","3580","3175","2.492801","0.994796","0.150921","1.200522","0.000188276","3850309.5397","0","49691425","2615338","166797419625","8778811559"
"2020/06","메리츠증권","008560","STK","3030","3700","3010","2.840494","-0.32074","0.129329","1.230132","0.000246392","2381775.5192","0","60436144","2747097","206933950467","9406088658"
"2020/07","메리츠증권","008560","STK","3080","3305","3000","1.593708","-0.142731","0.08622","1.081977","0.000181134","2429610.2042","8.695652","49666920","2159431","157022580460","6827068716"
"2020/08","메리츠증권","008560","STK","3205","3600","3120","3.517822","3.287705","0.04319","1.442272","0.000167247","4169874.4045","0","94879508","4743975","326172928070","16308646404"
"2020/09","메리츠증권","008560","STK","3245","3310","3080","1.458511","-0.322238","0.036478","0.919556","0.000195429","4299957.1796","0","42581743","2027702","137420735190","6543844533"
"2020/10","메리츠증권","008560","STK","3290","3475","3250","1.687473","-0.14619","0.067456","1.105476","0.000172846","2834272.4406","10.526316","39420488","2074763","131458988630","6918894138"
"2020/11","메리츠증권","008560","STK","3690","3820","3320","1.733902","0.148834","0.092015","1.277356","0.000136644","2634392.2963","4.761905","60114869","2862613","219565607740","10455505130"
"2020/12","메리츠증권","008560","STK","3665","3970","3665","1.999441","9.672349","0.048621","0.562852","0.000095313","4762166.9963","0","66969039","3189002","255749483395","12178546828"
"2021/01","메리츠증권","008560","STK","3525","3840","3525","1.46263","-0.645565","0.017838","0.336686","0.000096218","6093815.6176","5","84583107","4229155","314240291000","15712014550"
"2021/02","메리츠증권","008560","STK","3760","3820","3585","1.242985","0.005693","-0.021182","0.467154","0.000110775","3690330.3418","11.111111","43069547","2392753","160887847645","8938213758"
"2021/03","메리츠증권","008560","STK","4610","4610","3835","1.703069","-0.589539","-0.040918","0.39874","0.000112701","3016251.3644","4.545455","68325683","3105713","289585364060","13162971094"
"2021/04","메리츠증권","008560","STK","4830","4895","4465","1.451069","1.120604","-0.056971","0.231157","0.000105882","3955753.3218","4.545455","41195112","1872505","192688031780","8758546899"
"2021/05","메리츠증권","008560","STK","4490","5020","4205","3.833944","8.865238","-0.089189","1.88751","0.000113905","4062725.2768","5.263158","70521583","3711662","318824480335","16780235807"
"2021/06","메리츠증권","008560","STK","4735","4735","4295","1.502364","-0.43156","-0.111859","1.519757","0.000133727","3739175.5666","4.545455","42489006","1931318","190932137680","8678733531"
"2021/07","메리츠증권","008560","STK","4910","5000","4650","1.581254","0.525891","-0.08187","1.606208","0.00015816","3378809.4342","0","33922876","1541949","164263956225","7466543465"
"2021/08","메리츠증권","008560","STK","5360","5360","4850","1.65428","0.832446","-0.120387","1.260904","0.000152123","1737786.2253","4.761905","33565622","1598363","171917455965","8186545522"
"2021/09","메리츠증권","008560","STK","4950","5710","4950","1.60162","1.363197","-0.099278","-0.587486","0.000134199","2118976.84","0","37886632","1994033","203379649395","10704192073"
"2021/10","메리츠증권","008560","STK","4660","4955","4660","1.633262","0.01603","-0.099328","0.710267","0.000219004","2451565.8257","0","21100067","1110530","102172086000","5377478211"
"2021/11","메리츠증권","008560","STK","4985","5270","4580","2.840219","14.640772","-0.028163","1.172226","0.000173159","1426402.8456","13.636364","32613442","1482429","162593273735","7390603352"
"2021/12","메리츠증권","008560","STK","5150","5370","4985","1.387452","2.568113","-0.046398","0.594749","0.000110127","1485491.0083","22.727273","32164822","1462037","166738473530","7579021524"
"2022/01","메리츠증권","008560","STK","6100","6510","5180","2.727463","0.456607","0.093328","0.727893","0.000130112","1704393.5171","5","52796916","2639846","320786172880","16039308644"
"2022/02","메리츠증권","008560","STK","5860","6480","5860","2.891771","-0.395079","0.096422","0.536945","0.000188756","1494817.8297","0","34737535","1929863","213110184380","11839454688"
"2022/03","메리츠증권","008560","STK","6540","6540","5620","2.062211","0.088891","0.075254","1.264966","0.000165214","1402560.2976","9.52381","33649172","1602342","201567678550","9598460883"
"2022/04","메리츠증권","008560","STK","6550","6980","6510","1.599275","-0.771209","0.10029","0.734166","0.000178226","1660461.941","0","24127506","1148929","161266263240","7679345869"
"2022/05","메리츠증권","008560","STK","6090","6830","5790","2.127348","1.688482","0.127634","0.785735","0.000175362","2231440.5429","0","30997242","1476059","190197570630","9057027173"
"2022/06","메리츠증권","008560","STK","4540","6120","4540","1.994864","-0.093366","-0.031203","0.987141","0.000292108","1229161.0103","0","27541933","1377097","143958364305","7197918215"
"2022/07","메리츠증권","008560","STK","4850","4850","4265","2.380232","1.059747","-0.044731","1.750402","0.000466967","634396.7952","4.761905","17130823","815753","78331973125","3730093958"
"2022/08","메리츠증권","008560","STK","4840","4975","4710","1.974186","0.124034","-0.067924","1.582296","0.000590701","565623.2223","0","12150687","552304","58771065400","2671412064"
"2022/09","메리츠증권","008560","STK","3675","4720","3675","2.482063","0.615056","-0.204476","1.380203","0.000565201","788861.3664","0","20304678","1015234","86546456395","4327322820"
"2022/10","메리츠증권","008560","STK","3700","3705","3410","3.019282","2.45534","-0.200608","1.639134","0.000300481","1771751.3504","10.526316","37786767","1988777","134746771035","7091935318"
"2022/11","메리츠증권","008560","STK","5840","5870","3760","7.098324","11.22178","-0.058752","0.791758","0.000380291","1130289.5748","0","71782950","3262861","376983626865","17135619403"
