연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","미래에셋증권","006800","STK","9190","10900","8930","3.498271","11.238708","0.371575","0.72506","0.000040516","5292101.0784","5.263158","80983382","4262283","798204476294","42010761910"
"2018/01","미래에셋증권","006800","STK","11250","11400","9240","2.375109","6.905369","0.332134","1.994354","0.000034195","3913525.8677","4.545455","88210527","4009569","902929418230","41042246283"
"2018/02","미래에셋증권","006800","STK","9280","11050","9280","1.927849","-0.114512","0.278215","1.30362","0.000047556","3820325.9128","5.555556","65576585","3643144","652369363900","36242742439"
"2018/03","미래에셋증권","006800","STK","9220","9900","8940","2.406635","0.159025","0.280521","1.809689","0.000068052","3418421.3077","4.761905","59423846","2829707","556135737260","26482654155"
"2018/04","미래에셋증권","006800","STK","9780","9780","8850","1.54644","0.381579","0.270333","1.272896","0.000040399","4411243.121","0","58248796","2773752","538634179730","25649246654"
"2018/05","미래에셋증권","006800","STK","9400","10200","9340","2.229522","1.311714","0.279143","1.82558","0.000050198","4874031.4718","0","60344671","3017234","588733426656","29436671333"
"2018/06","미래에셋증권","006800","STK","8520","9600","8510","1.61253","-0.070416","0.331837","1.250525","0.0000614","4163804.7983","5.263158","44341573","2333767","399333764850","21017566571"
"2018/07","미래에셋증권","006800","STK","8140","8380","7870","1.673976","1.837624","0.353185","1.925876","0.000078594","2740204.6143","0","37156972","1688953","302126826100","13733037550"
"2018/08","미래에셋증권","006800","STK","8220","8250","7610","1.566016","2.329153","0.344274","1.697352","0.000077662","2716931.1007","4.545455","34291087","1558686","273445283620","12429331074"
"2018/09","미래에셋증권","006800","STK","8470","8550","8030","1.043741","-0.83903","0.373323","1.111227","0.000070148","2280916.8142","11.764706","24015899","1412700","198219824200","11659989659"
"2018/10","미래에셋증권","006800","STK","6430","8420","6410","1.781057","4.184019","-0.36855","1.079512","0.000102746","3175192.876","0","45044758","2144988","320209759260","15248083774"
"2018/11","미래에셋증권","006800","STK","7120","7320","6450","2.496062","2.148163","-0.378412","2.060593","0.000101024","2634273.1567","0","55847834","2538538","386812409420","17582382246"
"2018/12","미래에셋증권","006800","STK","6530","7250","6530","1.402558","1.207574","-0.377498","1.351973","0.000089579","2949666.9186","0","36061959","1897998","248205772090","13063461689"
"2019/01","미래에셋증권","006800","STK","7590","7590","6360","2.029349","0.223415","-0.390998","1.595816","0.00009318","2584484.2299","0","48334061","2197003","341818084240","15537185647"
"2019/02","미래에셋증권","006800","STK","7560","7750","7400","1.53175","-0.592989","-0.382191","1.43163","0.000090104","2457424.8319","0","26920941","1583585","203698545746","11982267397"
"2019/03","미래에셋증권","006800","STK","7330","7700","7120","1.56408","-0.008328","-0.384516","1.763946","0.000101948","2715503.4387","5","29477021","1473851","220328857290","11016442865"
"2019/04","미래에셋증권","006800","STK","7800","8090","7490","1.45718","0.219832","-0.401401","1.447036","0.000081562","2743034.2384","9.090909","35402624","1609210","276640382030","12574562820"
"2019/05","미래에셋증권","006800","STK","7460","7840","7250","1.415785","-0.057614","-0.33923","1.265727","0.000098675","2010630.0649","0","30485812","1451705","226028011660","10763238650"
"2019/06","미래에셋증권","006800","STK","8180","8280","7500","1.02539","2.389832","-0.353708","0.506139","0.000059995","3358409.6175","10.526316","32131147","1691113","253898265670","13363066614"
"2019/07","미래에셋증권","006800","STK","7540","8200","7540","1.555859","-0.173772","-0.320644","1.566772","0.000129519","1279864.8139","4.347826","26206785","1139425","207721853160","9031384920"
"2019/08","미래에셋증권","006800","STK","7440","7510","6980","1.986561","1.072803","-0.292896","1.426605","0.000135136","1892978.2187","0","28827125","1372720","208263872550","9917327264"
"2019/09","미래에셋증권","006800","STK","7500","7820","7190","1.490983","0.752503","-0.317861","1.499977","0.000129236","1708642.8779","0","21290939","1120576","159953285690","8418593984"
"2019/10","미래에셋증권","006800","STK","7150","7520","7150","1.148954","-0.005256","-0.357547","1.208258","0.000122827","1558819.6189","0","22272083","1060575","162047042920","7716525853"
"2019/11","미래에셋증권","006800","STK","7230","7590","7110","1.650305","0.780825","-0.366501","1.118952","0.000115512","2376302.6906","4.761905","29728654","1415650","218667811310","10412752920"
"2019/12","미래에셋증권","006800","STK","7550","7780","7240","1.229668","1.412606","-0.411399","0.905326","0.000092204","2609044.7308","0","29229600","1461480","221410083260","11070504163"
"2020/01","미래에셋증권","006800","STK","6890","7750","6890","1.938829","1.193029","-0.36751","1.365945","0.000101945","2653485.6369","5","37588340","1879417","279484632090","13974231605"
"2020/02","미래에셋증권","006800","STK","6340","7180","6340","1.883225","1.638487","-0.320103","1.033149","0.000091001","3061936.3861","10","37568972","1878449","255497598710","12774879936"
"2020/03","미래에셋증권","006800","STK","5270","6640","3595","8.518519","1.752564","-0.44327","1.887719","0.000221632","1904176.134","0","101837132","4628961","501326607935","22787573088"
"2020/04","미래에셋증권","006800","STK","5610","5610","4895","3.531069","-0.123995","-0.395097","1.672907","0.000126681","3003814.2786","0","84109483","4205474","438517206735","21925860337"
"2020/05","미래에셋증권","006800","STK","6170","6450","5330","3.065581","-0.936856","-0.404557","1.813934","0.000117832","1971633.0213","10.526316","69980567","3683188","406655952360","21402944861"
"2020/06","미래에셋증권","006800","STK","6670","7080","6320","3.377331","0.830553","-0.382275","1.479375","0.000095164","2987103.2357","4.545455","91305168","4150235","621427476550","28246703480"
"2020/07","미래에셋증권","006800","STK","7890","8040","6730","2.524164","-0.308069","-0.379046","1.01128","0.00007443","3304839.8216","4.347826","71065634","3089810","531507720060","23109031307"
"2020/08","미래에셋증권","006800","STK","9300","9690","8020","3.236538","-0.354555","-0.419148","1.615502","0.000057901","3650021.5686","0","99376453","4968823","911865761170","45593288059"
"2020/09","미래에셋증권","006800","STK","8480","9770","8350","2.179462","-0.889133","-0.395826","1.34443","0.000067645","3235389.8372","0","57854023","2754953","530052004280","25240571632"
"2020/10","미래에셋증권","006800","STK","8370","8940","8370","1.562731","0.1902","-0.40071","0.892759","0.000079022","3060433.9927","5.263158","33298061","1752530","285832449400","15043813126"
"2020/11","미래에셋증권","006800","STK","9480","10050","8650","2.118219","2.406069","-0.346269","1.576451","0.000062816","4458602.4919","0","55877676","2660842","530367765140","25255607864"
"2020/12","미래에셋증권","006800","STK","9440","10350","9290","2.090229","3.9322","-0.382437","1.202867","0.0000507","2707625.5813","9.52381","59406936","2828902","585880387300","27899066062"
"2021/01","미래에셋증권","006800","STK","9500","10500","9500","2.312455","-0.805809","-0.442463","0.769291","0.000049805","5403376.7959","0","90895940","4544797","915815962970","45790798149"
"2021/02","미래에셋증권","006800","STK","9340","10100","9340","1.71739","0.330743","-0.460756","0.870789","0.000054026","4166003.0665","5.555556","44591636","2477313","438302739410","24350152189"
"2021/03","미래에셋증권","006800","STK","9860","9860","9170","1.295253","1.472524","-0.466933","1.067628","0.000069641","1715582.822","4.545455","31428678","1428576","300138901560","13642677344"
"2021/04","미래에셋증권","006800","STK","10000","10400","9680","1.391654","0.611062","-0.484629","0.490665","0.000049206","2704204.9679","9.090909","45477119","2067142","459756583230","20898026510"
"2021/05","미래에셋증권","006800","STK","9900","10800","9680","2.408492","1.192639","-0.508419","2.274636","0.000060042","1512205.545","15.789474","49536125","2607164","504995179050","26578693634"
"2021/06","미래에셋증권","006800","STK","9430","10000","9370","0.943046","0.63241","-0.522672","1.242212","0.000048255","2788288.2768","4.545455","38817648","1764439","375218790530","17055399570"
"2021/07","미래에셋증권","006800","STK","8930","9460","8930","1.345889","-0.821148","-0.489347","1.759601","0.000093977","2504134.991","4.545455","27648611","1256755","253702220420","11531919110"
"2021/08","미래에셋증권","006800","STK","8820","9260","8290","1.729774","0.003692","-0.519619","1.375289","0.000099109","1906543.1824","0","31698664","1509460","279686522070","13318405813"
"2021/09","미래에셋증권","006800","STK","8660","9080","8560","1.779732","2.037954","-0.500287","1.480339","0.000081809","2898086.0748","5.263158","26561343","1397965","234441172620","12339009085"
"2021/10","미래에셋증권","006800","STK","8680","8980","8280","1.202984","0.023792","-0.512911","0.824972","0.000096036","3043611.834","0","20020230","1053696","172612667790","9084877252"
"2021/11","미래에셋증권","006800","STK","8580","9340","8580","1.78722","2.342032","-0.480079","1.440783","0.000100927","1566618.8169","9.090909","28431461","1292339","255927708310","11633077650"
"2021/12","미래에셋증권","006800","STK","8650","9210","8620","1.366067","4.936302","-0.483675","1.136881","0.000103785","1888747.4595","0","24133192","1096963","215507305050","9795786593"
"2022/01","미래에셋증권","006800","STK","8500","8770","8080","1.922314","1.789262","-0.402383","1.285173","0.000146373","1715187.7518","0","22435913","1121796","189791131380","9489556569"
"2022/02","미래에셋증권","006800","STK","8790","9010","8650","1.270528","0.849364","-0.409613","0.683362","0.000087077","2163423.7738","5.555556","19817641","1100980","175061727340","9725651519"
"2022/03","미래에셋증권","006800","STK","8560","8920","8060","1.551588","0.646381","-0.413448","1.188905","0.000133009","1605698.2151","0","24262957","1155379","202470919590","9641472361"
"2022/04","미래에셋증권","006800","STK","8050","8540","7880","1.103004","-0.30848","-0.393008","0.991021","0.000140831","922224.6661","14.285714","16008879","762328","132510143200","6310006819"
"2022/05","미래에셋증권","006800","STK","8160","8160","7670","1.130615","-0.139741","-0.378595","0.649012","0.000132815","1488746.8282","9.52381","18373974","874951","145173963600","6913045886"
"2022/06","미래에셋증권","006800","STK","6620","7850","6510","2.049606","2.901531","-0.409756","1.173241","0.000209231","1826407.386","5","23010071","1150504","162735810360","8136790518"
"2022/07","미래에셋증권","006800","STK","6590","6830","6000","2.448135","3.493545","-0.427077","1.413408","0.000198242","1305678.4918","4.761905","23342137","1111530","149546861570","7121279122"
"2022/08","미래에셋증권","006800","STK","6560","6780","6430","1.233706","-0.797256","-0.455365","0.938812","0.000234195","1021840.7695","0","14275744","648897","94061787840","4275535811"
