연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","NH투자증권","005940","STK","13900","14250","13650","1.384455","-0.301354","0.144483","0.497365","0.000112604","852506.6471","0","15140156","796850","211639728492","11138933079"
"2018/01","NH투자증권","005940","STK","16800","17000","13950","2.340827","1.715954","0.131034","1.718789","0.000051881","2105587.1789","9.090909","32596474","1481658","517602452350","23527384198"
"2018/02","NH투자증권","005940","STK","14300","16800","14250","2.213886","-0.681379","0.08678","1.638884","0.000093772","1043585.7137","5.555556","24191706","1343984","362659521850","20147751214"
"2018/03","NH투자증권","005940","STK","14150","15000","13550","2.553129","0.725838","0.08438","2.041671","0.000129282","808490.0453","4.761905","23214640","1105459","332612334550","15838682598"
"2018/04","NH투자증권","005940","STK","15600","15600","13350","2.098756","0.042946","0.071787","1.650646","0.000097816","921374.6335","4.761905","22998696","1095176","333979726600","15903796505"
"2018/05","NH투자증권","005940","STK","15850","17050","15100","2.775992","-0.03772","0.08914","2.558369","0.000107188","853541.4095","5","23324282","1166214","376262609900","18813130495"
"2018/06","NH투자증권","005940","STK","14950","16850","14700","2.485043","-0.506799","0.149888","2.159091","0.000119872","783128.6694","5.263158","19875391","1046073","312802367250","16463282487"
"2018/07","NH투자증권","005940","STK","13000","14250","12900","1.814165","1.859328","0.170832","2.19313","0.000119359","919268.8965","4.545455","19122828","869219","261059999550","11866363616"
"2018/08","NH투자증권","005940","STK","13450","13450","11750","2.145405","0.781187","0.154604","2.115996","0.000092768","766525.5468","22.727273","25051241","1138693","317286148800","14422097673"
"2018/09","NH투자증권","005940","STK","14300","14300","13000","1.695019","-0.579871","0.077256","1.647933","0.000132032","740476.4852","11.764706","13796012","811530","187963808995","11056694647"
"2018/10","NH투자증권","005940","STK","12150","14300","11900","2.176601","-0.34826","-0.428358","1.141362","0.00016112","531157.0829","9.52381","18776094","894100","234973427700","11189210843"
"2018/11","NH투자증권","005940","STK","13850","13850","12300","2.689356","4.387449","-0.413274","2.318543","0.000149361","598696.2642","18.181818","19792706","899668","265389731350","12063169607"
"2018/12","NH투자증권","005940","STK","13050","14350","12950","2.000333","-0.435917","-0.418463","1.706648","0.000134751","672816.8786","5.263158","15410066","811056","210634038000","11086002000"
"2019/01","NH투자증권","005940","STK","13950","13950","12100","2.329819","1.384847","-0.445239","2.275173","0.000133064","732505.9641","9.090909","18819432","855429","247796017200","11263455327"
"2019/02","NH투자증권","005940","STK","13050","14050","13050","1.346461","1.080612","-0.424839","1.155023","0.000089121","484630.5387","35.294118","10982208","646012","147194377628","8658492802"
"2019/03","NH투자증권","005940","STK","13450","13450","12600","1.692334","1.803887","-0.440885","1.649335","0.000147141","710655.1216","5","12258874","612944","159658646988","7982932349"
"2019/04","NH투자증권","005940","STK","13750","14850","13650","1.932129","0.200659","-0.459896","1.946708","0.000113873","769133.0319","9.090909","19610042","891366","278805216750","12672964398"
"2019/05","NH투자증권","005940","STK","13500","13800","12950","1.421531","0.229643","-0.397535","1.348788","0.000134311","729959.8845","9.52381","13241667","630556","175921516250","8377215060"
"2019/06","NH투자증권","005940","STK","14500","14800","13900","1.186647","0.137457","-0.409541","1.319821","0.000092274","477353.5357","36.842105","12282049","646424","175415006900","9232368784"
"2019/07","NH투자증권","005940","STK","13100","14900","13100","1.973678","0.097969","-0.428567","1.762629","0.00016395","610209.6708","0","15274849","664124","214763773450","9337555367"
"2019/08","NH투자증권","005940","STK","12300","13000","11850","1.585321","0.793778","-0.391337","1.318954","0.000140779","614267.9367","9.52381","15759605","750457","192724020100","9177334290"
"2019/09","NH투자증권","005940","STK","12700","13100","12200","1.462047","2.980019","-0.403113","1.291741","0.000126276","864562.0763","5.263158","11812632","621717","149071116200","7845848221"
"2019/10","NH투자증권","005940","STK","12100","12650","12100","1.045775","0.762516","-0.429265","1.058297","0.000131303","747951.4653","4.761905","11029863","525232","136286642100","6489840100"
"2019/11","NH투자증권","005940","STK","12400","12900","12100","1.764558","6.626666","-0.433383","1.356107","0.000137155","661547.321","9.52381","13205187","628818","165850338450","7897635164"
"2019/12","NH투자증권","005940","STK","12700","13300","12250","1.262432","-0.179722","-0.477038","0.784156","0.000086554","728412.7142","20","16609389","830469","212816280550","10640814028"
"2020/01","NH투자증권","005940","STK","11050","12500","11050","1.826456","0.943227","-0.464358","1.239119","0.000131726","929212.9972","5","17195986","859799","204240555450","10212027773"
"2020/02","NH투자증권","005940","STK","9980","11450","9980","1.792036","2.899771","-0.431343","0.976433","0.000126869","937541.4314","10","17773965","888698","191855491890","9592774595"
"2020/03","NH투자증권","005940","STK","8990","10650","6310","6.723867","2.019061","-0.509762","1.433588","0.000304283","673487.385","0","41937624","1906256","353247691730","16056713260"
"2020/04","NH투자증권","005940","STK","9690","9690","8410","3.227099","0.185974","-0.245129","1.458857","0.000166385","817708.531","5","32891803","1644590","291818681700","14590934085"
"2020/05","NH투자증권","005940","STK","9730","10250","9020","2.619355","-0.379273","-0.254802","1.68117","0.000123585","1100151.0916","10.526316","30894862","1626045","298930059310","15733161016"
"2020/06","NH투자증권","005940","STK","8270","10900","8200","2.624302","-0.13246","-0.301869","0.906297","0.000110485","1204560.1643","0","47748959","2170407","460696409460","20940745885"
"2020/07","NH투자증권","005940","STK","8780","9020","8190","1.79151","1.21306","-0.340406","1.022788","0.00009906","1625020.2357","4.347826","35504730","1543684","306905561510","13343720066"
"2020/08","NH투자증권","005940","STK","8960","9750","8700","2.523977","-0.552039","-0.388068","1.386074","0.00012877","2026235.733","0","39263396","1963170","364817122810","18240856141"
"2020/09","NH투자증권","005940","STK","9140","9530","8940","1.481114","0.275077","-0.371718","0.886126","0.000113718","1995725.9765","4.761905","22497220","1071296","208809321350","9943301017"
"2020/10","NH투자증권","005940","STK","9540","10100","9210","2.503792","0.736145","-0.370277","1.789197","0.000150485","1217276.2564","0","24145447","1270813","231161623360","12166401229"
"2020/11","NH투자증권","005940","STK","10750","11350","9820","2.132708","0.05721","-0.276542","1.823208","0.000103419","1071146.0624","19.047619","28907599","1376552","308819630420","14705696687"
"2020/12","NH투자증권","005940","STK","11300","12200","11150","2.272445","-0.019256","-0.296472","1.287082","0.000105506","892459.4304","9.52381","29588283","1408966","343824002450","16372571545"
"2021/01","NH투자증권","005940","STK","11050","12400","11050","2.198049","-0.813545","-0.324518","0.62605","0.000081266","1353154.2988","15","44804702","2240235","534061399600","26703069980"
"2021/02","NH투자증권","005940","STK","10850","11850","10850","2.198374","5.495388","-0.336935","0.891675","0.000087669","724906.1117","27.777778","19264349","1070242","221638712100","12313261783"
"2021/03","NH투자증권","005940","STK","11650","11650","11000","1.203551","1.558256","-0.347456","0.685411","0.000108003","879462.3203","9.090909","16533349","751516","187016708100","8500759459"
"2021/04","NH투자증권","005940","STK","12850","12850","11450","1.784594","0.583113","-0.350507","0.457946","0.000087796","943568.9","13.636364","26517666","1205348","321555156850","14616143493"
"2021/05","NH투자증권","005940","STK","13150","13500","12350","2.19696","0.213865","-0.391905","1.657449","0.000099253","1102487.4793","5.263158","26232227","1380644","343928415750","18101495566"
"2021/06","NH투자증권","005940","STK","12900","13200","12550","1.019861","-0.469464","-0.405","1.230171","0.000097348","705773.7554","27.272727","14801016","672773","190602292600","8663740573"
"2021/07","NH투자증권","005940","STK","12700","13000","12300","1.423014","-0.251072","-0.375228","1.625","0.000183574","545723.85","9.090909","10973419","498792","138852056850","6311457130"
"2021/08","NH투자증권","005940","STK","13250","13250","12350","1.363742","3.087934","-0.396194","0.9682","0.000104382","610175.5948","23.809524","13602826","647754","174966525500","8331739310"
"2021/09","NH투자증권","005940","STK","12900","13500","12750","1.162156","1.877387","-0.37779","0.874303","0.000113638","557264.8705","21.052632","11121459","585340","146853308050","7729121476"
"2021/10","NH투자증권","005940","STK","13150","13450","12500","1.262181","-0.295323","-0.390392","0.737379","0.000137545","685829.084","10.526316","11100213","584222","144009955700","7579471353"
"2021/11","NH투자증권","005940","STK","12350","13300","12350","0.925618","-0.224366","-0.375716","0.766123","0.00011878","667953.9323","9.090909","10907444","495793","141185189150","6417508598"
"2021/12","NH투자증권","005940","STK","12500","13600","12450","1.798532","11.855141","-0.390648","1.117031","0.000077469","1220933.212","13.636364","22322215","1014646","294306574350","13377571561"
"2022/01","NH투자증권","005940","STK","11400","12200","11200","1.435316","-0.508005","-0.358142","0.76733","0.000154648","555013.6401","15","13484728","674236","159715342850","7985767143"
"2022/02","NH투자증권","005940","STK","11550","11900","11500","0.932942","0.713892","-0.362674","0.544726","0.000127098","565787.7309","22.222222","8606397","478133","100909009473","5606056082"
"2022/03","NH투자증권","005940","STK","11400","11900","11250","1.14559","0.984758","-0.35495","0.79948","0.000121798","890213.2324","19.047619","15489225","737582","177150537500","8435739881"
"2022/04","NH투자증권","005940","STK","10850","11550","10400","1.475163","0.486517","-0.32499","1.276713","0.000140853","783552.3147","4.761905","16849314","802348","185992665200","8856793581"
"2022/05","NH투자증권","005940","STK","10800","10800","10000","1.098952","-1.259854","-0.314527","0.857061","0.000144874","692081.031","9.52381","14097480","671309","146443128258","6973482298"
"2022/06","NH투자증권","005940","STK","9050","10500","9050","1.350479","-0.325494","-0.364578","0.750384","0.000201837","1152708.8568","10","14377116","718856","141244415510","7062220776"
"2022/07","NH투자증권","005940","STK","9950","9950","8980","1.350239","0.410879","-0.398265","0.810057","0.000210821","1027071.6242","0","12935989","615999","120470441070","5736687670"
