¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2017/12","»ï¼ºÄ«µå","029780","STK","39600","41350","37900","1.466877","6.1598","0.136279","-0.066413","0.000133256","268905.5837","5.263158","3164951","166576","126860908520","6676889922"
"2018/01","»ï¼ºÄ«µå","029780","STK","38950","40400","37750","1.156096","-0.559932","0.115782","0.483124","0.000142626","242277.3839","4.545455","3577713","162623","138725743850","6305715630"
"2018/02","»ï¼ºÄ«µå","029780","STK","36300","38300","36300","0.761","-0.763193","0.102433","0.220094","0.000169457","199532.7271","5.555556","2062764","114598","77001541337","4277863408"
"2018/03","»ï¼ºÄ«µå","029780","STK","35850","36600","35000","0.951089","0.529062","0.111826","0.503636","0.000203581","282711.8875","4.761905","2139188","101866","76293073953","3633003522"
"2018/04","»ï¼ºÄ«µå","029780","STK","37300","37300","34950","0.979309","1.052391","0.115552","0.23105","0.000223231","208196.0223","9.52381","1751594","83409","62443533125","2973501577"
"2018/05","»ï¼ºÄ«µå","029780","STK","37100","39750","37000","1.671758","7.540839","0.093784","0.15629","0.00013184","347099.729","5","3395694","169785","131798115925","6589905796"
"2018/06","»ï¼ºÄ«µå","029780","STK","38300","39500","36250","2.269029","5.82131","0.064548","1.33793","0.000292903","226854.52","0","2744428","144444","104007951000","5474102684"
"2018/07","»ï¼ºÄ«µå","029780","STK","35400","37450","35400","1.433612","0.118834","0.068453","0.708901","0.000508829","89533.5195","4.545455","1648558","74934","59906034800","2723001582"
"2018/08","»ï¼ºÄ«µå","029780","STK","35250","35350","34450","0.917982","-1.041406","0.064446","0.440144","0.000292463","163472.3965","4.545455","1868221","84919","65261383525","2966426524"
"2018/09","»ï¼ºÄ«µå","029780","STK","36800","36900","35050","1.301767","1.719049","-0.253874","0.299214","0.000338581","125901.3918","5.882353","1219378","71728","43658737200","2568161012"
"2018/10","»ï¼ºÄ«µå","029780","STK","33650","36950","32650","1.85143","0.466292","-0.496867","0.073945","0.000448898","120972.1665","9.52381","1854212","88296","63410716100","3019557910"
"2018/11","»ï¼ºÄ«µå","029780","STK","32300","34500","31750","1.342242","-0.982747","-0.517732","0.087739","0.000375234","153039.4668","0","2353490","106977","77593825815","3526992083"
"2018/12","»ï¼ºÄ«µå","029780","STK","34550","36900","32200","1.741962","-0.057322","-0.524804","-0.010356","0.000230951","312494.2396","0","3265035","171844","111080880202","5846362116"
"2019/01","»ï¼ºÄ«µå","029780","STK","33350","35250","32450","1.366027","-0.104114","-0.544834","-0.132308","0.000319975","101050.5036","13.636364","1870925","85042","64107730900","2913987768"
"2019/02","»ï¼ºÄ«µå","029780","STK","34050","34400","33200","1.098868","3.931644","-0.552183","0.762779","0.00032692","142316.8034","0","1088977","64057","36651610950","2155977115"
