ø¨ø˘,¡æ∏Ò∏Ì,¡æ∏Òƒ⁄µÂ,Ω√¿Âæ∆¿Ãµ,¡æ∞°,√÷∞Ì∞°(¡æ∞°),√÷¿˙∞°(¡æ∞°),«•¡ÿ∆Ì¬˜,√∑µµ,∞¯ø÷µµ,∫£≈∏,Amihud,Amivest,Zeros,∞≈∑°∑Æ_«’∞Ë,∞≈∑°∑Æ_¿œ∆Ú±’,∞≈∑°¥Î±›_«’∞Ë,∞≈∑°¥Î±›_¿œ∆Ú±’
"2017/12","ªÔº∫»≠¿Á","000810","STK","267000","268500","258500","0.894726","2.488417","0.178569","0.680398","0.000031271","189706.718","5.263158","1680914","88469","446732527461","23512238287"
"2018/01","ªÔº∫»≠¿Á","000810","STK","289000","289000","260500","1.302028","0.572376","0.174536","0.115445","0.000037141","152362.514","4.545455","2229826","101356","617989275467","28090421612"
"2018/02","ªÔº∫»≠¿Á","000810","STK","289000","294500","274500","1.78629","0.365034","0.178776","0.694411","0.000066214","106405.1482","0","1475244","81958","422190638522","23455035473"
"2018/03","ªÔº∫»≠¿Á","000810","STK","270500","284000","268000","0.897811","-1.213015","0.190297","0.349795","0.000044122","111404.9247","4.761905","1348796","64228","374606351315","17838397682"
"2018/04","ªÔº∫»≠¿Á","000810","STK","267500","271500","263000","0.801594","0.149781","0.196699","-0.033955","0.00004411","103756.4194","9.52381","1068890","50900","285238748256","13582797536"
"2018/05","ªÔº∫»≠¿Á","000810","STK","250500","272000","250500","0.793145","-0.088112","0.21814","0.230126","0.000040999","148212.9149","5","1456833","72842","384128111250","19206405563"
"2018/06","ªÔº∫»≠¿Á","000810","STK","264000","273000","254000","1.491603","-0.713709","0.209191","0.043087","0.000060814","67358.5116","10.526316","1558457","82024","410246571266","21591924803"
"2018/07","ªÔº∫»≠¿Á","000810","STK","273000","275500","259500","1.286021","-0.339863","0.221203","0.433627","0.00006961","68695.209","9.090909","1140304","51832","306551630750","13934165034"
"2018/08","ªÔº∫»≠¿Á","000810","STK","265000","279000","261000","1.263592","4.498931","0.228339","0.535021","0.000044231","107822.7655","13.636364","1335460","60703","362335601859","16469800085"
"2018/09","ªÔº∫»≠¿Á","000810","STK","284000","284000","257500","1.672725","0.1756","0.36486","0.176244","0.000050242","132919.5863","0","1481029","87119","393659897755","23156464574"
"2018/10","ªÔº∫»≠¿Á","000810","STK","278500","286000","272000","1.542815","0.04358","0.144643","0.4203","0.000052718","143360.5233","9.52381","1669456","79498","467583967439","22265903211"
"2018/11","ªÔº∫»≠¿Á","000810","STK","272500","287500","272500","1.511652","-0.716913","0.12","0.161043","0.000069129","69335.4344","0","1454852","66130","406625206750","18482963943"
"2018/12","ªÔº∫»≠¿Á","000810","STK","269000","282500","268000","1.611394","1.01211","0.121232","-0.12446","0.000058712","114180.0437","0","1521164","80061","417341271042","21965330055"
"2019/01","ªÔº∫»≠¿Á","000810","STK","273000","275000","264500","1.009429","-0.810053","0.099136","0.569137","0.000047437","102026.1913","9.090909","1521185","69145","411243877550","18692903525"
"2019/02","ªÔº∫»≠¿Á","000810","STK","301500","307000","282000","2.042434","0.524848","0.078082","0.954934","0.00006429","126588.5023","5.882353","1291555","75974","378601397500","22270670441"
"2019/03","ªÔº∫»≠¿Á","000810","STK","301000","309000","287500","1.556864","0.353086","0.083958","0.412193","0.000045987","97345.0294","5","1670972","83549","500445006672","25022250334"
"2019/04","ªÔº∫»≠¿Á","000810","STK","304000","309000","290000","1.377261","2.782925","0.083347","0.069741","0.000039637","168168.1762","4.545455","2533978","115181","752121249291","34187329513"
"2019/05","ªÔº∫»≠¿Á","000810","STK","271000","307500","271000","1.267963","-0.77125","-0.018738","0.618085","0.000049911","121982.5226","4.761905","1850234","88106","523456005394","24926476447"
"2019/06","ªÔº∫»≠¿Á","000810","STK","268000","278500","268000","1.226436","0.731486","-0.020657","0.9192","0.000051718","99050.9066","10.526316","1229393","64705","334651419750","17613232618"
"2019/07","ªÔº∫»≠¿Á","000810","STK","263000","269500","257000","1.59793","3.045936","-0.015104","0.59131","0.000054844","89603.1979","17.391304","1734168","75399","453678088229","19725134271"
"2019/08","ªÔº∫»≠¿Á","000810","STK","229000","263500","224500","2.149345","2.240727","0.006129","0.510925","0.000042971","193110.6646","4.761905","2640124","125720","619796067750","29514098464"
"2019/09","ªÔº∫»≠¿Á","000810","STK","223000","235000","223000","1.428266","-0.330284","0.010947","-0.062047","0.000045203","117459.9659","5.263158","2078943","109418","477280263850","25120013887"
"2019/10","ªÔº∫»≠¿Á","000810","STK","216500","227000","213000","1.514236","0.834748","0.000434","1.231413","0.000047366","100406.7586","9.52381","2250544","107169","496690134338","23651911159"
"2019/11","ªÔº∫»≠¿Á","000810","STK","232500","240000","219000","1.865369","0.008596","0.000083","1.122236","0.000062616","132087.6008","0","2260999","107667","526118275000","25053251190"
"2019/12","ªÔº∫»≠¿Á","000810","STK","243500","253000","229500","1.38947","5.658199","-0.013457","1.405162","0.000033131","172310.3384","15","2111407","105570","515627369071","25781368454"
"2020/01","ªÔº∫»≠¿Á","000810","STK","211000","238500","210500","1.363181","0.378909","-0.048321","0.538166","0.000056395","118833.3497","5","2063814","103191","468133098322","23406654916"
"2020/02","ªÔº∫»≠¿Á","000810","STK","198000","213500","198000","1.27425","-0.723673","-0.054338","0.347055","0.000032976","198457.9413","5","2907953","145398","601250082825","30062504141"
"2020/03","ªÔº∫»≠¿Á","000810","STK","154000","197500","126000","4.447376","-0.97296","-0.474021","0.71195","0.000127441","82947.0566","0","4223437","191974","665896957820","30268043537"
"2020/04","ªÔº∫»≠¿Á","000810","STK","190500","193000","150000","3.934794","8.944989","0.364101","1.012132","0.000077396","125653.7869","5","3022537","151127","541574198474","27078709924"
"2020/05","ªÔº∫»≠¿Á","000810","STK","182500","197000","182500","2.051766","0.614245","0.37445","0.701722","0.000062395","152372.1333","10.526316","2302340","121176","437385408010","23020284632"
