楷岿,辆格疙,辆格内靛,矫厘酒捞叼,辆啊,弥绊啊(辆啊),弥历啊(辆啊),钎霖祈瞒,梅档,傍恐档,海鸥,Amihud,Amivest,Zeros,芭贰樊_钦拌,芭贰樊_老乞闭,芭贰措陛_钦拌,芭贰措陛_老乞闭
"2017/12","伙己积疙","032830","STK","124500","127000","122000","1.510217","-0.958458","0.277203","0.33845","0.000046794","202992.4444","5.263158","4114877","216572","511021828224","26895885696"
"2018/01","伙己积疙","032830","STK","129000","133500","120500","1.877625","0.386104","0.307291","1.217874","0.000041175","238956.4089","9.090909","5865224","266601","747902882712","33995585578"
"2018/02","伙己积疙","032830","STK","121500","128500","119500","1.780304","1.045228","0.252031","0.835337","0.000049238","250741.5226","5.555556","4218321","234351","525021933000","29167885167"
"2018/03","伙己积疙","032830","STK","116000","121000","113500","1.195017","-0.759028","0.269433","0.389771","0.000043166","242597.2898","0","4253931","202568","499359125600","23779005981"
"2018/04","伙己积疙","032830","STK","117000","119000","110500","1.620644","-0.661259","0.273593","-0.066818","0.000041287","235652.4031","9.52381","5416622","257934","622988496162","29666118865"
"2018/05","伙己积疙","032830","STK","103000","114500","103000","1.32081","2.294584","0.290783","-0.206925","0.000037314","207067.8317","20","5166156","258308","563568504500","28178425225"
"2018/06","伙己积疙","032830","STK","98400","106000","98000","1.415233","0.159525","0.273929","0.548001","0.000037485","314544.349","5.263158","5301651","279034","540266789416","28435094180"
"2018/07","伙己积疙","032830","STK","96300","98600","95100","1.155037","0.524098","0.278148","0.622948","0.000043257","421890.486","0","4343330","197424","419833793178","19083354235"
"2018/08","伙己积疙","032830","STK","92500","98600","90400","1.450195","2.416932","0.288975","1.089102","0.00004713","293116.929","4.545455","4253057","193321","399283112800","18149232400"
"2018/09","伙己积疙","032830","STK","97300","97300","90400","1.404435","5.384793","0.438821","0.881407","0.000041752","306954.8039","11.764706","3803955","223762","353122018410","20771883436"
"2018/10","伙己积疙","032830","STK","92000","96900","90300","1.339153","2.895522","0.050895","0.534115","0.000041939","395604.7607","9.52381","4661520","221977","433072870870","20622517660"
"2018/11","伙己积疙","032830","STK","86500","93200","84600","1.256004","2.841841","-0.00441","0.607133","0.000046744","427621.8007","4.545455","4699302","213605","419364261850","19062011902"
"2018/12","伙己积疙","032830","STK","81600","87200","81500","1.352818","1.517546","0.000996","0.658259","0.000045673","431666.0717","0","4527952","238313","381538647150","20080981429"
"2019/01","伙己积疙","032830","STK","88300","93200","80300","1.801506","3.881353","-0.004889","0.565433","0.000045411","403388.6383","4.545455","6595842","299811","573830918420","26083223565"
"2019/02","伙己积疙","032830","STK","88700","91400","88100","0.811679","-0.584598","0.00064","0.505554","0.000032754","564274.4137","5.882353","3726046","219179","332806460925","19576850643"
"2019/03","伙己积疙","032830","STK","84100","88200","83700","1.065898","3.627789","0.013904","1.245124","0.000042585","434518.3897","5","3690761","184538","318551327900","15927566395"
"2019/04","伙己积疙","032830","STK","84900","85900","84000","0.609845","0.320658","-0.006789","0.512333","0.00003772","444811.5807","9.090909","3354783","152490","283975472600","12907976027"
"2019/05","伙己积疙","032830","STK","80800","84400","79700","1.101711","1.635319","-0.02179","0.961852","0.000053061","373419.1795","0","3961268","188632","321205690000","15295509048"
"2019/06","伙己积疙","032830","STK","83600","84300","81400","0.930335","1.896467","-0.026422","1.043181","0.000054537","411115.9409","5.263158","2952603","155400","244736382236","12880862223"
"2019/07","伙己积疙","032830","STK","76100","84200","76100","0.730033","-0.600137","-0.053977","0.437004","0.000054363","472194.0589","0","3722048","161828","295719481950","12857368780"
"2019/08","伙己积疙","032830","STK","68200","75800","65000","1.463406","0.105524","-0.033264","0.795256","0.000069653","407441.4976","0","5109647","243317","350758943800","16702806848"
"2019/09","伙己积疙","032830","STK","71100","73800","67600","1.375366","-0.758549","-0.045028","1.38665","0.000072698","365565.6213","0","3938098","207268","280712351520","14774334291"
"2019/10","伙己积疙","032830","STK","70600","72200","68200","1.508632","-0.589739","-0.096626","1.476848","0.000093774","257536.2216","4.761905","3848884","183280","271959434855","12950449279"
"2019/11","伙己积疙","032830","STK","71600","75600","70700","1.20601","-0.812717","-0.089713","0.770722","0.000056397","375942.1432","4.761905","4870331","231921","357688588000","17032789905"
"2019/12","伙己积疙","032830","STK","74500","76600","71800","1.04586","3.406468","-0.119619","0.70037","0.00005024","456620.386","5","3631722","181586","270288895600","13514444780"
"2020/01","伙己积疙","032830","STK","69500","73800","69400","1.073606","0.287375","-0.086516","0.542559","0.000046528","584866.3415","10","4568361","228418","329447122231","16472356112"
"2020/02","伙己积疙","032830","STK","58500","70400","58500","1.680408","1.75666","-0.112403","0.916768","0.000058203","512914.6133","10","5758139","287907","377436701676","18871835084"
