ø¨ø˘,¡æ∏Ò∏Ì,¡æ∏Òƒ⁄µÂ,Ω√¿Âæ∆¿Ãµ,¡æ∞°,√÷∞Ì∞°(¡æ∞°),√÷¿˙∞°(¡æ∞°),«•¡ÿ∆Ì¬˜,√∑µµ,∞¯ø÷µµ,∫£≈∏,Amihud,Amivest,Zeros,∞≈∑°∑Æ_«’∞Ë,∞≈∑°∑Æ_¿œ∆Ú±’,∞≈∑°¥Î±›_«’∞Ë,∞≈∑°¥Î±›_¿œ∆Ú±’
"2017/12","ªÔº∫¡ı±«","016360","STK","36600","37500","35900","1.149013","-0.901011","0.524135","0.976881","0.000111748","400490.287","5.263158","4556094","239794","166566660814","8766666359"
"2018/01","ªÔº∫¡ı±«","016360","STK","43550","43900","36600","1.737002","1.286393","0.489","1.803733","0.00005963","957112.7987","9.090909","10277691","467168","417953212050","18997873275"
"2018/02","ªÔº∫¡ı±«","016360","STK","39600","43650","39600","1.827081","0.53093","0.454279","1.125258","0.000107951","367190.6733","5.555556","6836630","379813","280935885000","15607549167"
"2018/03","ªÔº∫¡ı±«","016360","STK","39350","41800","38450","2.119489","2.349082","0.455967","1.66418","0.000128399","388278.0939","0","6254283","297823","249926429150","11901258531"
"2018/04","ªÔº∫¡ı±«","016360","STK","37100","39800","35450","1.877926","0.131317","0.450321","0.830201","0.000044154","1489210.9028","9.52381","43726931","2082235","1621719935950","77224758855"
"2018/05","ªÔº∫¡ı±«","016360","STK","36900","38050","36050","1.186656","0.137757","0.45322","0.992199","0.000046037","945818.8183","5","9995368","499768","371148755650","18557437783"
"2018/06","ªÔº∫¡ı±«","016360","STK","34750","38200","34650","1.618474","-0.600417","0.538897","0.675064","0.000091297","463413.471","10.526316","7038827","370465","255604054500","13452844974"
"2018/07","ªÔº∫¡ı±«","016360","STK","32500","33800","32050","1.05823","0.112794","0.551287","1.03313","0.000101183","547551.4539","0","5416938","246224","178606080500","8118458205"
"2018/08","ªÔº∫¡ı±«","016360","STK","32350","32700","31000","1.050296","-0.581703","0.547097","0.948894","0.000127285","336742.8871","4.545455","4965329","225697","158544790200","7206581373"
"2018/09","ªÔº∫¡ı±«","016360","STK","32650","32650","31200","0.986562","-1.320712","0.581581","1.010541","0.00011116","413666.3379","5.882353","4535250","266779","144072261350","8474838903"
"2018/10","ªÔº∫¡ı±«","016360","STK","26750","32550","26350","1.624943","3.526944","-0.223724","0.994731","0.000144914","343516.6572","0","6573332","313016","188853850100","8993040481"
"2018/11","ªÔº∫¡ı±«","016360","STK","31150","31150","26500","2.328836","3.753202","-0.196254","1.87638","0.000212812","218258.3273","0","6684456","303839","195262891165","8875585962"
"2018/12","ªÔº∫¡ı±«","016360","STK","31500","33100","31350","1.295371","0.606928","-0.202436","0.829448","0.000087604","514073.0097","5.263158","5934595","312347","191103890800","10058099516"
"2019/01","ªÔº∫¡ı±«","016360","STK","33450","34500","30450","1.775263","0.229868","-0.224849","1.084056","0.000138069","429856.943","0","6266505","284841","204151237250","9279601693"
"2019/02","ªÔº∫¡ı±«","016360","STK","34650","35850","33250","1.717206","-0.803147","-0.220913","1.564155","0.000149511","283974.2943","0","5108058","300474","175273412415","10310200730"
"2019/03","ªÔº∫¡ı±«","016360","STK","33300","34700","32350","1.295873","0.737329","-0.215796","1.333001","0.000141381","413034.3923","5","4224534","211227","142762477900","7138123895"
"2019/04","ªÔº∫¡ı±«","016360","STK","35650","37550","34000","1.240059","-0.327509","-0.239134","1.360238","0.000117214","481822.3475","4.545455","5143852","233811","186286250550","8467556843"
"2019/05","ªÔº∫¡ı±«","016360","STK","35350","36100","33850","1.243419","0.52723","-0.168846","1.208974","0.000141835","312593.6045","4.761905","4285942","204092","148393830650","7066372888"
"2019/06","ªÔº∫¡ı±«","016360","STK","39100","39300","35000","0.957141","1.074352","-0.174771","0.457175","0.000078019","431801.5748","5.263158","5597428","294601","207639313450","10928384918"
"2019/07","ªÔº∫¡ı±«","016360","STK","36600","39300","36600","1.74526","0.635043","-0.145097","1.647222","0.000141231","306789.624","0","5419608","235635","206228057275","8966437273"
"2019/08","ªÔº∫¡ı±«","016360","STK","35300","36800","34000","1.759355","1.157421","-0.100389","1.131074","0.000181863","282873.9398","0","4561068","217194","160151732600","7626272981"
"2019/09","ªÔº∫¡ı±«","016360","STK","35350","36750","34650","1.244609","-0.662578","-0.134931","1.355665","0.000182172","300446.4102","0","3054195","160747","109019696750","5737878776"
"2019/10","ªÔº∫¡ı±«","016360","STK","33600","35400","33600","0.926043","0.304591","-0.179296","1.009331","0.000135278","302081.0898","4.761905","3265516","155501","112460131050","5355244336"
"2019/11","ªÔº∫¡ı±«","016360","STK","36100","36450","33700","1.118874","1.361454","-0.189882","1.010111","0.000144","266037.6902","0","3733684","177794","131715763950","6272179236"
"2019/12","ªÔº∫¡ı±«","016360","STK","38600","39600","35950","0.924739","-0.656643","-0.234386","0.553744","0.000091612","277439.3153","10","4583647","229182","173677169350","8683858468"
"2020/01","ªÔº∫¡ı±«","016360","STK","35250","38300","35250","1.480051","1.933333","-0.208074","1.081839","0.000114169","276638.5202","10","4906709","245335","183218550100","9160927505"
"2020/02","ªÔº∫¡ı±«","016360","STK","33100","36700","33100","1.588755","1.556543","-0.164861","0.804224","0.000123135","486533.862","10","5335601","266780","186573767300","9328688365"
"2020/03","ªÔº∫¡ı±«","016360","STK","29350","34900","20800","6.692866","2.475804","-0.252182","1.291228","0.000225136","272867.1804","0","14798666","672667","416234154150","18919734280"
"2020/04","ªÔº∫¡ı±«","016360","STK","30100","30100","27250","3.298097","0.030966","-0.321027","1.574952","0.000145362","400593.8897","10","12374777","618739","351357678850","17567883943"
"2020/05","ªÔº∫¡ı±«","016360","STK","27950","29300","27200","1.998054","-0.63311","-0.321817","1.44149","0.000101558","933072.1195","0","10988863","578361","312317489150","16437762587"
"2020/06","ªÔº∫¡ı±«","016360","STK","26350","31450","26100","2.885067","-0.110887","-0.352513","1.244832","0.000113126","434549.1474","0","16683280","758331","488132093650","22187822439"
"2020/07","ªÔº∫¡ı±«","016360","STK","28950","29900","26350","1.567113","0.283687","-0.358144","1.208686","0.000095889","578754.9408","4.347826","10562800","459252","300588992450","13069086628"
"2020/08","ªÔº∫¡ı±«","016360","STK","30150","33000","28800","2.909446","0.141393","-0.414742","1.697783","0.000085967","998725.6559","0","16146553","807328","503081772400","25154088620"
"2020/09","ªÔº∫¡ı±«","016360","STK","30600","32300","29200","1.979018","-0.254851","-0.400461","1.133783","0.000102892","583126.9128","0","10066411","479353","314406269400","14971727114"
"2020/10","ªÔº∫¡ı±«","016360","STK","32100","34250","30750","2.256319","-0.849809","-0.391066","1.516014","0.000119829","420687.5291","0","9534134","501797","311046442800","16370865411"
"2020/11","ªÔº∫¡ı±«","016360","STK","39450","40150","32500","2.480482","3.261735","-0.211854","1.687201","0.000080561","820446.3253","0","12630855","601469","469628982050","22363284860"
"2020/12","ªÔº∫¡ı±«","016360","STK","40450","43200","40450","1.944827","3.254435","-0.245203","0.917352","0.000053894","865882.2618","0","13418432","638973","561237350250","26725588107"
"2021/01","ªÔº∫¡ı±«","016360","STK","37750","45000","37750","2.279327","-0.641159","-0.280074","0.875134","0.000051896","662408.9312","0","20707024","1035351","878962047500","43948102375"
"2021/02","ªÔº∫¡ı±«","016360","STK","36550","39750","36550","1.689972","-0.109739","-0.289224","0.831983","0.000066659","648740.8869","11.111111","8294530","460807","320037278100","17779848783"
"2021/03","ªÔº∫¡ı±«","016360","STK","39450","39850","37050","1.466914","0.288504","-0.299492","0.724867","0.000075328","536350.7366","0","9057554","411707","349898318550","15904469025"
"2021/04","ªÔº∫¡ı±«","016360","STK","42650","43600","39150","1.557322","-0.387147","-0.311794","0.725425","0.000054686","388305.3194","13.636364","11498971","522681","479852031450","21811455975"
"2021/05","ªÔº∫¡ı±«","016360","STK","47450","47450","41450","2.3954","1.739608","-0.362469","1.924378","0.000064633","610395.4543","5.263158","11503004","605421","517965866750","27261361408"
"2021/06","ªÔº∫¡ı±«","016360","STK","44950","47200","43750","1.137761","0.301962","-0.371636","1.38621","0.00006265","830482.2106","0","7433864","337903","337253943850","15329724720"
"2021/07","ªÔº∫¡ı±«","016360","STK","44250","44600","42850","1.122545","1.371259","-0.348362","1.210095","0.00007367","479492.5089","9.090909","5633042","256047","247749148800","11261324945"
"2021/08","ªÔº∫¡ı±«","016360","STK","49450","49650","44100","1.497251","0.825985","-0.388391","0.864192","0.000061366","653741.007","0","9385985","446952","438585722700","20885034414"
"2021/09","ªÔº∫¡ı±«","016360","STK","47900","50300","47200","1.117766","-0.565377","-0.369284","0.425305","0.000059156","375841.2168","15.789474","5188709","273090","253450999050","13339526266"
"2021/10","ªÔº∫¡ı±«","016360","STK","47350","48950","45950","1.17411","-0.775936","-0.377838","0.748899","0.000091395","383031.7308","0","4385788","230831","207741424100","10933759163"
"2021/11","ªÔº∫¡ı±«","016360","STK","44350","48700","44350","1.084263","-0.731188","-0.37785","0.768725","0.000073323","438192.149","9.090909","5456604","248027","256461392250","11657336011"
"2021/12","ªÔº∫¡ı±«","016360","STK","44900","50300","44900","2.228212","10.23423","-0.391679","1.421331","0.000043475","1736363.9613","9.090909","11923109","541960","576205547000","26191161227"
"2022/01","ªÔº∫¡ı±«","016360","STK","40000","44450","39450","1.531039","-0.558048","-0.383849","0.888457","0.000085692","319263.0109","5","7331985","366599","310548995250","15527449763"
"2022/02","ªÔº∫¡ı±«","016360","STK","42300","42900","41500","1.325914","1.911049","-0.392072","0.847361","0.000085279","842667.8241","0","4824219","268012","203516284948","11306460275"
"2022/03","ªÔº∫¡ı±«","016360","STK","41900","42800","40300","1.538252","1.438439","-0.397022","1.173348","0.000091376","715055.2671","0","5681744","270559","236643573800","11268741610"
"2022/04","ªÔº∫¡ı±«","016360","STK","39700","42200","38650","1.149275","-0.796509","-0.370148","0.933856","0.00008558","321339.1921","9.52381","5804504","276405","234627111850","11172719612"
"2022/05","ªÔº∫¡ı±«","016360","STK","39650","39750","36950","1.39236","-0.403969","-0.395047","1.140424","0.000092881","397772.3402","9.52381","6426777","306037","246082862844","11718231564"
"2022/06","ªÔº∫¡ı±«","016360","STK","33450","39100","33450","1.45081","0.862975","-0.436998","0.878216","0.000152261","413748.9078","0","5237850","261893","188430935250","9421546763"
"2022/07","ªÔº∫¡ı±«","016360","STK","35000","35000","31300","2.130012","1.941452","-0.459099","1.580122","0.000138337","269851.9433","9.52381","6062675","288699","200583914900","9551614995"
"2022/08","ªÔº∫¡ı±«","016360","STK","33900","35800","33550","1.332199","-1.058509","-0.492863","1.127895","0.000168544","281162.7703","4.545455","4323523","196524","150272746700","6830579395"
"2022/09","ªÔº∫¡ı±«","016360","STK","30750","34050","30750","1.735476","2.190314","-0.498747","1.151518","0.000177505","217728.7769","5","4407841","220392","143919965200","7195998260"
"2022/10","ªÔº∫¡ı±«","016360","STK","31750","32000","30300","1.940174","0.758669","-0.497943","1.0451","0.000142668","313389.915","5.263158","6187123","325638","192968012300","10156211174"
"2022/11","ªÔº∫¡ı±«","016360","STK","35200","35250","31550","1.637451","0.33649","-0.469347","1.19949","0.000157626","470969.8452","4.545455","5273524","239706","179233946950","8146997589"
