연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","신한지주","055550","STK","49400","50900","47100","1.289471","1.456781","0.239666","0.210849","0.000018306","2374578.4707","5.263158","20070809","1056358","987181610889","51956926889"
"2018/01","신한지주","055550","STK","53300","53400","49400","1.764146","-0.277386","0.24302","0.755737","0.000028446","1239155.6545","4.545455","20854613","947937","1085425882600","49337540118"
"2018/02","신한지주","055550","STK","47400","52800","46950","1.58544","-0.412268","0.157262","0.695963","0.000025654","1583319.9155","0","19046534","1058141","930239532706","51679974039"
"2018/03","신한지주","055550","STK","45700","46450","44550","1.451846","-0.778914","0.161229","0.935257","0.000022822","1650367.6771","9.52381","22990451","1094783","1039547371982","49502255809"
"2018/04","신한지주","055550","STK","47650","47650","43950","1.124094","3.054611","0.147357","0.461436","0.000019352","2380645.8797","0","20275001","965476","923024747387","43953559399"
"2018/05","신한지주","055550","STK","43750","48400","43750","1.34341","0.876197","0.193228","0.818591","0.000023637","1145413.72","10","17495411","874771","817577708776","40878885439"
"2018/06","신한지주","055550","STK","43300","47550","43000","1.594987","-0.441214","0.283516","0.977845","0.000028343","988369.2565","5.263158","19085065","1004477","865939451782","45575760620"
"2018/07","신한지주","055550","STK","43550","45700","42800","1.285934","-0.161298","0.325856","0.339788","0.00002548","2161974.1918","9.090909","19688334","894924","869419441829","39519065538"
"2018/08","신한지주","055550","STK","43600","43600","41450","1.158051","0.065389","0.322549","0.742939","0.000023205","1446158.2732","4.545455","19201193","872782","821066009911","37321182269"
"2018/09","신한지주","055550","STK","45000","45000","42000","1.381374","1.03956","0.087024","0.688712","0.000017813","2585937.3736","0","22771013","1339471","979995895577","57646817387"
"2018/10","신한지주","055550","STK","42550","46150","42350","2.200758","0.301626","-0.235224","0.548945","0.000031639","1510226.4545","0","25494668","1214032","1130304108270","53824005156"
"2018/11","신한지주","055550","STK","41200","43400","41200","1.004603","0.872258","-0.275426","0.407957","0.000016835","1916813.6156","18.181818","19828883","901313","843670277833","38348648992"
"2018/12","신한지주","055550","STK","39600","42250","39050","1.436003","0.175278","-0.273948","0.54421","0.000023714","1816804.0955","5.263158","23168896","1219416","940561665470","49503245551"
"2019/01","신한지주","055550","STK","43200","43200","38350","1.510924","0.210292","-0.276407","0.799047","0.000022462","1635707.9201","9.090909","26093311","1186060","1057796257878","48081648085"
"2019/02","신한지주","055550","STK","43650","44250","42450","1.251867","-0.73598","-0.276043","0.352383","0.000022929","1782659.9271","0","17926061","1054474","776933418363","45701965786"
"2019/03","신한지주","055550","STK","42000","44200","42000","1.036564","0.444559","-0.243889","0.605141","0.000017633","3221440.7288","5","20504061","1025203","883305387618","44165269381"
"2019/04","신한지주","055550","STK","44100","45800","43700","1.380574","2.253373","-0.279477","1.460932","0.000026527","1578802.4016","9.090909","16751972","761453","752563349887","34207424995"
"2019/05","신한지주","055550","STK","44450","48000","44450","1.584697","3.378026","-0.224178","0.741522","0.000020355","1542232.3929","4.761905","24592055","1171050","1121885153243","53423102535"
"2019/06","신한지주","055550","STK","44900","46000","44600","0.964139","0.260442","-0.211902","1.000087","0.000017919","1846876.792","10.526316","16967298","893016","766181573029","40325345949"
"2019/07","신한지주","055550","STK","43500","46300","43500","1.122576","1.519535","-0.209319","0.676671","0.000016929","2293616.153","8.695652","23107642","1004680","1032030107517","44870874240"
"2019/08","신한지주","055550","STK","40750","44200","39650","1.24022","0.578138","-0.192509","0.418428","0.000021203","2437527.2961","4.761905","23338518","1111358","959011786626","45667227935"
"2019/09","신한지주","055550","STK","41800","43050","40850","1.07856","1.482983","-0.231512","0.709822","0.000020389","2765165.8387","5.263158","16591361","873230","698881038736","36783212565"
"2019/10","신한지주","055550","STK","42500","44000","40900","1.282432","-0.587171","-0.278614","1.259029","0.000034386","1314824.1325","4.761905","16311862","776755","693814221650","33038772460"
"2019/11","신한지주","055550","STK","43550","44950","42650","0.971106","-0.047127","-0.294071","0.580202","0.000018887","2223625.3535","0","19987729","951797","875056088375","41669337542"
"2019/12","신한지주","055550","STK","43350","45800","43350","1.527026","1.43897","-0.3119","0.97941","0.000021364","2977812.5759","0","20873335","1043667","926552454650","46327622733"
"2020/01","신한지주","055550","STK","39150","42750","39150","1.144288","-1.040326","-0.313368","0.476076","0.000023188","1884271.3611","0","22423902","1121195","925813006109","46290650305"
"2020/02","신한지주","055550","STK","32300","39800","32300","1.563382","0.196676","-0.33628","0.79377","0.000020175","3204627.2603","0","36922696","1846135","1341793493908","67089674695"
"2020/03","신한지주","055550","STK","28600","33150","22200","5.553186","0.892603","-0.492076","1.181599","0.000058649","1499705.2033","4.545455","61037691","2774441","1699712518455","77259659930"
"2020/04","신한지주","055550","STK","30550","30550","26550","3.433847","3.392479","-0.173792","1.317525","0.000032412","1922703.1238","5","47835609","2391780","1356114138571","67805706929"
"2020/05","신한지주","055550","STK","30150","30450","28900","1.912947","1.554999","-0.174694","1.132011","0.000025037","2797419.0191","5.263158","40435937","2128207","1204571299356","63398489440"
"2020/06","신한지주","055550","STK","28750","35750","28750","4.036933","2.997749","-0.200919","1.659289","0.000032567","2438602.6096","0","61112243","2777829","1965681497915","89349158996"
"2020/07","신한지주","055550","STK","30100","31050","29000","1.392047","0.96262","-0.206213","0.570575","0.000021129","3087083.6679","8.695652","37335821","1623297","1126080208280","48960009056"
"2020/08","신한지주","055550","STK","29650","33800","29650","2.558972","0.601312","-0.245296","1.361002","0.000029427","1465839.8535","5","45606088","2280304","1431294695450","71564734773"
"2020/09","신한지주","055550","STK","27600","30200","27200","0.979503","-0.476818","-0.199802","0.581461","0.000013043","3521728.8192","9.52381","42172854","2008231","1205259652275","57393316775"
"2020/10","신한지주","055550","STK","30350","31500","27950","2.226976","-0.608886","-0.200884","1.498153","0.000015603","3615831.9808","5.263158","59786924","3146680","1776474813735","93498674407"
"2020/11","신한지주","055550","STK","32200","34650","31150","2.282437","0.970657","-0.160475","1.233083","0.000013866","3536746.795","0","71729728","3415701","2360919052900","112424716805"
"2020/12","신한지주","055550","STK","32050","34600","32000","1.689035","1.55387","-0.190347","0.814497","0.000012823","3893695.82","0","60399242","2876154","2025784447250","96465926060"
"2021/01","신한지주","055550","STK","30650","34200","30650","2.056698","0.716098","-0.203783","0.619755","0.00001251","4541037.4885","5","75186844","3759342","2481565521130","124078276057"
"2021/02","신한지주","055550","STK","32950","34100","31350","1.760582","-0.008951","-0.242257","0.629854","0.000018642","3596062.4746","0","42831137","2379508","1401772445880","77876246993"
"2021/03","신한지주","055550","STK","37450","37450","33250","1.253568","1.254208","-0.243601","-0.268392","0.000011251","5061438.2762","4.545455","61259520","2784524","2164832521652","98401478257"
"2021/04","신한지주","055550","STK","40000","40000","36350","1.282464","-1.15362","-0.236704","0.190115","0.000018615","2241019.4158","0","36700023","1668183","1387177562125","63053525551"
"2021/05","신한지주","055550","STK","42450","42750","39050","1.972897","0.673018","-0.274503","1.337434","0.000020693","1939765.7131","0","32506087","1710847","1339734426250","70512338224"
"2021/06","신한지주","055550","STK","40600","43000","39800","1.500305","-0.384712","-0.28718","2.046667","0.000021045","1953148.3653","0","29729198","1351327","1236474919280","56203405422"
"2021/07","신한지주","055550","STK","39150","40250","37550","1.568229","-0.170195","-0.259894","1.689172","0.000022831","1919216.0662","4.545455","30672246","1394193","1192754818150","54216128098"
"2021/08","신한지주","055550","STK","38850","39350","37100","1.464245","1.544924","-0.259021","0.953576","0.000020645","2577072.1666","0","28375534","1351216","1096252822638","52202515364"
"2021/09","신한지주","055550","STK","40400","40400","38250","0.990857","-1.175632","-0.256298","0.114586","0.000016974","2235011.9945","0","23986684","1262457","936939121747","49312585355"
"2021/10","신한지주","055550","STK","38250","40700","38250","1.343697","-1.002337","-0.264647","0.679531","0.000020205","1969614.6941","0","26607352","1400387","1048442331450","55181175339"
"2021/11","신한지주","055550","STK","34650","38350","34650","1.292433","3.928585","-0.27786","0.96248","0.000017995","2529089.1801","9.090909","27150901","1234132","1010069787500","45912263068"
