연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","한화생명","088350","STK","7510","7510","6850","1.669291","-0.496641","0.54277","-0.331309","0.000135476","1546973.7767","4.545455","30996536","1408933","222524708630","10114759483"
"2018/02","한화생명","088350","STK","6710","7410","6520","1.815894","1.655442","0.450797","0.886993","0.000167369","1739481.5897","11.111111","23190092","1288338","159047512714","8835972929"
"2018/03","한화생명","088350","STK","6190","6660","6190","1.667073","1.296383","0.462688","0.917635","0.000153731","1970858.6328","0","27241644","1297221","174867947044","8327045097"
"2018/04","한화생명","088350","STK","6230","6270","5930","1.466968","1.893228","0.457672","0.30918","0.000146793","1271672.3107","9.52381","22197075","1057004","135134611080","6434981480"
"2018/05","한화생명","088350","STK","5570","6160","5570","1.483442","0.386957","0.487354","0.613244","0.000172071","1222497.9714","0","29321490","1466075","172464016510","8623200826"
"2018/06","한화생명","088350","STK","5300","5740","5290","1.353518","0.562203","0.554419","0.610518","0.000158247","1398395.9791","10.526316","24216153","1274534","135114524863","7111290782"
"2018/07","한화생명","088350","STK","5170","5220","4870","1.528878","0.995604","0.565447","0.565635","0.000223893","1317970.4745","9.090909","19644575","892935","99815150590","4537052300"
"2018/08","한화생명","088350","STK","4850","5250","4765","1.326352","0.078354","0.583532","1.014765","0.000202805","1725732.7943","0","22116889","1005313","110128857600","5005857164"
"2018/09","한화생명","088350","STK","5290","5290","4810","1.076826","-0.142507","0.459181","0.643795","0.000159918","3203203.2291","0","18453655","1085509","91471846750","5380696868"
"2018/10","한화생명","088350","STK","4485","5290","4440","1.605758","0.955297","-0.311928","0.498898","0.000225116","1829217.0208","4.761905","24309938","1157616","116433105000","5544433571"
"2018/11","한화생명","088350","STK","4440","4600","4305","1.452614","-0.582572","-0.328553","0.990007","0.000277611","1339361.9736","0","21791556","990525","97516385030","4432562956"
"2018/12","한화생명","088350","STK","4220","4450","4215","1.308266","1.28431","-0.327642","0.603714","0.000234127","1598358.4513","10.526316","17577076","925109","75693528205","3983869906"
"2019/01","한화생명","088350","STK","4300","4320","4150","0.716714","0.248096","-0.344321","0.296926","0.00013337","3656281.1692","9.090909","22984570","1044753","97693775370","4440626153"
"2019/02","한화생명","088350","STK","4170","4335","4170","1.005504","-0.170832","-0.336303","0.420889","0.000139149","2833397.7538","0","22599514","1329383","96129966435","5654703908"
"2019/03","한화생명","088350","STK","4000","4205","3935","1.482356","6.007143","-0.32067","1.584716","0.000127974","4244139.482","0","28707782","1435389","116989881225","5849494061"
"2019/04","한화생명","088350","STK","3990","4040","3920","0.598891","1.993607","-0.338026","0.552163","0.00010321","3724600.1627","13.636364","23028778","1046763","91851891400","4175085973"
"2019/05","한화생명","088350","STK","3210","3960","3190","1.415367","-0.817623","-0.421482","1.136802","0.00022836","2138485.8662","0","35981704","1713414","124981850999","5951516714"
"2019/06","한화생명","088350","STK","3275","3320","3185","1.195655","-0.857803","-0.428091","1.122562","0.000258399","2071889.8311","5.263158","24693917","1299680","80369268110","4229961479"
"2019/07","한화생명","088350","STK","2625","3260","2510","1.939302","0.412491","-0.449785","0.925291","0.000314734","2080602.9909","0","40618537","1766023","114892100745","4995308728"
"2019/08","한화생명","088350","STK","2540","2540","2145","3.101292","1.50149","-0.420426","1.676496","0.000449069","3059327.0103","0","52157111","2483672","122095187520","5814056549"
"2019/09","한화생명","088350","STK","2380","2670","2380","2.070437","0.552591","-0.411865","1.786367","0.000412628","1026630.4332","10.526316","31689688","1667878","80225629260","4222401540"
