연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/01","한국금융지주","071050","STK","87400","91300","68600","3.440274","0.458987","0.24668","2.494981","0.000103078","267013.3012","4.545455","6832937","310588","567105567392","25777525791"
"2018/02","한국금융지주","071050","STK","78500","87000","78500","2.478052","-0.461285","0.227431","1.336143","0.000096116","325964.238","0","5042099","280117","412929547562","22940530420"
"2018/03","한국금융지주","071050","STK","82700","86400","77100","2.385058","2.750374","0.224085","1.390633","0.000105655","217930.2845","0","3743349","178255","307590669600","14647174743"
"2018/04","한국금융지주","071050","STK","91100","91100","78000","2.077549","0.985456","0.21397","1.009815","0.000076676","308675.2979","0","4639310","220920","385873327340","18374920350"
"2018/05","한국금융지주","071050","STK","93900","98100","87300","2.070819","0.749225","0.201637","2.175349","0.000088272","198492.7019","10","3636443","181822","337711544150","16885577208"
"2018/06","한국금융지주","071050","STK","84100","96600","83200","1.904107","0.260868","0.252003","1.504347","0.000097823","276552.2783","0","3461595","182189","304379364256","16019966540"
"2018/07","한국금융지주","071050","STK","71400","82100","69000","2.117134","-0.290409","0.258023","1.953754","0.000103798","356034.3137","0","5696347","258925","420433876980","19110630772"
"2018/08","한국금융지주","071050","STK","71300","72500","63700","2.222235","0.636654","0.248637","2.296305","0.00010162","329277.5721","4.545455","4594893","208859","315398351200","14336288691"
"2018/09","한국금융지주","071050","STK","76100","76100","67500","1.886458","-0.188082","0.257516","1.967877","0.000111881","257821.4615","0","3328283","195781","237170714618","13951218507"
"2018/10","한국금융지주","071050","STK","59300","75600","59300","2.435377","-0.342284","-0.510814","1.259416","0.000130327","221698.717","4.761905","4596698","218890","292560881828","13931470563"
"2018/11","한국금융지주","071050","STK","67700","68700","61500","2.44768","1.754156","-0.499304","2.082524","0.000168528","128736.5637","0","3802023","172819","249529330400","11342242291"
