연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","엔씨소프트","036570","STK","447500","488000","429000","2.411068","0.942079","0.425335","0.352386","0.000019446","340894.5728","0","3673935","193365","1684466468726","88656129933"
"2018/01","엔씨소프트","036570","STK","442000","449500","413500","2.102544","1.175007","0.403489","0.57269","0.000021991","335969.5437","0","3461680","157349","1492801687500","67854622159"
"2018/02","엔씨소프트","036570","STK","375000","442000","375000","2.360022","-0.337024","0.303408","1.304227","0.000031236","163506.4875","5.555556","2604748","144708","1048112334089","58228463005"
"2018/03","엔씨소프트","036570","STK","420000","422000","374000","1.620941","0.506189","0.297275","0.815958","0.000036942","237763.2838","0","2149235","102345","863281068191","41108622295"
"2018/04","엔씨소프트","036570","STK","360000","427000","354000","1.540409","-1.374081","0.300869","0.182258","0.000038735","162150.4653","0","2079463","99022","796244931589","37916425314"
"2018/05","엔씨소프트","036570","STK","353000","364000","332500","2.480398","0.508893","0.296516","-1.098542","0.000030078","223682.5619","5","3842535","192127","1358126368777","67906318439"
"2018/06","엔씨소프트","036570","STK","371000","378500","352000","2.323281","-0.462531","0.305697","0.346672","0.000053542","126241.6361","5.263158","1812445","95392","657475147353","34603955124"
"2018/07","엔씨소프트","036570","STK","385500","395000","360500","1.443439","1.317125","0.30526","0.517376","0.00003494","99885.4544","9.090909","1776809","80764","676853020828","30766046401"
"2018/08","엔씨소프트","036570","STK","387500","398000","356000","2.525484","4.3203","0.320674","1.559346","0.000038611","132339.6361","4.545455","2341127","106415","880534811923","40024309633"
"2018/09","엔씨소프트","036570","STK","442500","449000","385500","2.065539","0.514427","-0.022669","0.512191","0.000032076","110427.2488","0","1990645","117097","845706978491","49747469323"
"2018/10","엔씨소프트","036570","STK","429500","455000","404000","2.760801","0.339157","-0.163532","1.0704","0.000046633","95279.6623","4.761905","2272383","108209","955793081988","45513956285"
"2018/11","엔씨소프트","036570","STK","512000","512000","431000","1.829825","-0.470439","-0.092776","0.460588","0.000028687","237691.6259","0","2822732","128306","1323036018053","60138000821"
"2018/12","엔씨소프트","036570","STK","466500","509000","466500","2.068938","-1.040322","-0.085182","0.115122","0.000030313","99175.9652","5.263158","2383576","125451","1161146090419","61112952127"
"2019/01","엔씨소프트","036570","STK","468500","498000","454500","1.910164","-0.466666","-0.1216","0.475213","0.000033941","134522.3551","4.545455","2023391","91972","958916164776","43587098399"
"2019/02","엔씨소프트","036570","STK","461000","474000","430500","2.07","-0.289501","-0.117344","-0.39492","0.00002617","270415.2423","0","2331843","137167","1037214101500","61012594206"
"2019/03","엔씨소프트","036570","STK","496000","498000","430500","1.70255","0.334988","-0.106977","0.665386","0.000034755","138821.0931","0","1638402","81920","751379429700","37568971485"
"2019/04","엔씨소프트","036570","STK","526000","526000","486000","1.490037","-0.79302","-0.126355","0.02568","0.000035161","92268.1127","4.545455","1559783","70899","779799437365","35445428971"
"2019/05","엔씨소프트","036570","STK","477000","522000","474500","1.568594","-0.345664","-0.209507","0.328509","0.000033394","136017.6017","0","1682060","80098","825525500815","39310738134"
"2019/06","엔씨소프트","036570","STK","477000","485000","457000","1.675155","0.659531","-0.19604","0.834494","0.00003466","184827.4746","5.263158","1293515","68080","607231052250","31959529066"
"2019/07","엔씨소프트","036570","STK","481500","502000","459000","1.192424","-0.487344","-0.187563","0.424459","0.000034216","79225.3674","8.695652","1336308","58100","646388668741","28103855163"
"2019/08","엔씨소프트","036570","STK","537000","539000","502000","1.645781","0.458251","-0.167433","0.392049","0.000033224","79829.7923","9.52381","1491530","71025","779811011108","37133857672"
"2019/09","엔씨소프트","036570","STK","521000","552000","521000","1.264009","0.455721","-0.181956","0.020336","0.000023862","110749.6562","10.526316","1422161","74851","762759761276","40145250593"
"2019/10","엔씨소프트","036570","STK","516000","534000","506000","1.585313","0.318578","-0.201336","0.391199","0.000040252","66631.9984","9.52381","1209066","57575","626719373788","29843779704"
"2019/11","엔씨소프트","036570","STK","493000","561000","493000","2.135921","-0.021113","-0.177497","1.504918","0.000039325","87891.7334","0","2003238","95392","1049535082773","49977861084"
"2019/12","엔씨소프트","036570","STK","541000","545000","485000","1.94766","8.272021","-0.215674","0.223581","0.000023318","117343.8156","10","1706880","85344","891077966500","44553898325"
"2020/01","엔씨소프트","036570","STK","636000","655000","541000","1.515005","1.854086","-0.187964","0.33465","0.000024538","96566.7097","10","1457391","72870","895907471996","44795373600"
"2020/02","엔씨소프트","036570","STK","649000","687000","629000","2.199786","0.46177","-0.180636","0.602153","0.000023275","127246.1045","0","1997868","99893","1312133597612","65606679881"
"2020/03","엔씨소프트","036570","STK","652000","720000","530000","4.651295","2.163853","-0.170848","0.869463","0.000028562","115650.5252","4.545455","3828361","174016","2374078919883","107912678177"
"2020/04","엔씨소프트","036570","STK","643000","678000","618000","2.863492","0.642568","-0.289988","0.779812","0.000026142","123914.3796","5","2304251","115213","1498000636989","74900031849"
"2020/05","엔씨소프트","036570","STK","790000","812000","624000","3.020069","-0.862889","-0.290003","0.173131","0.000024619","101624.8246","0","2595751","136618","1907680096000","100404215579"
"2020/06","엔씨소프트","036570","STK","891000","943000","792000","2.755593","1.084776","-0.263041","0.773346","0.000022348","161325.8304","0","2296851","104402","1954413403943","88836972907"
"2020/07","엔씨소프트","036570","STK","811000","995000","785000","3.055616","1.744918","-0.263503","2.208261","0.000016032","158801.3207","4.347826","3311404","143974","2919617159889","126939876517"
"2020/08","엔씨소프트","036570","STK","825000","897000","783000","3.34465","-0.213571","-0.270066","1.13155","0.000018886","134007.4965","5","2945542","147277","2486334171725","124316708586"
"2020/09","엔씨소프트","036570","STK","806000","850000","784000","2.050726","0.005057","-0.295764","1.114256","0.000021602","125231.0995","0","1886005","89810","1534925602000","73091695333"
"2020/10","엔씨소프트","036570","STK","776000","813000","750000","1.958896","-0.108712","-0.287778","0.556622","0.00001732","138353.6951","10.526316","2001314","105332","1556520370677","81922124772"
"2020/11","엔씨소프트","036570","STK","810000","848000","778000","2.374228","3.813663","-0.241717","0.384106","0.000017113","103813.3256","4.761905","2057774","97989","1672629531000","79649025286"
"2020/12","엔씨소프트","036570","STK","931000","931000","852000","1.476315","3.205027","-0.252931","0.630522","0.000010333","250685.4626","4.761905","2208935","105187","1943314735400","92538796924"
"2021/01","엔씨소프트","036570","STK","953000","995000","935000","2.443559","0.243571","-0.242577","0.802987","0.00001371","153943.851","0","2559546","127977","2465752136846","123287606842"
"2021/02","엔씨소프트","036570","STK","936000","1038000","931000","3.258699","-0.076702","-0.240113","0.827775","0.00001835","93692.8278","11.111111","2328504","129361","2289160021462","127175556748"
"2021/03","엔씨소프트","036570","STK","873000","962000","834000","2.136683","4.347013","-0.222712","0.505288","0.000011258","247049.9768","9.090909","2415291","109786","2196192835384","99826947063"
"2021/04","엔씨소프트","036570","STK","830000","925000","830000","1.615938","0.453746","-0.253593","1.144911","0.000015756","135037.5349","4.545455","1798537","81752","1577367699946","71698531816"
"2021/05","엔씨소프트","036570","STK","868000","878000","806000","2.145701","1.31123","-0.252361","1.257276","0.000017667","166711.3059","0","1847075","97214","1555867364400","81887756021"
"2021/06","엔씨소프트","036570","STK","820000","872000","812000","1.132341","0.860368","-0.248226","-0.304769","0.000014272","117156.0368","9.090909","1483715","67442","1243891336934","56540515315"
"2021/07","엔씨소프트","036570","STK","824000","841000","772000","2.275989","-0.507661","-0.236925","0.591173","0.000021813","89053.7102","4.545455","2164882","98404","1763905642150","80177529189"
"2021/08","엔씨소프트","036570","STK","660000","853000","649000","4.41462","5.618697","-0.184967","0.483","0.000015609","137606.7419","4.761905","5330885","253852","3912810182479","186324294404"
"2021/09","엔씨소프트","036570","STK","603000","637000","571000","2.008898","1.887469","-0.15636","0.300896","0.000009632","364127.5369","0","5293797","278621","3217823043860","169359107572"
"2021/10","엔씨소프트","036570","STK","627000","639000","558000","2.672658","0.164345","-0.160428","1.543046","0.000020177","116734.5092","0","3228624","169928","1942501672702","102236930142"
"2021/11","엔씨소프트","036570","STK","681000","786000","595000","7.813824","9.489238","-0.1156","-1.327639","0.000008362","314838.0593","0","15053035","684229","10377060396400","471684563473"
"2021/12","엔씨소프트","036570","STK","643000","737000","643000","2.08857","1.293185","-0.1324","1.191506","0.000012308","183889.4506","4.545455","4013708","182441","2791441933600","126883724255"
"2022/01","엔씨소프트","036570","STK","536000","667000","536000","2.280022","-0.419116","-0.178162","0.972949","0.00001995","104454.5831","5","3129799","156490","1854409706000","92720485300"
"2022/02","엔씨소프트","036570","STK","443500","550000","443500","2.372852","1.167232","-0.169788","0.470339","0.000010356","508931.3","11.111111","5236573","290921","2585047807878","143613767104"
"2022/03","엔씨소프트","036570","STK","467500","469000","424500","2.250685","2.029028","-0.159177","1.335943","0.000021772","139089.8047","9.52381","3091383","147209","1401388990000","66732809048"
"2022/04","엔씨소프트","036570","STK","421500","480000","410000","1.575526","-0.799686","-0.114906","1.082502","0.000033081","149095.9797","0","1781672","84842","793545720500","37787891452"
"2022/05","엔씨소프트","036570","STK","455000","456000","398500","3.167967","3.807351","-0.132449","2.178664","0.000041062","125057.339","0","2603773","123989","1131990298625","53904299935"
"2022/06","엔씨소프트","036570","STK","349500","465500","349500","3.432229","0.959627","-0.271727","0.864695","0.000049013","85286.3205","0","2846997","142350","1177619702000","58880985100"
"2022/07","엔씨소프트","036570","STK","372500","376000","350000","1.645626","0.384902","-0.290275","0.963255","0.000036629","165650.6207","4.761905","2041847","97231","748097806350","35623705064"
"2022/08","엔씨소프트","036570","STK","378500","412000","359500","2.674887","0.086891","-0.287135","1.803495","0.000050153","76592.7116","9.090909","2358947","107225","903801605000","41081891136"
"2022/09","엔씨소프트","036570","STK","346000","382500","323500","2.362019","-0.510243","-0.290051","1.005742","0.000062598","98282.2645","0","1670979","83549","592553465000","29627673250"
"2022/10","엔씨소프트","036570","STK","390000","390000","322500","2.949416","1.475187","-0.309166","1.573014","0.000069684","70881.9216","0","1662142","87481","592563390000","31187546842"
"2022/11","엔씨소프트","036570","STK","470500","479500","385500","3.998067","3.680992","-0.250128","1.755838","0.000046052","87710.9198","4.545455","2712475","123294","1199905302500","54541150114"
