연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2017/12","삼성에스디에스","018260","STK","200000","207500","191500","1.885949","1.643519",,"1.681836","0.000066809","115974.911","5.263158","2157283","113541","433409664550","22811034976"
"2018/01","삼성에스디에스","018260","STK","256500","264000","202000","3.472604","1.574686",,"0.639958","0.000031055","197603.6577","4.545455","6675772","303444","1643103363500","74686516523"
"2018/02","삼성에스디에스","018260","STK","238000","256000","229000","2.351792","0.057839",,"1.345779","0.000039909","177997.7092","5.555556","3267409","181523","785874209000","43659678278"
"2018/03","삼성에스디에스","018260","STK","255500","259500","233500","2.171279","-0.657712",,"1.649724","0.000056751","92621.6097","9.52381","2675375","127399","669647154000","31887959714"
"2018/04","삼성에스디에스","018260","STK","245000","250500","230500","2.03328","1.697736",,"0.641182","0.000048422","158614.4297","0","2590362","123351","622581733000","29646749190"
"2018/05","삼성에스디에스","018260","STK","211000","234000","208500","2.754779","0.538027",,"1.290744","0.000073453","70571.7683","5","2263288","113164","500157903000","25007895150"
"2018/06","삼성에스디에스","018260","STK","200500","233500","195500","4.014255","8.131848",,"0.755833","0.000062132","139583.3864","5.263158","3206682","168773","666299039042","35068370476"
"2018/07","삼성에스디에스","018260","STK","209500","210500","190500","1.968791","-0.416818",,"1.141479","0.00007219","95731.9702","4.545455","2248125","102188","459007120500","20863960023"
"2018/08","삼성에스디에스","018260","STK","242500","242500","208500","1.686337","2.797968",,"0.399127","0.000042861","101399.8164","18.181818","2607616","118528","591121171500","26869144159"
"2018/09","삼성에스디에스","018260","STK","231000","244500","227500","1.249942","0.412783",,"-0.389281","0.000034485","162253.9504","0","1906678","112158","451380846891","26551814523"
"2018/10","삼성에스디에스","018260","STK","192500","227000","183500","2.447468","-0.227691",,"1.344345","0.000084941","61914.7226","4.761905","2530491","120500","519322094000","24729623524"
"2018/11","삼성에스디에스","018260","STK","196000","199000","181000","2.596643","1.672898",,"1.6467","0.000106211","82930.9963","4.545455","2010946","91407","380170492000","17280476909"
"2018/12","삼성에스디에스","018260","STK","204000","204500","193000","1.96632","-0.715523",,"1.591476","0.000100093","80301.8448","5.263158","1535379","80809","305177059500","16061950500"
"2019/01","삼성에스디에스","018260","STK","223500","223500","202500","1.530676","0.597714",,"0.308398","0.000057478","109518.5047","4.545455","2058366","93562","439515783944","19977990179"
"2019/02","삼성에스디에스","018260","STK","230500","235500","220000","1.361527","2.745035",,"0.797989","0.000042741","104732.5066","17.647059","1403183","82540","319770018000","18810001059"
"2019/03","삼성에스디에스","018260","STK","235000","236000","221000","1.415643","-1.013432",,"0.786807","0.000067157","127129.0883","0","1611133","80557","370734384000","18536719200"
"2019/04","삼성에스디에스","018260","STK","217000","235000","217000","0.990035","3.614762",,"0.056479","0.000046991","123281.8956","4.545455","1518839","69038","345980912000","15726405091"
"2019/05","삼성에스디에스","018260","STK","207000","221500","201000","1.900366","1.029216",,"1.818524","0.000081736","113568.4431","0","1843456","87784","381287104344","18156528778"
"2019/06","삼성에스디에스","018260","STK","215000","219000","206500","1.380101","0.753281",,"1.728532","0.000064428","102084.7936","5.263158","1325101","69742","283549620500","14923664237"
"2019/07","삼성에스디에스","018260","STK","208500","220500","208500","1.448121","0.12836",,"0.79579","0.000086407","52061.7709","13.043478","1373275","59708","294828742273","12818640968"
"2019/08","삼성에스디에스","018260","STK","196000","211000","190000","1.699773","1.159921",,"1.386711","0.000078784","91505.8052","9.52381","1595371","75970","316363690500","15064937643"
"2019/09","삼성에스디에스","018260","STK","190500","202500","189500","1.409135","0.572732",,"1.341051","0.000072267","86183.2506","10.526316","1417887","74626","278599263000","14663119105"
"2019/10","삼성에스디에스","018260","STK","201500","204500","189500","1.41711","0.77203","-0.298069","0.569756","0.000082709","78170.2015","9.52381","1576892","75090","309294886306","14728327919"
"2019/11","삼성에스디에스","018260","STK","195500","204500","195500","1.061716","1.55048","-0.309557","0.789712","0.000059351","110454.9075","9.52381","1406977","66999","281627555500","13410835976"
"2019/12","삼성에스디에스","018260","STK","194500","199000","192000","0.979741","-0.728604","-0.330014","0.781164","0.000062088","103059.5306","15","1339095","66955","261308802500","13065440125"
"2020/01","삼성에스디에스","018260","STK","194000","206000","188500","1.853391","1.422403","-0.275602","1.185901","0.000067314","111078.8727","5","2010520","100526","396952874768","19847643738"
"2020/02","삼성에스디에스","018260","STK","166500","201500","166500","1.987932","0.528247","-0.265941","1.158746","0.000065907","106779.7589","5","2361051","118053","447558051500","22377902575"
"2020/03","삼성에스디에스","018260","STK","149500","181000","137000","3.474374","-0.513573","-0.284286","0.647812","0.000088931","126155.4782","0","4741165","215508","729917701500","33178077341"
"2020/04","삼성에스디에스","018260","STK","162500","166000","141000","2.783743","1.210425","-0.065157","1.300244","0.000065301","213900.2092","10","4175470","208774","659594386000","32979719300"
"2020/05","삼성에스디에스","018260","STK","190500","190500","156500","3.175678","1.65728","-0.069624","1.281973","0.000048281","222794.6327","0","5445910","286627","967973647500","50945981447"
"2020/06","삼성에스디에스","018260","STK","168500","191000","168500","2.331979","3.308741","-0.130499","0.97333","0.000049357","173579.656","13.636364","3950803","179582","714723366500","32487425750"
"2020/07","삼성에스디에스","018260","STK","166500","184500","166500","1.46011","-0.248418","-0.136187","0.90775","0.000054226","154510.4729","4.347826","2784649","121072","491431914500","21366604978"
"2020/08","삼성에스디에스","018260","STK","157500","172500","157500","1.619973","3.518987","-0.174378","0.641895","0.000037692","220909.3921","5","3504498","175225","578144931500","28907246575"
"2020/09","삼성에스디에스","018260","STK","169500","181500","157000","2.580625","1.252728","-0.153641","0.508463","0.000056995","150852.4052","0","5063474","241118","873760395000","41607637857"
"2020/10","삼성에스디에스","018260","STK","168500","182000","167500","2.297901","0.460224","-0.169163","0.538551","0.000056726","200469.1978","0","3973864","209151","706736452000","37196655368"
"2020/11","삼성에스디에스","018260","STK","173000","179500","170500","1.450154","0.237152","-0.165986","0.874519","0.000037434","239399.2589","4.761905","3669229","174725","644683526000","30699215524"
"2020/12","삼성에스디에스","018260","STK","178500","180500","174000","0.754963","-0.527775","-0.182983","0.236515","0.000017945","355325.1405","4.761905","4150164","197627","735915287500","35043585119"
"2021/01","삼성에스디에스","018260","STK","195500","219500","186000","4.724893","2.446947","-0.226077","1.677099","0.000029507","176424.7309","10","11859331","592967","2452169447500","122608472375"
"2021/02","삼성에스디에스","018260","STK","194500","204000","192000","1.970682","0.438033","-0.260308","0.74172","0.0000324","211832.3017","5.555556","4229541","234975","838277172000","46570954000"
"2021/03","삼성에스디에스","018260","STK","193500","195000","180500","1.418329","1.684866","-0.274899","1.036928","0.000039872","150433.7513","4.545455","2932238","133284","550843277000","25038330773"
"2021/04","삼성에스디에스","018260","STK","183000","194000","183000","1.430069","-0.010606","-0.295809","0.937384","0.000043368","184001.2714","0","3219704","146350","609725900500","27714813659"
"2021/05","삼성에스디에스","018260","STK","181500","184500","175500","1.244887","0.506583","-0.293385","0.942334","0.000039022","165332.5724","10.526316","2473073","130162","445693806500","23457568763"
"2021/06","삼성에스디에스","018260","STK","185000","191000","183500","1.088461","2.406876","-0.357567","1.016547","0.000029382","168636.6205","13.636364","2827334","128515","528172244500","24007829295"
"2021/07","삼성에스디에스","018260","STK","182500","189000","181500","1.041177","-0.646265","-0.33572","1.236511","0.000045343","129032.486","13.636364","2159755","98171","399288806500","18149491205"
"2021/08","삼성에스디에스","018260","STK","172500","188500","166000","1.462104","-0.945887","-0.327601","1.390735","0.000053514","133005.2977","9.52381","2580638","122888","457898922000","21804710571"
"2021/09","삼성에스디에스","018260","STK","160500","172500","160500","0.991192","-0.81328","-0.313709","1.161677","0.000049605","112186.5365","15.789474","1837851","96729","306104105000","16110742368"
